time,Memphis,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. R. Lopez (N. Batum gains possession),,,,Jump ball: M. Gasol vs. R. Lopez (N. Batum gains possession)
11:46.0,,,0-0,,L. Aldridge misses 2-pt shot from 20 ft
11:45.0,Defensive rebound by M. Conley,,0-0,,
11:27.0,C. Lee makes 2-pt shot from 17 ft (assist by M. Conley),2,2-0,,
11:12.0,,,2-0,,L. Aldridge misses 2-pt shot from 18 ft
11:11.0,Defensive rebound by C. Lee,,2-0,,
11:03.0,T. Allen makes 2-pt shot from 1 ft (assist by Z. Randolph),2,4-0,,
10:38.0,,,4-0,,L. Aldridge misses 2-pt shot from 2 ft (block by M. Gasol)
10:37.0,,,4-0,,Offensive rebound by L. Aldridge
10:32.0,,,4-0,,Turnover by Team (shot clock)
10:03.0,M. Gasol misses 2-pt shot from 22 ft,,4-0,,
10:02.0,,,4-0,,Defensive rebound by A. Afflalo
9:56.0,,,4-0,,Turnover by A. Afflalo (bad pass)
9:43.0,M. Conley makes 2-pt shot from 2 ft,2,6-0,,
9:25.0,,,6-0,,L. Aldridge misses 2-pt shot from 3 ft (block by M. Gasol)
9:23.0,Defensive rebound by Z. Randolph,,6-0,,
9:09.0,M. Conley misses 2-pt shot from 20 ft,,6-0,,
9:08.0,,,6-0,,Defensive rebound by A. Afflalo
9:00.0,Personal foul by M. Conley (drawn by A. Afflalo),,6-0,,
8:57.0,,,6-3,3,D. Lillard makes 3-pt shot from 29 ft (assist by N. Batum)
8:42.0,,,6-3,,Personal foul by A. Afflalo (drawn by C. Lee)
8:27.0,C. Lee makes 2-pt shot from 21 ft,2,8-3,,
8:10.0,,,8-3,,D. Lillard misses 3-pt shot from 31 ft
8:09.0,Defensive rebound by M. Gasol,,8-3,,
7:57.0,C. Lee makes 3-pt shot from 26 ft (assist by Z. Randolph),3,11-3,,
7:40.0,,,11-3,,N. Batum misses 2-pt shot from 17 ft
7:39.0,Defensive rebound by M. Gasol,,11-3,,
7:30.0,Z. Randolph misses 2-pt shot from 18 ft,,11-3,,
7:29.0,,,11-3,,Defensive rebound by N. Batum
7:18.0,,,11-3,,A. Afflalo misses 3-pt shot from 23 ft
7:17.0,Defensive rebound by M. Conley,,11-3,,
7:04.0,Z. Randolph misses 2-pt shot from 16 ft,,11-3,,
7:02.0,,,11-3,,Defensive rebound by L. Aldridge
6:54.0,,,11-3,,Shooting foul by C. Lee (drawn by R. Lopez)
6:54.0,,,11-4,1,R. Lopez makes free throw 1 of 2
6:54.0,,,11-5,1,R. Lopez makes free throw 2 of 2
6:33.0,M. Gasol misses 2-pt shot from 20 ft,,11-5,,
6:32.0,,,11-5,,Defensive rebound by R. Lopez
6:22.0,,,11-5,,R. Lopez misses 2-pt shot from 2 ft (block by M. Gasol)
6:21.0,Defensive rebound by Team,,11-5,,
5:59.0,Z. Randolph misses 2-pt shot from 5 ft,,11-5,,
5:58.0,Offensive rebound by Team,,11-5,,
5:58.0,,,11-5,,Portland full timeout
5:58.0,,,11-5,,C. Kaman enters the game for R. Lopez
5:52.0,M. Conley makes 2-pt shot from 18 ft (assist by M. Gasol),2,13-5,,
5:34.0,,,13-5,,Shooting foul by M. Gasol (drawn by L. Aldridge)
5:34.0,,,13-6,1,L. Aldridge makes free throw 1 of 2
5:34.0,,,13-7,1,L. Aldridge makes free throw 2 of 2
5:18.0,C. Lee misses 2-pt shot from 15 ft,,13-7,,
5:17.0,,,13-7,,Defensive rebound by L. Aldridge
5:08.0,,,13-7,,N. Batum misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by T. Allen,,13-7,,
4:47.0,C. Lee makes 2-pt shot from 2 ft,2,15-7,,
4:47.0,Shooting foul by C. Kaman (drawn by C. Lee),,15-7,,
4:47.0,J. Green enters the game for T. Allen,,15-7,,
4:47.0,C. Lee makes free throw 1 of 1,1,16-7,,
4:29.0,,,16-7,,L. Aldridge misses 2-pt shot from 18 ft
4:28.0,Defensive rebound by J. Green,,16-7,,
4:17.0,Z. Randolph makes 2-pt shot from 5 ft,2,18-7,,
4:07.0,Personal block foul by J. Green (drawn by C. Kaman),,18-7,,
4:07.0,,,18-7,,C. McCollum enters the game for A. Afflalo
3:58.0,,,18-9,2,D. Lillard makes 2-pt shot from 2 ft (assist by L. Aldridge)
3:37.0,Z. Randolph makes 2-pt shot from 3 ft (assist by M. Gasol),2,20-9,,
3:22.0,,,20-11,2,C. Kaman makes 2-pt shot from 13 ft (assist by N. Batum)
2:59.0,M. Conley misses 2-pt shot from 20 ft,,20-11,,
2:58.0,Offensive rebound by Team,,20-11,,
2:56.0,Memphis full timeout,,20-11,,
2:56.0,,,20-11,,R. Lopez enters the game for L. Aldridge
2:56.0,N. Calathes enters the game for M. Conley,,20-11,,
2:34.0,M. Gasol makes 2-pt shot from 14 ft,2,22-11,,
2:17.0,,,22-11,,C. McCollum misses 3-pt shot from 26 ft
2:16.0,Defensive rebound by Team,,22-11,,
2:16.0,K. Koufos enters the game for Z. Randolph,,22-11,,
2:01.0,Turnover by J. Green (bad pass),,22-11,,
1:40.0,,,22-14,3,C. McCollum makes 3-pt shot from 26 ft (assist by R. Lopez)
1:24.0,,,22-14,,Personal foul by R. Lopez (drawn by M. Gasol)
1:10.0,M. Gasol misses 2-pt shot from 18 ft,,22-14,,
1:10.0,Offensive rebound by K. Koufos,,22-14,,
1:10.0,Turnover by Team (shot clock),,22-14,,
0:59.0,,,22-17,3,N. Batum makes 3-pt shot from 25 ft (assist by D. Lillard)
0:44.0,M. Gasol misses 2-pt shot from 18 ft,,22-17,,
0:42.0,,,22-17,,Defensive rebound by C. Kaman
0:38.0,Personal foul by C. Lee (drawn by C. McCollum),,22-17,,
0:38.0,,,22-18,1,C. McCollum makes free throw 1 of 2
0:38.0,,,22-18,,S. Blake enters the game for D. Lillard
0:38.0,V. Carter enters the game for C. Lee,,22-18,,
0:38.0,,,22-19,1,C. McCollum makes free throw 2 of 2
0:27.0,N. Calathes makes 2-pt shot from 13 ft,2,24-19,,
0:03.0,,,24-19,,S. Blake misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by N. Calathes,,24-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Shooting foul by M. Leonard (drawn by J. Green),,24-19,,
11:46.0,J. Green makes free throw 1 of 2,1,25-19,,
11:46.0,J. Green makes free throw 2 of 2,1,26-19,,
11:26.0,,,26-19,,Shooting foul by T. Allen (drawn by L. Aldridge)
11:26.0,,,26-20,1,L. Aldridge makes free throw 1 of 2
11:26.0,,,26-21,1,L. Aldridge makes free throw 2 of 2
11:06.0,J. Green misses 2-pt shot from 19 ft,,26-21,,
11:05.0,,,26-21,,Defensive rebound by C. McCollum
10:57.0,Personal block foul by N. Calathes (drawn by L. Aldridge),,26-21,,
10:49.0,,,26-21,,Shooting foul by N. Calathes (drawn by A. Afflalo)
10:49.0,,,26-23,2,A. Afflalo makes 2-pt shot from 9 ft (assist by S. Blake)
10:49.0,,,26-23,,A. Afflalo misses free throw 1 of 1
10:48.0,Defensive rebound by T. Allen,,26-23,,
10:33.0,N. Calathes misses 2-pt shot from 6 ft,,26-23,,
10:33.0,Offensive rebound by Team,,26-23,,
10:33.0,,,26-23,,Loose ball foul by M. Leonard (drawn by T. Allen)
10:22.0,N. Calathes makes 3-pt shot from 26 ft,3,29-23,,
10:13.0,,,29-23,,Shooting foul by T. Allen (drawn by C. McCollum)
10:13.0,,,29-24,1,C. McCollum makes free throw 1 of 2
10:13.0,M. Conley enters the game for T. Allen,,29-24,,
10:13.0,,,29-24,,C. McCollum misses free throw 2 of 2
10:11.0,Defensive rebound by J. Green,,29-24,,
9:52.0,K. Koufos makes 2-pt shot at rim (assist by N. Calathes),2,31-24,,
9:52.0,Shooting foul by C. McCollum (drawn by K. Koufos),,31-24,,
9:52.0,K. Koufos makes free throw 1 of 1,1,32-24,,
9:35.0,,,32-24,,L. Aldridge misses 2-pt shot from 19 ft
9:34.0,Defensive rebound by V. Carter,,32-24,,
9:27.0,M. Conley misses 2-pt shot from 20 ft,,32-24,,
9:26.0,,,32-24,,Defensive rebound by A. Afflalo
9:14.0,,,32-26,2,C. McCollum makes 2-pt shot from 15 ft (assist by S. Blake)
8:59.0,J. Green makes 2-pt shot from 2 ft (assist by M. Conley),2,34-26,,
8:44.0,,,34-26,,A. Afflalo misses 2-pt shot from 6 ft (block by N. Calathes)
8:44.0,,,34-26,,Offensive rebound by Team
8:44.0,Official timeout,,34-26,,
8:37.0,,,34-26,,C. McCollum misses 2-pt shot from 17 ft
8:34.0,Defensive rebound by J. Green,,34-26,,
8:33.0,Shooting foul by A. Afflalo (drawn by J. Green),,34-26,,
8:33.0,J. Green makes free throw 1 of 2,1,35-26,,
8:33.0,,,35-26,,D. Lillard enters the game for C. McCollum
8:33.0,J. Green makes free throw 2 of 2,1,36-26,,
8:13.0,,,36-26,,L. Aldridge misses 3-pt shot from 27 ft
8:11.0,Defensive rebound by J. Green,,36-26,,
7:52.0,M. Conley makes 2-pt shot from 11 ft (assist by K. Koufos),2,38-26,,
7:31.0,,,38-28,2,L. Aldridge makes 2-pt shot from 1 ft
7:13.0,K. Koufos makes 2-pt shot from 7 ft (assist by M. Conley),2,40-28,,
6:58.0,,,40-28,,Offensive foul by A. Afflalo
6:58.0,,,40-28,,Turnover by A. Afflalo (offensive foul)
6:58.0,,,40-28,,C. McCollum enters the game for A. Afflalo
6:58.0,,,40-28,,R. Lopez enters the game for S. Blake
6:58.0,,,40-28,,N. Batum enters the game for M. Leonard
6:42.0,J. Green misses 2-pt shot from 10 ft,,40-28,,
6:41.0,,,40-28,,Defensive rebound by N. Batum
6:30.0,,,40-30,2,D. Lillard makes 2-pt shot at rim
6:10.0,N. Calathes makes 2-pt shot from 3 ft (assist by J. Green),2,42-30,,
5:58.0,,,42-33,3,D. Lillard makes 3-pt shot from 28 ft
5:41.0,M. Conley makes 2-pt shot from 4 ft,2,44-33,,
5:41.0,Shooting foul by L. Aldridge (drawn by M. Conley),,44-33,,
5:41.0,,,44-33,,Portland full timeout
5:41.0,M. Gasol enters the game for N. Calathes,,44-33,,
5:41.0,Z. Randolph enters the game for K. Koufos,,44-33,,
5:41.0,M. Conley makes free throw 1 of 1,1,45-33,,
5:27.0,,,45-35,2,R. Lopez makes 2-pt shot from 6 ft (assist by D. Lillard)
5:06.0,M. Conley misses 2-pt shot from 11 ft (block by D. Lillard),,45-35,,
5:05.0,Offensive rebound by Z. Randolph,,45-35,,
5:02.0,Turnover by Z. Randolph (lost ball; steal by C. McCollum),,45-35,,
5:00.0,,,45-35,,Shooting foul by V. Carter (drawn by C. McCollum)
5:00.0,,,45-36,1,C. McCollum makes free throw 1 of 2
5:00.0,,,45-37,1,C. McCollum makes free throw 2 of 2
4:40.0,V. Carter makes 2-pt shot from 1 ft (assist by Z. Randolph),2,47-37,,
4:40.0,Shooting foul by C. McCollum (drawn by V. Carter),,47-37,,
4:40.0,V. Carter makes free throw 1 of 1,1,48-37,,
4:25.0,,,48-40,3,N. Batum makes 3-pt shot from 25 ft (assist by D. Lillard)
4:07.0,M. Gasol makes 2-pt shot from 8 ft (assist by M. Conley),2,50-40,,
3:50.0,,,50-40,,Shooting foul by Z. Randolph (drawn by L. Aldridge)
3:50.0,,,50-41,1,L. Aldridge makes free throw 1 of 2
3:50.0,C. Lee enters the game for V. Carter,,50-41,,
3:50.0,,,50-42,1,L. Aldridge makes free throw 2 of 2
3:32.0,Z. Randolph misses 2-pt shot from 10 ft,,50-42,,
3:31.0,,,50-42,,Defensive rebound by R. Lopez
3:23.0,,,50-44,2,D. Lillard makes 2-pt shot from 2 ft
3:13.0,Memphis full timeout,,50-44,,
3:13.0,T. Allen enters the game for J. Green,,50-44,,
2:57.0,M. Gasol makes 2-pt shot from 8 ft,2,52-44,,
2:32.0,,,52-44,,L. Aldridge misses 2-pt shot from 18 ft
2:30.0,Defensive rebound by Z. Randolph,,52-44,,
2:19.0,M. Conley misses 3-pt shot from 25 ft,,52-44,,
2:17.0,,,52-44,,Defensive rebound by C. McCollum
2:07.0,,,52-46,2,D. Lillard makes 2-pt shot from 2 ft (assist by L. Aldridge)
1:43.0,M. Conley makes 3-pt shot from 27 ft (assist by M. Gasol),3,55-46,,
1:31.0,,,55-46,,D. Lillard misses 3-pt shot from 25 ft
1:30.0,Defensive rebound by M. Gasol,,55-46,,
1:24.0,,,55-46,,Personal foul by R. Lopez (drawn by Z. Randolph)
1:24.0,Z. Randolph makes free throw 1 of 2,1,56-46,,
1:24.0,N. Calathes enters the game for M. Conley,,56-46,,
1:24.0,Z. Randolph makes free throw 2 of 2,1,57-46,,
1:08.0,,,57-46,,D. Lillard misses 2-pt shot from 2 ft
1:07.0,Defensive rebound by N. Calathes,,57-46,,
1:02.0,Shooting foul by R. Lopez (drawn by M. Gasol),,57-46,,
1:02.0,M. Gasol misses free throw 1 of 2,,57-46,,
1:02.0,Offensive rebound by Team,,57-46,,
1:02.0,,,57-46,,C. Kaman enters the game for R. Lopez
1:02.0,M. Gasol makes free throw 2 of 2,1,58-46,,
0:50.0,,,58-49,3,N. Batum makes 3-pt shot from 27 ft (assist by C. Kaman)
0:34.0,Z. Randolph makes 2-pt shot from 2 ft,2,60-49,,
0:19.0,,,60-49,,L. Aldridge misses 2-pt shot from 7 ft
0:18.0,Defensive rebound by M. Gasol,,60-49,,
0:13.0,Memphis full timeout,,60-49,,
0:13.0,M. Conley enters the game for T. Allen,,60-49,,
0:13.0,J. Green enters the game for N. Calathes,,60-49,,
0:03.0,,,60-49,,Personal foul by C. Kaman (drawn by M. Gasol)
0:03.0,M. Gasol makes free throw 1 of 2,1,61-49,,
0:03.0,N. Calathes enters the game for M. Conley,,61-49,,
0:03.0,T. Allen enters the game for Z. Randolph,,61-49,,
0:03.0,M. Gasol makes free throw 2 of 2,1,62-49,,
0:03.0,,,62-49,,Portland full timeout
0:03.0,,,62-49,,M. Leonard enters the game for C. Kaman
0:00.0,,,62-49,,C. McCollum misses 3-pt shot from 29 ft
0:00.0,,,62-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,M. Conley misses 2-pt shot from 15 ft,,62-49,,
11:42.0,,,62-49,,Defensive rebound by L. Aldridge
11:31.0,,,62-52,3,N. Batum makes 3-pt shot from 25 ft (assist by D. Lillard)
11:09.0,Z. Randolph misses 2-pt shot from 4 ft (block by L. Aldridge),,62-52,,
11:07.0,,,62-52,,Defensive rebound by L. Aldridge
11:05.0,,,62-52,,Turnover by D. Lillard (bad pass)
10:48.0,,,62-52,,Personal foul by A. Afflalo (drawn by C. Lee)
10:44.0,,,62-52,,Personal foul by N. Batum (drawn by Z. Randolph)
10:34.0,M. Conley misses 3-pt shot from 26 ft,,62-52,,
10:33.0,,,62-52,,Defensive rebound by A. Afflalo
10:22.0,,,62-52,,D. Lillard misses 3-pt shot from 28 ft
10:21.0,Defensive rebound by Z. Randolph,,62-52,,
10:08.0,Z. Randolph misses 2-pt shot from 6 ft,,62-52,,
10:08.0,Offensive rebound by T. Allen,,62-52,,
10:08.0,Turnover by T. Allen (step out of bounds),,62-52,,
9:51.0,,,62-54,2,L. Aldridge makes 2-pt shot from 6 ft (assist by D. Lillard)
9:30.0,Z. Randolph makes 2-pt shot from 6 ft,2,64-54,,
9:21.0,,,64-54,,Turnover by R. Lopez (offensive goaltending)
9:02.0,C. Lee misses 2-pt shot from 3 ft,,64-54,,
9:00.0,,,64-54,,Defensive rebound by A. Afflalo
8:54.0,,,64-54,,A. Afflalo misses 2-pt shot from 9 ft
8:53.0,Defensive rebound by C. Lee,,64-54,,
8:45.0,T. Allen misses 2-pt shot from 1 ft,,64-54,,
8:44.0,,,64-54,,Defensive rebound by N. Batum
8:32.0,,,64-54,,L. Aldridge misses 2-pt shot from 13 ft
8:30.0,,,64-54,,Offensive rebound by R. Lopez
8:26.0,,,64-54,,Turnover by R. Lopez (bad pass; steal by T. Allen)
8:23.0,Shooting foul by D. Lillard (drawn by C. Lee),,64-54,,
8:23.0,C. Lee makes free throw 1 of 2,1,65-54,,
8:23.0,C. Lee makes free throw 2 of 2,1,66-54,,
8:05.0,,,66-56,2,L. Aldridge makes 2-pt shot from 15 ft (assist by N. Batum)
7:40.0,Shooting foul by R. Lopez (drawn by M. Gasol),,66-56,,
7:40.0,M. Gasol makes free throw 1 of 2,1,67-56,,
7:40.0,,,67-56,,C. Kaman enters the game for R. Lopez
7:40.0,M. Gasol makes free throw 2 of 2,1,68-56,,
7:31.0,Personal foul by T. Allen (drawn by A. Afflalo),,68-56,,
7:23.0,,,68-56,,N. Batum misses 3-pt shot from 26 ft
7:22.0,Defensive rebound by T. Allen,,68-56,,
7:12.0,Turnover by Z. Randolph (traveling),,68-56,,
7:12.0,,,68-56,,C. McCollum enters the game for A. Afflalo
7:01.0,,,68-56,,Turnover by D. Lillard (lost ball; steal by M. Conley)
6:47.0,Z. Randolph makes 2-pt shot from 6 ft,2,70-56,,
6:47.0,,,70-56,,Portland full timeout
6:26.0,,,70-58,2,L. Aldridge makes 2-pt shot from 18 ft
6:02.0,M. Conley makes 2-pt shot from 2 ft,2,72-58,,
5:42.0,,,72-58,,N. Batum misses 2-pt shot from 22 ft
5:41.0,Defensive rebound by M. Conley,,72-58,,
5:30.0,M. Conley misses 2-pt shot from 8 ft,,72-58,,
5:29.0,,,72-58,,Defensive rebound by C. Kaman
5:23.0,,,72-60,2,C. McCollum makes 2-pt shot from 12 ft (assist by D. Lillard)
5:00.0,M. Gasol makes 2-pt shot from 15 ft,2,74-60,,
4:38.0,,,74-62,2,C. McCollum makes 2-pt shot from 2 ft
4:16.0,M. Gasol misses 2-pt shot from 21 ft,,74-62,,
4:15.0,,,74-62,,Defensive rebound by C. McCollum
