time,Minnesota,pts.away,score,pts.home,Portland
2:00.0,,,22-19,1,C. Kaman makes free throw 2 of 2
1:53.0,M. Williams makes 2-pt shot from 2 ft,2,24-19,,
1:38.0,,,24-19,,C. Kaman misses 2-pt shot from 13 ft
1:37.0,Defensive rebound by C. Brewer,,24-19,,
1:29.0,M. Williams misses 2-pt shot from 17 ft,,24-19,,
1:26.0,Offensive rebound by C. Brewer,,24-19,,
1:26.0,C. Brewer misses 2-pt shot from 1 ft,,24-19,,
1:25.0,,,24-19,,Defensive rebound by L. Aldridge
1:13.0,C. Budinger enters the game for C. Brewer,,24-19,,
1:05.0,,,24-22,3,S. Blake makes 3-pt shot from 25 ft
0:49.0,S. Muhammad makes 2-pt shot from 7 ft,2,26-22,,
0:29.0,,,26-22,,C. Kaman misses 2-pt shot from 9 ft
0:28.0,Defensive rebound by C. Budinger,,26-22,,
0:05.0,M. Williams misses 2-pt shot from 11 ft,,26-22,,
0:04.0,,,26-22,,Defensive rebound by L. Aldridge
0:00.0,,,26-22,,S. Blake misses 2-pt shot from 4 ft
0:00.0,,,26-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,S. Muhammad makes 2-pt shot at rim (assist by M. Williams),2,28-22,,
11:24.0,,,28-22,,Turnover by C. Kaman (lost ball; steal by T. Young)
11:19.0,T. Young misses 2-pt shot from 1 ft,,28-22,,
11:18.0,,,28-22,,Defensive rebound by C. Kaman
11:07.0,,,28-22,,J. Freeland misses 2-pt shot from 12 ft
11:06.0,Defensive rebound by C. Budinger,,28-22,,
10:58.0,A. Bennett makes 2-pt shot from 21 ft (assist by M. Williams),2,30-22,,
10:44.0,,,30-22,,S. Blake misses 2-pt shot from 20 ft
10:43.0,Defensive rebound by A. Bennett,,30-22,,
10:26.0,A. Bennett misses 2-pt shot from 20 ft,,30-22,,
10:25.0,,,30-22,,Defensive rebound by J. Freeland
10:08.0,,,30-22,,D. Lillard misses 3-pt shot from 26 ft
10:07.0,Defensive rebound by A. Bennett,,30-22,,
10:00.0,M. Williams misses 2-pt shot from 21 ft,,30-22,,
9:59.0,,,30-22,,Defensive rebound by Team
9:59.0,Z. LaVine enters the game for M. Williams,,30-22,,
9:42.0,,,30-22,,D. Lillard misses 2-pt shot from 2 ft
9:41.0,,,30-22,,Offensive rebound by C. Kaman
9:41.0,,,30-24,2,C. Kaman makes 2-pt shot at rim
9:26.0,T. Young makes 2-pt shot at rim (assist by C. Budinger),2,32-24,,
9:09.0,,,32-27,3,W. Matthews makes 3-pt shot from 26 ft (assist by D. Lillard)
8:49.0,A. Bennett misses 2-pt shot from 13 ft,,32-27,,
8:48.0,,,32-27,,Defensive rebound by W. Matthews
8:35.0,,,32-29,2,D. Lillard makes 2-pt shot from 1 ft (assist by C. Kaman)
8:35.0,Minnesota full timeout,,32-29,,
8:21.0,S. Muhammad misses 2-pt shot from 5 ft,,32-29,,
8:19.0,,,32-29,,Defensive rebound by C. Kaman
8:07.0,,,32-29,,C. Kaman misses 2-pt shot from 2 ft (block by C. Budinger)
8:05.0,,,32-29,,Offensive rebound by C. Kaman
8:02.0,,,32-29,,C. Kaman misses 2-pt shot from 4 ft
8:00.0,,,32-29,,Offensive rebound by J. Freeland
8:00.0,,,32-29,,J. Freeland misses 2-pt shot at rim
7:58.0,Defensive rebound by A. Bennett,,32-29,,
7:50.0,Offensive foul by C. Budinger,,32-29,,
7:50.0,Turnover by C. Budinger (offensive foul),,32-29,,
7:50.0,,,32-29,,N. Batum enters the game for W. Matthews
7:50.0,,,32-29,,A. Crabbe enters the game for S. Blake
7:33.0,Personal foul by Z. LaVine (drawn by D. Lillard),,32-29,,
7:26.0,,,32-29,,J. Freeland misses 2-pt shot from 1 ft (block by T. Young)
7:24.0,,,32-29,,Offensive rebound by J. Freeland
7:20.0,,,32-29,,Turnover by J. Freeland (lost ball; steal by T. Young)
7:15.0,C. Budinger misses 2-pt shot from 2 ft (block by N. Batum),,32-29,,
7:15.0,Offensive rebound by Team,,32-29,,
7:15.0,,,32-29,,Technical foul by J. Freeland
7:15.0,Technical foul by S. Muhammad,,32-29,,
7:13.0,,,32-29,,Personal foul by J. Freeland (drawn by T. Young)
7:07.0,S. Muhammad makes 2-pt shot from 12 ft,2,34-29,,
6:52.0,,,34-29,,Shooting foul by Z. LaVine (drawn by D. Lillard)
6:52.0,,,34-30,1,D. Lillard makes free throw 1 of 2
6:52.0,,,34-31,1,D. Lillard makes free throw 2 of 2
6:41.0,C. Budinger misses 2-pt shot from 17 ft,,34-31,,
6:40.0,Offensive rebound by S. Muhammad,,34-31,,
6:39.0,S. Muhammad makes 2-pt shot at rim,2,36-31,,
6:22.0,,,36-31,,D. Lillard misses 2-pt shot from 18 ft
6:21.0,Defensive rebound by C. Budinger,,36-31,,
6:14.0,Turnover by A. Bennett (lost ball),,36-31,,
6:14.0,,,36-31,,Portland full timeout
6:14.0,,,36-31,,R. Lopez enters the game for C. Kaman
5:58.0,,,36-34,3,A. Crabbe makes 3-pt shot from 26 ft (assist by N. Batum)
5:47.0,Turnover by Z. LaVine (bad pass; steal by A. Crabbe),,36-34,,
5:40.0,,,36-34,,N. Batum misses 3-pt shot from 25 ft
5:39.0,,,36-34,,Offensive rebound by J. Freeland
5:32.0,,,36-34,,D. Lillard misses 3-pt shot from 28 ft
5:31.0,Defensive rebound by C. Budinger,,36-34,,
5:23.0,A. Bennett misses 2-pt shot at rim (block by R. Lopez),,36-34,,
5:21.0,,,36-34,,Defensive rebound by R. Lopez
5:12.0,,,36-36,2,J. Freeland makes 2-pt shot from 4 ft (assist by D. Lillard)
5:02.0,Minnesota full timeout,,36-36,,
5:02.0,,,36-36,,S. Blake enters the game for D. Lillard
5:02.0,,,36-36,,L. Aldridge enters the game for J. Freeland
5:02.0,G. Dieng enters the game for S. Muhammad,,36-36,,
5:02.0,C. Brewer enters the game for C. Budinger,,36-36,,
5:02.0,A. Wiggins enters the game for A. Bennett,,36-36,,
5:02.0,M. Williams enters the game for Z. LaVine,,36-36,,
4:45.0,C. Brewer misses 2-pt shot from 21 ft,,36-36,,
4:44.0,Offensive rebound by G. Dieng,,36-36,,
4:33.0,A. Wiggins misses 2-pt shot from 15 ft,,36-36,,
4:32.0,,,36-36,,Defensive rebound by L. Aldridge
4:18.0,,,36-36,,N. Batum misses 2-pt shot from 18 ft
4:17.0,,,36-36,,Offensive rebound by R. Lopez
4:07.0,,,36-36,,Turnover by S. Blake (lost ball; steal by M. Williams)
3:56.0,Turnover by M. Williams (bad pass; steal by A. Crabbe),,36-36,,
3:50.0,,,36-39,3,A. Crabbe makes 3-pt shot from 25 ft (assist by S. Blake)
3:23.0,G. Dieng makes 2-pt shot from 5 ft,2,38-39,,
3:00.0,,,38-41,2,L. Aldridge makes 2-pt shot from 21 ft (assist by S. Blake)
2:37.0,G. Dieng misses 2-pt shot from 10 ft,,38-41,,
2:35.0,,,38-41,,Defensive rebound by L. Aldridge
2:30.0,,,38-41,,Turnover by S. Blake (bad pass; steal by M. Williams)
2:13.0,M. Williams misses 2-pt shot from 17 ft,,38-41,,
2:12.0,,,38-41,,Defensive rebound by L. Aldridge
1:56.0,,,38-41,,Turnover by L. Aldridge (bad pass; steal by C. Brewer)
1:51.0,A. Wiggins makes 2-pt shot from 1 ft,2,40-41,,
1:27.0,,,40-44,3,N. Batum makes 3-pt shot from 25 ft (assist by A. Crabbe)
1:07.0,A. Wiggins misses 3-pt shot from 26 ft,,40-44,,
1:06.0,,,40-44,,Defensive rebound by N. Batum
1:00.0,,,40-44,,N. Batum misses 3-pt shot from 25 ft
1:00.0,,,40-44,,Offensive rebound by L. Aldridge
0:49.0,,,40-44,,R. Lopez misses 2-pt shot from 4 ft
0:48.0,Defensive rebound by M. Williams,,40-44,,
0:38.0,G. Dieng misses 2-pt shot from 18 ft,,40-44,,
0:37.0,,,40-44,,Defensive rebound by N. Batum
0:30.0,,,40-46,2,L. Aldridge makes 2-pt shot from 1 ft (assist by N. Batum)
0:06.0,M. Williams misses 2-pt shot from 17 ft,,40-46,,
0:05.0,,,40-46,,Defensive rebound by N. Batum
0:00.0,,,40-48,2,L. Aldridge makes 2-pt shot from 1 ft (assist by S. Blake)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,A. Wiggins misses 2-pt shot from 7 ft,,40-48,,
11:44.0,,,40-48,,Defensive rebound by L. Aldridge
11:33.0,,,40-50,2,W. Matthews makes 2-pt shot from 12 ft
11:17.0,C. Brewer misses 2-pt shot from 1 ft,,40-50,,
11:16.0,,,40-50,,Defensive rebound by R. Lopez
11:11.0,,,40-50,,Turnover by D. Lillard (bad pass)
11:00.0,M. Williams misses 2-pt shot from 7 ft (block by R. Lopez),,40-50,,
10:59.0,,,40-50,,Defensive rebound by W. Matthews
10:55.0,,,40-52,2,N. Batum makes 2-pt shot at rim (assist by W. Matthews)
10:55.0,Minnesota full timeout,,40-52,,
10:45.0,T. Young makes 2-pt shot at rim,2,42-52,,
10:45.0,Shooting foul by L. Aldridge (drawn by T. Young),,42-52,,
10:45.0,T. Young misses free throw 1 of 1,,42-52,,
10:44.0,,,42-52,,Defensive rebound by L. Aldridge
10:37.0,,,42-52,,N. Batum misses 3-pt shot from 26 ft
10:35.0,Defensive rebound by A. Wiggins,,42-52,,
10:30.0,T. Young misses 3-pt shot from 25 ft,,42-52,,
10:28.0,Offensive rebound by C. Brewer,,42-52,,
10:27.0,,,42-52,,Personal foul by N. Batum (drawn by C. Brewer)
10:18.0,A. Wiggins misses 2-pt shot from 11 ft,,42-52,,
10:16.0,,,42-52,,Defensive rebound by L. Aldridge
10:08.0,,,42-52,,D. Lillard misses 3-pt shot from 26 ft
10:05.0,Defensive rebound by T. Young,,42-52,,
10:01.0,M. Williams makes 2-pt shot from 4 ft,2,44-52,,
9:44.0,Personal foul by C. Brewer (drawn by D. Lillard),,44-52,,
9:32.0,,,44-52,,L. Aldridge misses 2-pt shot from 19 ft
9:31.0,Defensive rebound by T. Young,,44-52,,
9:21.0,C. Brewer makes 2-pt shot from 1 ft (assist by M. Williams),2,46-52,,
9:03.0,,,46-55,3,W. Matthews makes 3-pt shot from 25 ft (assist by N. Batum)
8:43.0,G. Dieng makes 2-pt shot from 1 ft (assist by C. Brewer),2,48-55,,
8:21.0,,,48-55,,Shooting foul by T. Young (drawn by R. Lopez)
8:21.0,,,48-56,1,R. Lopez makes free throw 1 of 2
8:21.0,S. Muhammad enters the game for A. Wiggins,,48-56,,
8:21.0,,,48-57,1,R. Lopez makes free throw 2 of 2
8:10.0,Turnover by M. Williams (bad pass),,48-57,,
8:05.0,,,48-57,,Turnover by N. Batum (bad pass)
7:52.0,Turnover by S. Muhammad (bad pass; steal by D. Lillard),,48-57,,
7:48.0,,,48-57,,Shooting foul by C. Brewer (drawn by W. Matthews)
7:48.0,,,48-58,1,W. Matthews makes free throw 1 of 2
7:48.0,,,48-58,,W. Matthews misses free throw 2 of 2
7:47.0,Defensive rebound by G. Dieng,,48-58,,
7:34.0,C. Brewer misses 3-pt shot from 23 ft,,48-58,,
7:33.0,Offensive rebound by S. Muhammad,,48-58,,
7:31.0,S. Muhammad misses 2-pt shot from 2 ft,,48-58,,
7:29.0,,,48-58,,Defensive rebound by L. Aldridge
7:24.0,,,48-61,3,W. Matthews makes 3-pt shot from 26 ft (assist by D. Lillard)
7:08.0,M. Williams makes 2-pt shot from 4 ft,2,50-61,,
7:08.0,Shooting foul by R. Lopez (drawn by M. Williams),,50-61,,
7:08.0,M. Williams makes free throw 1 of 1,1,51-61,,
6:51.0,Violation by M. Williams (kicked ball),,51-61,,
6:42.0,,,51-61,,Turnover by N. Batum (bad pass; steal by G. Dieng)
6:25.0,S. Muhammad makes 2-pt shot at rim (assist by G. Dieng),2,53-61,,
6:23.0,,,53-61,,Portland full timeout
6:09.0,,,53-61,,W. Matthews misses 3-pt shot from 24 ft
6:08.0,,,53-61,,Offensive rebound by W. Matthews
6:05.0,,,53-61,,Turnover by W. Matthews (bad pass; steal by C. Brewer)
6:00.0,M. Williams misses 3-pt shot from 26 ft,,53-61,,
5:59.0,,,53-61,,Defensive rebound by N. Batum
5:49.0,,,53-63,2,L. Aldridge makes 2-pt shot from 18 ft (assist by D. Lillard)
5:30.0,Offensive foul by T. Young,,53-63,,
5:30.0,Turnover by T. Young (offensive foul),,53-63,,
5:30.0,,,53-63,,A. Crabbe enters the game for W. Matthews
5:30.0,R. Hummel enters the game for T. Young,,53-63,,
5:07.0,,,53-63,,Turnover by A. Crabbe (lost ball)
4:56.0,S. Muhammad makes 2-pt shot from 10 ft (assist by M. Williams),2,55-63,,
4:56.0,Shooting foul by A. Crabbe (drawn by S. Muhammad),,55-63,,
4:56.0,S. Muhammad makes free throw 1 of 1,1,56-63,,
4:40.0,,,56-63,,N. Batum misses 3-pt shot from 23 ft
4:39.0,Defensive rebound by S. Muhammad,,56-63,,
4:17.0,G. Dieng misses 2-pt shot from 14 ft (block by D. Lillard),,56-63,,
4:17.0,Offensive rebound by Team,,56-63,,
4:15.0,G. Dieng misses 2-pt shot from 16 ft,,56-63,,
4:15.0,Offensive rebound by Team,,56-63,,
4:15.0,Turnover by Team (shot clock),,56-63,,
4:03.0,,,56-63,,D. Lillard misses 3-pt shot from 24 ft
4:02.0,,,56-63,,Offensive rebound by L. Aldridge
4:02.0,Loose ball foul by S. Muhammad (drawn by L. Aldridge),,56-63,,
3:49.0,,,56-65,2,N. Batum makes 2-pt shot from 20 ft (assist by D. Lillard)
3:33.0,Offensive foul by R. Hummel,,56-65,,
3:33.0,Turnover by R. Hummel (offensive foul),,56-65,,
3:13.0,,,56-65,,A. Crabbe misses 3-pt shot from 25 ft
3:12.0,Defensive rebound by M. Williams,,56-65,,
3:08.0,C. Brewer makes 2-pt shot from 1 ft (assist by M. Williams),2,58-65,,
3:03.0,Personal foul by S. Muhammad (drawn by N. Batum),,58-65,,
3:03.0,,,58-66,1,N. Batum makes free throw 1 of 2
3:03.0,Z. LaVine enters the game for M. Williams,,58-66,,
3:03.0,,,58-66,,C. Kaman enters the game for R. Lopez
3:03.0,,,58-66,,S. Blake enters the game for D. Lillard
3:03.0,,,58-66,,N. Batum misses free throw 2 of 2
3:02.0,Defensive rebound by G. Dieng,,58-66,,
2:45.0,R. Hummel misses 2-pt shot from 21 ft,,58-66,,
2:43.0,,,58-66,,Defensive rebound by S. Blake
2:30.0,,,58-66,,L. Aldridge misses 2-pt shot from 16 ft
2:30.0,Defensive rebound by Team,,58-66,,
2:30.0,,,58-66,,Loose ball foul by C. Kaman (drawn by G. Dieng)
2:30.0,Minnesota full timeout,,58-66,,
2:30.0,,,58-66,,W. Matthews enters the game for N. Batum
2:30.0,G. Dieng makes free throw 1 of 2,1,59-66,,
2:30.0,G. Dieng misses free throw 2 of 2,,59-66,,
2:29.0,,,59-66,,Defensive rebound by C. Kaman
2:20.0,Personal foul by R. Hummel (drawn by S. Blake),,59-66,,
2:20.0,,,59-66,,S. Blake misses free throw 1 of 2
2:20.0,,,59-66,,Offensive rebound by Team
2:20.0,,,59-67,1,S. Blake makes free throw 2 of 2
2:07.0,Shooting foul by W. Matthews (drawn by S. Muhammad),,59-67,,
2:07.0,S. Muhammad misses free throw 1 of 2,,59-67,,
2:07.0,Offensive rebound by Team,,59-67,,
2:07.0,S. Muhammad misses free throw 2 of 2,,59-67,,
2:05.0,,,59-67,,Defensive rebound by C. Kaman
1:57.0,,,59-67,,Portland full timeout
1:54.0,,,59-67,,Turnover by W. Matthews (bad pass; steal by Z. LaVine)
1:53.0,Turnover by Z. LaVine (bad pass),,59-67,,
1:43.0,,,59-67,,A. Crabbe misses 3-pt shot from 24 ft
1:42.0,Defensive rebound by G. Dieng,,59-67,,
1:26.0,R. Hummel misses 2-pt shot from 20 ft,,59-67,,
1:24.0,Offensive rebound by S. Muhammad,,59-67,,
1:22.0,S. Muhammad makes 2-pt shot at rim,2,61-67,,
1:11.0,Personal foul by C. Brewer (drawn by L. Aldridge),,61-67,,
1:11.0,,,61-68,1,L. Aldridge makes free throw 1 of 2
1:11.0,,,61-69,1,L. Aldridge makes free throw 2 of 2
0:59.0,Z. LaVine misses 2-pt shot from 15 ft,,61-69,,
0:58.0,,,61-69,,Defensive rebound by L. Aldridge
0:49.0,,,61-72,3,W. Matthews makes 3-pt shot from 23 ft (assist by S. Blake)
0:31.0,Turnover by G. Dieng (lost ball; steal by S. Blake),,61-72,,
0:25.0,,,61-72,,Shooting foul by G. Dieng (drawn by L. Aldridge)
0:25.0,,,61-74,2,L. Aldridge makes 2-pt shot from 1 ft
0:25.0,,,61-74,,N. Batum enters the game for W. Matthews
0:25.0,,,61-75,1,L. Aldridge makes free throw 1 of 1
0:04.0,Z. LaVine misses 2-pt shot from 17 ft,,61-75,,
0:03.0,,,61-75,,Defensive rebound by S. Blake
0:01.0,,,61-75,,S. Blake misses 3-pt shot from 42 ft
0:00.0,,,61-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,61-75,,D. Lillard misses 3-pt shot from 28 ft
11:39.0,Defensive rebound by A. Bennett,,61-75,,
11:32.0,Shooting foul by C. Kaman (drawn by S. Muhammad),,61-75,,
11:32.0,S. Muhammad makes free throw 1 of 2,1,62-75,,
11:32.0,S. Muhammad misses free throw 2 of 2,,62-75,,
11:30.0,,,62-75,,Defensive rebound by C. Kaman
11:18.0,,,62-75,,C. Kaman misses 2-pt shot from 2 ft
11:17.0,,,62-75,,Offensive rebound by J. Freeland
11:14.0,,,62-77,2,J. Freeland makes 2-pt shot from 1 ft
10:59.0,T. Young makes 2-pt shot from 2 ft (assist by M. Williams),2,64-77,,
10:40.0,,,64-80,3,W. Matthews makes 3-pt shot from 23 ft (assist by D. Lillard)
10:24.0,M. Williams makes 2-pt shot from 1 ft,2,66-80,,
10:14.0,,,66-80,,Shooting foul by T. Young (drawn by C. Kaman)
10:14.0,,,66-81,1,C. Kaman makes free throw 1 of 2
10:14.0,,,66-81,,C. Kaman misses free throw 2 of 2
10:13.0,Defensive rebound by A. Bennett,,66-81,,
10:01.0,S. Muhammad makes 2-pt shot from 1 ft (assist by T. Young),2,68-81,,
9:45.0,,,68-81,,S. Blake misses 3-pt shot from 26 ft
9:44.0,,,68-81,,Offensive rebound by Team
9:44.0,Loose ball foul by A. Bennett (drawn by S. Blake),,68-81,,
9:34.0,,,68-81,,Turnover by J. Freeland (lost ball; steal by T. Young)
9:29.0,Z. LaVine misses 2-pt shot from 2 ft,,68-81,,
9:28.0,,,68-81,,Defensive rebound by J. Freeland
9:26.0,Personal foul by M. Williams (drawn by W. Matthews),,68-81,,
9:22.0,,,68-83,2,J. Freeland makes 2-pt shot at rim (assist by S. Blake)
9:12.0,Minnesota full timeout,,68-83,,
9:12.0,C. Budinger enters the game for Z. LaVine,,68-83,,
9:06.0,C. Budinger misses 3-pt shot from 23 ft,,68-83,,
9:05.0,,,68-83,,Defensive rebound by C. Kaman
8:54.0,,,68-83,,Shooting foul by A. Bennett (drawn by C. Kaman)
8:54.0,,,68-84,1,C. Kaman makes free throw 1 of 2
8:54.0,,,68-84,,C. Kaman misses free throw 2 of 2
8:53.0,Defensive rebound by A. Bennett,,68-84,,
8:40.0,C. Budinger makes 2-pt shot from 1 ft (assist by T. Young),2,70-84,,
8:26.0,,,70-86,2,C. Kaman makes 2-pt shot from 14 ft (assist by S. Blake)
8:10.0,Shooting foul by W. Matthews (drawn by S. Muhammad),,70-86,,
8:10.0,S. Muhammad makes 2-pt shot from 5 ft,2,72-86,,
8:10.0,G. Dieng enters the game for A. Bennett,,72-86,,
8:10.0,,,72-86,,N. Batum enters the game for S. Blake
8:10.0,S. Muhammad makes free throw 1 of 1,1,73-86,,
7:59.0,,,73-88,2,D. Lillard makes 2-pt shot at rim
7:44.0,S. Muhammad makes 2-pt shot from 1 ft (assist by M. Williams),2,75-88,,
7:29.0,Personal foul by M. Williams (drawn by D. Lillard),,75-88,,
7:29.0,,,75-88,,D. Lillard misses free throw 1 of 2
7:29.0,,,75-88,,Offensive rebound by Team
7:29.0,,,75-89,1,D. Lillard makes free throw 2 of 2
7:21.0,M. Williams makes 2-pt shot from 1 ft,2,77-89,,
7:21.0,Shooting foul by J. Freeland (drawn by M. Williams),,77-89,,
7:21.0,,,77-89,,R. Lopez enters the game for C. Kaman
7:21.0,M. Williams makes free throw 1 of 1,1,78-89,,
7:02.0,,,78-89,,Turnover by R. Lopez (lost ball; steal by G. Dieng)
7:02.0,Jump ball: G. Dieng vs. R. Lopez (M. Williams gains possession),,,,Jump ball: G. Dieng vs. R. Lopez (M. Williams gains possession)
6:49.0,G. Dieng makes 2-pt shot from 4 ft (assist by S. Muhammad),2,80-89,,
6:48.0,,,80-89,,Portland full timeout
6:48.0,,,80-89,,L. Aldridge enters the game for J. Freeland
6:32.0,,,80-89,,W. Matthews misses 2-pt shot from 1 ft (block by S. Muhammad)
6:30.0,,,80-89,,Offensive rebound by W. Matthews
6:28.0,,,80-91,2,W. Matthews makes 2-pt shot from 14 ft
6:13.0,C. Budinger misses 2-pt shot from 19 ft,,80-91,,
6:12.0,,,80-91,,Defensive rebound by N. Batum
6:02.0,,,80-91,,W. Matthews misses 3-pt shot from 23 ft
6:01.0,Defensive rebound by T. Young,,80-91,,
5:57.0,Shooting foul by L. Aldridge (drawn by T. Young),,80-91,,
5:57.0,T. Young makes free throw 1 of 2,1,81-91,,
5:57.0,T. Young makes free throw 2 of 2,1,82-91,,
5:36.0,,,82-91,,L. Aldridge misses 2-pt shot from 19 ft
5:35.0,Defensive rebound by C. Budinger,,82-91,,
5:28.0,T. Young makes 2-pt shot at rim (assist by M. Williams),2,84-91,,
5:02.0,,,84-93,2,D. Lillard makes 2-pt shot from 14 ft (assist by W. Matthews)
4:40.0,Shooting foul by L. Aldridge (drawn by S. Muhammad),,84-93,,
4:40.0,S. Muhammad misses free throw 1 of 2,,84-93,,
4:40.0,Offensive rebound by Team,,84-93,,
4:40.0,S. Muhammad makes free throw 2 of 2,1,85-93,,
