time,Toronto,pts.away,score,pts.home,Dallas
2:06.0,,,90-99,,Defensive rebound by Team
1:52.0,,,90-99,,Turnover by M. Ellis (bad pass; steal by A. Johnson)
1:44.0,K. Lowry misses 3-pt shot from 25 ft,,90-99,,
1:43.0,,,90-99,,Defensive rebound by Team
1:25.0,,,90-99,,D. Nowitzki misses 3-pt shot from 24 ft
1:22.0,Defensive rebound by J. Johnson,,90-99,,
1:16.0,Offensive charge foul by A. Johnson,,90-99,,
1:16.0,Turnover by A. Johnson (offensive foul),,90-99,,
1:15.0,Personal take foul by J. Johnson (drawn by A. Aminu),,90-99,,
0:51.0,,,90-99,,J. Barea misses 2-pt shot from 16 ft
0:51.0,,,90-99,,Offensive rebound by Team
0:51.0,,,90-99,,Turnover by Team (shot clock)
0:51.0,Toronto full timeout,,90-99,,
0:51.0,,,90-99,,D. Harris enters the game for D. Nowitzki
0:51.0,,,90-99,,R. Jefferson enters the game for T. Chandler
0:46.0,D. DeRozan misses 2-pt shot from 5 ft,,90-99,,
0:45.0,,,90-99,,Defensive rebound by A. Aminu
0:24.0,,,90-99,,A. Aminu misses 2-pt shot from 6 ft (block by J. Johnson)
0:23.0,Defensive rebound by A. Johnson,,90-99,,
0:12.0,D. DeRozan misses 2-pt shot from 9 ft,,90-99,,
0:11.0,Offensive rebound by A. Johnson,,90-99,,
0:10.0,A. Johnson makes 2-pt shot from 3 ft,2,92-99,,
0:05.0,,,92-99,,Turnover by M. Ellis (lost ball; steal by J. Johnson)
0:01.0,P. Patterson misses 3-pt shot from 23 ft,,92-99,,
0:00.0,,,92-99,,Defensive rebound by D. Harris
0:00.0,End of 4th quarter,,,,End of 4th quarter
