time,Toronto,pts.away,score,pts.home,Dallas
2:27.0,P. Patterson makes 3-pt shot from 24 ft (assist by D. DeRozan),3,22-21,,
2:15.0,,,22-21,,J. Barea misses 2-pt shot from 4 ft
2:13.0,Defensive rebound by L. Williams,,22-21,,
2:02.0,D. DeRozan makes 2-pt shot from 7 ft,2,24-21,,
1:42.0,,,24-21,,Turnover by A. Stoudemire (traveling)
1:28.0,P. Patterson misses 2-pt shot from 9 ft,,24-21,,
1:26.0,,,24-21,,Defensive rebound by A. Aminu
1:13.0,,,24-21,,D. Harris misses 3-pt shot from 24 ft
1:12.0,,,24-21,,Offensive rebound by A. Aminu
1:10.0,,,24-23,2,A. Aminu makes 2-pt shot from 1 ft
1:04.0,,,24-23,,Personal block foul by A. Stoudemire (drawn by L. Williams)
1:04.0,T. Ross enters the game for D. DeRozan,,24-23,,
0:53.0,T. Ross makes 3-pt shot from 22 ft (assist by P. Patterson),3,27-23,,
0:37.0,,,27-23,,Turnover by A. Aminu (traveling)
0:35.0,Turnover by L. Williams (lost ball; steal by D. Harris),,27-23,,
0:31.0,,,27-25,2,D. Harris makes 2-pt shot at rim
0:31.0,Toronto full timeout,,27-25,,
0:31.0,,,27-25,,R. Jefferson enters the game for D. Nowitzki
0:12.0,L. Williams makes 2-pt shot from 18 ft,2,29-25,,
0:00.0,,,29-25,,D. Harris misses 3-pt shot from 24 ft
0:00.0,,,29-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,C. Hayes misses 2-pt shot from 5 ft (block by A. Aminu),,29-25,,
11:39.0,,,29-25,,Defensive rebound by D. Nowitzki
11:18.0,,,29-25,,A. Stoudemire misses 2-pt shot from 19 ft
11:17.0,Defensive rebound by J. Johnson,,29-25,,
10:54.0,G. Vasquez makes 2-pt shot from 7 ft,2,31-25,,
10:31.0,,,31-28,3,J. Barea makes 3-pt shot from 24 ft (assist by D. Nowitzki)
10:18.0,Turnover by J. Johnson (lost ball; steal by D. Harris),,31-28,,
10:13.0,,,31-30,2,A. Aminu makes 2-pt shot at rim (assist by D. Harris)
10:05.0,Toronto full timeout,,31-30,,
9:53.0,,,31-30,,Personal foul by D. Harris (drawn by L. Williams)
9:45.0,L. Williams misses 3-pt shot from 22 ft,,31-30,,
9:44.0,,,31-30,,Defensive rebound by D. Nowitzki
9:38.0,,,31-30,,Turnover by J. Barea (bad pass; steal by G. Vasquez)
9:32.0,G. Vasquez makes 2-pt shot from 1 ft (assist by J. Johnson),2,33-30,,
9:18.0,,,33-32,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by J. Barea)
9:10.0,L. Williams misses 2-pt shot from 12 ft,,33-32,,
9:09.0,Offensive rebound by J. Johnson,,33-32,,
9:09.0,J. Johnson makes 2-pt shot at rim,2,35-32,,
8:46.0,,,35-32,,D. Nowitzki misses 2-pt shot from 12 ft
8:45.0,,,35-32,,Offensive rebound by A. Aminu
8:41.0,,,35-32,,D. Nowitzki misses 2-pt shot from 18 ft
8:40.0,,,35-32,,Offensive rebound by J. Barea
8:40.0,,,35-34,2,J. Barea makes 2-pt shot from 3 ft
8:20.0,C. Hayes makes 2-pt shot from 7 ft (assist by G. Vasquez),2,37-34,,
8:03.0,,,37-34,,Turnover by A. Aminu (bad pass; steal by T. Ross)
7:57.0,L. Williams makes 3-pt shot from 23 ft (assist by G. Vasquez),3,40-34,,
7:57.0,,,40-34,,Dallas full timeout
7:57.0,,,40-34,,C. Villanueva enters the game for D. Nowitzki
7:57.0,,,40-34,,T. Chandler enters the game for A. Aminu
7:57.0,,,40-34,,R. Rondo enters the game for D. Harris
7:57.0,,,40-34,,M. Ellis enters the game for A. Stoudemire
7:57.0,,,40-34,,R. Jefferson enters the game for J. Barea
7:45.0,Shooting block foul by J. Johnson (drawn by M. Ellis),,40-34,,
7:45.0,,,40-35,1,M. Ellis makes free throw 1 of 2
7:45.0,,,40-36,1,M. Ellis makes free throw 2 of 2
