time,LA Lakers,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. J. Hill (C. Boozer gains possession),,,,Jump ball: T. Black vs. J. Hill (C. Boozer gains possession)
11:45.0,,,0-0,,Def 3 sec tech foul by T. Black
11:45.0,K. Bryant misses technical free throw,,0-0,,
11:45.0,Offensive rebound by Team,,0-0,,
11:33.0,K. Bryant makes 3-pt shot from 24 ft (assist by J. Hill),3,3-0,,
11:15.0,,,3-0,,T. Black misses 2-pt shot from 4 ft
11:14.0,Defensive rebound by J. Hill,,3-0,,
11:07.0,Turnover by J. Lin (lost ball; steal by T. Black),,3-0,,
10:55.0,,,3-2,2,T. Black makes 2-pt shot at rim (assist by D. Motiejunas)
10:31.0,J. Lin makes 3-pt shot from 24 ft (assist by C. Boozer),3,6-2,,
10:12.0,,,6-4,2,D. Motiejunas makes 2-pt shot from 6 ft
9:58.0,J. Hill misses 2-pt shot from 14 ft,,6-4,,
9:57.0,,,6-4,,Defensive rebound by T. Black
9:42.0,,,6-4,,D. Motiejunas misses 3-pt shot from 23 ft
9:41.0,Defensive rebound by C. Boozer,,6-4,,
9:24.0,W. Johnson misses 3-pt shot from 23 ft,,6-4,,
9:23.0,Offensive rebound by Team,,6-4,,
9:16.0,K. Bryant misses 2-pt shot from 3 ft,,6-4,,
9:15.0,Offensive rebound by C. Boozer,,6-4,,
9:14.0,C. Boozer misses 2-pt shot at rim,,6-4,,
9:13.0,,,6-4,,Defensive rebound by T. Black
9:08.0,,,6-4,,Turnover by J. Harden (lost ball; steal by K. Bryant)
9:08.0,,,6-4,,Clear path foul by D. Motiejunas
9:08.0,W. Johnson makes clear path free throw 1 of 2,1,7-4,,
9:08.0,W. Johnson makes clear path free throw 2 of 2,1,8-4,,
8:51.0,Turnover by J. Lin (bad pass; steal by D. Motiejunas),,8-4,,
8:46.0,,,8-6,2,T. Ariza makes 2-pt shot at rim
8:33.0,,,8-6,,Personal foul by D. Motiejunas (drawn by C. Boozer)
8:33.0,,,8-6,,K. Papanikolaou enters the game for D. Motiejunas
8:20.0,K. Bryant misses 3-pt shot from 23 ft,,8-6,,
8:19.0,Offensive rebound by J. Hill,,8-6,,
8:18.0,Turnover by J. Hill (bad pass),,8-6,,
8:02.0,,,8-6,,T. Ariza misses 2-pt shot from 2 ft
8:01.0,Defensive rebound by J. Hill,,8-6,,
7:49.0,C. Boozer makes 2-pt shot from 4 ft (assist by J. Lin),2,10-6,,
7:25.0,,,10-6,,P. Beverley misses 3-pt shot from 24 ft
7:23.0,,,10-6,,Offensive rebound by T. Black
7:11.0,,,10-6,,Turnover by T. Black (3 sec)
6:55.0,C. Boozer misses 2-pt shot from 15 ft,,10-6,,
6:54.0,,,10-6,,Defensive rebound by T. Ariza
6:47.0,,,10-9,3,T. Ariza makes 3-pt shot from 24 ft
6:29.0,C. Boozer makes 2-pt shot at rim (assist by K. Bryant),2,12-9,,
6:16.0,,,12-11,2,K. Papanikolaou makes 2-pt shot from 2 ft
6:06.0,E. Davis enters the game for J. Hill,,12-11,,
6:06.0,N. Young enters the game for W. Johnson,,12-11,,
6:06.0,,,12-11,,J. Dorsey enters the game for T. Black
5:57.0,N. Young misses 3-pt shot from 23 ft,,12-11,,
5:56.0,,,12-11,,Defensive rebound by Team
5:56.0,Loose ball foul by C. Boozer (drawn by T. Ariza),,12-11,,
5:56.0,,,12-11,,Houston full timeout
5:38.0,,,12-11,,K. Papanikolaou misses 3-pt shot from 24 ft
5:37.0,Defensive rebound by E. Davis,,12-11,,
5:27.0,E. Davis misses 2-pt shot at rim,,12-11,,
5:26.0,Offensive rebound by C. Boozer,,12-11,,
5:25.0,C. Boozer makes 2-pt shot from 5 ft,2,14-11,,
5:07.0,,,14-11,,Turnover by P. Beverley (bad pass; steal by J. Lin)
5:00.0,,,14-11,,Personal foul by K. Papanikolaou (drawn by C. Boozer)
4:45.0,C. Boozer misses 2-pt shot from 6 ft (block by J. Harden),,14-11,,
4:44.0,,,14-11,,Defensive rebound by P. Beverley
4:27.0,,,14-11,,J. Dorsey misses 2-pt shot at rim
4:26.0,Defensive rebound by C. Boozer,,14-11,,
4:21.0,N. Young misses 2-pt shot from 1 ft,,14-11,,
4:19.0,,,14-11,,Defensive rebound by J. Dorsey
4:11.0,,,14-14,3,K. Papanikolaou makes 3-pt shot from 23 ft (assist by J. Harden)
3:50.0,K. Bryant misses 3-pt shot from 23 ft,,14-14,,
3:50.0,Offensive rebound by E. Davis,,14-14,,
3:46.0,Turnover by J. Lin (bad pass; steal by P. Beverley),,14-14,,
3:42.0,,,14-14,,Shooting foul by J. Lin (drawn by P. Beverley)
3:42.0,,,14-14,,P. Beverley misses free throw 1 of 2
3:42.0,,,14-14,,Offensive rebound by Team
3:42.0,R. Price enters the game for J. Lin,,14-14,,
3:42.0,,,14-14,,F. Garcia enters the game for T. Ariza
3:42.0,,,14-14,,P. Beverley misses free throw 2 of 2
3:42.0,Defensive rebound by C. Boozer,,14-14,,
3:30.0,C. Boozer misses 2-pt shot from 16 ft,,14-14,,
3:28.0,Offensive rebound by E. Davis,,14-14,,
3:27.0,,,14-14,,Violation by J. Dorsey (def goaltending)
3:27.0,E. Davis makes 2-pt shot from 2 ft,2,16-14,,
3:05.0,,,16-14,,J. Dorsey misses 2-pt shot at rim (block by E. Davis)
3:04.0,Defensive rebound by K. Bryant,,16-14,,
2:54.0,C. Boozer makes 2-pt shot at rim (assist by K. Bryant),2,18-14,,
2:38.0,,,18-17,3,P. Beverley makes 3-pt shot from 24 ft (assist by K. Papanikolaou)
2:12.0,K. Bryant misses 2-pt shot from 13 ft,,18-17,,
2:11.0,,,18-17,,Defensive rebound by J. Harden
2:05.0,,,18-17,,J. Harden misses 2-pt shot at rim
2:04.0,Defensive rebound by C. Boozer,,18-17,,
1:59.0,LA Lakers full timeout,,18-17,,
1:59.0,R. Sacre enters the game for C. Boozer,,18-17,,
1:59.0,,,18-17,,J. Terry enters the game for J. Harden
1:59.0,,,18-17,,T. Ariza enters the game for P. Beverley
1:59.0,,,18-17,,T. Black enters the game for J. Dorsey
1:45.0,K. Bryant misses 2-pt shot from 9 ft,,18-17,,
1:44.0,,,18-17,,Defensive rebound by J. Terry
1:37.0,,,18-20,3,F. Garcia makes 3-pt shot from 24 ft (assist by T. Ariza)
1:15.0,N. Young makes 3-pt shot from 24 ft (assist by R. Price),3,21-20,,
0:55.0,,,21-23,3,K. Papanikolaou makes 3-pt shot from 22 ft (assist by F. Garcia)
0:44.0,,,21-23,,Personal foul by T. Black (drawn by R. Sacre)
0:38.0,Turnover by K. Bryant (lost ball),,21-23,,
0:30.0,,,21-23,,T. Ariza misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by E. Davis,,21-23,,
0:08.0,N. Young misses 3-pt shot from 25 ft,,21-23,,
0:07.0,,,21-23,,Defensive rebound by T. Ariza
0:00.0,,,21-23,,F. Garcia misses 3-pt shot from 23 ft
0:00.0,,,21-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,21-26,3,K. Papanikolaou makes 3-pt shot from 24 ft (assist by J. Terry)
11:28.0,N. Young makes 2-pt shot from 18 ft,2,23-26,,
11:09.0,,,23-26,,T. Ariza misses 3-pt shot from 24 ft
11:08.0,Defensive rebound by N. Young,,23-26,,
10:58.0,R. Sacre misses 2-pt shot from 14 ft,,23-26,,
10:57.0,,,23-26,,Defensive rebound by K. Papanikolaou
10:51.0,,,23-26,,Turnover by K. Papanikolaou (bad pass)
10:37.0,Turnover by R. Price (lost ball; steal by F. Garcia),,23-26,,
10:34.0,,,23-26,,Turnover by F. Garcia (bad pass; steal by N. Young)
10:17.0,N. Young misses 3-pt shot from 23 ft,,23-26,,
10:15.0,Offensive rebound by E. Davis,,23-26,,
10:10.0,R. Price makes 3-pt shot from 24 ft (assist by E. Davis),3,26-26,,
