time,Portland,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. R. Lopez (C. Watson gains possession),,,,Jump ball: R. Hibbert vs. R. Lopez (C. Watson gains possession)
11:40.0,,,0-2,2,R. Hibbert makes 2-pt shot from 7 ft (assist by C. Watson)
11:21.0,N. Batum misses 2-pt shot from 17 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by R. Stuckey
11:05.0,,,0-2,,R. Hibbert misses 2-pt shot from 5 ft
11:04.0,Defensive rebound by L. Aldridge,,0-2,,
10:51.0,W. Matthews makes 2-pt shot from 2 ft,2,2-2,,
10:51.0,Shooting foul by R. Hibbert (drawn by W. Matthews),,2-2,,
10:51.0,W. Matthews misses free throw 1 of 1,,2-2,,
10:50.0,,,2-2,,Defensive rebound by R. Hibbert
10:41.0,,,2-2,,D. West misses 2-pt shot from 20 ft
10:40.0,Defensive rebound by R. Lopez,,2-2,,
10:32.0,Turnover by N. Batum (bad pass; steal by D. West),,2-2,,
10:27.0,,,2-2,,S. Hill misses 2-pt shot at rim
10:26.0,Defensive rebound by D. Lillard,,2-2,,
10:20.0,L. Aldridge misses 2-pt shot from 16 ft,,2-2,,
10:19.0,,,2-2,,Defensive rebound by R. Hibbert
10:13.0,Personal foul by R. Lopez (drawn by R. Hibbert),,2-2,,
10:10.0,,,2-2,,R. Stuckey misses 2-pt shot from 16 ft
10:09.0,Defensive rebound by N. Batum,,2-2,,
9:58.0,W. Matthews misses 2-pt shot from 14 ft,,2-2,,
9:55.0,Offensive rebound by Team,,2-2,,
9:44.0,R. Lopez makes 2-pt shot from 8 ft (assist by L. Aldridge),2,4-2,,
9:28.0,,,4-2,,C. Watson misses 2-pt shot from 2 ft (block by R. Lopez)
9:26.0,,,4-2,,Offensive rebound by R. Hibbert
9:24.0,,,4-2,,Turnover by R. Hibbert (lost ball; steal by W. Matthews)
9:15.0,W. Matthews misses 3-pt shot from 26 ft,,4-2,,
9:15.0,,,4-2,,Defensive rebound by D. West
8:57.0,,,4-4,2,R. Hibbert makes 2-pt shot from 5 ft (assist by D. West)
8:42.0,,,4-4,,Personal foul by R. Stuckey (drawn by W. Matthews)
8:36.0,D. Lillard misses 2-pt shot from 10 ft,,4-4,,
8:34.0,,,4-4,,Defensive rebound by S. Hill
8:18.0,,,4-7,3,C. Watson makes 3-pt shot from 26 ft (assist by S. Hill)
8:00.0,L. Aldridge misses 2-pt shot from 3 ft,,4-7,,
7:58.0,Offensive rebound by Team,,4-7,,
7:45.0,L. Aldridge misses 2-pt shot from 11 ft,,4-7,,
7:44.0,Offensive rebound by N. Batum,,4-7,,
7:40.0,D. Lillard misses 3-pt shot from 25 ft,,4-7,,
7:39.0,,,4-7,,Defensive rebound by R. Stuckey
7:36.0,,,4-9,2,R. Stuckey makes 2-pt shot from 3 ft
7:36.0,,,4-9,,Shooting foul by N. Batum (drawn by R. Stuckey)
7:36.0,,,4-9,,R. Stuckey misses free throw 1 of 1
7:34.0,Defensive rebound by L. Aldridge,,4-9,,
7:23.0,L. Aldridge misses 2-pt shot from 20 ft,,4-9,,
7:22.0,,,4-9,,Defensive rebound by R. Stuckey
7:10.0,Personal foul by W. Matthews (drawn by D. West),,4-9,,
7:00.0,,,4-9,,D. West misses 2-pt shot from 15 ft
6:59.0,Defensive rebound by L. Aldridge,,4-9,,
6:50.0,L. Aldridge makes 3-pt shot from 25 ft (assist by D. Lillard),3,7-9,,
6:32.0,,,7-12,3,C. Watson makes 3-pt shot from 23 ft (assist by D. West)
6:17.0,N. Batum makes 2-pt shot from 2 ft (assist by W. Matthews),2,9-12,,
6:00.0,,,9-12,,Turnover by R. Hibbert (bad pass; steal by N. Batum)
5:54.0,D. Lillard misses 3-pt shot from 25 ft,,9-12,,
5:51.0,,,9-12,,Defensive rebound by S. Hill
5:41.0,,,9-12,,R. Stuckey misses 2-pt shot from 3 ft
5:40.0,,,9-12,,Offensive rebound by R. Hibbert
5:39.0,,,9-14,2,R. Hibbert makes 2-pt shot from 1 ft
5:24.0,N. Batum makes 2-pt shot from 2 ft (assist by D. Lillard),2,11-14,,
5:24.0,Shooting foul by C. Watson (drawn by N. Batum),,11-14,,
5:24.0,,,11-14,,Indiana full timeout
5:24.0,S. Blake enters the game for W. Matthews,,11-14,,
5:24.0,N. Batum makes free throw 1 of 1,1,12-14,,
5:09.0,,,12-14,,R. Hibbert misses 2-pt shot from 3 ft
5:08.0,Defensive rebound by R. Lopez,,12-14,,
4:58.0,D. Lillard misses 2-pt shot from 3 ft,,12-14,,
4:55.0,,,12-14,,Defensive rebound by C. Watson
4:47.0,,,12-14,,R. Stuckey misses 3-pt shot from 23 ft
4:46.0,Defensive rebound by L. Aldridge,,12-14,,
4:33.0,L. Aldridge misses 2-pt shot from 21 ft,,12-14,,
4:32.0,Offensive rebound by R. Lopez,,12-14,,
4:23.0,D. Lillard makes 2-pt shot from 2 ft (assist by S. Blake),2,14-14,,
4:07.0,,,14-14,,Turnover by C. Watson (bad pass; steal by N. Batum)
