time,Detroit,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. T. Mozgov (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. T. Mozgov (R. Jackson gains possession)
11:46.0,Turnover by R. Jackson (bad pass; steal by L. James),,0-0,,
11:38.0,,,0-2,2,J. Smith makes 2-pt shot from 18 ft (assist by K. Irving)
11:21.0,C. Butler makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope),3,3-2,,
11:01.0,,,3-2,,Turnover by J. Smith (bad pass)
10:49.0,C. Butler misses 3-pt shot from 24 ft,,3-2,,
10:48.0,,,3-2,,Defensive rebound by T. Mozgov
10:41.0,,,3-2,,J. Smith misses 3-pt shot from 24 ft
10:38.0,,,3-2,,Offensive rebound by T. Mozgov
10:19.0,,,3-2,,L. James misses 2-pt shot from 15 ft
10:16.0,,,3-2,,Offensive rebound by K. Irving
10:13.0,,,3-2,,J. Smith misses 3-pt shot from 25 ft
10:12.0,,,3-2,,Offensive rebound by L. James
10:12.0,,,3-2,,L. James misses 2-pt shot from 1 ft
10:10.0,,,3-2,,Offensive rebound by L. James
10:10.0,,,3-4,2,L. James makes 2-pt shot at rim
9:51.0,Turnover by C. Butler (bad pass; steal by K. Irving),,3-4,,
9:46.0,,,3-6,2,K. Irving makes 2-pt shot at rim
9:40.0,Detroit full timeout,,3-6,,
9:23.0,C. Butler misses 2-pt shot from 19 ft,,3-6,,
9:22.0,,,3-6,,Defensive rebound by T. Mozgov
9:06.0,,,3-6,,K. Love misses 3-pt shot from 22 ft
9:05.0,Defensive rebound by K. Caldwell-Pope,,3-6,,
8:47.0,Turnover by A. Drummond (offensive goaltending),,3-6,,
8:30.0,,,3-6,,Shooting foul by G. Monroe (drawn by T. Mozgov)
8:30.0,,,3-6,,T. Mozgov misses free throw 1 of 2
8:30.0,,,3-6,,Offensive rebound by Team
8:30.0,,,3-7,1,T. Mozgov makes free throw 2 of 2
8:14.0,K. Caldwell-Pope makes 2-pt shot from 15 ft,2,5-7,,
7:59.0,,,5-7,,K. Love misses 2-pt shot from 10 ft
7:58.0,,,5-7,,Offensive rebound by T. Mozgov
7:57.0,,,5-7,,Turnover by T. Mozgov (bad pass; steal by C. Butler)
7:56.0,Turnover by C. Butler (bad pass; steal by L. James),,5-7,,
7:55.0,,,5-9,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
