time,Atlanta,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Horford (J. Teague gains possession),,,,Jump ball: M. Gortat vs. A. Horford (J. Teague gains possession)
11:46.0,P. Antic misses 3-pt shot from 26 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by P. Pierce
11:21.0,,,0-0,,B. Beal misses 3-pt shot from 26 ft
11:19.0,Defensive rebound by K. Korver,,0-0,,
11:16.0,Turnover by K. Korver (bad pass; steal by B. Beal),,0-0,,
11:08.0,,,0-0,,Turnover by R. Sessions (bad pass; steal by D. Carroll)
11:05.0,D. Carroll makes 2-pt shot at rim,2,2-0,,
10:36.0,,,2-0,,Turnover by R. Sessions (lost ball; steal by J. Teague)
10:16.0,P. Antic misses 3-pt shot from 26 ft,,2-0,,
10:15.0,,,2-0,,Defensive rebound by M. Gortat
10:05.0,,,2-0,,N. Hilario misses 2-pt shot from 17 ft
10:04.0,Defensive rebound by A. Horford,,2-0,,
9:55.0,J. Teague misses 3-pt shot from 28 ft,,2-0,,
9:54.0,,,2-0,,Defensive rebound by P. Pierce
9:40.0,,,2-3,3,P. Pierce makes 3-pt shot from 27 ft (assist by B. Beal)
9:35.0,Shooting foul by P. Pierce (drawn by D. Carroll),,2-3,,
9:35.0,,,2-3,,Washington full timeout
9:35.0,,,2-3,,O. Porter enters the game for P. Pierce
9:35.0,D. Carroll makes free throw 1 of 2,1,3-3,,
9:35.0,D. Carroll makes free throw 2 of 2,1,4-3,,
9:20.0,,,4-3,,B. Beal misses 2-pt shot from 19 ft
9:19.0,,,4-3,,Offensive rebound by N. Hilario
9:12.0,,,4-5,2,N. Hilario makes 2-pt shot from 4 ft
9:02.0,,,4-5,,Personal foul by N. Hilario (drawn by A. Horford)
8:52.0,P. Antic misses 2-pt shot from 15 ft,,4-5,,
8:51.0,,,4-5,,Defensive rebound by M. Gortat
8:41.0,Personal foul by P. Antic (drawn by N. Hilario),,4-5,,
8:33.0,,,4-7,2,N. Hilario makes 2-pt shot from 1 ft
8:10.0,A. Horford misses 2-pt shot from 16 ft,,4-7,,
8:09.0,,,4-7,,Defensive rebound by M. Gortat
7:49.0,,,4-9,2,R. Sessions makes 2-pt shot at rim (assist by B. Beal)
7:27.0,D. Carroll misses 2-pt shot from 13 ft (block by M. Gortat),,4-9,,
7:27.0,Offensive rebound by Team,,4-9,,
7:22.0,A. Horford misses 2-pt shot from 14 ft,,4-9,,
7:21.0,,,4-9,,Defensive rebound by M. Gortat
7:10.0,,,4-11,2,B. Beal makes 2-pt shot from 17 ft (assist by M. Gortat)
7:09.0,Atlanta full timeout,,4-11,,
7:09.0,P. Millsap enters the game for P. Antic,,4-11,,
6:48.0,A. Horford misses 2-pt shot from 6 ft (block by M. Gortat),,4-11,,
6:47.0,Offensive rebound by D. Carroll,,4-11,,
6:45.0,D. Carroll misses 2-pt shot from 3 ft,,4-11,,
6:44.0,,,4-11,,Defensive rebound by O. Porter
6:21.0,,,4-11,,B. Beal misses 2-pt shot from 5 ft (block by A. Horford)
6:20.0,Defensive rebound by K. Korver,,4-11,,
6:16.0,J. Teague misses 2-pt shot from 10 ft,,4-11,,
6:15.0,Offensive rebound by J. Teague,,4-11,,
6:12.0,K. Korver makes 3-pt shot from 28 ft (assist by J. Teague),3,7-11,,
5:48.0,,,7-13,2,M. Gortat makes 2-pt shot from 12 ft (assist by B. Beal)
5:35.0,P. Millsap misses 3-pt shot from 24 ft,,7-13,,
5:33.0,,,7-13,,Defensive rebound by B. Beal
5:23.0,,,7-15,2,N. Hilario makes 2-pt shot from 21 ft (assist by B. Beal)
5:09.0,J. Teague misses 2-pt shot from 19 ft,,7-15,,
5:08.0,Offensive rebound by D. Carroll,,7-15,,
5:01.0,A. Horford makes 2-pt shot from 4 ft (assist by K. Korver),2,9-15,,
4:40.0,,,9-17,2,N. Hilario makes 2-pt shot from 14 ft (assist by R. Sessions)
4:22.0,A. Horford misses 2-pt shot from 17 ft,,9-17,,
4:21.0,Offensive rebound by A. Horford,,9-17,,
4:17.0,K. Korver makes 3-pt shot from 27 ft (assist by A. Horford),3,12-17,,
4:03.0,,,12-17,,B. Beal misses 3-pt shot from 27 ft
4:02.0,Defensive rebound by A. Horford,,12-17,,
3:52.0,J. Teague makes 2-pt shot from 2 ft (assist by A. Horford),2,14-17,,
3:52.0,,,14-17,,Washington full timeout
3:52.0,M. Muscala enters the game for D. Carroll,,14-17,,
3:52.0,K. Bazemore enters the game for A. Horford,,14-17,,
3:52.0,D. Schroder enters the game for J. Teague,,14-17,,
3:52.0,,,14-17,,P. Pierce enters the game for N. Hilario
3:30.0,,,14-20,3,O. Porter makes 3-pt shot from 24 ft (assist by B. Beal)
3:14.0,,,14-20,,Personal foul by R. Sessions (drawn by D. Schroder)
3:14.0,,,14-20,,G. Temple enters the game for B. Beal
3:04.0,Turnover by K. Korver (lost ball; steal by G. Temple),,14-20,,
3:02.0,,,14-20,,Shooting foul by M. Muscala (drawn by G. Temple)
3:02.0,,,14-20,,G. Temple misses free throw 1 of 2
3:02.0,,,14-20,,Offensive rebound by Team
3:02.0,,,14-21,1,G. Temple makes free throw 2 of 2
2:47.0,P. Millsap misses 2-pt shot from 13 ft,,14-21,,
2:46.0,,,14-21,,Defensive rebound by O. Porter
2:38.0,,,14-24,3,R. Sessions makes 3-pt shot from 27 ft (assist by O. Porter)
2:23.0,Turnover by P. Millsap (bad pass),,14-24,,
2:07.0,,,14-26,2,P. Pierce makes 2-pt shot from 20 ft (assist by O. Porter)
1:48.0,M. Muscala makes 2-pt shot from 3 ft (assist by K. Bazemore),2,16-26,,
1:29.0,Personal foul by D. Schroder (drawn by P. Pierce),,16-26,,
1:29.0,A. Horford enters the game for M. Muscala,,16-26,,
1:29.0,D. Carroll enters the game for K. Korver,,16-26,,
1:19.0,,,16-26,,R. Sessions misses 2-pt shot from 20 ft
1:18.0,,,16-26,,Offensive rebound by O. Porter
1:12.0,,,16-26,,Shooting foul by K. Bazemore (drawn by G. Temple)
1:12.0,,,16-26,,G. Temple misses free throw 1 of 2
1:12.0,,,16-26,,Offensive rebound by Team
1:12.0,,,16-26,,G. Temple misses free throw 2 of 2
1:12.0,Defensive rebound by K. Bazemore,,16-26,,
1:00.0,D. Schroder misses 2-pt shot from 13 ft,,16-26,,
1:00.0,,,16-26,,Defensive rebound by P. Pierce
0:56.0,,,16-26,,Shooting foul by D. Schroder (drawn by R. Sessions)
0:56.0,,,16-27,1,R. Sessions makes free throw 1 of 2
0:56.0,,,16-28,1,R. Sessions makes free throw 2 of 2
0:46.0,K. Bazemore makes 2-pt shot from 1 ft (assist by A. Horford),2,18-28,,
