time,Denver,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. T. Mozgov (J. Wall gains possession),,,,Jump ball: M. Gortat vs. T. Mozgov (J. Wall gains possession)
11:43.0,,,0-0,,Turnover by M. Gortat (lost ball)
11:22.0,W. Chandler misses 3-pt shot from 27 ft,,0-0,,
11:21.0,Offensive rebound by T. Mozgov,,0-0,,
11:12.0,T. Mozgov makes 2-pt shot from 16 ft (assist by T. Lawson),2,2-0,,
10:59.0,Shooting block foul by T. Mozgov (drawn by K. Humphries),,2-0,,
10:59.0,,,2-1,1,K. Humphries makes free throw 1 of 2
10:59.0,,,2-2,1,K. Humphries makes free throw 2 of 2
10:40.0,A. Afflalo makes 2-pt shot from 13 ft,2,4-2,,
10:32.0,,,4-2,,Turnover by B. Beal (traveling)
10:16.0,W. Chandler makes 2-pt shot from 17 ft,2,6-2,,
9:58.0,,,6-2,,B. Beal misses 2-pt shot from 4 ft
9:57.0,Defensive rebound by T. Lawson,,6-2,,
9:50.0,A. Afflalo misses 3-pt shot from 26 ft,,6-2,,
9:50.0,Offensive rebound by Team,,6-2,,
9:50.0,,,6-2,,Loose ball foul by P. Pierce (drawn by K. Faried)
9:46.0,Turnover by K. Faried (bad pass),,6-2,,
9:27.0,,,6-2,,Turnover by P. Pierce (bad pass; steal by T. Lawson)
9:16.0,T. Lawson misses 2-pt shot from 11 ft,,6-2,,
9:15.0,,,6-2,,Defensive rebound by J. Wall
9:08.0,,,6-2,,P. Pierce misses 3-pt shot from 26 ft
9:06.0,Defensive rebound by T. Lawson,,6-2,,
9:01.0,W. Chandler makes 2-pt shot from 1 ft (assist by T. Lawson),2,8-2,,
8:41.0,,,8-2,,B. Beal misses 2-pt shot from 12 ft
8:40.0,Defensive rebound by T. Mozgov,,8-2,,
8:23.0,A. Afflalo misses 2-pt shot from 14 ft,,8-2,,
8:22.0,,,8-2,,Defensive rebound by P. Pierce
