time,Orlando,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. N. Vucevic (C. Frye gains possession),,,,Jump ball: M. Plumlee vs. N. Vucevic (C. Frye gains possession)
11:43.0,T. Harris misses 2-pt shot from 6 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by M. Morris
11:22.0,,,0-2,2,M. Plumlee makes 2-pt shot from 16 ft (assist by M. Morris)
11:07.0,N. Vucevic misses 2-pt shot from 18 ft,,0-2,,
11:05.0,Offensive rebound by E. Fournier,,0-2,,
11:04.0,E. Fournier makes 2-pt shot from 1 ft,2,2-2,,
10:51.0,,,2-2,,Turnover by M. Morris (lost ball)
10:51.0,,,2-2,,Violation by Team (delay of game)
10:38.0,T. Harris makes 3-pt shot from 25 ft (assist by E. Fournier),3,5-2,,
10:26.0,,,5-4,2,M. Plumlee makes 2-pt shot from 15 ft (assist by G. Dragic)
10:09.0,E. Fournier misses 3-pt shot from 22 ft,,5-4,,
10:06.0,,,5-4,,Defensive rebound by M. Morris
10:02.0,,,5-6,2,E. Bledsoe makes 2-pt shot at rim
9:49.0,V. Oladipo makes 2-pt shot from 11 ft,2,7-6,,
9:34.0,,,7-8,2,M. Morris makes 2-pt shot from 12 ft
9:20.0,V. Oladipo makes 2-pt shot from 1 ft,2,9-8,,
9:06.0,,,9-8,,E. Bledsoe misses 2-pt shot from 9 ft
9:05.0,,,9-8,,Offensive rebound by Team
9:03.0,,,9-10,2,M. Morris makes 2-pt shot from 15 ft (assist by M. Morris)
9:03.0,,,9-10,,Shooting foul by C. Frye (drawn by M. Morris)
9:03.0,,,9-11,1,M. Morris makes free throw 1 of 1
8:51.0,T. Harris makes 2-pt shot from 14 ft (assist by V. Oladipo),2,11-11,,
8:36.0,,,11-13,2,E. Bledsoe makes 2-pt shot from 1 ft (assist by M. Morris)
8:19.0,N. Vucevic makes 2-pt shot from 5 ft,2,13-13,,
8:08.0,,,13-13,,M. Morris misses 2-pt shot from 15 ft
8:06.0,Defensive rebound by E. Fournier,,13-13,,
7:53.0,,,13-13,,Personal foul by E. Bledsoe (drawn by V. Oladipo)
7:49.0,Turnover by N. Vucevic (bad pass),,13-13,,
7:36.0,,,13-13,,Turnover by E. Bledsoe (traveling)
7:15.0,T. Harris misses 2-pt shot from 11 ft (block by M. Plumlee),,13-13,,
7:13.0,,,13-13,,Defensive rebound by G. Dragic
7:10.0,,,13-15,2,E. Bledsoe makes 2-pt shot from 1 ft (assist by G. Dragic)
6:57.0,N. Vucevic misses 2-pt shot from 7 ft,,13-15,,
6:54.0,,,13-15,,Defensive rebound by E. Bledsoe
6:44.0,,,13-15,,M. Morris misses 2-pt shot from 7 ft
6:43.0,Defensive rebound by C. Frye,,13-15,,
6:27.0,E. Fournier makes 3-pt shot from 25 ft,3,16-15,,
6:20.0,,,16-15,,Turnover by G. Dragic (discontinued dribble)
6:20.0,E. Payton enters the game for C. Frye,,16-15,,
5:57.0,T. Harris misses 2-pt shot from 17 ft,,16-15,,
5:55.0,,,16-15,,Defensive rebound by G. Dragic
5:49.0,,,16-15,,Shooting foul by V. Oladipo (drawn by G. Dragic)
5:49.0,,,16-15,,Phoenix full timeout
5:49.0,,,16-16,1,G. Dragic makes free throw 1 of 2
5:49.0,,,16-17,1,G. Dragic makes free throw 2 of 2
5:32.0,N. Vucevic misses 2-pt shot from 11 ft,,16-17,,
5:30.0,,,16-17,,Defensive rebound by M. Morris
5:21.0,,,16-20,3,G. Dragic makes 3-pt shot from 25 ft (assist by M. Morris)
5:00.0,T. Harris makes 2-pt shot from 8 ft,2,18-20,,
4:52.0,,,18-20,,Turnover by G. Dragic (discontinued dribble)
4:52.0,,,18-20,,A. Len enters the game for M. Plumlee
4:52.0,B. Gordon enters the game for E. Fournier,,18-20,,
4:52.0,W. Green enters the game for V. Oladipo,,18-20,,
4:34.0,E. Payton misses 2-pt shot from 9 ft,,18-20,,
4:33.0,Offensive rebound by N. Vucevic,,18-20,,
4:17.0,Shooting foul by E. Bledsoe (drawn by N. Vucevic),,18-20,,
4:17.0,,,18-20,,Technical foul by E. Bledsoe (drawn by N. Vucevic)
4:17.0,B. Gordon makes technical free throw,1,19-20,,
4:17.0,,,19-20,,G. Green enters the game for E. Bledsoe
4:17.0,N. Vucevic makes free throw 1 of 2,1,20-20,,
4:17.0,N. Vucevic makes free throw 2 of 2,1,21-20,,
4:03.0,Personal foul by B. Gordon (drawn by M. Morris),,21-20,,
4:03.0,,,21-20,,P. Tucker enters the game for M. Morris
3:50.0,,,21-20,,G. Dragic misses 3-pt shot from 23 ft
3:48.0,Defensive rebound by N. Vucevic,,21-20,,
3:39.0,Turnover by T. Harris (traveling),,21-20,,
3:34.0,,,21-20,,Phoenix full timeout
3:26.0,,,21-20,,A. Len misses 2-pt shot from 13 ft
3:25.0,Defensive rebound by E. Payton,,21-20,,
3:02.0,T. Harris misses 2-pt shot from 1 ft,,21-20,,
3:00.0,,,21-20,,Defensive rebound by G. Dragic
2:51.0,,,21-20,,A. Len misses 2-pt shot from 17 ft
2:49.0,Defensive rebound by T. Harris,,21-20,,
2:33.0,T. Harris makes 2-pt shot from 1 ft,2,23-20,,
2:23.0,,,23-20,,Turnover by G. Dragic (bad pass)
2:23.0,K. O'Quinn enters the game for T. Harris,,23-20,,
2:23.0,V. Oladipo enters the game for N. Vucevic,,23-20,,
2:23.0,C. Frye enters the game for E. Payton,,23-20,,
2:02.0,V. Oladipo makes 2-pt shot from 10 ft (assist by B. Gordon),2,25-20,,
1:48.0,,,25-20,,G. Green misses 2-pt shot from 14 ft
1:44.0,,,25-20,,Offensive rebound by A. Len
1:44.0,,,25-20,,A. Len misses 2-pt shot from 1 ft
1:41.0,Defensive rebound by K. O'Quinn,,25-20,,
1:38.0,Offensive foul by K. O'Quinn,,25-20,,
1:38.0,Turnover by K. O'Quinn (offensive foul),,25-20,,
1:19.0,,,25-20,,P. Tucker misses 2-pt shot from 3 ft (block by K. O'Quinn)
1:17.0,,,25-20,,Offensive rebound by A. Len
1:14.0,,,25-23,3,G. Dragic makes 3-pt shot from 24 ft (assist by A. Len)
1:04.0,W. Green misses 2-pt shot from 21 ft,,25-23,,
1:02.0,,,25-23,,Defensive rebound by M. Morris
0:56.0,,,25-23,,Turnover by G. Dragic (bad pass)
0:41.0,B. Gordon makes 2-pt shot from 17 ft,2,27-23,,
0:29.0,,,27-23,,G. Dragic misses 2-pt shot from 2 ft
0:27.0,Defensive rebound by C. Frye,,27-23,,
0:06.0,Turnover by V. Oladipo (lost ball),,27-23,,
0:01.0,,,27-23,,G. Dragic misses 2-pt shot from 17 ft
