time,Boston,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. K. Olynyk (J. Nelson gains possession),,,,Jump ball: T. Chandler vs. K. Olynyk (J. Nelson gains possession)
11:43.0,,,0-0,,M. Ellis misses 2-pt shot from 16 ft
11:42.0,Defensive rebound by K. Olynyk,,0-0,,
11:29.0,A. Bradley misses 2-pt shot from 2 ft (block by M. Ellis),,0-0,,
11:29.0,Offensive rebound by Team,,0-0,,
11:25.0,Turnover by J. Sullinger (bad pass; steal by C. Parsons),,0-0,,
11:23.0,,,0-0,,Turnover by M. Ellis (lost ball; steal by J. Green)
11:22.0,J. Green makes 2-pt shot at rim,2,2-0,,
11:22.0,Shooting foul by D. Nowitzki (drawn by J. Green),,2-0,,
11:22.0,J. Green misses free throw 1 of 1,,2-0,,
11:21.0,,,2-0,,Defensive rebound by C. Parsons
11:01.0,,,2-3,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by M. Ellis)
10:49.0,J. Green makes 3-pt shot from 24 ft (assist by J. Sullinger),3,5-3,,
10:26.0,,,5-3,,J. Nelson misses 3-pt shot from 24 ft
10:25.0,Defensive rebound by R. Rondo,,5-3,,
10:18.0,J. Green misses 2-pt shot from 14 ft,,5-3,,
10:18.0,Offensive rebound by Team,,5-3,,
10:12.0,Offensive foul by K. Olynyk,,5-3,,
10:12.0,Turnover by K. Olynyk (offensive foul),,5-3,,
9:59.0,,,5-6,3,C. Parsons makes 3-pt shot from 24 ft (assist by M. Ellis)
9:45.0,J. Green makes 2-pt shot at rim (assist by R. Rondo),2,7-6,,
9:35.0,,,7-6,,Turnover by M. Ellis (bad pass; steal by R. Rondo)
9:29.0,R. Rondo misses 2-pt shot from 1 ft,,7-6,,
9:28.0,,,7-6,,Defensive rebound by D. Nowitzki
9:24.0,,,7-8,2,C. Parsons makes 2-pt shot at rim (assist by M. Ellis)
9:11.0,Turnover by R. Rondo (lost ball),,7-8,,
9:02.0,,,7-11,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by J. Nelson)
8:36.0,J. Green misses 3-pt shot from 25 ft,,7-11,,
8:35.0,,,7-11,,Defensive rebound by T. Chandler
8:25.0,,,7-11,,M. Ellis misses 2-pt shot from 3 ft
8:24.0,,,7-11,,Offensive rebound by T. Chandler
8:24.0,,,7-13,2,T. Chandler makes 2-pt shot from 1 ft
8:08.0,J. Sullinger misses 2-pt shot from 5 ft,,7-13,,
8:07.0,Offensive rebound by K. Olynyk,,7-13,,
8:03.0,K. Olynyk makes 2-pt shot at rim,2,9-13,,
7:49.0,,,9-13,,Offensive foul by T. Chandler
7:49.0,,,9-13,,Turnover by T. Chandler (offensive foul)
7:38.0,Turnover by A. Bradley (lost ball; steal by C. Parsons),,9-13,,
7:33.0,,,9-15,2,C. Parsons makes 2-pt shot from 1 ft
7:26.0,A. Bradley misses 2-pt shot from 7 ft (block by T. Chandler),,9-15,,
7:26.0,Offensive rebound by Team,,9-15,,
7:20.0,A. Bradley makes 2-pt shot from 22 ft (assist by R. Rondo),2,11-15,,
7:08.0,,,11-17,2,T. Chandler makes 2-pt shot at rim (assist by C. Parsons)
6:52.0,A. Bradley makes 2-pt shot from 18 ft,2,13-17,,
6:37.0,,,13-17,,Turnover by J. Nelson (traveling)
6:29.0,Turnover by K. Olynyk (bad pass),,13-17,,
6:14.0,,,13-19,2,M. Ellis makes 2-pt shot from 6 ft
5:55.0,J. Sullinger misses 2-pt shot from 6 ft,,13-19,,
5:55.0,,,13-19,,Defensive rebound by D. Nowitzki
5:45.0,,,13-21,2,T. Chandler makes 2-pt shot at rim (assist by D. Nowitzki)
5:43.0,Boston full timeout,,13-21,,
5:43.0,,,13-21,,D. Harris enters the game for D. Nowitzki
5:43.0,,,13-21,,B. Wright enters the game for T. Chandler
5:43.0,M. Smart enters the game for J. Green,,13-21,,
5:43.0,B. Bass enters the game for J. Sullinger,,13-21,,
5:33.0,M. Smart makes 2-pt shot at rim (assist by R. Rondo),2,15-21,,
5:22.0,,,15-23,2,M. Ellis makes 2-pt shot from 1 ft
5:10.0,Offensive foul by K. Olynyk,,15-23,,
5:10.0,Turnover by K. Olynyk (offensive foul),,15-23,,
5:10.0,T. Zeller enters the game for K. Olynyk,,15-23,,
4:56.0,,,15-26,3,C. Parsons makes 3-pt shot from 24 ft (assist by D. Harris)
4:31.0,A. Bradley misses 2-pt shot from 21 ft,,15-26,,
4:30.0,,,15-26,,Defensive rebound by B. Wright
4:21.0,,,15-26,,Shooting foul by T. Zeller (drawn by B. Wright)
4:21.0,,,15-27,1,B. Wright makes free throw 1 of 2
4:21.0,M. Thornton enters the game for A. Bradley,,15-27,,
4:21.0,E. Turner enters the game for R. Rondo,,15-27,,
4:21.0,,,15-27,,B. Wright misses free throw 2 of 2
