time,Toronto,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: D. Jordan vs. J. Valanciunas (K. Lowry gains possession)
11:36.0,J. Valanciunas misses 2-pt shot from 3 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by D. Jordan
11:33.0,,,0-0,,Turnover by D. Jordan (lost ball; steal by J. Johnson)
11:29.0,K. Lowry makes 3-pt shot from 26 ft (assist by J. Johnson),3,3-0,,
11:14.0,,,3-3,3,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul)
10:48.0,K. Lowry misses 2-pt shot from 9 ft,,3-3,,
10:48.0,Offensive rebound by J. Valanciunas,,3-3,,
10:48.0,Turnover by Team (shot clock),,3-3,,
10:36.0,,,3-3,,J. Redick misses 2-pt shot from 18 ft
10:34.0,Defensive rebound by J. Johnson,,3-3,,
10:22.0,T. Ross misses 3-pt shot from 25 ft,,3-3,,
10:21.0,Offensive rebound by A. Johnson,,3-3,,
10:17.0,T. Ross misses 2-pt shot from 2 ft,,3-3,,
10:16.0,Offensive rebound by J. Valanciunas,,3-3,,
10:16.0,Shooting foul by C. Paul (drawn by J. Valanciunas),,3-3,,
10:16.0,J. Valanciunas makes free throw 1 of 2,1,4-3,,
10:16.0,J. Valanciunas misses free throw 2 of 2,,4-3,,
10:15.0,,,4-3,,Defensive rebound by B. Griffin
10:00.0,,,4-3,,C. Paul misses 2-pt shot from 15 ft
9:59.0,,,4-3,,Offensive rebound by D. Jordan
9:59.0,,,4-3,,D. Jordan misses 2-pt shot from 1 ft
9:58.0,Defensive rebound by J. Johnson,,4-3,,
9:44.0,J. Valanciunas misses 2-pt shot from 5 ft,,4-3,,
9:42.0,,,4-3,,Defensive rebound by J. Redick
9:28.0,Personal foul by A. Johnson (drawn by C. Paul),,4-3,,
9:23.0,,,4-3,,B. Griffin misses 2-pt shot from 9 ft
9:22.0,Defensive rebound by J. Valanciunas,,4-3,,
9:06.0,T. Ross misses 2-pt shot from 3 ft (block by D. Jordan),,4-3,,
9:04.0,,,4-3,,Defensive rebound by B. Griffin
9:00.0,,,4-3,,J. Redick misses 3-pt shot from 26 ft
8:58.0,Defensive rebound by A. Johnson,,4-3,,
8:42.0,J. Johnson makes 2-pt shot from 12 ft (assist by K. Lowry),2,6-3,,
8:27.0,,,6-5,2,B. Griffin makes 2-pt shot from 19 ft
8:13.0,J. Valanciunas misses 2-pt shot at rim (block by B. Griffin),,6-5,,
8:11.0,Offensive rebound by J. Valanciunas,,6-5,,
8:09.0,J. Valanciunas makes 2-pt shot from 1 ft,2,8-5,,
8:00.0,,,8-5,,C. Paul misses 2-pt shot from 17 ft
7:59.0,Defensive rebound by A. Johnson,,8-5,,
7:54.0,K. Lowry misses 3-pt shot from 26 ft,,8-5,,
7:51.0,,,8-5,,Defensive rebound by D. Jordan
7:41.0,,,8-5,,C. Paul misses 2-pt shot from 13 ft
7:40.0,Defensive rebound by J. Valanciunas,,8-5,,
7:31.0,Offensive foul by J. Johnson,,8-5,,
7:31.0,Turnover by J. Johnson (offensive foul),,8-5,,
7:12.0,,,8-5,,J. Redick misses 3-pt shot from 26 ft
7:11.0,Defensive rebound by A. Johnson,,8-5,,
6:57.0,T. Ross misses 3-pt shot from 26 ft,,8-5,,
6:55.0,,,8-5,,Defensive rebound by D. Jordan
6:47.0,,,8-5,,C. Paul misses 3-pt shot from 26 ft
6:45.0,Defensive rebound by K. Lowry,,8-5,,
6:36.0,Turnover by A. Johnson (bad pass),,8-5,,
6:16.0,,,8-7,2,B. Griffin makes 2-pt shot from 19 ft
6:03.0,,,8-7,,Personal foul by M. Barnes (drawn by K. Lowry)
5:50.0,Turnover by A. Johnson (lost ball; steal by B. Griffin),,8-7,,
5:47.0,,,8-7,,Offensive charge foul by B. Griffin
5:47.0,,,8-7,,Turnover by B. Griffin (offensive foul)
5:47.0,,,8-7,,LA Clippers full timeout
5:30.0,T. Ross makes 2-pt shot from 20 ft (assist by J. Johnson),2,10-7,,
5:12.0,Violation by J. Johnson (kicked ball),,10-7,,
5:12.0,,,10-7,,J. Crawford enters the game for J. Redick
5:12.0,P. Patterson enters the game for A. Johnson,,10-7,,
5:05.0,,,10-10,3,M. Barnes makes 3-pt shot from 25 ft (assist by B. Griffin)
4:45.0,J. Johnson makes 2-pt shot from 6 ft,2,12-10,,
4:29.0,,,12-12,2,B. Griffin makes 2-pt shot from 17 ft (assist by J. Crawford)
4:06.0,K. Lowry makes 2-pt shot at rim,2,14-12,,
3:47.0,,,14-12,,B. Griffin misses 2-pt shot from 1 ft
3:44.0,,,14-12,,Offensive rebound by B. Griffin
3:44.0,,,14-12,,B. Griffin misses 2-pt shot at rim
3:43.0,Defensive rebound by P. Patterson,,14-12,,
3:36.0,P. Patterson makes 3-pt shot from 24 ft (assist by T. Ross),3,17-12,,
3:15.0,,,17-12,,Turnover by J. Crawford (traveling)
3:15.0,L. Williams enters the game for J. Johnson,,17-12,,
3:15.0,,,17-12,,G. Davis enters the game for D. Jordan
3:06.0,T. Ross misses 3-pt shot from 26 ft,,17-12,,
3:04.0,Offensive rebound by K. Lowry,,17-12,,
3:02.0,K. Lowry makes 2-pt shot at rim,2,19-12,,
2:50.0,,,19-12,,B. Griffin misses 2-pt shot from 8 ft
2:48.0,,,19-12,,Offensive rebound by G. Davis
2:47.0,,,19-14,2,G. Davis makes 2-pt shot from 1 ft
2:38.0,Shooting foul by J. Crawford (drawn by K. Lowry),,19-14,,
2:38.0,Toronto full timeout,,19-14,,
2:38.0,T. Hansbrough enters the game for J. Valanciunas,,19-14,,
2:38.0,,,19-14,,R. Bullock enters the game for M. Barnes
2:38.0,G. Vasquez enters the game for T. Ross,,19-14,,
2:38.0,,,19-14,,J. Farmar enters the game for C. Paul
2:38.0,K. Lowry misses free throw 1 of 2,,19-14,,
2:38.0,Offensive rebound by Team,,19-14,,
2:38.0,K. Lowry makes free throw 2 of 2,1,20-14,,
2:16.0,,,20-17,3,J. Crawford makes 3-pt shot from 24 ft (assist by B. Griffin)
1:56.0,K. Lowry misses 2-pt shot from 14 ft,,20-17,,
1:55.0,,,20-17,,Defensive rebound by R. Bullock
1:34.0,,,20-19,2,B. Griffin makes 2-pt shot from 20 ft (assist by J. Crawford)
1:14.0,Turnover by G. Vasquez (bad pass; steal by R. Bullock),,20-19,,
1:05.0,,,20-22,3,J. Crawford makes 3-pt shot from 27 ft (assist by B. Griffin)
0:56.0,Toronto full timeout,,20-22,,
0:56.0,J. Johnson enters the game for K. Lowry,,20-22,,
0:46.0,Shooting foul by G. Davis (drawn by L. Williams),,20-22,,
0:46.0,L. Williams makes free throw 1 of 2,1,21-22,,
0:46.0,L. Williams makes free throw 2 of 2,1,22-22,,
0:29.0,,,22-24,2,J. Crawford makes 2-pt shot from 18 ft
0:06.0,L. Williams misses 3-pt shot from 28 ft,,22-24,,
0:05.0,,,22-24,,Defensive rebound by B. Griffin
0:01.0,,,22-24,,Shooting foul by T. Hansbrough (drawn by B. Griffin)
0:01.0,,,22-24,,B. Griffin misses free throw 1 of 3
0:01.0,,,22-24,,Offensive rebound by Team
0:01.0,,,22-25,1,B. Griffin makes free throw 2 of 3
0:01.0,,,22-26,1,B. Griffin makes free throw 3 of 3
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Personal foul by P. Patterson (drawn by B. Griffin),,22-26,,
11:40.0,Personal foul by J. Johnson (drawn by B. Griffin),,22-26,,
11:35.0,,,22-26,,D. Jordan enters the game for B. Griffin
11:30.0,,,22-28,2,R. Bullock makes 2-pt shot from 2 ft (assist by D. Jordan)
11:09.0,J. Johnson misses 3-pt shot from 23 ft,,22-28,,
11:08.0,Offensive rebound by Team,,22-28,,
10:59.0,G. Vasquez misses 2-pt shot from 9 ft (block by J. Farmar),,22-28,,
10:59.0,Offensive rebound by Team,,22-28,,
10:49.0,Turnover by G. Vasquez (lost ball),,22-28,,
10:33.0,,,22-28,,J. Crawford misses 3-pt shot from 25 ft
10:32.0,Defensive rebound by P. Patterson,,22-28,,
10:23.0,G. Vasquez makes 3-pt shot from 25 ft (assist by L. Williams),3,25-28,,
10:08.0,,,25-28,,Shooting foul by J. Johnson (drawn by J. Crawford)
10:08.0,,,25-29,1,J. Crawford makes free throw 1 of 2
10:08.0,T. Ross enters the game for J. Johnson,,25-29,,
10:08.0,,,25-30,1,J. Crawford makes free throw 2 of 2
9:56.0,L. Williams misses 3-pt shot from 25 ft,,25-30,,
9:55.0,Offensive rebound by P. Patterson,,25-30,,
9:49.0,P. Patterson misses 2-pt shot from 9 ft,,25-30,,
9:47.0,Offensive rebound by T. Hansbrough,,25-30,,
9:47.0,T. Hansbrough makes 2-pt shot at rim,2,27-30,,
9:32.0,,,27-32,2,J. Crawford makes 2-pt shot from 18 ft
9:18.0,T. Ross misses 3-pt shot from 24 ft,,27-32,,
9:17.0,,,27-32,,Defensive rebound by R. Bullock
9:11.0,,,27-32,,Turnover by J. Farmar (step out of bounds)
9:11.0,A. Johnson enters the game for T. Hansbrough,,27-32,,
8:56.0,A. Johnson misses 2-pt shot from 6 ft,,27-32,,
8:55.0,,,27-32,,Defensive rebound by D. Jordan
8:47.0,,,27-32,,LA Clippers full timeout
8:47.0,,,27-32,,J. Redick enters the game for R. Bullock
8:47.0,,,27-32,,C. Paul enters the game for J. Farmar
8:41.0,Def 3 sec tech foul by P. Patterson,,27-32,,
8:41.0,,,27-32,,J. Redick misses technical free throw
8:41.0,,,27-32,,Offensive rebound by Team
8:30.0,,,27-32,,G. Davis misses 2-pt shot from 5 ft
8:30.0,,,27-32,,Offensive rebound by D. Jordan
8:30.0,Loose ball foul by G. Vasquez (drawn by D. Jordan),,27-32,,
8:21.0,,,27-32,,Turnover by J. Crawford (discontinued dribble)
8:08.0,A. Johnson makes 2-pt shot from 2 ft (assist by P. Patterson),2,29-32,,
7:51.0,,,29-34,2,G. Davis makes 2-pt shot from 1 ft (assist by C. Paul)
7:40.0,P. Patterson makes 2-pt shot from 12 ft (assist by G. Vasquez),2,31-34,,
7:13.0,,,31-34,,G. Davis misses 2-pt shot at rim
7:12.0,Defensive rebound by G. Vasquez,,31-34,,
7:08.0,G. Vasquez misses 2-pt shot from 1 ft,,31-34,,
7:05.0,,,31-34,,Defensive rebound by G. Davis
7:00.0,,,31-37,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
6:52.0,Toronto full timeout,,31-37,,
6:52.0,,,31-37,,B. Griffin enters the game for G. Davis
6:52.0,,,31-37,,M. Barnes enters the game for J. Crawford
6:52.0,K. Lowry enters the game for P. Patterson,,31-37,,
6:52.0,J. Valanciunas enters the game for L. Williams,,31-37,,
6:36.0,G. Vasquez misses 3-pt shot from 26 ft,,31-37,,
6:35.0,,,31-37,,Defensive rebound by B. Griffin
6:21.0,,,31-37,,Turnover by B. Griffin (bad pass; steal by K. Lowry)
6:15.0,G. Vasquez misses 3-pt shot from 25 ft,,31-37,,
6:12.0,,,31-37,,Defensive rebound by B. Griffin
6:08.0,,,31-37,,Turnover by B. Griffin (bad pass; steal by A. Johnson)
6:02.0,T. Ross makes 2-pt shot at rim (assist by G. Vasquez),2,33-37,,
5:43.0,Personal foul by A. Johnson (drawn by B. Griffin),,33-37,,
5:43.0,,,33-38,1,B. Griffin makes free throw 1 of 2
5:43.0,,,33-39,1,B. Griffin makes free throw 2 of 2
5:21.0,Shooting foul by C. Paul (drawn by G. Vasquez),,33-39,,
5:21.0,G. Vasquez makes free throw 1 of 2,1,34-39,,
5:21.0,G. Vasquez makes free throw 2 of 2,1,35-39,,
5:07.0,,,35-42,3,J. Redick makes 3-pt shot from 26 ft (assist by B. Griffin)
4:39.0,K. Lowry misses 2-pt shot from 12 ft,,35-42,,
4:37.0,,,35-42,,Defensive rebound by D. Jordan
