time,Houston,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:37.0,,,0-0,,A. Johnson misses 2-pt shot from 10 ft
12:00.0,Jump ball: J. Dorsey vs. J. Valanciunas (A. Johnson gains possession),,,,Jump ball: J. Dorsey vs. J. Valanciunas (A. Johnson gains possession)
11:36.0,Defensive rebound by J. Smith,,0-0,,
11:27.0,T. Ariza makes 3-pt shot from 26 ft (assist by J. Smith),3,3-0,,
11:03.0,,,3-0,,Shooting foul by J. Dorsey (drawn by D. DeRozan)
11:03.0,,,3-1,1,D. DeRozan makes free throw 1 of 2
11:03.0,,,3-2,1,D. DeRozan makes free throw 2 of 2
10:47.0,J. Smith makes 2-pt shot from 15 ft (assist by T. Ariza),2,5-2,,
10:27.0,,,5-2,,Turnover by G. Vasquez (lost ball)
10:14.0,J. Harden misses 2-pt shot from 3 ft (block by J. Valanciunas),,5-2,,
10:12.0,Offensive rebound by J. Harden,,5-2,,
10:10.0,J. Smith misses 3-pt shot from 24 ft,,5-2,,
10:09.0,,,5-2,,Defensive rebound by D. DeRozan
9:59.0,,,5-2,,G. Vasquez misses 3-pt shot from 24 ft
9:58.0,Defensive rebound by T. Ariza,,5-2,,
9:44.0,J. Harden misses 2-pt shot from 10 ft,,5-2,,
9:43.0,,,5-2,,Defensive rebound by J. Valanciunas
9:32.0,,,5-4,2,A. Johnson makes 2-pt shot at rim (assist by G. Vasquez)
9:09.0,J. Terry makes 3-pt shot from 23 ft (assist by T. Ariza),3,8-4,,
8:50.0,,,8-4,,Offensive charge foul by A. Johnson
8:50.0,,,8-4,,Turnover by A. Johnson (offensive foul)
8:38.0,J. Smith misses 2-pt shot from 9 ft (block by J. Valanciunas),,8-4,,
8:37.0,,,8-4,,Defensive rebound by D. DeRozan
8:21.0,,,8-4,,T. Ross misses 2-pt shot from 20 ft
8:20.0,Defensive rebound by J. Smith,,8-4,,
8:15.0,Turnover by J. Smith (offensive foul),,8-4,,
8:15.0,Offensive charge foul by J. Smith,,8-4,,
7:58.0,,,8-4,,D. DeRozan misses 2-pt shot from 13 ft
7:57.0,Defensive rebound by J. Harden,,8-4,,
7:48.0,T. Ariza misses 2-pt shot from 2 ft,,8-4,,
7:47.0,,,8-4,,Defensive rebound by A. Johnson
7:33.0,,,8-4,,Turnover by D. DeRozan (bad pass; steal by T. Ariza)
7:28.0,T. Ariza makes 2-pt shot at rim (assist by J. Dorsey),2,10-4,,
7:20.0,,,10-4,,Toronto full timeout
7:13.0,,,10-4,,Offensive foul by A. Johnson
7:13.0,,,10-4,,Turnover by A. Johnson (offensive foul)
7:09.0,Offensive foul by J. Dorsey,,10-4,,
7:09.0,Turnover by J. Dorsey (offensive foul),,10-4,,
7:09.0,,,10-4,,P. Patterson enters the game for A. Johnson
7:09.0,C. Capela enters the game for J. Dorsey,,10-4,,
6:57.0,,,10-4,,G. Vasquez misses 2-pt shot from 3 ft (block by C. Capela)
6:55.0,,,10-4,,Offensive rebound by D. DeRozan
6:45.0,,,10-4,,J. Valanciunas misses 2-pt shot from 5 ft
6:44.0,Defensive rebound by J. Harden,,10-4,,
6:36.0,C. Capela misses 2-pt shot from 1 ft,,10-4,,
6:35.0,,,10-4,,Defensive rebound by J. Valanciunas
6:20.0,,,10-6,2,J. Valanciunas makes 2-pt shot from 6 ft
5:58.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,12-6,,
5:30.0,,,12-6,,Turnover by Team (shot clock)
5:20.0,Shooting foul by T. Ross (drawn by J. Harden),,12-6,,
5:20.0,J. Harden makes free throw 1 of 2,1,13-6,,
5:20.0,J. Harden makes free throw 2 of 2,1,14-6,,
5:07.0,,,14-6,,Shooting foul by C. Capela (drawn by J. Valanciunas)
5:07.0,,,14-7,1,J. Valanciunas makes free throw 1 of 2
5:07.0,,,14-8,1,J. Valanciunas makes free throw 2 of 2
4:54.0,J. Smith misses 2-pt shot from 1 ft,,14-8,,
4:53.0,Offensive rebound by C. Capela,,14-8,,
4:50.0,Shooting foul by J. Valanciunas (drawn by J. Smith),,14-8,,
4:50.0,J. Smith makes free throw 1 of 2,1,15-8,,
4:50.0,P. Prigioni enters the game for J. Terry,,15-8,,
4:50.0,J. Smith makes free throw 2 of 2,1,16-8,,
4:45.0,,,16-8,,Toronto full timeout
4:45.0,,,16-8,,L. Williams enters the game for G. Vasquez
4:45.0,C. Brewer enters the game for J. Smith,,16-8,,
4:34.0,,,16-10,2,J. Valanciunas makes 2-pt shot at rim (assist by T. Ross)
4:17.0,J. Harden makes 2-pt shot from 6 ft,2,18-10,,
4:17.0,Shooting foul by T. Ross (drawn by J. Harden),,18-10,,
4:17.0,,,18-10,,J. Johnson enters the game for T. Ross
4:17.0,J. Harden makes free throw 1 of 1,1,19-10,,
3:52.0,,,19-12,2,D. DeRozan makes 2-pt shot from 20 ft
3:41.0,Turnover by J. Harden (bad pass; steal by D. DeRozan),,19-12,,
3:33.0,,,19-15,3,L. Williams makes 3-pt shot from 23 ft (assist by J. Johnson)
3:08.0,P. Prigioni makes 2-pt shot from 6 ft,2,21-15,,
2:54.0,,,21-18,3,P. Patterson makes 3-pt shot from 25 ft (assist by L. Williams)
2:45.0,T. Ariza misses 3-pt shot from 25 ft,,21-18,,
2:44.0,,,21-18,,Defensive rebound by L. Williams
2:34.0,,,21-20,2,L. Williams makes 2-pt shot from 13 ft
2:26.0,Houston full timeout,,21-20,,
2:26.0,N. Johnson enters the game for T. Ariza,,21-20,,
2:26.0,,,21-20,,T. Hansbrough enters the game for J. Valanciunas
2:11.0,C. Brewer misses 2-pt shot from 9 ft,,21-20,,
2:11.0,Offensive rebound by C. Capela,,21-20,,
2:11.0,Shooting foul by T. Hansbrough (drawn by C. Capela),,21-20,,
2:11.0,C. Capela misses free throw 1 of 2,,21-20,,
2:11.0,Offensive rebound by Team,,21-20,,
2:11.0,C. Capela misses free throw 2 of 2,,21-20,,
2:10.0,,,21-20,,Defensive rebound by J. Johnson
1:48.0,,,21-20,,D. DeRozan misses 2-pt shot from 5 ft
1:47.0,Defensive rebound by C. Capela,,21-20,,
1:37.0,J. Harden makes 2-pt shot from 1 ft,2,23-20,,
1:19.0,,,23-22,2,J. Johnson makes 2-pt shot from 3 ft
