time,Golden State,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. N. Noel (D. Green gains possession),,,,Jump ball: A. Bogut vs. N. Noel (D. Green gains possession)
11:41.0,S. Curry misses 2-pt shot from 20 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by R. Covington
11:30.0,,,0-2,2,J. Sampson makes 2-pt shot from 1 ft (assist by T. Frazier)
11:19.0,D. Green misses 2-pt shot from 21 ft,,0-2,,
11:18.0,,,0-2,,Defensive rebound by J. Sampson
10:59.0,,,0-4,2,N. Noel makes 2-pt shot at rim (assist by T. Frazier)
10:41.0,H. Barnes makes 2-pt shot from 7 ft,2,2-4,,
10:24.0,,,2-4,,L. Mbah a Moute misses 2-pt shot from 17 ft
10:22.0,Defensive rebound by S. Curry,,2-4,,
10:12.0,Turnover by H. Barnes (bad pass; steal by R. Covington),,2-4,,
10:01.0,,,2-4,,N. Noel misses 2-pt shot from 18 ft
9:59.0,Defensive rebound by S. Curry,,2-4,,
9:51.0,S. Curry makes 2-pt shot from 1 ft,2,4-4,,
9:42.0,,,4-4,,J. Sampson misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by S. Curry,,4-4,,
9:33.0,S. Curry misses 3-pt shot from 25 ft,,4-4,,
9:32.0,,,4-4,,Defensive rebound by L. Mbah a Moute
9:09.0,,,4-4,,R. Covington misses 3-pt shot from 23 ft
9:07.0,Defensive rebound by A. Bogut,,4-4,,
9:00.0,K. Thompson misses 2-pt shot from 1 ft,,4-4,,
8:58.0,,,4-4,,Defensive rebound by L. Mbah a Moute
8:54.0,Personal block foul by S. Curry (drawn by T. Frazier),,4-4,,
8:43.0,,,4-6,2,N. Noel makes 2-pt shot at rim (assist by R. Covington)
8:27.0,K. Thompson misses 3-pt shot from 26 ft,,4-6,,
8:26.0,,,4-6,,Defensive rebound by J. Sampson
8:18.0,,,4-8,2,N. Noel makes 2-pt shot from 3 ft (assist by T. Frazier)
8:10.0,Turnover by K. Thompson (bad pass; steal by N. Noel),,4-8,,
7:55.0,,,4-10,2,L. Mbah a Moute makes 2-pt shot at rim (assist by N. Noel)
7:52.0,Golden State full timeout,,4-10,,
7:37.0,H. Barnes makes 2-pt shot from 1 ft (assist by S. Curry),2,6-10,,
7:16.0,,,6-10,,T. Frazier misses 2-pt shot from 15 ft
7:15.0,,,6-10,,Offensive rebound by N. Noel
7:15.0,,,6-12,2,N. Noel makes 2-pt shot at rim
6:55.0,H. Barnes makes 3-pt shot from 23 ft (assist by K. Thompson),3,9-12,,
6:28.0,,,9-14,2,T. Frazier makes 2-pt shot from 11 ft
6:22.0,S. Curry misses 2-pt shot from 16 ft,,9-14,,
6:19.0,,,9-14,,Defensive rebound by N. Noel
6:15.0,,,9-14,,Turnover by T. Frazier (lost ball; steal by S. Curry)
6:12.0,S. Curry makes 2-pt shot from 2 ft,2,11-14,,
5:53.0,,,11-14,,Turnover by J. Sampson (lost ball; steal by A. Bogut)
5:43.0,K. Thompson makes 3-pt shot from 22 ft (assist by D. Green),3,14-14,,
5:27.0,,,14-14,,Turnover by L. Mbah a Moute (lost ball)
5:27.0,,,14-14,,H. Thompson enters the game for J. Sampson
5:27.0,,,14-14,,H. Sims enters the game for N. Noel
5:16.0,H. Barnes misses 3-pt shot from 23 ft,,14-14,,
5:13.0,,,14-14,,Defensive rebound by L. Mbah a Moute
5:08.0,,,14-14,,R. Covington misses 3-pt shot from 26 ft
5:06.0,,,14-14,,Offensive rebound by H. Sims
5:04.0,,,14-14,,H. Thompson misses 3-pt shot from 26 ft
5:02.0,Defensive rebound by A. Bogut,,14-14,,
4:55.0,K. Thompson misses 3-pt shot from 26 ft,,14-14,,
4:53.0,,,14-14,,Defensive rebound by L. Mbah a Moute
4:49.0,,,14-14,,Philadelphia full timeout
4:49.0,M. Speights enters the game for H. Barnes,,14-14,,
4:49.0,A. Iguodala enters the game for A. Bogut,,14-14,,
4:34.0,,,14-16,2,R. Covington makes 2-pt shot at rim (assist by L. Mbah a Moute)
4:20.0,M. Speights misses 2-pt shot from 16 ft,,14-16,,
4:18.0,,,14-16,,Defensive rebound by H. Sims
4:12.0,,,14-16,,H. Sims misses 2-pt shot from 20 ft
4:08.0,Defensive rebound by S. Curry,,14-16,,
4:01.0,D. Green misses 3-pt shot from 25 ft,,14-16,,
