time,Brooklyn,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Plumlee (J. Smith gains possession),,,,Jump ball: A. Drummond vs. M. Plumlee (J. Smith gains possession)
11:45.0,,,0-2,2,A. Drummond makes 2-pt shot from 1 ft (assist by B. Jennings)
11:27.0,K. Garnett misses 2-pt shot from 21 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by K. Caldwell-Pope
11:19.0,,,0-2,,A. Drummond misses 2-pt shot at rim
11:15.0,Defensive rebound by K. Garnett,,0-2,,
11:10.0,M. Plumlee makes 2-pt shot at rim (assist by D. Williams),2,2-2,,
10:55.0,,,2-2,,K. Caldwell-Pope misses 3-pt shot from 23 ft
10:54.0,Defensive rebound by K. Garnett,,2-2,,
10:46.0,J. Johnson makes 2-pt shot at rim,2,4-2,,
10:27.0,,,4-2,,K. Singler misses 2-pt shot at rim
10:25.0,,,4-2,,Offensive rebound by A. Drummond
10:24.0,,,4-4,2,A. Drummond makes 2-pt shot at rim
10:09.0,M. Plumlee makes 2-pt shot from 5 ft,2,6-4,,
9:53.0,,,6-4,,Shooting foul by M. Plumlee (drawn by J. Smith)
9:53.0,,,6-4,,J. Smith misses free throw 1 of 2
9:53.0,,,6-4,,Offensive rebound by Team
9:53.0,,,6-5,1,J. Smith makes free throw 2 of 2
9:40.0,D. Williams misses 2-pt shot from 5 ft (block by A. Drummond),,6-5,,
9:39.0,Offensive rebound by D. Williams,,6-5,,
9:32.0,K. Garnett makes 2-pt shot from 20 ft (assist by B. Bogdanovic),2,8-5,,
9:16.0,,,8-5,,A. Drummond misses 2-pt shot from 1 ft
9:15.0,Defensive rebound by M. Plumlee,,8-5,,
9:08.0,D. Williams makes 3-pt shot from 26 ft (assist by J. Johnson),3,11-5,,
8:47.0,,,11-5,,K. Caldwell-Pope misses 3-pt shot from 24 ft
8:46.0,Defensive rebound by J. Johnson,,11-5,,
8:37.0,D. Williams misses 3-pt shot from 26 ft,,11-5,,
8:36.0,,,11-5,,Defensive rebound by K. Caldwell-Pope
8:24.0,,,11-7,2,B. Jennings makes 2-pt shot from 19 ft
8:11.0,B. Bogdanovic misses 2-pt shot from 2 ft,,11-7,,
8:10.0,,,11-7,,Defensive rebound by K. Caldwell-Pope
7:56.0,,,11-9,2,B. Jennings makes 2-pt shot from 18 ft
7:42.0,K. Garnett misses 2-pt shot from 20 ft,,11-9,,
7:41.0,,,11-9,,Defensive rebound by A. Drummond
7:33.0,,,11-11,2,B. Jennings makes 2-pt shot at rim
7:31.0,Brooklyn full timeout,,11-11,,
7:31.0,,,11-11,,G. Monroe enters the game for J. Smith
7:31.0,A. Anderson enters the game for B. Bogdanovic,,11-11,,
7:19.0,K. Garnett misses 2-pt shot from 17 ft,,11-11,,
7:18.0,,,11-11,,Defensive rebound by B. Jennings
7:14.0,,,11-13,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by B. Jennings)
7:00.0,Shooting foul by K. Singler (drawn by J. Johnson),,11-13,,
7:00.0,J. Johnson makes free throw 1 of 2,1,12-13,,
7:00.0,J. Johnson makes free throw 2 of 2,1,13-13,,
6:39.0,,,13-13,,K. Singler misses 2-pt shot from 16 ft
6:38.0,Defensive rebound by A. Anderson,,13-13,,
6:19.0,K. Garnett misses 2-pt shot from 16 ft,,13-13,,
6:18.0,,,13-13,,Defensive rebound by B. Jennings
6:13.0,,,13-13,,Turnover by B. Jennings (bad pass; steal by K. Garnett)
6:00.0,Shooting foul by A. Drummond (drawn by M. Plumlee),,13-13,,
6:00.0,M. Plumlee misses free throw 1 of 2,,13-13,,
6:00.0,Offensive rebound by Team,,13-13,,
6:00.0,M. Teletovic enters the game for K. Garnett,,13-13,,
6:00.0,M. Plumlee misses free throw 2 of 2,,13-13,,
6:00.0,,,13-13,,Defensive rebound by A. Drummond
5:45.0,,,13-13,,Shooting foul by A. Anderson (drawn by K. Caldwell-Pope)
5:45.0,,,13-14,1,K. Caldwell-Pope makes free throw 1 of 2
5:45.0,,,13-15,1,K. Caldwell-Pope makes free throw 2 of 2
5:32.0,D. Williams makes 2-pt shot from 19 ft (assist by J. Johnson),2,15-15,,
5:18.0,,,15-15,,K. Singler misses 3-pt shot from 24 ft
5:17.0,Defensive rebound by M. Teletovic,,15-15,,
5:07.0,M. Teletovic makes 3-pt shot from 26 ft (assist by J. Johnson),3,18-15,,
4:38.0,,,18-15,,K. Caldwell-Pope misses 2-pt shot from 16 ft
4:37.0,Defensive rebound by J. Johnson,,18-15,,
4:29.0,J. Johnson makes 2-pt shot at rim,2,20-15,,
4:24.0,,,20-15,,Detroit full timeout
