time,Golden State,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. A. Horford (J. Teague gains possession),,,,Jump ball: A. Bogut vs. A. Horford (J. Teague gains possession)
11:44.0,,,0-2,2,P. Millsap makes 2-pt shot from 17 ft (assist by A. Horford)
11:29.0,K. Thompson makes 2-pt shot from 20 ft (assist by H. Barnes),2,2-2,,
11:06.0,Personal foul by D. Green (drawn by D. Carroll),,2-2,,
11:01.0,,,2-2,,A. Horford misses 2-pt shot from 20 ft
11:00.0,Defensive rebound by S. Curry,,2-2,,
10:53.0,K. Thompson misses 2-pt shot from 4 ft,,2-2,,
10:52.0,,,2-2,,Defensive rebound by A. Horford
10:46.0,,,2-5,3,J. Teague makes 3-pt shot from 24 ft (assist by A. Horford)
10:31.0,D. Green misses 3-pt shot from 25 ft,,2-5,,
10:30.0,,,2-5,,Defensive rebound by K. Korver
10:22.0,,,2-5,,J. Teague misses 2-pt shot from 7 ft
10:21.0,Defensive rebound by A. Bogut,,2-5,,
10:12.0,Turnover by A. Bogut (bad pass; steal by P. Millsap),,2-5,,
10:06.0,,,2-5,,D. Carroll misses 3-pt shot from 25 ft
10:05.0,,,2-5,,Offensive rebound by P. Millsap
10:02.0,,,2-7,2,P. Millsap makes 2-pt shot from 14 ft
9:42.0,K. Thompson makes 2-pt shot from 1 ft (assist by A. Bogut),2,4-7,,
9:21.0,,,4-7,,Turnover by P. Millsap (bad pass; steal by K. Thompson)
9:16.0,H. Barnes makes 2-pt shot at rim (assist by K. Thompson),2,6-7,,
8:54.0,,,6-9,2,P. Millsap makes 2-pt shot from 6 ft (assist by J. Teague)
8:47.0,D. Green misses 2-pt shot from 2 ft,,6-9,,
8:45.0,Offensive rebound by D. Green,,6-9,,
8:45.0,,,6-9,,Personal foul by K. Korver (drawn by D. Green)
8:41.0,S. Curry misses 3-pt shot from 25 ft,,6-9,,
8:40.0,,,6-9,,Defensive rebound by D. Carroll
8:25.0,,,6-9,,J. Teague misses 3-pt shot from 24 ft
8:24.0,Defensive rebound by D. Green,,6-9,,
8:07.0,S. Curry misses 3-pt shot from 23 ft,,6-9,,
8:06.0,,,6-9,,Defensive rebound by D. Carroll
7:50.0,,,6-9,,P. Millsap misses 2-pt shot from 20 ft
7:48.0,Defensive rebound by K. Thompson,,6-9,,
7:31.0,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green),3,9-9,,
7:02.0,,,9-9,,A. Horford misses 2-pt shot from 19 ft
7:01.0,Defensive rebound by A. Bogut,,9-9,,
6:50.0,H. Barnes misses 3-pt shot from 24 ft,,9-9,,
6:49.0,,,9-9,,Defensive rebound by A. Horford
6:42.0,,,9-9,,A. Horford misses 2-pt shot from 5 ft
6:40.0,Defensive rebound by D. Green,,9-9,,
6:22.0,A. Bogut misses 2-pt shot from 3 ft,,9-9,,
6:20.0,Offensive rebound by A. Bogut,,9-9,,
6:18.0,S. Curry misses 3-pt shot from 24 ft (block by J. Teague),,9-9,,
6:16.0,,,9-9,,Defensive rebound by K. Korver
6:13.0,,,9-11,2,J. Teague makes 2-pt shot at rim (assist by K. Korver)
6:06.0,Golden State full timeout,,9-11,,
6:06.0,,,9-11,,P. Antic enters the game for A. Horford
6:06.0,,,9-11,,K. Bazemore enters the game for K. Korver
6:02.0,Turnover by A. Bogut (bad pass),,9-11,,
5:52.0,,,9-11,,Turnover by J. Teague (bad pass; steal by K. Thompson)
5:47.0,H. Barnes makes 2-pt shot at rim (assist by K. Thompson),2,11-11,,
5:24.0,,,11-11,,J. Teague misses 3-pt shot from 24 ft
5:22.0,,,11-11,,Offensive rebound by P. Millsap
5:14.0,,,11-11,,K. Bazemore misses 2-pt shot from 5 ft (block by A. Bogut)
5:11.0,Defensive rebound by D. Green,,11-11,,
5:02.0,,,11-11,,Personal foul by D. Carroll (drawn by K. Thompson)
4:57.0,S. Curry misses 2-pt shot from 21 ft,,11-11,,
4:55.0,,,11-11,,Defensive rebound by K. Bazemore
4:35.0,,,11-11,,P. Millsap misses 2-pt shot from 9 ft
4:33.0,Defensive rebound by D. Green,,11-11,,
4:30.0,D. Green makes 2-pt shot from 1 ft,2,13-11,,
4:09.0,,,13-11,,P. Antic misses 3-pt shot from 24 ft
4:07.0,,,13-11,,Offensive rebound by J. Teague
4:05.0,,,13-11,,J. Teague misses 2-pt shot from 1 ft
4:03.0,Defensive rebound by H. Barnes,,13-11,,
3:55.0,S. Curry makes 3-pt shot from 27 ft (assist by H. Barnes),3,16-11,,
3:54.0,,,16-11,,Atlanta full timeout
3:54.0,,,16-11,,D. Schroder enters the game for J. Teague
3:54.0,L. Barbosa enters the game for H. Barnes,,16-11,,
3:54.0,A. Iguodala enters the game for A. Bogut,,16-11,,
3:54.0,M. Speights enters the game for K. Thompson,,16-11,,
3:31.0,,,16-11,,D. Schroder misses 2-pt shot from 2 ft
3:30.0,,,16-11,,Offensive rebound by Team
3:28.0,,,16-13,2,P. Millsap makes 2-pt shot from 1 ft (assist by K. Bazemore)
3:12.0,Turnover by D. Green (bad pass; steal by D. Carroll),,16-13,,
3:02.0,,,16-13,,D. Carroll misses 3-pt shot from 25 ft
3:00.0,Defensive rebound by D. Green,,16-13,,
2:47.0,A. Iguodala makes 3-pt shot from 23 ft (assist by L. Barbosa),3,19-13,,
2:28.0,,,19-13,,D. Schroder misses 2-pt shot from 8 ft (block by S. Curry)
2:26.0,Defensive rebound by L. Barbosa,,19-13,,
2:20.0,L. Barbosa misses 2-pt shot from 6 ft (block by P. Millsap),,19-13,,
2:18.0,,,19-13,,Defensive rebound by K. Bazemore
2:08.0,Personal foul by D. Green (drawn by P. Millsap),,19-13,,
2:08.0,,,19-13,,K. Korver enters the game for D. Carroll
2:08.0,D. Lee enters the game for D. Green,,19-13,,
2:06.0,,,19-13,,Offensive foul by P. Antic
2:06.0,,,19-13,,Turnover by P. Antic (offensive foul)
1:51.0,S. Curry misses 3-pt shot from 27 ft,,19-13,,
1:50.0,,,19-13,,Defensive rebound by K. Bazemore
1:43.0,,,19-13,,Turnover by P. Antic (offensive goaltending)
1:43.0,,,19-13,,A. Horford enters the game for P. Millsap
1:32.0,M. Speights misses 2-pt shot from 19 ft,,19-13,,
1:31.0,,,19-13,,Defensive rebound by A. Horford
1:21.0,,,19-16,3,K. Bazemore makes 3-pt shot from 22 ft (assist by D. Schroder)
1:13.0,L. Barbosa makes 2-pt shot from 2 ft (assist by S. Curry),2,21-16,,
1:04.0,,,21-19,3,K. Korver makes 3-pt shot from 26 ft (assist by D. Schroder)
0:48.0,M. Speights makes 2-pt shot from 18 ft (assist by A. Iguodala),2,23-19,,
0:34.0,,,23-19,,Offensive foul by A. Horford
0:34.0,,,23-19,,Turnover by A. Horford (offensive foul)
0:27.0,D. Lee makes 2-pt shot from 9 ft (assist by S. Curry),2,25-19,,
0:06.0,Shooting block foul by M. Speights (drawn by A. Horford),,25-19,,
0:06.0,,,25-20,1,A. Horford makes free throw 1 of 2
0:06.0,,,25-21,1,A. Horford makes free throw 2 of 2
0:00.0,M. Speights misses 3-pt shot from 22 ft,,25-21,,
0:00.0,Offensive rebound by Team,,25-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,L. Barbosa misses 2-pt shot from 12 ft,,25-21,,
11:43.0,,,25-21,,Defensive rebound by A. Horford
11:37.0,,,25-24,3,K. Bazemore makes 3-pt shot from 22 ft (assist by D. Schroder)
11:17.0,M. Speights misses 2-pt shot from 20 ft,,25-24,,
11:15.0,Offensive rebound by D. Lee,,25-24,,
11:00.0,L. Barbosa makes 3-pt shot from 24 ft (assist by A. Iguodala),3,28-24,,
10:43.0,,,28-24,,P. Antic misses 2-pt shot from 18 ft
10:41.0,Defensive rebound by M. Speights,,28-24,,
10:34.0,M. Speights makes 2-pt shot from 1 ft (assist by S. Livingston),2,30-24,,
10:22.0,,,30-24,,D. Schroder misses 2-pt shot from 18 ft
10:20.0,Defensive rebound by M. Speights,,30-24,,
10:19.0,Turnover by M. Speights (bad pass; steal by D. Schroder),,30-24,,
10:13.0,,,30-24,,M. Scott enters the game for P. Antic
10:08.0,,,30-24,,K. Korver misses 3-pt shot from 25 ft (block by A. Iguodala)
10:06.0,Defensive rebound by M. Speights,,30-24,,
10:01.0,L. Barbosa misses 2-pt shot from 1 ft,,30-24,,
10:01.0,Offensive rebound by Team,,30-24,,
10:01.0,,,30-24,,Loose ball foul by A. Horford (drawn by M. Speights)
9:51.0,D. Lee misses 2-pt shot from 10 ft,,30-24,,
9:50.0,Offensive rebound by S. Livingston,,30-24,,
9:50.0,S. Livingston makes 2-pt shot at rim,2,32-24,,
9:32.0,,,32-27,3,K. Bazemore makes 3-pt shot from 23 ft (assist by A. Horford)
9:18.0,M. Speights makes 2-pt shot from 21 ft (assist by S. Livingston),2,34-27,,
9:00.0,,,34-27,,Shooting foul by M. Speights (drawn by M. Scott)
9:00.0,,,34-28,1,M. Scott makes free throw 1 of 2
9:00.0,,,34-29,1,M. Scott makes free throw 2 of 2
8:50.0,M. Speights misses 2-pt shot from 20 ft,,34-29,,
8:49.0,,,34-29,,Defensive rebound by A. Horford
8:41.0,,,34-31,2,D. Schroder makes 2-pt shot from 1 ft
8:38.0,Turnover by D. Lee (bad pass; steal by A. Horford),,34-31,,
8:34.0,,,34-34,3,K. Korver makes 3-pt shot from 26 ft (assist by D. Schroder)
8:34.0,Golden State full timeout,,34-34,,
8:34.0,K. Thompson enters the game for L. Barbosa,,34-34,,
8:34.0,A. Bogut enters the game for M. Speights,,34-34,,
8:34.0,,,34-34,,J. Teague enters the game for K. Bazemore
8:11.0,K. Thompson makes 2-pt shot from 5 ft,2,36-34,,
7:56.0,Personal foul by K. Thompson (drawn by J. Teague),,36-34,,
7:46.0,,,36-34,,A. Horford misses 2-pt shot from 1 ft (block by A. Bogut)
7:44.0,Defensive rebound by D. Lee,,36-34,,
7:36.0,K. Thompson misses 3-pt shot from 25 ft,,36-34,,
7:34.0,,,36-34,,Defensive rebound by M. Scott
7:34.0,Personal foul by D. Lee (drawn by M. Scott),,36-34,,
7:28.0,Violation by D. Lee (kicked ball),,36-34,,
7:13.0,,,36-34,,D. Schroder misses 2-pt shot from 2 ft
7:12.0,Defensive rebound by S. Livingston,,36-34,,
7:02.0,A. Bogut misses 2-pt shot from 9 ft,,36-34,,
7:01.0,Offensive rebound by S. Livingston,,36-34,,
7:01.0,S. Livingston misses 2-pt shot from 1 ft,,36-34,,
6:59.0,Offensive rebound by D. Lee,,36-34,,
6:59.0,D. Lee misses 2-pt shot at rim,,36-34,,
6:58.0,,,36-34,,Defensive rebound by A. Horford
6:53.0,,,36-34,,K. Korver misses 3-pt shot from 23 ft
6:51.0,Defensive rebound by A. Bogut,,36-34,,
6:42.0,,,36-34,,Personal foul by D. Schroder (drawn by A. Iguodala)
6:42.0,,,36-34,,P. Millsap enters the game for A. Horford
6:42.0,,,36-34,,D. Carroll enters the game for D. Schroder
6:42.0,,,36-34,,K. Bazemore enters the game for K. Korver
6:32.0,K. Thompson misses 2-pt shot from 1 ft,,36-34,,
6:31.0,Offensive rebound by D. Lee,,36-34,,
6:21.0,Turnover by A. Bogut (bad pass; steal by P. Millsap),,36-34,,
6:19.0,,,36-36,2,D. Carroll makes 2-pt shot from 1 ft
6:19.0,,,36-36,,Shooting foul by D. Lee (drawn by D. Carroll)
6:19.0,D. Green enters the game for D. Lee,,36-36,,
6:19.0,,,36-36,,D. Carroll misses free throw 1 of 1
6:18.0,Defensive rebound by A. Bogut,,36-36,,
5:55.0,Turnover by S. Livingston (bad pass; steal by D. Carroll),,36-36,,
5:50.0,,,36-36,,J. Teague misses 2-pt shot at rim
5:47.0,Defensive rebound by A. Bogut,,36-36,,
5:39.0,S. Livingston makes 2-pt shot from 13 ft,2,38-36,,
5:25.0,Official timeout,,38-36,,
5:25.0,S. Curry enters the game for S. Livingston,,38-36,,
5:22.0,,,38-36,,P. Millsap misses 3-pt shot from 24 ft
5:20.0,Defensive rebound by K. Thompson,,38-36,,
5:07.0,S. Curry makes 2-pt shot from 1 ft,2,40-36,,
4:48.0,,,40-36,,M. Scott misses 2-pt shot from 2 ft (block by A. Bogut)
4:48.0,,,40-36,,Offensive rebound by Team
4:44.0,,,40-36,,M. Scott misses 2-pt shot from 9 ft
4:41.0,Defensive rebound by D. Green,,40-36,,
4:32.0,K. Thompson makes 2-pt shot from 10 ft (assist by D. Green),2,42-36,,
4:21.0,,,42-36,,J. Teague misses 2-pt shot from 11 ft
4:19.0,Defensive rebound by A. Bogut,,42-36,,
4:11.0,D. Green misses 2-pt shot from 1 ft,,42-36,,
4:10.0,,,42-36,,Defensive rebound by D. Carroll
3:58.0,,,42-38,2,D. Carroll makes 2-pt shot from 2 ft (assist by J. Teague)
3:43.0,A. Iguodala misses 3-pt shot from 22 ft,,42-38,,
3:42.0,,,42-38,,Defensive rebound by K. Bazemore
3:36.0,,,42-38,,Atlanta full timeout
3:36.0,,,42-38,,K. Korver enters the game for K. Bazemore
3:36.0,,,42-38,,A. Horford enters the game for M. Scott
3:36.0,H. Barnes enters the game for A. Iguodala,,42-38,,
3:27.0,,,42-40,2,K. Korver makes 2-pt shot from 20 ft
3:11.0,A. Bogut makes 2-pt shot from 5 ft (assist by S. Curry),2,44-40,,
2:57.0,,,44-40,,Shooting foul by S. Curry (drawn by P. Millsap)
2:57.0,,,44-41,1,P. Millsap makes free throw 1 of 2
2:57.0,,,44-42,1,P. Millsap makes free throw 2 of 2
2:48.0,D. Green makes 2-pt shot from 10 ft (assist by S. Curry),2,46-42,,
2:32.0,,,46-44,2,A. Horford makes 2-pt shot from 2 ft
2:19.0,A. Bogut makes 2-pt shot from 1 ft (assist by D. Green),2,48-44,,
1:56.0,,,48-44,,J. Teague misses 2-pt shot from 19 ft
1:54.0,Defensive rebound by D. Green,,48-44,,
1:50.0,S. Curry misses 2-pt shot from 1 ft,,48-44,,
1:49.0,,,48-44,,Defensive rebound by A. Horford
1:44.0,,,48-47,3,K. Korver makes 3-pt shot from 23 ft (assist by A. Horford)
1:31.0,K. Thompson misses 2-pt shot from 18 ft,,48-47,,
1:28.0,,,48-47,,Defensive rebound by K. Korver
1:12.0,,,48-47,,K. Korver misses 3-pt shot from 26 ft
1:09.0,,,48-47,,Offensive rebound by A. Horford
1:05.0,,,48-47,,P. Millsap misses 3-pt shot from 25 ft
1:03.0,Defensive rebound by Team,,48-47,,
1:03.0,,,48-47,,Loose ball foul by K. Korver (drawn by K. Thompson)
1:03.0,,,48-47,,K. Bazemore enters the game for K. Korver
1:03.0,Golden State full timeout,,48-47,,
1:03.0,,,48-47,,P. Antic enters the game for A. Horford
0:48.0,S. Curry makes 2-pt shot from 1 ft,2,50-47,,
0:25.0,,,50-47,,Shooting foul by H. Barnes (drawn by D. Carroll)
0:25.0,,,50-48,1,D. Carroll makes free throw 1 of 3
0:25.0,,,50-49,1,D. Carroll makes free throw 2 of 3
0:25.0,D. Lee enters the game for D. Green,,50-49,,
0:25.0,,,50-50,1,D. Carroll makes free throw 3 of 3
0:24.0,Turnover by A. Bogut (bad pass; steal by K. Bazemore),,50-50,,
0:21.0,,,50-50,,Atlanta full timeout
0:21.0,,,50-50,,A. Horford enters the game for P. Antic
0:21.0,,,50-50,,K. Korver enters the game for K. Bazemore
