time,New York,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. A. Drummond (T. Hardaway gains possession),,,,Jump ball: L. Amundson vs. A. Drummond (T. Hardaway gains possession)
11:34.0,A. Bargnani makes 3-pt shot from 25 ft (assist by T. Hardaway),3,3-0,,
11:21.0,,,3-0,,Shooting foul by L. Amundson (drawn by A. Drummond)
11:21.0,,,3-1,1,A. Drummond makes free throw 1 of 2
11:21.0,,,3-2,1,A. Drummond makes free throw 2 of 2
11:06.0,T. Hardaway makes 2-pt shot from 8 ft (assist by L. Galloway),2,5-2,,
10:50.0,,,5-2,,G. Monroe misses 2-pt shot from 1 ft
10:49.0,Defensive rebound by C. Early,,5-2,,
10:41.0,Shooting foul by A. Drummond (drawn by C. Early),,5-2,,
10:41.0,C. Early makes free throw 1 of 2,1,6-2,,
10:41.0,C. Early makes free throw 2 of 2,1,7-2,,
10:32.0,Personal foul by C. Early (drawn by T. Prince),,7-2,,
10:29.0,,,7-4,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by T. Prince)
10:15.0,A. Bargnani makes 2-pt shot from 10 ft (assist by L. Amundson),2,9-4,,
10:03.0,,,9-4,,R. Jackson misses 2-pt shot from 3 ft (block by L. Amundson)
10:02.0,,,9-4,,Offensive rebound by Team
9:55.0,,,9-4,,K. Caldwell-Pope misses 2-pt shot from 11 ft
9:54.0,Defensive rebound by A. Bargnani,,9-4,,
9:42.0,L. Galloway makes 2-pt shot from 16 ft,2,11-4,,
9:29.0,,,11-4,,G. Monroe misses 2-pt shot from 2 ft
9:28.0,Defensive rebound by A. Bargnani,,11-4,,
9:22.0,A. Bargnani misses 2-pt shot from 16 ft,,11-4,,
9:18.0,,,11-4,,Defensive rebound by A. Drummond
9:13.0,,,11-4,,T. Prince misses 2-pt shot from 16 ft
9:12.0,Defensive rebound by L. Galloway,,11-4,,
9:01.0,L. Galloway misses 2-pt shot from 12 ft,,11-4,,
9:00.0,Offensive rebound by L. Amundson,,11-4,,
8:56.0,L. Galloway misses 3-pt shot from 23 ft,,11-4,,
8:55.0,,,11-4,,Defensive rebound by T. Prince
8:41.0,,,11-7,3,R. Jackson makes 3-pt shot from 26 ft (assist by G. Monroe)
8:23.0,Turnover by L. Galloway (bad pass),,11-7,,
8:05.0,,,11-7,,K. Caldwell-Pope misses 3-pt shot from 24 ft
8:04.0,,,11-7,,Offensive rebound by T. Prince
7:53.0,,,11-7,,T. Prince misses 2-pt shot from 7 ft
7:50.0,,,11-7,,Offensive rebound by A. Drummond
7:48.0,,,11-9,2,A. Drummond makes 2-pt shot at rim
7:35.0,T. Hardaway makes 2-pt shot from 17 ft (assist by A. Bargnani),2,13-9,,
7:11.0,,,13-11,2,G. Monroe makes 2-pt shot at rim (assist by K. Caldwell-Pope)
7:05.0,New York full timeout,,13-11,,
6:53.0,A. Bargnani misses 2-pt shot from 1 ft (block by A. Drummond),,13-11,,
6:51.0,,,13-11,,Defensive rebound by T. Prince
6:41.0,,,13-13,2,G. Monroe makes 2-pt shot from 2 ft
6:16.0,L. Amundson makes 2-pt shot from 15 ft (assist by L. Galloway),2,15-13,,
5:51.0,Personal foul by C. Early (drawn by T. Prince),,15-13,,
5:51.0,L. Thomas enters the game for C. Early,,15-13,,
5:51.0,C. Aldrich enters the game for L. Amundson,,15-13,,
5:48.0,,,15-13,,R. Jackson misses 2-pt shot at rim (block by L. Galloway)
5:47.0,,,15-13,,Offensive rebound by K. Caldwell-Pope
5:44.0,,,15-15,2,K. Caldwell-Pope makes 2-pt shot from 2 ft
5:29.0,T. Hardaway misses 2-pt shot from 9 ft,,15-15,,
5:28.0,,,15-15,,Defensive rebound by T. Prince
5:17.0,,,15-15,,K. Caldwell-Pope misses 2-pt shot from 1 ft (block by C. Aldrich)
5:16.0,,,15-15,,Offensive rebound by Team
5:09.0,,,15-15,,R. Jackson misses 2-pt shot from 10 ft
5:08.0,Defensive rebound by L. Thomas,,15-15,,
4:56.0,Turnover by T. Hardaway (lost ball; steal by K. Caldwell-Pope),,15-15,,
4:50.0,,,15-17,2,G. Monroe makes 2-pt shot at rim (assist by R. Jackson)
4:33.0,L. Thomas misses 2-pt shot from 15 ft,,15-17,,
4:32.0,,,15-17,,Defensive rebound by A. Drummond
4:26.0,Personal foul by L. Galloway (drawn by R. Jackson),,15-17,,
4:26.0,J. Smith enters the game for A. Bargnani,,15-17,,
4:26.0,,,15-17,,A. Tolliver enters the game for T. Prince
4:26.0,,,15-17,,C. Butler enters the game for G. Monroe
4:19.0,,,15-17,,R. Jackson misses 2-pt shot from 1 ft (block by C. Aldrich)
4:18.0,Defensive rebound by C. Aldrich,,15-17,,
4:13.0,T. Hardaway makes 2-pt shot at rim,2,17-17,,
3:54.0,,,17-20,3,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by R. Jackson)
3:33.0,C. Aldrich misses 2-pt shot from 4 ft,,17-20,,
3:32.0,,,17-20,,Defensive rebound by A. Drummond
3:22.0,,,17-20,,R. Jackson misses 3-pt shot from 25 ft
3:20.0,,,17-20,,Offensive rebound by A. Drummond
3:08.0,Personal foul by L. Galloway (drawn by R. Jackson),,17-20,,
3:08.0,,,17-21,1,R. Jackson makes free throw 1 of 2
3:08.0,S. Larkin enters the game for L. Galloway,,17-21,,
3:08.0,,,17-22,1,R. Jackson makes free throw 2 of 2
2:46.0,T. Hardaway misses 3-pt shot from 25 ft,,17-22,,
2:44.0,,,17-22,,Defensive rebound by R. Jackson
2:40.0,,,17-24,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
2:34.0,Offensive foul by C. Aldrich,,17-24,,
2:34.0,Turnover by C. Aldrich (offensive foul),,17-24,,
2:34.0,,,17-24,,Detroit full timeout
2:34.0,,,17-24,,J. Lucas III enters the game for R. Jackson
2:34.0,A. Shved enters the game for T. Hardaway,,17-24,,
2:25.0,,,17-24,,Offensive foul by C. Butler
2:25.0,,,17-24,,Turnover by C. Butler (offensive foul)
2:03.0,L. Thomas makes 2-pt shot from 1 ft,2,19-24,,
1:54.0,,,19-24,,Offensive foul by A. Drummond
1:54.0,,,19-24,,Turnover by A. Drummond (offensive foul)
1:54.0,,,19-24,,G. Monroe enters the game for A. Drummond
1:54.0,,,19-24,,J. Meeks enters the game for K. Caldwell-Pope
1:39.0,S. Larkin makes 2-pt shot from 9 ft,2,21-24,,
1:19.0,,,21-26,2,G. Monroe makes 2-pt shot from 4 ft (assist by C. Butler)
1:08.0,L. Thomas misses 2-pt shot from 21 ft,,21-26,,
1:06.0,Offensive rebound by C. Aldrich,,21-26,,
0:56.0,J. Smith misses 2-pt shot from 14 ft,,21-26,,
0:54.0,Offensive rebound by A. Shved,,21-26,,
0:46.0,A. Shved misses 2-pt shot from 2 ft,,21-26,,
0:44.0,,,21-26,,Defensive rebound by G. Monroe
0:37.0,,,21-26,,C. Butler misses 3-pt shot from 25 ft
0:36.0,Defensive rebound by J. Smith,,21-26,,
0:18.0,C. Aldrich makes 2-pt shot from 9 ft (assist by A. Shved),2,23-26,,
0:03.0,,,23-28,2,J. Lucas III makes 2-pt shot from 17 ft
0:01.0,A. Shved misses 3-pt shot from 34 ft,,23-28,,
0:00.0,Offensive rebound by Team,,23-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,23-28,,J. Lucas III misses 2-pt shot from 15 ft
11:38.0,Defensive rebound by C. Aldrich,,23-28,,
11:23.0,A. Shved misses 2-pt shot from 3 ft (block by G. Monroe),,23-28,,
11:22.0,,,23-28,,Defensive rebound by C. Butler
11:22.0,Personal foul by J. Smith (drawn by C. Butler),,23-28,,
11:14.0,,,23-30,2,J. Meeks makes 2-pt shot from 9 ft (assist by J. Lucas III)
10:50.0,A. Shved misses 2-pt shot from 9 ft,,23-30,,
10:48.0,,,23-30,,Defensive rebound by A. Tolliver
10:32.0,,,23-32,2,G. Monroe makes 2-pt shot from 1 ft (assist by C. Butler)
10:14.0,A. Shved misses 2-pt shot at rim,,23-32,,
10:13.0,,,23-32,,Defensive rebound by A. Tolliver
10:08.0,,,23-32,,J. Lucas III misses 2-pt shot from 6 ft
10:08.0,,,23-32,,Offensive rebound by G. Monroe
10:08.0,Personal foul by C. Aldrich (drawn by G. Monroe),,23-32,,
10:08.0,T. Hardaway enters the game for A. Shved,,23-32,,
10:00.0,,,23-32,,Turnover by J. Meeks (bad pass)
9:40.0,C. Aldrich misses 2-pt shot from 6 ft,,23-32,,
9:39.0,Offensive rebound by Team,,23-32,,
9:39.0,,,23-32,,Loose ball foul by G. Monroe (drawn by J. Smith)
9:27.0,C. Aldrich misses 2-pt shot from 2 ft (block by A. Tolliver),,23-32,,
9:24.0,Offensive rebound by C. Aldrich,,23-32,,
9:22.0,C. Aldrich misses 2-pt shot from 4 ft,,23-32,,
9:21.0,,,23-32,,Defensive rebound by A. Tolliver
9:13.0,,,23-35,3,A. Tolliver makes 3-pt shot from 24 ft (assist by J. Lucas III)
9:01.0,T. Hardaway makes 3-pt shot from 25 ft (assist by J. Smith),3,26-35,,
8:45.0,,,26-35,,Offensive foul by A. Tolliver
8:45.0,,,26-35,,Turnover by A. Tolliver (offensive foul)
8:45.0,Official timeout,,26-35,,
8:45.0,A. Bargnani enters the game for L. Thomas,,26-35,,
8:45.0,C. Early enters the game for C. Aldrich,,26-35,,
8:33.0,C. Early misses 3-pt shot from 25 ft,,26-35,,
8:31.0,Offensive rebound by Team,,26-35,,
8:21.0,A. Bargnani misses 2-pt shot from 6 ft,,26-35,,
8:19.0,,,26-35,,Defensive rebound by G. Monroe
8:09.0,,,26-35,,C. Butler misses 3-pt shot from 25 ft
8:08.0,,,26-35,,Offensive rebound by G. Monroe
8:08.0,,,26-35,,Shooting foul by A. Bargnani (drawn by G. Monroe)
8:08.0,,,26-36,1,G. Monroe makes free throw 1 of 2
8:08.0,,,26-37,1,G. Monroe makes free throw 2 of 2
7:53.0,J. Smith makes 2-pt shot from 14 ft (assist by S. Larkin),2,28-37,,
7:34.0,Violation by A. Bargnani (def goaltending),,28-37,,
7:34.0,,,28-39,2,G. Monroe makes 2-pt shot from 7 ft
7:26.0,Offensive foul by J. Smith,,28-39,,
7:26.0,Turnover by J. Smith (offensive foul),,28-39,,
7:26.0,L. Amundson enters the game for J. Smith,,28-39,,
7:14.0,,,28-41,2,J. Meeks makes 2-pt shot from 13 ft (assist by J. Lucas III)
6:59.0,Turnover by L. Amundson (lost ball; steal by G. Monroe),,28-41,,
6:51.0,,,28-41,,Turnover by C. Butler (bad pass; steal by C. Early)
6:45.0,C. Early misses 2-pt shot from 2 ft (block by A. Tolliver),,28-41,,
6:42.0,Offensive rebound by L. Amundson,,28-41,,
6:40.0,L. Amundson makes 2-pt shot at rim,2,30-41,,
6:27.0,,,30-41,,A. Tolliver misses 3-pt shot from 24 ft
6:25.0,,,30-41,,Offensive rebound by G. Monroe
6:20.0,,,30-41,,Shooting foul by C. Early (drawn by J. Meeks)
6:20.0,,,30-42,1,J. Meeks makes free throw 1 of 2
6:20.0,,,30-42,,R. Jackson enters the game for J. Lucas III
6:20.0,,,30-42,,S. Williams enters the game for G. Monroe
6:20.0,L. Galloway enters the game for S. Larkin,,30-42,,
6:20.0,T. Wear enters the game for C. Early,,30-42,,
6:20.0,,,30-43,1,J. Meeks makes free throw 2 of 2
5:56.0,A. Bargnani misses 2-pt shot from 8 ft,,30-43,,
5:53.0,Offensive rebound by A. Bargnani,,30-43,,
5:53.0,A. Bargnani makes 2-pt shot from 2 ft,2,32-43,,
5:53.0,Shooting foul by C. Butler (drawn by A. Bargnani),,32-43,,
5:53.0,,,32-43,,Detroit full timeout
5:53.0,,,32-43,,A. Drummond enters the game for A. Tolliver
5:53.0,A. Bargnani makes free throw 1 of 1,1,33-43,,
5:40.0,,,33-43,,J. Meeks misses 3-pt shot from 25 ft
5:38.0,Defensive rebound by A. Bargnani,,33-43,,
5:25.0,L. Amundson misses 2-pt shot from 2 ft,,33-43,,
