time,Brooklyn,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Jefferson vs. B. Lopez (D. Williams gains possession),,,,Jump ball: A. Jefferson vs. B. Lopez (D. Williams gains possession)
11:44.0,M. Brown misses 2-pt shot from 3 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by M. Williams
11:32.0,,,0-2,2,G. Henderson makes 2-pt shot from 16 ft (assist by A. Jefferson)
11:13.0,D. Williams misses 2-pt shot from 9 ft,,0-2,,
11:11.0,Offensive rebound by M. Brown,,0-2,,
11:11.0,M. Brown makes 2-pt shot from 1 ft,2,2-2,,
10:53.0,,,2-2,,K. Walker misses 2-pt shot from 2 ft (block by B. Lopez)
10:53.0,,,2-2,,Offensive rebound by Team
10:48.0,,,2-4,2,G. Henderson makes 2-pt shot from 16 ft (assist by M. Kidd-Gilchrist)
10:32.0,,,2-4,,Personal foul by K. Walker (drawn by M. Brown)
10:20.0,T. Young misses 2-pt shot from 7 ft,,2-4,,
10:19.0,,,2-4,,Defensive rebound by M. Kidd-Gilchrist
10:05.0,,,2-4,,G. Henderson misses 2-pt shot from 9 ft
10:03.0,Defensive rebound by B. Lopez,,2-4,,
9:53.0,M. Brown makes 2-pt shot at rim,2,4-4,,
9:35.0,,,4-4,,A. Jefferson misses 2-pt shot from 4 ft
9:34.0,Defensive rebound by D. Williams,,4-4,,
9:26.0,B. Lopez makes 2-pt shot from 10 ft (assist by D. Williams),2,6-4,,
9:15.0,,,6-6,2,K. Walker makes 2-pt shot from 1 ft
9:15.0,,,6-6,,Shooting foul by D. Williams (drawn by K. Walker)
9:15.0,,,6-6,,K. Walker misses free throw 1 of 1
9:13.0,Defensive rebound by J. Johnson,,6-6,,
9:00.0,T. Young misses 3-pt shot from 24 ft,,6-6,,
8:59.0,,,6-6,,Defensive rebound by A. Jefferson
8:49.0,,,6-6,,G. Henderson misses 2-pt shot from 18 ft
8:48.0,Defensive rebound by D. Williams,,6-6,,
8:40.0,D. Williams misses 2-pt shot from 1 ft,,6-6,,
8:39.0,,,6-6,,Defensive rebound by M. Kidd-Gilchrist
8:35.0,,,6-6,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by M. Brown)
8:35.0,,,6-6,,Offensive rebound by Team
8:22.0,,,6-6,,M. Williams misses 2-pt shot at rim
8:20.0,,,6-6,,Offensive rebound by A. Jefferson
8:20.0,,,6-8,2,A. Jefferson makes 2-pt shot from 1 ft
8:07.0,J. Johnson misses 2-pt shot from 10 ft,,6-8,,
8:06.0,,,6-8,,Defensive rebound by K. Walker
7:59.0,,,6-11,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
7:51.0,Brooklyn full timeout,,6-11,,
7:47.0,,,6-11,,Personal foul by M. Kidd-Gilchrist (drawn by J. Johnson)
7:39.0,D. Williams misses 2-pt shot from 2 ft,,6-11,,
7:38.0,Offensive rebound by B. Lopez,,6-11,,
7:38.0,B. Lopez misses 2-pt shot from 1 ft,,6-11,,
7:35.0,,,6-11,,Defensive rebound by M. Williams
7:28.0,,,6-11,,M. Kidd-Gilchrist misses 2-pt shot from 7 ft
7:26.0,Defensive rebound by B. Lopez,,6-11,,
7:19.0,J. Johnson makes 2-pt shot from 18 ft,2,8-11,,
7:01.0,,,8-11,,M. Kidd-Gilchrist misses 2-pt shot from 16 ft
7:00.0,Defensive rebound by D. Williams,,8-11,,
6:47.0,D. Williams misses 2-pt shot from 11 ft,,8-11,,
6:46.0,,,8-11,,Defensive rebound by A. Jefferson
6:34.0,,,8-11,,Turnover by A. Jefferson (lost ball)
6:20.0,B. Lopez makes 2-pt shot from 16 ft (assist by M. Brown),2,10-11,,
6:07.0,,,10-11,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
6:06.0,Defensive rebound by D. Williams,,10-11,,
5:55.0,B. Lopez misses 2-pt shot from 10 ft,,10-11,,
5:53.0,Offensive rebound by M. Brown,,10-11,,
5:47.0,T. Young makes 2-pt shot from 1 ft (assist by D. Williams),2,12-11,,
5:30.0,,,12-13,2,A. Jefferson makes 2-pt shot from 12 ft (assist by G. Henderson)
5:19.0,Turnover by D. Williams (bad pass; steal by G. Henderson),,12-13,,
5:08.0,,,12-15,2,G. Henderson makes 2-pt shot from 16 ft
4:51.0,,,12-15,,Personal foul by A. Jefferson (drawn by B. Lopez)
4:51.0,B. Bogdanovic enters the game for M. Brown,,12-15,,
4:51.0,,,12-15,,M. Williams enters the game for G. Henderson
4:38.0,J. Johnson misses 2-pt shot from 13 ft,,12-15,,
4:36.0,,,12-15,,Defensive rebound by A. Jefferson
4:29.0,Personal foul by B. Bogdanovic (drawn by M. Williams),,12-15,,
4:21.0,,,12-17,2,M. Williams makes 2-pt shot from 19 ft (assist by M. Williams)
4:00.0,Turnover by T. Young (traveling),,12-17,,
3:41.0,,,12-19,2,A. Jefferson makes 2-pt shot from 9 ft
3:20.0,D. Williams makes 3-pt shot from 22 ft (assist by J. Johnson),3,15-19,,
3:01.0,Def 3 sec tech foul by B. Lopez,,15-19,,
3:01.0,,,15-19,,M. Williams misses technical free throw
3:01.0,,,15-19,,Offensive rebound by Team
2:53.0,,,15-19,,K. Walker misses 2-pt shot from 17 ft
2:52.0,Defensive rebound by B. Lopez,,15-19,,
2:35.0,Turnover by D. Williams (bad pass; steal by K. Walker),,15-19,,
2:29.0,,,15-19,,M. Williams misses 2-pt shot from 1 ft
2:28.0,Defensive rebound by T. Young,,15-19,,
2:23.0,B. Bogdanovic makes 2-pt shot at rim (assist by T. Young),2,17-19,,
2:07.0,,,17-19,,K. Walker misses 3-pt shot from 25 ft
2:06.0,Defensive rebound by J. Johnson,,17-19,,
1:56.0,B. Lopez makes 2-pt shot from 18 ft (assist by J. Johnson),2,19-19,,
1:39.0,,,19-22,3,M. Williams makes 3-pt shot from 26 ft (assist by M. Williams)
1:21.0,T. Young makes 2-pt shot from 8 ft (assist by D. Williams),2,21-22,,
1:07.0,,,21-22,,M. Williams misses 2-pt shot from 9 ft
1:04.0,Defensive rebound by B. Lopez,,21-22,,
0:57.0,B. Lopez misses 2-pt shot from 19 ft,,21-22,,
0:56.0,,,21-22,,Defensive rebound by M. Williams
0:46.0,,,21-22,,Turnover by M. Williams (lost ball; steal by B. Lopez)
0:42.0,T. Young makes 2-pt shot at rim,2,23-22,,
0:31.0,,,23-22,,K. Walker misses 2-pt shot at rim
0:29.0,,,23-22,,Offensive rebound by A. Jefferson
0:29.0,,,23-24,2,A. Jefferson makes 2-pt shot at rim
0:10.0,B. Lopez misses 2-pt shot from 1 ft (block by A. Jefferson),,23-24,,
0:08.0,Offensive rebound by T. Young,,23-24,,
0:08.0,T. Young misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist),,23-24,,
0:05.0,,,23-24,,Defensive rebound by M. Williams
0:04.0,,,23-26,2,K. Walker makes 2-pt shot at rim (assist by M. Williams)
