time,Atlanta,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. B. Lopez (D. Williams gains possession),,,,Jump ball: A. Horford vs. B. Lopez (D. Williams gains possession)
11:41.0,,,0-0,,K. Garnett misses 2-pt shot from 18 ft
11:40.0,Defensive rebound by D. Carroll,,0-0,,
11:20.0,A. Horford makes 2-pt shot from 18 ft (assist by P. Millsap),2,2-0,,
11:07.0,,,2-3,3,D. Williams makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
10:56.0,,,2-3,,Personal foul by D. Williams (drawn by J. Teague)
10:44.0,A. Horford misses 2-pt shot from 13 ft,,2-3,,
10:43.0,,,2-3,,Defensive rebound by J. Johnson
10:34.0,,,2-3,,B. Lopez misses 2-pt shot from 20 ft
10:33.0,Defensive rebound by D. Carroll,,2-3,,
10:10.0,Turnover by Team (shot clock),,2-3,,
9:52.0,,,2-3,,D. Williams misses 3-pt shot from 27 ft
9:51.0,Defensive rebound by A. Horford,,2-3,,
9:38.0,A. Horford misses 2-pt shot from 6 ft,,2-3,,
9:37.0,,,2-3,,Defensive rebound by K. Garnett
9:27.0,,,2-5,2,B. Lopez makes 2-pt shot from 18 ft (assist by D. Williams)
9:13.0,P. Millsap makes 3-pt shot from 26 ft (assist by J. Teague),3,5-5,,
8:57.0,,,5-8,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by J. Johnson)
8:41.0,D. Carroll makes 2-pt shot from 18 ft (assist by J. Teague),2,7-8,,
8:20.0,,,7-8,,B. Bogdanovic misses 3-pt shot from 23 ft
8:19.0,Defensive rebound by P. Millsap,,7-8,,
8:08.0,P. Millsap misses 2-pt shot from 5 ft,,7-8,,
8:07.0,,,7-8,,Defensive rebound by K. Garnett
7:45.0,,,7-10,2,B. Lopez makes 2-pt shot from 17 ft
7:30.0,J. Teague misses 3-pt shot from 23 ft (block by D. Williams),,7-10,,
7:29.0,,,7-10,,Defensive rebound by B. Lopez
7:19.0,,,7-10,,J. Johnson misses 3-pt shot from 24 ft
7:18.0,Defensive rebound by J. Teague,,7-10,,
7:06.0,A. Horford misses 2-pt shot from 20 ft,,7-10,,
7:05.0,,,7-10,,Defensive rebound by K. Garnett
6:42.0,,,7-12,2,J. Johnson makes 2-pt shot from 19 ft
6:27.0,J. Teague misses 2-pt shot from 1 ft,,7-12,,
6:26.0,,,7-12,,Defensive rebound by K. Garnett
6:21.0,,,7-12,,D. Williams misses 2-pt shot from 17 ft
6:20.0,,,7-12,,Offensive rebound by Team
6:20.0,Loose ball foul by D. Carroll (drawn by K. Garnett),,7-12,,
6:20.0,P. Antic enters the game for A. Horford,,7-12,,
6:20.0,,,7-12,,M. Teletovic enters the game for K. Garnett
6:14.0,,,7-12,,Turnover by J. Johnson (bad pass; steal by P. Millsap)
6:08.0,J. Teague makes 3-pt shot from 24 ft (assist by P. Millsap),3,10-12,,
5:46.0,,,10-14,2,B. Bogdanovic makes 2-pt shot from 2 ft
5:27.0,P. Millsap misses 3-pt shot from 24 ft,,10-14,,
5:26.0,,,10-14,,Defensive rebound by J. Johnson
5:18.0,,,10-14,,M. Teletovic misses 3-pt shot from 25 ft
5:17.0,Defensive rebound by D. Carroll,,10-14,,
4:55.0,D. Carroll misses 3-pt shot from 25 ft,,10-14,,
4:54.0,,,10-14,,Defensive rebound by M. Teletovic
4:45.0,,,10-14,,Turnover by D. Williams (bad pass; steal by J. Teague)
4:40.0,D. Carroll misses 2-pt shot from 2 ft,,10-14,,
4:39.0,,,10-14,,Defensive rebound by M. Teletovic
4:33.0,,,10-16,2,J. Johnson makes 2-pt shot from 6 ft (assist by M. Teletovic)
4:33.0,Atlanta full timeout,,10-16,,
4:33.0,T. Sefolosha enters the game for D. Carroll,,10-16,,
4:21.0,P. Millsap makes 2-pt shot from 6 ft,2,12-16,,
4:03.0,,,12-16,,B. Lopez misses 2-pt shot from 8 ft
4:02.0,Defensive rebound by P. Millsap,,12-16,,
3:51.0,K. Korver misses 3-pt shot from 23 ft,,12-16,,
3:50.0,,,12-16,,Defensive rebound by B. Bogdanovic
3:29.0,,,12-16,,D. Williams misses 2-pt shot from 8 ft
3:28.0,Defensive rebound by P. Millsap,,12-16,,
3:20.0,,,12-16,,Personal foul by D. Williams (drawn by J. Teague)
3:20.0,D. Schroder enters the game for J. Teague,,12-16,,
3:20.0,S. Mack enters the game for K. Korver,,12-16,,
3:20.0,,,12-16,,J. Jack enters the game for D. Williams
3:15.0,D. Schroder misses 2-pt shot from 7 ft,,12-16,,
3:14.0,,,12-16,,Defensive rebound by J. Johnson
3:01.0,,,12-16,,Turnover by J. Johnson (lost ball; steal by T. Sefolosha)
2:58.0,Shooting foul by J. Jack (drawn by T. Sefolosha),,12-16,,
2:58.0,,,12-16,,Brooklyn full timeout
2:58.0,T. Sefolosha makes free throw 1 of 2,1,13-16,,
2:58.0,T. Sefolosha misses free throw 2 of 2,,13-16,,
2:57.0,,,13-16,,Defensive rebound by B. Lopez
2:41.0,,,13-16,,M. Teletovic misses 2-pt shot from 6 ft
2:40.0,Defensive rebound by P. Millsap,,13-16,,
2:17.0,S. Mack misses 3-pt shot from 23 ft,,13-16,,
2:16.0,,,13-16,,Defensive rebound by B. Lopez
1:56.0,,,13-16,,M. Teletovic misses 3-pt shot from 24 ft
1:55.0,Defensive rebound by D. Schroder,,13-16,,
1:44.0,T. Sefolosha makes 3-pt shot from 22 ft (assist by P. Antic),3,16-16,,
1:34.0,,,16-16,,B. Lopez misses 2-pt shot from 4 ft (block by P. Millsap)
1:33.0,,,16-16,,Offensive rebound by B. Bogdanovic
1:29.0,Personal foul by S. Mack (drawn by B. Lopez),,16-16,,
1:29.0,M. Scott enters the game for P. Millsap,,16-16,,
1:29.0,,,16-16,,A. Anderson enters the game for J. Johnson
1:29.0,,,16-16,,M. Brown enters the game for B. Bogdanovic
1:22.0,,,16-16,,M. Brown misses 3-pt shot from 24 ft
1:21.0,Defensive rebound by T. Sefolosha,,16-16,,
1:04.0,M. Scott misses 3-pt shot from 24 ft,,16-16,,
1:03.0,Offensive rebound by Team,,16-16,,
1:03.0,,,16-16,,Loose ball foul by A. Anderson (drawn by T. Sefolosha)
0:57.0,P. Antic misses 3-pt shot from 24 ft,,16-16,,
0:56.0,,,16-16,,Defensive rebound by J. Jack
0:48.0,,,16-18,2,J. Jack makes 2-pt shot from 18 ft
0:31.0,P. Antic misses 3-pt shot from 22 ft,,16-18,,
0:29.0,,,16-18,,Defensive rebound by J. Jack
0:07.0,,,16-18,,B. Lopez misses 2-pt shot from 20 ft
0:06.0,Defensive rebound by T. Sefolosha,,16-18,,
0:01.0,P. Antic misses 2-pt shot from 2 ft,,16-18,,
0:00.0,,,16-18,,Defensive rebound by J. Jack
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by T. Sefolosha (traveling),,16-18,,
11:33.0,Personal foul by D. Schroder (drawn by M. Plumlee),,16-18,,
11:18.0,,,16-18,,Turnover by Team (shot clock)
11:02.0,M. Scott makes 2-pt shot from 7 ft (assist by D. Schroder),2,18-18,,
10:45.0,,,18-18,,A. Anderson misses 2-pt shot from 17 ft
10:44.0,Defensive rebound by A. Horford,,18-18,,
10:23.0,D. Schroder makes 2-pt shot from 2 ft,2,20-18,,
9:58.0,,,20-18,,M. Brown misses 2-pt shot from 2 ft
9:57.0,,,20-18,,Offensive rebound by M. Plumlee
9:56.0,,,20-18,,M. Plumlee misses 2-pt shot from 1 ft
9:55.0,Defensive rebound by A. Horford,,20-18,,
9:40.0,M. Scott makes 2-pt shot from 11 ft (assist by D. Schroder),2,22-18,,
9:40.0,,,22-18,,Brooklyn full timeout
9:40.0,,,22-18,,J. Johnson enters the game for M. Brown
9:40.0,,,22-18,,K. Garnett enters the game for M. Teletovic
9:17.0,,,22-18,,Shooting foul by T. Sefolosha (drawn by J. Johnson)
9:17.0,,,22-19,1,J. Johnson makes free throw 1 of 2
9:17.0,,,22-20,1,J. Johnson makes free throw 2 of 2
8:57.0,Shooting foul by M. Plumlee (drawn by A. Horford),,22-20,,
