time,Miami,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hamilton vs. M. Plumlee (D. Williams gains possession),,,,Jump ball: J. Hamilton vs. M. Plumlee (D. Williams gains possession)
11:45.0,,,0-0,,J. Johnson misses 3-pt shot from 23 ft
11:44.0,,,0-0,,Offensive rebound by M. Plumlee
11:26.0,,,0-0,,M. Plumlee misses 2-pt shot from 7 ft
11:25.0,Defensive rebound by U. Haslem,,0-0,,
11:15.0,D. Wade misses 2-pt shot from 17 ft,,0-0,,
11:14.0,,,0-0,,Defensive rebound by K. Garnett
11:06.0,,,0-0,,K. Garnett misses 2-pt shot from 18 ft
11:05.0,,,0-0,,Offensive rebound by M. Plumlee
10:50.0,,,0-0,,M. Plumlee misses 2-pt shot at rim
10:49.0,,,0-0,,Offensive rebound by Team
10:38.0,Personal foul by U. Haslem (drawn by S. Karasev),,0-0,,
10:31.0,,,0-0,,Turnover by M. Plumlee (bad pass; steal by N. Cole)
10:27.0,N. Cole misses 2-pt shot from 1 ft (block by S. Karasev),,0-0,,
10:25.0,Offensive rebound by D. Wade,,0-0,,
10:23.0,D. Wade makes 2-pt shot from 4 ft,2,2-0,,
10:12.0,Violation by U. Haslem (kicked ball),,2-0,,
10:05.0,,,2-0,,Shooting foul by J. Hamilton (drawn by M. Plumlee)
10:05.0,,,2-1,1,M. Plumlee makes free throw 1 of 2
10:05.0,,,2-1,,M. Plumlee misses free throw 2 of 2
10:04.0,Defensive rebound by U. Haslem,,2-1,,
9:50.0,L. Deng misses 2-pt shot from 20 ft,,2-1,,
9:49.0,,,2-1,,Defensive rebound by K. Garnett
9:38.0,,,2-3,2,M. Plumlee makes 2-pt shot at rim (assist by K. Garnett)
9:25.0,Shooting foul by S. Karasev (drawn by D. Wade),,2-3,,
9:25.0,D. Wade makes free throw 1 of 2,1,3-3,,
9:25.0,D. Wade makes free throw 2 of 2,1,4-3,,
9:03.0,,,4-6,3,S. Karasev makes 3-pt shot from 24 ft (assist by D. Williams)
8:37.0,D. Wade makes 2-pt shot from 17 ft (assist by N. Cole),2,6-6,,
8:15.0,,,6-6,,Shooting foul by N. Cole (drawn by D. Williams)
8:15.0,,,6-7,1,D. Williams makes free throw 1 of 2
8:15.0,,,6-8,1,D. Williams makes free throw 2 of 2
8:03.0,D. Wade makes 2-pt shot from 20 ft (assist by U. Haslem),2,8-8,,
7:46.0,,,8-8,,S. Karasev misses 3-pt shot from 22 ft
7:45.0,,,8-8,,Offensive rebound by S. Karasev
7:40.0,,,8-8,,Offensive foul by M. Plumlee
