time,LA Lakers,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. J. Hill (J. Holiday gains possession),,,,Jump ball: A. Davis vs. J. Hill (J. Holiday gains possession)
11:46.0,,,0-0,,Turnover by E. Gordon (bad pass; steal by C. Boozer)
11:35.0,J. Lin makes 2-pt shot at rim (assist by K. Bryant),2,2-0,,
11:21.0,,,2-0,,A. Davis misses 2-pt shot from 19 ft
11:20.0,,,2-0,,Offensive rebound by O. Asik
11:09.0,,,2-0,,T. Evans misses 2-pt shot from 1 ft
11:08.0,Defensive rebound by J. Hill,,2-0,,
10:56.0,J. Lin misses 3-pt shot from 24 ft,,2-0,,
10:54.0,,,2-0,,Defensive rebound by O. Asik
10:47.0,,,2-2,2,E. Gordon makes 2-pt shot from 1 ft
10:47.0,,,2-2,,Shooting foul by C. Boozer (drawn by E. Gordon)
10:47.0,,,2-3,1,E. Gordon makes free throw 1 of 1
10:35.0,W. Johnson makes 2-pt shot from 17 ft,2,4-3,,
10:11.0,,,4-5,2,A. Davis makes 2-pt shot from 1 ft
10:00.0,W. Johnson makes 2-pt shot from 1 ft,2,6-5,,
10:00.0,Shooting foul by T. Evans (drawn by W. Johnson),,6-5,,
10:00.0,W. Johnson makes free throw 1 of 1,1,7-5,,
9:46.0,,,7-5,,J. Holiday misses 2-pt shot from 16 ft
9:45.0,Defensive rebound by C. Boozer,,7-5,,
9:27.0,W. Johnson misses 3-pt shot from 22 ft,,7-5,,
9:26.0,Offensive rebound by J. Hill,,7-5,,
9:23.0,J. Hill misses 2-pt shot from 2 ft (block by A. Davis),,7-5,,
9:21.0,,,7-5,,Defensive rebound by A. Davis
9:08.0,Personal foul by K. Bryant (drawn by A. Davis),,7-5,,
9:02.0,,,7-7,2,A. Davis makes 2-pt shot at rim (assist by E. Gordon)
8:46.0,Turnover by C. Boozer (bad pass; steal by J. Holiday),,7-7,,
8:39.0,,,7-9,2,T. Evans makes 2-pt shot from 1 ft (assist by E. Gordon)
8:21.0,Turnover by J. Lin (lost ball; steal by A. Davis),,7-9,,
8:15.0,,,7-11,2,T. Evans makes 2-pt shot from 1 ft (assist by J. Holiday)
7:52.0,C. Boozer misses 2-pt shot from 16 ft,,7-11,,
7:51.0,,,7-11,,Defensive rebound by T. Evans
7:45.0,,,7-13,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
7:38.0,LA Lakers full timeout,,7-13,,
7:32.0,Shooting foul by O. Asik (drawn by C. Boozer),,7-13,,
7:32.0,C. Boozer makes free throw 1 of 2,1,8-13,,
7:32.0,C. Boozer makes free throw 2 of 2,1,9-13,,
7:17.0,,,9-13,,A. Davis misses 2-pt shot from 16 ft
7:16.0,Defensive rebound by C. Boozer,,9-13,,
7:10.0,K. Bryant makes 2-pt shot from 1 ft (assist by J. Lin),2,11-13,,
6:53.0,,,11-13,,E. Gordon misses 2-pt shot from 1 ft
6:52.0,,,11-13,,Offensive rebound by A. Davis
6:49.0,,,11-13,,Turnover by A. Davis (lost ball; steal by J. Lin)
6:42.0,C. Boozer misses 2-pt shot from 2 ft (block by O. Asik),,11-13,,
6:40.0,,,11-13,,Defensive rebound by E. Gordon
6:37.0,,,11-15,2,T. Evans makes 2-pt shot from 1 ft (assist by E. Gordon)
6:21.0,J. Hill misses 2-pt shot from 7 ft,,11-15,,
6:19.0,,,11-15,,Defensive rebound by O. Asik
6:09.0,,,11-15,,E. Gordon misses 3-pt shot from 25 ft
6:08.0,Defensive rebound by J. Lin,,11-15,,
5:56.0,J. Lin misses 2-pt shot from 13 ft,,11-15,,
5:55.0,Offensive rebound by J. Hill,,11-15,,
5:55.0,J. Hill misses 2-pt shot from 2 ft,,11-15,,
5:52.0,,,11-15,,Defensive rebound by O. Asik
5:45.0,,,11-15,,Turnover by T. Evans (lost ball)
5:27.0,K. Bryant misses 2-pt shot from 2 ft,,11-15,,
5:25.0,Offensive rebound by W. Johnson,,11-15,,
5:25.0,W. Johnson misses 2-pt shot from 3 ft,,11-15,,
5:25.0,,,11-15,,Defensive rebound by Team
5:25.0,,,11-15,,L. Babbitt enters the game for T. Evans
