time,Chicago,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. P. Gasol (E. Payton gains possession),,,,Jump ball: D. Dedmon vs. P. Gasol (E. Payton gains possession)
11:45.0,,,0-0,,T. Harris misses 3-pt shot from 24 ft
11:43.0,,,0-0,,Offensive rebound by D. Dedmon
11:43.0,,,0-2,2,D. Dedmon makes 2-pt shot at rim
11:21.0,P. Gasol misses 2-pt shot from 11 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by V. Oladipo
11:11.0,,,0-2,,N. Vucevic misses 2-pt shot from 18 ft
11:10.0,Defensive rebound by J. Noah,,0-2,,
10:54.0,D. Rose misses 3-pt shot from 25 ft,,0-2,,
10:52.0,,,0-2,,Defensive rebound by N. Vucevic
10:33.0,,,0-2,,D. Dedmon misses 2-pt shot from 17 ft
10:31.0,Defensive rebound by D. Rose,,0-2,,
10:22.0,P. Gasol misses 2-pt shot from 18 ft,,0-2,,
10:21.0,,,0-2,,Defensive rebound by V. Oladipo
10:13.0,,,0-2,,Turnover by V. Oladipo (lost ball; steal by J. Noah)
10:09.0,Shooting foul by D. Dedmon (drawn by J. Butler),,0-2,,
10:09.0,J. Butler makes free throw 1 of 2,1,1-2,,
10:09.0,J. Butler makes free throw 2 of 2,1,2-2,,
9:55.0,,,2-2,,Turnover by V. Oladipo (lost ball; steal by J. Butler)
9:49.0,D. Rose makes 3-pt shot from 22 ft (assist by J. Butler),3,5-2,,
9:25.0,,,5-2,,E. Payton misses 2-pt shot from 2 ft (block by P. Gasol)
9:21.0,,,5-2,,Offensive rebound by D. Dedmon
9:21.0,,,5-2,,Turnover by D. Dedmon (lost ball; steal by D. Rose)
9:13.0,Turnover by D. Rose (bad pass),,5-2,,
9:02.0,,,5-2,,Shooting foul by M. Dunleavy (drawn by T. Harris)
9:02.0,,,5-3,1,T. Harris makes free throw 1 of 2
9:02.0,,,5-4,1,T. Harris makes free throw 2 of 2
8:43.0,P. Gasol makes 2-pt shot from 2 ft (assist by M. Dunleavy),2,7-4,,
8:23.0,,,7-6,2,N. Vucevic makes 2-pt shot from 19 ft (assist by V. Oladipo)
8:05.0,D. Rose misses 3-pt shot from 24 ft,,7-6,,
8:04.0,,,7-6,,Defensive rebound by D. Dedmon
7:54.0,,,7-8,2,E. Payton makes 2-pt shot from 8 ft
7:37.0,P. Gasol makes 2-pt shot from 13 ft,2,9-8,,
7:27.0,,,9-8,,N. Vucevic misses 2-pt shot from 18 ft
7:26.0,Defensive rebound by J. Noah,,9-8,,
7:12.0,D. Rose makes 2-pt shot from 18 ft (assist by M. Dunleavy),2,11-8,,
6:54.0,,,11-10,2,N. Vucevic makes 2-pt shot from 14 ft
6:25.0,J. Butler makes 3-pt shot from 24 ft (assist by J. Noah),3,14-10,,
6:06.0,,,14-12,2,N. Vucevic makes 2-pt shot from 11 ft (assist by V. Oladipo)
5:57.0,Chicago full timeout,,14-12,,
5:57.0,A. Brooks enters the game for D. Rose,,14-12,,
5:57.0,,,14-12,,A. Gordon enters the game for T. Harris
5:48.0,M. Dunleavy makes 2-pt shot at rim (assist by J. Noah),2,16-12,,
5:35.0,,,16-12,,V. Oladipo misses 2-pt shot from 11 ft
5:34.0,Defensive rebound by J. Butler,,16-12,,
5:16.0,M. Dunleavy misses 3-pt shot from 26 ft,,16-12,,
5:15.0,,,16-12,,Defensive rebound by A. Gordon
5:01.0,,,16-12,,N. Vucevic misses 2-pt shot from 16 ft
4:59.0,Defensive rebound by M. Dunleavy,,16-12,,
4:47.0,J. Noah misses 2-pt shot from 9 ft,,16-12,,
4:45.0,,,16-12,,Defensive rebound by E. Payton
4:25.0,,,16-14,2,V. Oladipo makes 2-pt shot from 16 ft
4:06.0,M. Dunleavy misses 3-pt shot from 26 ft,,16-14,,
4:05.0,,,16-14,,Defensive rebound by D. Dedmon
3:55.0,,,16-14,,Turnover by D. Dedmon (bad pass)
3:55.0,,,16-14,,E. Fournier enters the game for V. Oladipo
3:55.0,T. Gibson enters the game for J. Noah,,16-14,,
3:40.0,A. Brooks makes 3-pt shot from 25 ft (assist by J. Butler),3,19-14,,
3:37.0,,,19-14,,Orlando full timeout
3:37.0,,,19-14,,T. Harris enters the game for D. Dedmon
3:22.0,,,19-14,,Turnover by N. Vucevic (lost ball; steal by P. Gasol)
3:14.0,M. Dunleavy makes 3-pt shot from 22 ft (assist by J. Butler),3,22-14,,
2:59.0,,,22-14,,E. Payton misses 2-pt shot from 8 ft
2:58.0,,,22-14,,Offensive rebound by N. Vucevic
2:57.0,,,22-16,2,N. Vucevic makes 2-pt shot from 1 ft
2:39.0,A. Brooks makes 2-pt shot from 1 ft,2,24-16,,
2:25.0,,,24-19,3,E. Fournier makes 3-pt shot from 25 ft (assist by T. Harris)
2:01.0,P. Gasol misses 2-pt shot from 1 ft,,24-19,,
2:01.0,,,24-19,,Defensive rebound by Team
2:01.0,N. Mirotic enters the game for M. Dunleavy,,24-19,,
2:01.0,,,24-19,,V. Oladipo enters the game for E. Payton
1:48.0,,,24-19,,T. Harris misses 3-pt shot from 25 ft
1:46.0,Defensive rebound by J. Butler,,24-19,,
1:30.0,T. Gibson makes 2-pt shot from 1 ft,2,26-19,,
1:08.0,,,26-21,2,T. Harris makes 2-pt shot from 2 ft
0:54.0,Shooting foul by T. Harris (drawn by T. Gibson),,26-21,,
0:54.0,T. Gibson makes free throw 1 of 2,1,27-21,,
0:54.0,K. Hinrich enters the game for J. Butler,,27-21,,
0:54.0,T. Gibson misses free throw 2 of 2,,27-21,,
0:53.0,,,27-21,,Defensive rebound by V. Oladipo
0:40.0,,,27-21,,T. Harris misses 2-pt shot from 18 ft
0:38.0,Defensive rebound by P. Gasol,,27-21,,
0:28.0,Shooting foul by N. Vucevic (drawn by P. Gasol),,27-21,,
0:28.0,P. Gasol makes free throw 1 of 2,1,28-21,,
0:28.0,P. Gasol makes free throw 2 of 2,1,29-21,,
0:08.0,,,29-21,,N. Vucevic misses 2-pt shot from 9 ft
0:07.0,Defensive rebound by P. Gasol,,29-21,,
0:03.0,Turnover by T. Gibson (bad pass; steal by V. Oladipo),,29-21,,
0:02.0,Personal foul by P. Gasol (drawn by V. Oladipo),,29-21,,
0:00.0,,,29-21,,V. Oladipo misses 3-pt shot from 40 ft
0:00.0,,,29-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Shooting foul by D. Dedmon (drawn by J. Noah),,29-21,,
11:49.0,J. Noah misses free throw 1 of 2,,29-21,,
11:49.0,Offensive rebound by Team,,29-21,,
11:49.0,J. Noah misses free throw 2 of 2,,29-21,,
11:48.0,Offensive rebound by N. Mirotic,,29-21,,
11:42.0,K. Hinrich makes 3-pt shot from 25 ft (assist by D. Rose),3,32-21,,
11:40.0,,,32-21,,Orlando full timeout
11:21.0,,,32-21,,A. Nicholson misses 2-pt shot from 10 ft
11:20.0,Defensive rebound by T. Gibson,,32-21,,
11:07.0,N. Mirotic misses 2-pt shot from 21 ft,,32-21,,
11:05.0,,,32-21,,Defensive rebound by A. Nicholson
10:55.0,,,32-23,2,A. Nicholson makes 2-pt shot from 19 ft (assist by V. Oladipo)
10:38.0,N. Mirotic makes 3-pt shot from 25 ft (assist by K. Hinrich),3,35-23,,
10:11.0,,,35-23,,E. Fournier misses 2-pt shot from 10 ft
10:08.0,Defensive rebound by T. Gibson,,35-23,,
10:01.0,D. Rose misses 3-pt shot from 26 ft,,35-23,,
10:00.0,,,35-23,,Defensive rebound by D. Dedmon
9:52.0,,,35-23,,Turnover by A. Nicholson (bad pass)
9:52.0,,,35-23,,E. Payton enters the game for E. Fournier
9:38.0,N. Mirotic misses 2-pt shot from 2 ft (block by A. Nicholson),,35-23,,
9:38.0,Offensive rebound by Team,,35-23,,
9:31.0,T. Gibson misses 2-pt shot from 2 ft,,35-23,,
9:29.0,Offensive rebound by J. Noah,,35-23,,
9:25.0,D. Rose misses 2-pt shot from 18 ft,,35-23,,
9:23.0,,,35-23,,Defensive rebound by D. Dedmon
8:59.0,,,35-25,2,A. Nicholson makes 2-pt shot from 10 ft
8:46.0,T. Gibson makes 2-pt shot from 4 ft (assist by K. Hinrich),2,37-25,,
8:46.0,Shooting foul by A. Nicholson (drawn by T. Gibson),,37-25,,
8:46.0,T. Gibson makes free throw 1 of 1,1,38-25,,
8:28.0,,,38-25,,T. Harris misses 2-pt shot from 17 ft
8:26.0,Defensive rebound by K. Hinrich,,38-25,,
8:14.0,K. Hinrich makes 2-pt shot from 19 ft,2,40-25,,
8:03.0,,,40-27,2,D. Dedmon makes 2-pt shot at rim (assist by E. Payton)
7:50.0,Turnover by D. Rose (bad pass; steal by E. Payton),,40-27,,
7:45.0,,,40-27,,T. Harris misses 2-pt shot from 2 ft
7:43.0,,,40-27,,Offensive rebound by E. Payton
7:37.0,,,40-27,,V. Oladipo misses 3-pt shot from 25 ft
7:36.0,,,40-27,,Offensive rebound by E. Payton
7:36.0,,,40-29,2,E. Payton makes 2-pt shot at rim
7:36.0,,,40-29,,Shooting foul by T. Gibson (drawn by E. Payton)
7:36.0,,,40-30,1,E. Payton makes free throw 1 of 1
7:25.0,K. Hinrich misses 3-pt shot from 25 ft,,40-30,,
7:24.0,,,40-30,,Defensive rebound by T. Harris
7:06.0,,,40-30,,T. Harris misses 2-pt shot from 9 ft
7:04.0,Defensive rebound by T. Gibson,,40-30,,
6:54.0,N. Mirotic misses 2-pt shot from 19 ft,,40-30,,
6:53.0,Offensive rebound by T. Gibson,,40-30,,
