time,Portland,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Dorsey vs. R. Lopez (T. Ariza gains possession),,,,Jump ball: J. Dorsey vs. R. Lopez (T. Ariza gains possession)
11:43.0,,,0-0,,P. Beverley misses 3-pt shot from 24 ft
11:41.0,Defensive rebound by W. Matthews,,0-0,,
11:30.0,Turnover by N. Batum (lost ball),,0-0,,
11:25.0,,,0-0,,T. Ariza misses 2-pt shot from 22 ft
11:23.0,Defensive rebound by R. Lopez,,0-0,,
11:09.0,W. Matthews misses 2-pt shot from 9 ft,,0-0,,
11:08.0,Offensive rebound by Team,,0-0,,
10:55.0,L. Aldridge misses 3-pt shot from 24 ft,,0-0,,
10:53.0,,,0-0,,Defensive rebound by T. Ariza
10:42.0,,,0-0,,D. Motiejunas misses 2-pt shot from 6 ft
10:40.0,Defensive rebound by R. Lopez,,0-0,,
10:16.0,W. Matthews makes 3-pt shot from 24 ft (assist by L. Aldridge),3,3-0,,
10:00.0,,,3-0,,J. Harden misses 3-pt shot from 25 ft
9:59.0,Defensive rebound by L. Aldridge,,3-0,,
9:43.0,L. Aldridge misses 2-pt shot from 12 ft,,3-0,,
9:40.0,,,3-0,,Defensive rebound by Team
9:28.0,,,3-0,,J. Dorsey misses 2-pt shot from 1 ft (block by L. Aldridge)
9:26.0,,,3-0,,Offensive rebound by J. Dorsey
9:22.0,,,3-3,3,D. Motiejunas makes 3-pt shot from 24 ft (assist by J. Harden)
9:02.0,Jump ball: R. Lopez vs. D. Motiejunas (L. Aldridge gains possession),,,,Jump ball: R. Lopez vs. D. Motiejunas (L. Aldridge gains possession)
8:58.0,L. Aldridge makes 2-pt shot from 2 ft,2,5-3,,
8:41.0,,,5-5,2,J. Harden makes 2-pt shot from 17 ft
8:29.0,D. Lillard makes 2-pt shot from 19 ft,2,7-5,,
8:16.0,,,7-5,,Shooting foul by L. Aldridge (drawn by D. Motiejunas)
8:16.0,,,7-5,,D. Motiejunas misses free throw 1 of 2
8:16.0,,,7-5,,Offensive rebound by Team
8:16.0,,,7-5,,D. Motiejunas misses free throw 2 of 2
8:16.0,,,7-5,,Offensive rebound by T. Ariza
8:06.0,,,7-5,,J. Harden misses 2-pt shot from 1 ft (block by L. Aldridge)
8:04.0,Defensive rebound by W. Matthews,,7-5,,
7:52.0,W. Matthews misses 3-pt shot from 24 ft,,7-5,,
7:51.0,,,7-5,,Defensive rebound by T. Ariza
7:39.0,,,7-5,,Turnover by J. Harden (bad pass; steal by W. Matthews)
7:21.0,R. Lopez makes 2-pt shot from 6 ft (assist by D. Lillard),2,9-5,,
7:12.0,,,9-7,2,P. Beverley makes 2-pt shot from 8 ft
6:54.0,N. Batum misses 3-pt shot from 26 ft,,9-7,,
6:53.0,,,9-7,,Defensive rebound by J. Harden
6:48.0,,,9-7,,Shooting foul by D. Lillard (drawn by J. Harden)
6:48.0,,,9-8,1,J. Harden makes free throw 1 of 2
6:48.0,,,9-9,1,J. Harden makes free throw 2 of 2
6:38.0,,,9-9,,Personal foul by P. Beverley (drawn by D. Lillard)
6:32.0,Turnover by N. Batum (lost ball; steal by T. Ariza),,9-9,,
6:26.0,,,9-11,2,J. Dorsey makes 2-pt shot at rim (assist by D. Motiejunas)
6:01.0,L. Aldridge makes 2-pt shot from 2 ft,2,11-11,,
