time,Minnesota,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Noah vs. A. Payne (N. Pekovic gains possession),,,,Jump ball: J. Noah vs. A. Payne (N. Pekovic gains possession)
11:38.0,A. Wiggins misses 2-pt shot from 12 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by A. Brooks
11:17.0,,,0-2,2,M. Dunleavy makes 2-pt shot from 2 ft (assist by J. Noah)
11:09.0,Shooting foul by A. Brooks (drawn by R. Rubio),,0-2,,
11:09.0,R. Rubio makes free throw 1 of 2,1,1-2,,
11:09.0,R. Rubio makes free throw 2 of 2,1,2-2,,
10:46.0,,,2-2,,J. Butler misses 2-pt shot from 18 ft
10:46.0,Defensive rebound by Team,,2-2,,
10:46.0,,,2-2,,Loose ball foul by T. Gibson (drawn by A. Payne)
10:32.0,A. Payne misses 2-pt shot from 16 ft,,2-2,,
10:30.0,,,2-2,,Defensive rebound by J. Butler
10:22.0,,,2-4,2,T. Gibson makes 2-pt shot from 2 ft (assist by J. Noah)
10:04.0,N. Pekovic makes 2-pt shot from 10 ft (assist by A. Wiggins),2,4-4,,
9:51.0,,,4-6,2,T. Gibson makes 2-pt shot at rim (assist by J. Noah)
9:33.0,R. Rubio misses 2-pt shot from 21 ft,,4-6,,
9:32.0,,,4-6,,Defensive rebound by M. Dunleavy
9:23.0,,,4-8,2,J. Noah makes 2-pt shot at rim (assist by M. Dunleavy)
9:15.0,Minnesota full timeout,,4-8,,
9:02.0,R. Rubio misses 3-pt shot from 25 ft,,4-8,,
9:01.0,Offensive rebound by A. Payne,,4-8,,
9:01.0,A. Payne misses 2-pt shot from 1 ft,,4-8,,
9:00.0,,,4-8,,Defensive rebound by J. Noah
8:57.0,Personal foul by A. Payne (drawn by T. Gibson),,4-8,,
8:42.0,,,4-8,,A. Brooks misses 3-pt shot from 25 ft
8:41.0,,,4-8,,Offensive rebound by M. Dunleavy
8:41.0,,,4-8,,M. Dunleavy misses 2-pt shot from 2 ft
8:40.0,Defensive rebound by A. Wiggins,,4-8,,
8:33.0,K. Martin makes 2-pt shot from 15 ft (assist by R. Rubio),2,6-8,,
8:19.0,,,6-8,,M. Dunleavy misses 3-pt shot from 26 ft
8:18.0,Defensive rebound by A. Payne,,6-8,,
8:12.0,K. Martin makes 2-pt shot from 11 ft,2,8-8,,
8:02.0,,,8-8,,T. Gibson misses 2-pt shot from 14 ft
8:01.0,Defensive rebound by R. Rubio,,8-8,,
7:51.0,A. Payne misses 2-pt shot from 17 ft,,8-8,,
7:50.0,,,8-8,,Defensive rebound by J. Noah
7:37.0,,,8-11,3,A. Brooks makes 3-pt shot from 25 ft (assist by M. Dunleavy)
7:17.0,A. Wiggins misses 2-pt shot from 19 ft,,8-11,,
7:16.0,,,8-11,,Defensive rebound by T. Gibson
7:03.0,,,8-13,2,J. Butler makes 2-pt shot from 14 ft (assist by J. Noah)
6:49.0,G. Dieng enters the game for A. Payne,,8-13,,
6:37.0,N. Pekovic misses 2-pt shot from 5 ft,,8-13,,
6:36.0,,,8-13,,Defensive rebound by M. Dunleavy
6:28.0,,,8-15,2,J. Butler makes 2-pt shot from 2 ft (assist by J. Noah)
6:27.0,Minnesota full timeout,,8-15,,
6:05.0,N. Pekovic makes 2-pt shot from 14 ft (assist by R. Rubio),2,10-15,,
5:45.0,,,10-15,,Turnover by J. Noah (bad pass; steal by A. Wiggins)
5:40.0,Shooting foul by M. Dunleavy (drawn by K. Martin),,10-15,,
5:40.0,K. Martin makes free throw 1 of 2,1,11-15,,
5:40.0,K. Martin makes free throw 2 of 2,1,12-15,,
5:31.0,Personal foul by A. Wiggins (drawn by J. Butler),,12-15,,
5:19.0,,,12-15,,T. Gibson misses 2-pt shot from 12 ft
5:18.0,Defensive rebound by R. Rubio,,12-15,,
5:10.0,A. Wiggins makes 2-pt shot from 8 ft,2,14-15,,
4:55.0,,,14-15,,A. Brooks misses 3-pt shot from 22 ft
4:55.0,,,14-15,,Offensive rebound by J. Butler
4:55.0,,,14-15,,Shooting foul by R. Rubio (drawn by J. Butler)
4:55.0,,,14-16,1,J. Butler makes free throw 1 of 2
4:55.0,,,14-16,,T. Snell enters the game for M. Dunleavy
4:55.0,,,14-17,1,J. Butler makes free throw 2 of 2
4:42.0,A. Wiggins makes 2-pt shot from 21 ft,2,16-17,,
4:19.0,Violation by N. Pekovic (def goaltending),,16-17,,
4:19.0,,,16-19,2,T. Snell makes 2-pt shot from 6 ft
4:07.0,Shooting foul by T. Snell (drawn by A. Wiggins),,16-19,,
4:07.0,A. Wiggins misses free throw 1 of 2,,16-19,,
4:07.0,Offensive rebound by Team,,16-19,,
4:07.0,A. Wiggins makes free throw 2 of 2,1,17-19,,
3:53.0,,,17-19,,A. Brooks misses 2-pt shot from 2 ft
3:52.0,,,17-19,,Offensive rebound by T. Gibson
3:49.0,,,17-19,,T. Gibson misses 2-pt shot from 7 ft
3:47.0,,,17-19,,Offensive rebound by J. Noah
3:32.0,,,17-21,2,J. Noah makes 2-pt shot from 3 ft (assist by A. Brooks)
3:11.0,N. Pekovic misses 2-pt shot from 6 ft,,17-21,,
3:09.0,,,17-21,,Defensive rebound by J. Noah
3:04.0,,,17-21,,J. Butler misses 2-pt shot from 2 ft
3:03.0,Defensive rebound by N. Pekovic,,17-21,,
2:57.0,A. Wiggins makes 2-pt shot from 11 ft (assist by R. Rubio),2,19-21,,
2:50.0,,,19-21,,Chicago full timeout
2:50.0,,,19-21,,N. Mirotic enters the game for T. Gibson
2:50.0,G. Neal enters the game for K. Martin,,19-21,,
2:50.0,A. Payne enters the game for N. Pekovic,,19-21,,
2:41.0,,,19-21,,A. Brooks misses 2-pt shot from 22 ft
2:40.0,Defensive rebound by G. Neal,,19-21,,
2:29.0,,,19-21,,Personal foul by N. Mirotic (drawn by A. Wiggins)
2:29.0,A. Wiggins misses free throw 1 of 2,,19-21,,
2:29.0,Offensive rebound by Team,,19-21,,
2:29.0,,,19-21,,K. Hinrich enters the game for A. Brooks
2:29.0,,,19-21,,N. Mohammed enters the game for J. Noah
2:29.0,A. Wiggins misses free throw 2 of 2,,19-21,,
2:26.0,,,19-21,,Defensive rebound by T. Snell
2:07.0,,,19-23,2,N. Mohammed makes 2-pt shot from 2 ft (assist by N. Mirotic)
1:47.0,R. Rubio makes 2-pt shot from 20 ft,2,21-23,,
1:26.0,,,21-23,,J. Butler misses 3-pt shot from 25 ft
1:25.0,,,21-23,,Offensive rebound by N. Mirotic
1:23.0,,,21-25,2,N. Mirotic makes 2-pt shot from 1 ft
1:00.0,R. Rubio misses 2-pt shot from 20 ft,,21-25,,
1:00.0,,,21-25,,Defensive rebound by N. Mohammed
0:46.0,,,21-25,,N. Mirotic misses 2-pt shot from 14 ft
0:45.0,Defensive rebound by A. Payne,,21-25,,
0:40.0,Turnover by G. Dieng (bad pass),,21-25,,
0:21.0,,,21-27,2,J. Butler makes 2-pt shot from 17 ft
0:02.0,A. Payne makes 2-pt shot from 1 ft (assist by R. Rubio),2,23-27,,
0:00.0,,,23-27,,K. Hinrich misses 3-pt shot from 51 ft
0:00.0,,,23-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,23-27,,N. Mirotic misses 2-pt shot from 20 ft
11:36.0,Defensive rebound by G. Neal,,23-27,,
11:19.0,Turnover by G. Dieng (traveling),,23-27,,
11:00.0,,,23-27,,T. Snell misses 3-pt shot from 25 ft
10:59.0,,,23-27,,Offensive rebound by N. Mohammed
10:54.0,,,23-27,,K. Hinrich misses 3-pt shot from 24 ft
10:52.0,Defensive rebound by A. Wiggins,,23-27,,
10:46.0,Turnover by A. Wiggins (lost ball; steal by K. Hinrich),,23-27,,
10:42.0,,,23-29,2,J. Butler makes 2-pt shot at rim (assist by K. Hinrich)
10:17.0,G. Neal makes 2-pt shot from 22 ft,2,25-29,,
10:00.0,,,25-29,,N. Mirotic misses 2-pt shot from 6 ft
9:59.0,Defensive rebound by G. Dieng,,25-29,,
9:41.0,A. Payne makes 2-pt shot from 4 ft,2,27-29,,
9:21.0,,,27-32,3,T. Snell makes 3-pt shot from 25 ft (assist by K. Hinrich)
9:03.0,A. Wiggins misses 2-pt shot from 4 ft (block by J. Butler),,27-32,,
9:01.0,Offensive rebound by G. Dieng,,27-32,,
9:01.0,Shooting foul by N. Mohammed (drawn by G. Dieng),,27-32,,
9:01.0,G. Dieng misses free throw 1 of 2,,27-32,,
9:01.0,Offensive rebound by Team,,27-32,,
9:01.0,,,27-32,,E. Moore enters the game for J. Butler
9:01.0,Z. LaVine enters the game for R. Rubio,,27-32,,
9:01.0,K. Martin enters the game for A. Wiggins,,27-32,,
9:01.0,G. Dieng misses free throw 2 of 2,,27-32,,
9:00.0,,,27-32,,Defensive rebound by N. Mohammed
8:47.0,,,27-32,,N. Mohammed misses 2-pt shot from 12 ft
8:46.0,Defensive rebound by G. Dieng,,27-32,,
8:38.0,K. Martin misses 2-pt shot from 18 ft,,27-32,,
8:37.0,Offensive rebound by Team,,27-32,,
8:37.0,,,27-32,,Loose ball foul by K. Hinrich (drawn by G. Dieng)
8:37.0,Minnesota full timeout,,27-32,,
8:37.0,,,27-32,,J. Noah enters the game for N. Mohammed
8:37.0,N. Pekovic enters the game for G. Dieng,,27-32,,
8:33.0,N. Pekovic makes 2-pt shot from 2 ft (assist by G. Neal),2,29-32,,
8:16.0,,,29-32,,T. Snell misses 2-pt shot from 22 ft
8:15.0,Defensive rebound by K. Martin,,29-32,,
8:05.0,G. Neal misses 2-pt shot from 20 ft,,29-32,,
8:04.0,,,29-32,,Defensive rebound by T. Snell
7:59.0,,,29-32,,T. Snell misses 2-pt shot from 2 ft
7:58.0,,,29-32,,Offensive rebound by T. Snell
7:54.0,,,29-32,,N. Mirotic misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by Z. LaVine,,29-32,,
7:34.0,Z. LaVine makes 3-pt shot from 25 ft (assist by G. Neal),3,32-32,,
7:14.0,,,32-32,,Shooting foul by Z. LaVine (drawn by T. Snell)
7:14.0,,,32-33,1,T. Snell makes free throw 1 of 2
7:14.0,,,32-34,1,T. Snell makes free throw 2 of 2
7:02.0,,,32-34,,Personal foul by T. Snell (drawn by K. Martin)
6:55.0,K. Martin misses 3-pt shot from 23 ft,,32-34,,
6:54.0,,,32-34,,Defensive rebound by K. Hinrich
6:45.0,,,32-34,,E. Moore misses 3-pt shot from 26 ft
6:44.0,Defensive rebound by Z. LaVine,,32-34,,
6:35.0,,,32-34,,Personal foul by N. Mirotic (drawn by N. Pekovic)
6:35.0,,,32-34,,J. Butler enters the game for K. Hinrich
6:35.0,,,32-34,,A. Brooks enters the game for E. Moore
6:29.0,G. Neal makes 2-pt shot from 1 ft,2,34-34,,
6:29.0,Shooting foul by N. Mirotic (drawn by Z. LaVine),,34-34,,
6:29.0,,,34-34,,M. Dunleavy enters the game for N. Mirotic
6:29.0,G. Neal makes free throw 1 of 1,1,35-34,,
6:16.0,,,35-34,,A. Brooks misses 2-pt shot from 12 ft
6:13.0,,,35-34,,Offensive rebound by A. Brooks
6:04.0,,,35-34,,Turnover by J. Butler (lost ball; steal by G. Neal)
5:56.0,A. Payne makes 2-pt shot from 1 ft (assist by Z. LaVine),2,37-34,,
5:51.0,,,37-34,,Chicago full timeout
5:27.0,,,37-36,2,J. Butler makes 2-pt shot from 15 ft
5:03.0,G. Neal misses 3-pt shot from 23 ft,,37-36,,
5:03.0,Offensive rebound by Team,,37-36,,
4:58.0,K. Martin misses 2-pt shot from 11 ft,,37-36,,
4:57.0,,,37-36,,Defensive rebound by M. Dunleavy
4:40.0,,,37-39,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by A. Brooks)
4:18.0,Z. LaVine misses 2-pt shot from 18 ft,,37-39,,
4:17.0,Offensive rebound by Z. LaVine,,37-39,,
4:01.0,A. Payne misses 2-pt shot from 2 ft (block by M. Dunleavy),,37-39,,
3:59.0,,,37-39,,Defensive rebound by A. Brooks
3:50.0,Personal foul by A. Payne (drawn by M. Dunleavy),,37-39,,
3:50.0,A. Wiggins enters the game for A. Payne,,37-39,,
3:50.0,G. Dieng enters the game for G. Neal,,37-39,,
3:50.0,R. Rubio enters the game for Z. LaVine,,37-39,,
3:42.0,,,37-41,2,J. Noah makes 2-pt shot from 1 ft (assist by T. Snell)
3:25.0,R. Rubio makes 2-pt shot from 22 ft (assist by K. Martin),2,39-41,,
3:12.0,,,39-41,,M. Dunleavy misses 2-pt shot from 2 ft
3:11.0,Defensive rebound by N. Pekovic,,39-41,,
3:07.0,Turnover by N. Pekovic (bad pass; steal by A. Brooks),,39-41,,
3:01.0,,,39-44,3,M. Dunleavy makes 3-pt shot from 23 ft (assist by A. Brooks)
3:01.0,Minnesota full timeout,,39-44,,
3:01.0,C. Budinger enters the game for N. Pekovic,,39-44,,
2:51.0,Shooting foul by T. Snell (drawn by A. Wiggins),,39-44,,
2:51.0,A. Wiggins misses free throw 1 of 2,,39-44,,
2:51.0,Offensive rebound by Team,,39-44,,
2:51.0,,,39-44,,D. McDermott enters the game for T. Snell
2:51.0,A. Wiggins makes free throw 2 of 2,1,40-44,,
2:38.0,,,40-44,,A. Brooks misses 2-pt shot from 3 ft
2:37.0,,,40-44,,Offensive rebound by J. Butler
2:37.0,,,40-44,,J. Butler misses 2-pt shot from 2 ft
2:36.0,Defensive rebound by K. Martin,,40-44,,
2:30.0,G. Dieng misses 2-pt shot from 5 ft (block by M. Dunleavy),,40-44,,
2:28.0,,,40-44,,Defensive rebound by Team
2:28.0,Jump ball: G. Dieng vs. M. Dunleavy (J. Noah gains possession),,,,Jump ball: G. Dieng vs. M. Dunleavy (J. Noah gains possession)
2:19.0,,,40-47,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by J. Noah)
2:00.0,A. Wiggins misses 2-pt shot from 9 ft,,40-47,,
1:58.0,,,40-47,,Defensive rebound by J. Butler
1:45.0,,,40-47,,J. Noah misses 2-pt shot from 3 ft (block by R. Rubio)
1:45.0,Defensive rebound by Team,,40-47,,
1:34.0,R. Rubio misses 2-pt shot from 1 ft,,40-47,,
1:33.0,,,40-47,,Defensive rebound by J. Noah
1:31.0,Personal foul by A. Wiggins (drawn by M. Dunleavy),,40-47,,
1:22.0,,,40-47,,A. Brooks misses 2-pt shot from 2 ft
1:21.0,Defensive rebound by R. Rubio,,40-47,,
