time,Philadelphia,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Ibaka vs. N. Noel (E. Kanter gains possession),,,,Jump ball: S. Ibaka vs. N. Noel (E. Kanter gains possession)
11:48.0,,,0-0,,S. Ibaka misses 2-pt shot from 16 ft
11:47.0,Defensive rebound by J. Richardson,,0-0,,
11:33.0,N. Noel misses 2-pt shot from 17 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by A. Roberson
11:20.0,,,0-0,,Turnover by E. Kanter (lost ball; steal by N. Noel)
11:11.0,J. Richardson makes 3-pt shot from 23 ft (assist by J. Sampson),3,3-0,,
10:53.0,Personal foul by N. Noel (drawn by E. Kanter),,3-0,,
10:47.0,,,3-0,,R. Westbrook misses 3-pt shot from 24 ft
10:46.0,Defensive rebound by J. Richardson,,3-0,,
10:41.0,,,3-0,,Personal foul by K. Singler (drawn by J. Richardson)
10:34.0,I. Canaan makes 3-pt shot from 24 ft (assist by L. Mbah a Moute),3,6-0,,
10:14.0,,,6-0,,E. Kanter misses 2-pt shot from 2 ft
10:13.0,Defensive rebound by J. Sampson,,6-0,,
10:00.0,J. Richardson makes 2-pt shot from 1 ft (assist by I. Canaan),2,8-0,,
9:44.0,,,8-0,,R. Westbrook misses 2-pt shot from 18 ft
9:43.0,Defensive rebound by I. Canaan,,8-0,,
9:35.0,Turnover by N. Noel (bad pass; steal by R. Westbrook),,8-0,,
9:31.0,Personal foul by J. Sampson (drawn by K. Singler),,8-0,,
9:31.0,,,8-1,1,K. Singler makes free throw 1 of 2
9:31.0,,,8-2,1,K. Singler makes free throw 2 of 2
9:22.0,J. Richardson misses 2-pt shot from 1 ft,,8-2,,
9:21.0,Offensive rebound by N. Noel,,8-2,,
9:20.0,N. Noel misses 2-pt shot from 5 ft,,8-2,,
9:18.0,,,8-2,,Defensive rebound by R. Westbrook
9:13.0,,,8-2,,Turnover by R. Westbrook (bad pass; steal by J. Sampson)
9:01.0,Shooting foul by E. Kanter (drawn by J. Sampson),,8-2,,
9:01.0,J. Sampson makes free throw 1 of 2,1,9-2,,
9:01.0,J. Sampson makes free throw 2 of 2,1,10-2,,
8:45.0,,,10-4,2,R. Westbrook makes 2-pt shot from 3 ft
8:45.0,,,10-4,,Shooting foul by J. Sampson (drawn by R. Westbrook)
8:45.0,,,10-5,1,R. Westbrook makes free throw 1 of 1
8:33.0,N. Noel makes 2-pt shot at rim (assist by L. Mbah a Moute),2,12-5,,
8:13.0,,,12-7,2,E. Kanter makes 2-pt shot at rim
7:56.0,J. Grant enters the game for J. Sampson,,12-7,,
7:50.0,L. Mbah a Moute misses 2-pt shot from 16 ft,,12-7,,
7:49.0,,,12-7,,Defensive rebound by A. Roberson
7:42.0,,,12-7,,Shooting foul by J. Grant (drawn by R. Westbrook)
7:42.0,,,12-8,1,R. Westbrook makes free throw 1 of 2
7:42.0,,,12-9,1,R. Westbrook makes free throw 2 of 2
7:34.0,Shooting foul by A. Roberson (drawn by J. Grant),,12-9,,
7:34.0,J. Grant makes free throw 1 of 2,1,13-9,,
7:34.0,J. Grant misses free throw 2 of 2,,13-9,,
7:33.0,,,13-9,,Defensive rebound by K. Singler
7:23.0,,,13-11,2,R. Westbrook makes 2-pt shot from 19 ft
7:15.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,13-11,,
7:14.0,,,13-11,,Defensive rebound by R. Westbrook
7:08.0,,,13-13,2,R. Westbrook makes 2-pt shot from 1 ft
6:48.0,Shooting foul by A. Roberson (drawn by L. Mbah a Moute),,13-13,,
6:48.0,L. Mbah a Moute makes free throw 1 of 2,1,14-13,,
6:48.0,,,14-13,,D. Waiters enters the game for A. Roberson
6:48.0,L. Mbah a Moute misses free throw 2 of 2,,14-13,,
6:48.0,Offensive rebound by L. Mbah a Moute,,14-13,,
6:37.0,J. Grant misses 2-pt shot from 1 ft,,14-13,,
6:36.0,,,14-13,,Defensive rebound by R. Westbrook
6:31.0,,,14-13,,Turnover by R. Westbrook (lost ball; steal by J. Richardson)
6:23.0,Philadelphia full timeout,,14-13,,
6:16.0,J. Richardson misses 2-pt shot from 23 ft,,14-13,,
6:15.0,Offensive rebound by N. Noel,,14-13,,
6:10.0,L. Mbah a Moute misses 3-pt shot from 22 ft,,14-13,,
6:09.0,Offensive rebound by L. Mbah a Moute,,14-13,,
6:04.0,I. Canaan makes 3-pt shot from 26 ft (assist by L. Mbah a Moute),3,17-13,,
5:48.0,,,17-13,,Turnover by D. Waiters (bad pass; steal by N. Noel)
5:43.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by J. Richardson),2,19-13,,
5:34.0,,,19-13,,R. Westbrook misses 2-pt shot from 19 ft
5:33.0,Defensive rebound by Team,,19-13,,
5:32.0,H. Thompson enters the game for J. Richardson,,19-13,,
5:32.0,,,19-13,,N. Collison enters the game for E. Kanter
