time,New Orleans,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: O. Asik vs. N. Noel (M. Carter-Williams gains possession),,,,Jump ball: O. Asik vs. N. Noel (M. Carter-Williams gains possession)
11:33.0,,,0-0,,M. Carter-Williams misses 2-pt shot from 3 ft
11:31.0,,,0-0,,Offensive rebound by N. Noel
11:31.0,,,0-2,2,N. Noel makes 2-pt shot at rim
11:18.0,Turnover by O. Asik (lost ball; steal by N. Noel),,0-2,,
11:13.0,,,0-4,2,L. Mbah a Moute makes 2-pt shot at rim (assist by N. Noel)
10:54.0,D. Cunningham makes 2-pt shot from 16 ft (assist by E. Gordon),2,2-4,,
10:34.0,,,2-6,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by R. Covington)
10:26.0,R. Anderson misses 2-pt shot from 3 ft,,2-6,,
10:25.0,,,2-6,,Defensive rebound by N. Noel
10:14.0,,,2-9,3,R. Covington makes 3-pt shot from 25 ft (assist by K. McDaniels)
9:50.0,Turnover by E. Gordon (lost ball),,2-9,,
9:37.0,,,2-11,2,N. Noel makes 2-pt shot from 5 ft (assist by K. McDaniels)
9:17.0,D. Cunningham makes 2-pt shot from 19 ft (assist by T. Evans),2,4-11,,
8:57.0,,,4-11,,M. Carter-Williams misses 2-pt shot from 14 ft
8:55.0,Defensive rebound by O. Asik,,4-11,,
8:49.0,T. Evans makes 2-pt shot at rim,2,6-11,,
8:34.0,,,6-13,2,N. Noel makes 2-pt shot from 15 ft (assist by M. Carter-Williams)
8:18.0,E. Gordon misses 2-pt shot from 2 ft,,6-13,,
8:17.0,,,6-13,,Defensive rebound by N. Noel
8:10.0,,,6-15,2,M. Carter-Williams makes 2-pt shot at rim
8:10.0,New Orleans full timeout,,6-15,,
7:49.0,Turnover by R. Anderson (lost ball; steal by L. Mbah a Moute),,6-15,,
7:44.0,,,6-15,,M. Carter-Williams misses 2-pt shot from 5 ft (block by T. Evans)
7:43.0,,,6-15,,Offensive rebound by M. Carter-Williams
7:38.0,,,6-15,,Turnover by M. Carter-Williams (traveling)
7:27.0,E. Gordon misses 2-pt shot from 1 ft,,6-15,,
7:25.0,,,6-15,,Defensive rebound by R. Covington
7:19.0,,,6-18,3,R. Covington makes 3-pt shot from 28 ft (assist by M. Carter-Williams)
6:56.0,,,6-18,,Personal foul by K. McDaniels (drawn by R. Anderson)
6:49.0,R. Anderson misses 3-pt shot from 26 ft,,6-18,,
6:47.0,,,6-18,,Defensive rebound by N. Noel
6:37.0,,,6-20,2,L. Mbah a Moute makes 2-pt shot from 19 ft (assist by M. Carter-Williams)
6:22.0,Turnover by T. Evans (lost ball),,6-20,,
6:22.0,A. Ajinca enters the game for O. Asik,,6-20,,
6:05.0,,,6-22,2,L. Mbah a Moute makes 2-pt shot from 17 ft
5:43.0,E. Gordon misses 2-pt shot from 7 ft (block by N. Noel),,6-22,,
5:41.0,Offensive rebound by A. Ajinca,,6-22,,
5:39.0,A. Ajinca makes 2-pt shot from 7 ft,2,8-22,,
5:31.0,,,8-22,,M. Carter-Williams misses 2-pt shot from 6 ft
5:31.0,Defensive rebound by R. Anderson,,8-22,,
5:28.0,Q. Pondexter enters the game for D. Cunningham,,8-22,,
5:28.0,Shooting foul by R. Covington (drawn by T. Evans),,8-22,,
5:28.0,T. Evans makes 2-pt shot from 2 ft (assist by E. Gordon),2,10-22,,
5:28.0,T. Evans makes free throw 1 of 1,1,11-22,,
5:13.0,,,11-22,,M. Carter-Williams misses 3-pt shot from 24 ft
5:11.0,Defensive rebound by A. Ajinca,,11-22,,
5:05.0,Q. Pondexter misses 3-pt shot from 26 ft,,11-22,,
5:04.0,Offensive rebound by R. Anderson,,11-22,,
4:57.0,A. Ajinca makes 2-pt shot at rim (assist by T. Evans),2,13-22,,
4:57.0,,,13-22,,Philadelphia full timeout
4:35.0,,,13-24,2,M. Carter-Williams makes 2-pt shot from 16 ft
4:15.0,R. Anderson makes 2-pt shot from 13 ft,2,15-24,,
4:02.0,,,15-26,2,N. Noel makes 2-pt shot from 11 ft
3:39.0,R. Anderson misses 2-pt shot from 13 ft,,15-26,,
3:37.0,,,15-26,,Defensive rebound by M. Carter-Williams
3:33.0,Personal foul by A. Ajinca (drawn by N. Noel),,15-26,,
3:33.0,,,15-26,,H. Thompson enters the game for R. Covington
3:33.0,,,15-26,,H. Sims enters the game for L. Mbah a Moute
3:33.0,,,15-26,,J. Sampson enters the game for N. Noel
3:33.0,,,15-26,,J. Grant enters the game for K. McDaniels
3:33.0,J. Fredette enters the game for E. Gordon,,15-26,,
3:18.0,,,15-28,2,M. Carter-Williams makes 2-pt shot from 18 ft (assist by H. Thompson)
3:00.0,Turnover by R. Anderson (lost ball),,15-28,,
3:00.0,,,15-28,,L. Drew enters the game for M. Carter-Williams
2:40.0,,,15-28,,J. Sampson misses 2-pt shot from 3 ft
2:39.0,Defensive rebound by A. Ajinca,,15-28,,
2:26.0,J. Fredette makes 2-pt shot from 11 ft,2,17-28,,
2:19.0,,,17-28,,H. Thompson misses 3-pt shot from 24 ft
2:17.0,Defensive rebound by A. Ajinca,,17-28,,
2:06.0,Turnover by J. Fredette (bad pass; steal by H. Sims),,17-28,,
2:00.0,,,17-30,2,J. Grant makes 2-pt shot from 2 ft
1:37.0,,,17-30,,Personal foul by J. Grant (drawn by Q. Pondexter)
1:31.0,R. Anderson makes 3-pt shot from 24 ft (assist by T. Evans),3,20-30,,
1:18.0,Jump ball: T. Evans vs. J. Sampson (R. Anderson gains possession),,,,Jump ball: T. Evans vs. J. Sampson (R. Anderson gains possession)
1:18.0,,,20-30,,Turnover by J. Sampson (lost ball; steal by T. Evans)
1:00.0,A. Ajinca misses 2-pt shot from 18 ft,,20-30,,
1:00.0,,,20-30,,Defensive rebound by J. Grant
0:55.0,,,20-30,,J. Sampson misses 2-pt shot from 4 ft
0:53.0,Defensive rebound by T. Evans,,20-30,,
0:49.0,T. Evans makes 2-pt shot at rim,2,22-30,,
0:28.0,,,22-30,,H. Sims misses 2-pt shot from 1 ft
0:26.0,Defensive rebound by R. Anderson,,22-30,,
0:21.0,Q. Pondexter misses 2-pt shot at rim,,22-30,,
0:19.0,,,22-30,,Defensive rebound by L. Drew
0:18.0,,,22-30,,R. Covington enters the game for H. Sims
0:18.0,D. Cunningham enters the game for A. Ajinca,,22-30,,
0:06.0,Personal foul by J. Fredette (drawn by L. Drew),,22-30,,
0:01.0,,,22-33,3,J. Grant makes 3-pt shot from 26 ft (assist by L. Drew)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Q. Pondexter makes 2-pt shot at rim (assist by J. Fredette),2,24-33,,
11:43.0,Shooting foul by J. Grant (drawn by Q. Pondexter),,24-33,,
11:43.0,Q. Pondexter makes free throw 1 of 1,1,25-33,,
11:35.0,,,25-33,,H. Thompson misses 2-pt shot from 3 ft (block by T. Evans)
11:33.0,Defensive rebound by Q. Pondexter,,25-33,,
11:12.0,T. Evans misses 2-pt shot from 3 ft (block by J. Grant),,25-33,,
11:08.0,Offensive rebound by A. Ajinca,,25-33,,
11:00.0,A. Ajinca misses 2-pt shot from 8 ft,,25-33,,
10:59.0,,,25-33,,Defensive rebound by J. Sampson
10:57.0,,,25-33,,L. Drew misses 2-pt shot from 7 ft
10:55.0,,,25-33,,Offensive rebound by H. Thompson
10:55.0,,,25-33,,Shooting foul by J. Fredette (drawn by H. Sims)
10:55.0,,,25-34,1,H. Sims makes free throw 1 of 2
10:55.0,E. Gordon enters the game for T. Evans,,25-34,,
10:55.0,D. Cunningham enters the game for R. Anderson,,25-34,,
