time,LA Clippers,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. D. Jordan (M. Chalmers gains possession),,,,Jump ball: C. Bosh vs. D. Jordan (M. Chalmers gains possession)
11:45.0,,,0-2,2,L. Deng makes 2-pt shot from 20 ft (assist by S. Williams)
11:30.0,B. Griffin misses 2-pt shot from 2 ft,,0-2,,
11:29.0,,,0-2,,Defensive rebound by L. Deng
11:17.0,,,0-2,,C. Bosh misses 2-pt shot from 20 ft
11:16.0,Defensive rebound by B. Griffin,,0-2,,
10:56.0,J. Redick misses 3-pt shot from 23 ft,,0-2,,
10:55.0,Offensive rebound by B. Griffin,,0-2,,
10:54.0,B. Griffin makes 2-pt shot at rim,2,2-2,,
10:38.0,,,2-4,2,L. Deng makes 2-pt shot from 11 ft (assist by S. Williams)
10:30.0,B. Griffin makes 2-pt shot from 5 ft (assist by C. Paul),2,4-4,,
10:06.0,,,4-6,2,C. Bosh makes 2-pt shot from 8 ft
9:58.0,B. Griffin misses 2-pt shot from 1 ft,,4-6,,
9:56.0,Offensive rebound by B. Griffin,,4-6,,
9:55.0,B. Griffin makes 2-pt shot at rim,2,6-6,,
9:45.0,,,6-6,,Offensive foul by S. Williams
9:45.0,,,6-6,,Turnover by S. Williams (offensive foul)
9:29.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,8-6,,
9:15.0,,,8-6,,L. Deng misses 2-pt shot from 18 ft
9:14.0,Defensive rebound by D. Jordan,,8-6,,
9:07.0,C. Paul makes 2-pt shot from 1 ft,2,10-6,,
9:06.0,,,10-6,,Miami full timeout
8:49.0,,,10-6,,Turnover by M. Chalmers (lost ball)
8:25.0,M. Barnes misses 2-pt shot from 19 ft,,10-6,,
8:24.0,Offensive rebound by Team,,10-6,,
8:24.0,,,10-6,,Loose ball foul by M. Chalmers (drawn by D. Jordan)
8:14.0,M. Barnes makes 2-pt shot from 19 ft (assist by J. Redick),2,12-6,,
7:53.0,,,12-6,,Turnover by M. Chalmers (lost ball; steal by B. Griffin)
7:48.0,J. Redick makes 2-pt shot from 1 ft (assist by C. Paul),2,14-6,,
7:32.0,,,14-6,,S. Williams misses 2-pt shot from 19 ft
7:31.0,Defensive rebound by D. Jordan,,14-6,,
7:16.0,J. Redick makes 3-pt shot from 23 ft (assist by B. Griffin),3,17-6,,
6:59.0,,,17-6,,N. Cole misses 2-pt shot from 20 ft
6:58.0,,,17-6,,Offensive rebound by C. Bosh
6:49.0,,,17-6,,C. Bosh misses 2-pt shot at rim
6:48.0,,,17-6,,Offensive rebound by C. Bosh
6:47.0,,,17-8,2,C. Bosh makes 2-pt shot at rim
6:27.0,M. Barnes makes 3-pt shot from 23 ft (assist by D. Jordan),3,20-8,,
6:13.0,Personal foul by J. Redick (drawn by N. Cole),,20-8,,
6:13.0,,,20-8,,C. Andersen enters the game for S. Williams
6:13.0,,,20-8,,J. Ennis enters the game for M. Chalmers
6:00.0,,,20-8,,N. Cole misses 2-pt shot from 8 ft
5:59.0,Defensive rebound by B. Griffin,,20-8,,
5:50.0,C. Paul makes 2-pt shot from 8 ft,2,22-8,,
5:48.0,,,22-8,,Miami full timeout
5:39.0,,,22-8,,Shooting foul by B. Griffin (drawn by C. Bosh)
5:39.0,,,22-10,2,C. Bosh makes 2-pt shot from 2 ft (assist by N. Cole)
5:39.0,,,22-11,1,C. Bosh makes free throw 1 of 1
5:20.0,J. Redick makes 3-pt shot from 25 ft,3,25-11,,
4:51.0,,,25-11,,N. Cole misses 3-pt shot from 24 ft
4:50.0,Defensive rebound by J. Redick,,25-11,,
4:44.0,J. Redick misses 3-pt shot from 25 ft,,25-11,,
4:43.0,,,25-11,,Defensive rebound by Team
4:31.0,,,25-11,,J. Ennis misses 2-pt shot from 20 ft
4:30.0,Defensive rebound by D. Jordan,,25-11,,
4:20.0,B. Griffin makes 2-pt shot from 20 ft (assist by C. Paul),2,27-11,,
4:00.0,,,27-11,,Turnover by C. Andersen (lost ball; steal by C. Paul)
3:57.0,J. Redick misses 2-pt shot from 1 ft (block by J. Ennis),,27-11,,
3:56.0,Offensive rebound by Team,,27-11,,
3:56.0,,,27-11,,S. Napier enters the game for N. Cole
3:56.0,,,27-11,,J. McRoberts enters the game for C. Bosh
3:56.0,,,27-11,,M. Chalmers enters the game for L. Deng
3:56.0,J. Crawford enters the game for J. Redick,,27-11,,
3:40.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,29-11,,
3:20.0,,,29-11,,S. Napier misses 3-pt shot from 24 ft
3:19.0,Defensive rebound by D. Jordan,,29-11,,
3:14.0,M. Barnes makes 2-pt shot from 1 ft (assist by B. Griffin),2,31-11,,
2:49.0,,,31-11,,Turnover by Team (shot clock)
2:49.0,LA Clippers full timeout,,31-11,,
2:49.0,H. Turkoglu enters the game for M. Barnes,,31-11,,
