time,Detroit,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. P. Gasol (J. Noah gains possession),,,,Jump ball: A. Drummond vs. P. Gasol (J. Noah gains possession)
11:48.0,,,0-0,,Turnover by D. Rose (bad pass)
11:40.0,Offensive foul by B. Jennings,,0-0,,
11:40.0,Turnover by B. Jennings (offensive foul),,0-0,,
11:32.0,,,0-0,,J. Butler misses 2-pt shot from 20 ft
11:31.0,Defensive rebound by A. Drummond,,0-0,,
11:11.0,B. Jennings misses 2-pt shot from 18 ft,,0-0,,
11:10.0,,,0-0,,Defensive rebound by J. Noah
10:57.0,,,0-2,2,M. Dunleavy makes 2-pt shot from 11 ft
10:45.0,G. Monroe misses 2-pt shot from 8 ft,,0-2,,
10:43.0,,,0-2,,Defensive rebound by D. Rose
10:36.0,,,0-2,,M. Dunleavy misses 3-pt shot from 24 ft
10:35.0,,,0-2,,Offensive rebound by P. Gasol
10:27.0,,,0-4,2,D. Rose makes 2-pt shot from 14 ft
10:10.0,B. Jennings misses 2-pt shot from 3 ft,,0-4,,
10:07.0,,,0-4,,Defensive rebound by D. Rose
10:04.0,,,0-4,,D. Rose misses 2-pt shot from 10 ft
10:03.0,Defensive rebound by J. Smith,,0-4,,
9:59.0,Shooting foul by M. Dunleavy (drawn by B. Jennings),,0-4,,
9:59.0,B. Jennings makes free throw 1 of 2,1,1-4,,
9:59.0,B. Jennings makes free throw 2 of 2,1,2-4,,
9:48.0,,,2-4,,P. Gasol misses 2-pt shot from 17 ft
9:47.0,Defensive rebound by A. Drummond,,2-4,,
9:32.0,Turnover by B. Jennings (bad pass; steal by P. Gasol),,2-4,,
9:21.0,,,2-4,,J. Noah misses 2-pt shot from 3 ft (block by A. Drummond)
9:19.0,Defensive rebound by J. Smith,,2-4,,
9:09.0,J. Smith misses 2-pt shot from 4 ft (block by M. Dunleavy),,2-4,,
9:08.0,,,2-4,,Defensive rebound by J. Butler
9:01.0,,,2-4,,P. Gasol misses 2-pt shot from 9 ft
9:00.0,Defensive rebound by A. Drummond,,2-4,,
8:48.0,G. Monroe makes 2-pt shot from 7 ft,2,4-4,,
8:31.0,,,4-7,3,D. Rose makes 3-pt shot from 24 ft (assist by J. Noah)
8:08.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,4-7,,
8:07.0,,,4-7,,Defensive rebound by J. Noah
7:54.0,,,4-7,,M. Dunleavy misses 3-pt shot from 26 ft
7:53.0,,,4-7,,Offensive rebound by P. Gasol
7:52.0,,,4-9,2,P. Gasol makes 2-pt shot at rim
7:34.0,J. Smith misses 2-pt shot from 20 ft,,4-9,,
7:33.0,,,4-9,,Defensive rebound by M. Dunleavy
7:24.0,,,4-9,,D. Rose misses 2-pt shot from 2 ft
7:23.0,Defensive rebound by G. Monroe,,4-9,,
7:17.0,J. Smith makes 2-pt shot from 5 ft (assist by B. Jennings),2,6-9,,
7:17.0,Shooting foul by J. Noah (drawn by J. Smith),,6-9,,
7:17.0,J. Smith makes free throw 1 of 1,1,7-9,,
7:07.0,,,7-11,2,J. Noah makes 2-pt shot from 18 ft (assist by D. Rose)
6:38.0,B. Jennings misses 2-pt shot from 16 ft,,7-11,,
6:36.0,,,7-11,,Defensive rebound by J. Noah
6:35.0,,,7-13,2,D. Rose makes 2-pt shot from 1 ft (assist by J. Noah)
6:35.0,,,7-13,,Shooting foul by G. Monroe (drawn by D. Rose)
6:35.0,,,7-14,1,D. Rose makes free throw 1 of 1
6:16.0,G. Monroe makes 2-pt shot from 18 ft,2,9-14,,
5:58.0,,,9-16,2,J. Noah makes 2-pt shot from 17 ft
5:43.0,G. Monroe makes 2-pt shot from 2 ft (assist by B. Jennings),2,11-16,,
5:24.0,,,11-16,,J. Butler misses 2-pt shot from 18 ft
5:23.0,Defensive rebound by G. Monroe,,11-16,,
5:21.0,,,11-16,,Personal foul by J. Butler (drawn by J. Smith)
5:21.0,,,11-16,,Chicago full timeout
5:21.0,C. Butler enters the game for A. Drummond,,11-16,,
5:17.0,Turnover by J. Smith (lost ball),,11-16,,
5:02.0,,,11-18,2,J. Noah makes 2-pt shot from 2 ft (assist by P. Gasol)
4:47.0,J. Smith misses 2-pt shot from 19 ft,,11-18,,
4:46.0,,,11-18,,Defensive rebound by J. Butler
4:26.0,,,11-18,,D. Rose misses 2-pt shot from 1 ft
4:25.0,,,11-18,,Offensive rebound by J. Noah
4:24.0,,,11-18,,J. Noah misses 2-pt shot from 3 ft (block by J. Smith)
4:22.0,Defensive rebound by B. Jennings,,11-18,,
4:17.0,C. Butler misses 2-pt shot from 2 ft,,11-18,,
4:16.0,,,11-18,,Defensive rebound by P. Gasol
4:10.0,,,11-18,,D. Rose misses 3-pt shot from 24 ft
4:09.0,Defensive rebound by G. Monroe,,11-18,,
3:57.0,B. Jennings makes 2-pt shot from 2 ft (assist by J. Smith),2,13-18,,
3:50.0,,,13-18,,Chicago full timeout
3:50.0,,,13-18,,K. Hinrich enters the game for D. Rose
3:50.0,,,13-18,,T. Gibson enters the game for J. Noah
3:33.0,,,13-20,2,P. Gasol makes 2-pt shot from 4 ft
3:20.0,B. Jennings makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope),3,16-20,,
3:03.0,,,16-23,3,J. Butler makes 3-pt shot from 24 ft (assist by P. Gasol)
2:44.0,G. Monroe misses 2-pt shot from 2 ft (block by P. Gasol),,16-23,,
2:43.0,,,16-23,,Defensive rebound by P. Gasol
2:21.0,,,16-25,2,P. Gasol makes 2-pt shot from 20 ft (assist by J. Butler)
2:03.0,J. Smith misses 2-pt shot from 2 ft,,16-25,,
2:02.0,Offensive rebound by J. Smith,,16-25,,
2:01.0,J. Smith makes 2-pt shot from 2 ft,2,18-25,,
1:43.0,,,18-25,,Offensive foul by T. Gibson
1:43.0,,,18-25,,Turnover by T. Gibson (offensive foul)
1:43.0,Detroit full timeout,,18-25,,
1:43.0,K. Singler enters the game for G. Monroe,,18-25,,
1:43.0,A. Drummond enters the game for K. Caldwell-Pope,,18-25,,
1:27.0,A. Drummond misses 2-pt shot from 8 ft,,18-25,,
1:26.0,,,18-25,,Defensive rebound by M. Dunleavy
1:07.0,,,18-27,2,T. Gibson makes 2-pt shot from 1 ft (assist by K. Hinrich)
0:54.0,B. Jennings misses 3-pt shot from 24 ft,,18-27,,
0:53.0,Offensive rebound by A. Drummond,,18-27,,
0:50.0,A. Drummond misses 2-pt shot from 1 ft,,18-27,,
0:49.0,,,18-27,,Defensive rebound by P. Gasol
0:39.0,,,18-27,,T. Gibson misses 2-pt shot from 14 ft (block by J. Smith)
0:37.0,Defensive rebound by A. Drummond,,18-27,,
0:29.0,C. Butler makes 3-pt shot from 24 ft (assist by B. Jennings),3,21-27,,
0:10.0,,,21-27,,P. Gasol misses 2-pt shot at rim
0:09.0,,,21-27,,Offensive rebound by P. Gasol
0:09.0,Personal foul by A. Drummond (drawn by P. Gasol),,21-27,,
0:09.0,,,21-27,,D. McDermott enters the game for M. Dunleavy
0:00.0,,,21-27,,P. Gasol misses 3-pt shot from 22 ft
0:00.0,,,21-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,G. Monroe misses 2-pt shot from 6 ft,,21-27,,
11:38.0,Offensive rebound by A. Drummond,,21-27,,
11:38.0,Shooting foul by T. Gibson (drawn by A. Drummond),,21-27,,
11:38.0,A. Drummond makes free throw 1 of 2,1,22-27,,
11:38.0,A. Drummond misses free throw 2 of 2,,22-27,,
11:33.0,,,22-27,,Defensive rebound by A. Brooks
11:17.0,,,22-29,2,A. Brooks makes 2-pt shot from 2 ft
10:57.0,D. Augustin misses 2-pt shot from 12 ft (block by T. Gibson),,22-29,,
10:56.0,,,22-29,,Defensive rebound by T. Gibson
