time,Cleveland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. T. Mozgov (K. Irving gains possession),,,,Jump ball: A. Bogut vs. T. Mozgov (K. Irving gains possession)
11:39.0,T. Thompson makes 2-pt shot from 9 ft,2,2-0,,
11:26.0,,,2-0,,K. Thompson misses 2-pt shot from 2 ft
11:25.0,Defensive rebound by T. Mozgov,,2-0,,
11:18.0,Turnover by I. Shumpert (bad pass; steal by H. Barnes),,2-0,,
11:18.0,Personal foul by L. James (drawn by H. Barnes),,2-0,,
11:12.0,Personal foul by I. Shumpert (drawn by S. Curry),,2-0,,
11:05.0,,,2-0,,S. Curry misses 2-pt shot from 24 ft
11:04.0,Defensive rebound by K. Irving,,2-0,,
10:58.0,K. Irving misses 2-pt shot from 7 ft,,2-0,,
10:57.0,Offensive rebound by T. Thompson,,2-0,,
10:51.0,K. Irving misses 3-pt shot from 24 ft,,2-0,,
10:50.0,,,2-0,,Defensive rebound by H. Barnes
10:45.0,,,2-0,,K. Thompson misses 3-pt shot from 25 ft
10:44.0,Defensive rebound by T. Mozgov,,2-0,,
10:36.0,Shooting foul by K. Thompson (drawn by L. James),,2-0,,
10:36.0,L. James misses free throw 1 of 2,,2-0,,
10:36.0,Offensive rebound by Team,,2-0,,
10:36.0,L. James makes free throw 2 of 2,1,3-0,,
10:23.0,,,3-2,2,S. Curry makes 2-pt shot from 18 ft
10:00.0,T. Thompson misses 2-pt shot from 8 ft,,3-2,,
9:59.0,Offensive rebound by T. Thompson,,3-2,,
9:40.0,L. James misses 2-pt shot from 8 ft (block by A. Bogut),,3-2,,
9:39.0,,,3-2,,Defensive rebound by A. Bogut
9:36.0,,,3-2,,Shooting foul by K. Irving (drawn by K. Thompson)
9:36.0,,,3-3,1,K. Thompson makes free throw 1 of 2
9:36.0,,,3-4,1,K. Thompson makes free throw 2 of 2
9:18.0,T. Mozgov misses 2-pt shot from 8 ft (block by A. Bogut),,3-4,,
9:17.0,,,3-4,,Defensive rebound by S. Curry
9:11.0,,,3-4,,D. Green misses 3-pt shot from 27 ft
9:09.0,Defensive rebound by T. Mozgov,,3-4,,
9:01.0,L. James makes 2-pt shot from 19 ft,2,5-4,,
8:43.0,,,5-6,2,S. Curry makes 2-pt shot from 2 ft (assist by A. Bogut)
8:17.0,L. James makes 2-pt shot from 16 ft (assist by T. Mozgov),2,7-6,,
8:04.0,,,7-6,,Shooting foul by T. Mozgov (drawn by D. Green)
8:04.0,,,7-7,1,D. Green makes free throw 1 of 2
8:04.0,,,7-8,1,D. Green makes free throw 2 of 2
7:50.0,Turnover by L. James (bad pass; steal by A. Bogut),,7-8,,
7:42.0,,,7-8,,S. Curry misses 2-pt shot from 6 ft
7:41.0,Defensive rebound by L. James,,7-8,,
7:32.0,L. James misses 2-pt shot from 17 ft,,7-8,,
7:31.0,,,7-8,,Defensive rebound by K. Thompson
7:23.0,,,7-8,,K. Thompson misses 2-pt shot from 4 ft
7:22.0,Defensive rebound by T. Thompson,,7-8,,
7:17.0,K. Irving misses 3-pt shot from 28 ft,,7-8,,
7:16.0,,,7-8,,Defensive rebound by K. Thompson
7:03.0,,,7-8,,D. Green misses 2-pt shot from 3 ft
7:02.0,,,7-8,,Offensive rebound by A. Bogut
7:02.0,,,7-8,,A. Bogut misses 2-pt shot at rim
7:01.0,Defensive rebound by K. Irving,,7-8,,
6:49.0,L. James makes 2-pt shot from 3 ft (assist by T. Thompson),2,9-8,,
6:44.0,,,9-8,,Golden State full timeout
6:31.0,,,9-11,3,H. Barnes makes 3-pt shot from 24 ft (assist by D. Green)
6:13.0,I. Shumpert misses 3-pt shot from 23 ft,,9-11,,
6:12.0,Offensive rebound by T. Thompson,,9-11,,
6:00.0,T. Thompson misses 2-pt shot from 6 ft,,9-11,,
5:59.0,,,9-11,,Defensive rebound by A. Bogut
5:41.0,,,9-11,,S. Curry misses 2-pt shot from 12 ft (block by K. Irving)
5:40.0,Defensive rebound by T. Thompson,,9-11,,
5:36.0,Shooting foul by H. Barnes (drawn by L. James),,9-11,,
5:36.0,L. James makes free throw 1 of 2,1,10-11,,
5:36.0,J. Smith enters the game for I. Shumpert,,10-11,,
5:36.0,,,10-11,,A. Iguodala enters the game for H. Barnes
5:36.0,L. James makes free throw 2 of 2,1,11-11,,
5:20.0,,,11-11,,A. Iguodala misses 3-pt shot from 26 ft
5:19.0,Defensive rebound by T. Thompson,,11-11,,
5:07.0,T. Mozgov makes 2-pt shot at rim (assist by L. James),2,13-11,,
4:53.0,,,13-11,,A. Bogut misses 2-pt shot from 7 ft (block by T. Thompson)
4:52.0,,,13-11,,Offensive rebound by Team
4:51.0,,,13-11,,S. Curry misses 2-pt shot from 22 ft
4:48.0,Defensive rebound by Team,,13-11,,
4:48.0,,,13-11,,Loose ball foul by A. Iguodala (drawn by L. James)
4:32.0,L. James misses 2-pt shot from 13 ft,,13-11,,
4:31.0,Offensive rebound by T. Mozgov,,13-11,,
4:26.0,K. Irving makes 3-pt shot from 26 ft (assist by T. Mozgov),3,16-11,,
4:15.0,,,16-11,,S. Livingston enters the game for K. Thompson
4:02.0,,,16-11,,S. Livingston misses 2-pt shot from 15 ft
4:01.0,Defensive rebound by L. James,,16-11,,
3:49.0,Shooting foul by D. Green (drawn by T. Mozgov),,16-11,,
3:49.0,T. Mozgov misses free throw 1 of 2,,16-11,,
3:49.0,Offensive rebound by Team,,16-11,,
3:49.0,,,16-11,,F. Ezeli enters the game for A. Bogut
3:49.0,T. Mozgov makes free throw 2 of 2,1,17-11,,
3:41.0,,,17-11,,Turnover by D. Green (bad pass; steal by K. Irving)
3:36.0,K. Irving makes 2-pt shot from 3 ft,2,19-11,,
3:13.0,,,19-13,2,A. Iguodala makes 2-pt shot from 7 ft
2:55.0,J. Smith misses 3-pt shot from 24 ft,,19-13,,
2:55.0,Offensive rebound by Team,,19-13,,
2:55.0,,,19-13,,Loose ball foul by F. Ezeli (drawn by T. Mozgov)
2:55.0,Cleveland full timeout,,19-13,,
2:55.0,T. Mozgov makes free throw 1 of 2,1,20-13,,
2:55.0,T. Mozgov misses free throw 2 of 2,,20-13,,
2:54.0,,,20-13,,Defensive rebound by F. Ezeli
2:53.0,J. Jones enters the game for T. Mozgov,,20-13,,
2:36.0,,,20-13,,D. Green misses 2-pt shot from 4 ft
2:35.0,Defensive rebound by L. James,,20-13,,
2:23.0,J. Smith makes 3-pt shot from 23 ft (assist by K. Irving),3,23-13,,
2:17.0,,,23-13,,Turnover by F. Ezeli (bad pass; steal by J. Jones)
2:08.0,Turnover by T. Thompson (lost ball),,23-13,,
1:57.0,,,23-13,,S. Curry misses 3-pt shot from 26 ft
1:55.0,Defensive rebound by J. Smith,,23-13,,
1:48.0,M. Dellavedova enters the game for K. Irving,,23-13,,
1:48.0,,,23-13,,L. Barbosa enters the game for S. Curry
1:41.0,L. James makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,26-13,,
1:23.0,,,26-13,,S. Livingston misses 2-pt shot from 14 ft
1:21.0,Defensive rebound by T. Thompson,,26-13,,
1:15.0,L. James misses 3-pt shot from 28 ft,,26-13,,
1:14.0,,,26-13,,Defensive rebound by Team
1:14.0,Loose ball foul by T. Thompson (drawn by F. Ezeli),,26-13,,
1:14.0,,,26-14,1,F. Ezeli makes free throw 1 of 2
1:14.0,,,26-14,,H. Barnes enters the game for D. Green
1:14.0,,,26-15,1,F. Ezeli makes free throw 2 of 2
0:59.0,J. Smith makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,29-15,,
0:40.0,,,29-17,2,L. Barbosa makes 2-pt shot from 22 ft
0:24.0,,,29-17,,Violation by A. Iguodala (kicked ball)
0:16.0,L. James misses 2-pt shot from 16 ft,,29-17,,
0:15.0,,,29-17,,Defensive rebound by L. Barbosa
0:01.0,,,29-19,2,A. Iguodala makes 2-pt shot at rim
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,29-19,,H. Barnes misses 2-pt shot from 15 ft
11:37.0,Defensive rebound by I. Shumpert,,29-19,,
11:21.0,K. Irving misses 2-pt shot from 18 ft,,29-19,,
11:20.0,,,29-19,,Defensive rebound by F. Ezeli
11:11.0,,,29-19,,L. Barbosa misses 3-pt shot from 24 ft
11:10.0,Defensive rebound by J. Smith,,29-19,,
10:48.0,J. Smith misses 3-pt shot from 27 ft,,29-19,,
10:47.0,,,29-19,,Defensive rebound by L. Barbosa
10:42.0,,,29-19,,Turnover by A. Iguodala (lost ball; steal by I. Shumpert)
10:36.0,I. Shumpert misses 2-pt shot from 16 ft,,29-19,,
10:33.0,,,29-19,,Defensive rebound by F. Ezeli
10:26.0,,,29-19,,L. Barbosa misses 2-pt shot from 2 ft
10:24.0,,,29-19,,Offensive rebound by S. Livingston
10:23.0,,,29-21,2,S. Livingston makes 2-pt shot from 1 ft
10:00.0,T. Mozgov misses 2-pt shot from 1 ft,,29-21,,
9:59.0,,,29-21,,Defensive rebound by S. Livingston
9:40.0,,,29-23,2,A. Iguodala makes 2-pt shot from 14 ft
9:12.0,T. Mozgov makes 2-pt shot at rim (assist by K. Irving),2,31-23,,
8:57.0,Personal foul by J. Jones (drawn by H. Barnes),,31-23,,
8:57.0,Official timeout,,31-23,,
8:57.0,T. Thompson enters the game for T. Mozgov,,31-23,,
8:57.0,,,31-23,,M. Speights enters the game for F. Ezeli
8:45.0,,,31-23,,S. Livingston misses 2-pt shot at rim (block by I. Shumpert)
8:43.0,Defensive rebound by J. Jones,,31-23,,
8:29.0,J. Jones misses 3-pt shot from 25 ft,,31-23,,
8:28.0,,,31-23,,Defensive rebound by S. Livingston
8:12.0,,,31-25,2,M. Speights makes 2-pt shot from 11 ft (assist by S. Livingston)
7:51.0,J. Smith misses 2-pt shot from 18 ft,,31-25,,
7:50.0,,,31-25,,Defensive rebound by H. Barnes
7:46.0,,,31-25,,K. Thompson enters the game for L. Barbosa
7:46.0,,,31-25,,S. Curry enters the game for S. Livingston
7:46.0,L. James enters the game for J. Jones,,31-25,,
7:41.0,,,31-27,2,M. Speights makes 2-pt shot from 17 ft (assist by S. Curry)
