time,Dallas,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. K. Faried (D. Gallinari gains possession),,,,Jump ball: T. Chandler vs. K. Faried (D. Gallinari gains possession)
11:38.0,,,0-0,,K. Faried misses 2-pt shot from 3 ft
11:36.0,Defensive rebound by T. Chandler,,0-0,,
11:26.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by R. Felton),2,2-0,,
11:07.0,,,2-0,,R. Foye misses 2-pt shot from 18 ft
11:05.0,Defensive rebound by D. Nowitzki,,2-0,,
10:59.0,R. Felton makes 2-pt shot at rim (assist by M. Ellis),2,4-0,,
10:51.0,,,4-0,,R. Foye misses 3-pt shot from 23 ft
10:50.0,Defensive rebound by R. Felton,,4-0,,
10:44.0,,,4-0,,Personal block foul by K. Faried (drawn by R. Jefferson)
10:44.0,,,4-0,,Technical foul by K. Faried (drawn by R. Jefferson)
10:44.0,D. Nowitzki makes technical free throw,1,5-0,,
10:31.0,D. Nowitzki makes 2-pt shot from 11 ft,2,7-0,,
10:12.0,,,7-2,2,D. Gallinari makes 2-pt shot from 2 ft (assist by T. Lawson)
9:59.0,D. Nowitzki misses 2-pt shot from 16 ft,,7-2,,
9:57.0,Offensive rebound by T. Chandler,,7-2,,
9:54.0,T. Chandler misses 2-pt shot from 2 ft,,7-2,,
9:53.0,,,7-2,,Defensive rebound by K. Faried
9:44.0,,,7-2,,W. Chandler misses 2-pt shot from 10 ft
9:43.0,Defensive rebound by R. Felton,,7-2,,
9:37.0,R. Jefferson misses 3-pt shot from 26 ft,,7-2,,
9:35.0,,,7-2,,Defensive rebound by W. Chandler
9:28.0,,,7-4,2,W. Chandler makes 2-pt shot at rim
9:08.0,R. Felton misses 2-pt shot from 22 ft,,7-4,,
9:07.0,,,7-4,,Defensive rebound by K. Faried
8:57.0,,,7-4,,Turnover by W. Chandler (lost ball; steal by R. Felton)
8:54.0,Turnover by R. Jefferson (lost ball),,7-4,,
8:40.0,,,7-4,,K. Faried misses 2-pt shot from 3 ft
8:39.0,Defensive rebound by D. Nowitzki,,7-4,,
8:31.0,M. Ellis makes 2-pt shot from 1 ft,2,9-4,,
8:22.0,,,9-6,2,T. Lawson makes 2-pt shot from 2 ft
8:10.0,,,9-6,,Personal foul by W. Chandler (drawn by D. Nowitzki)
8:05.0,Turnover by R. Felton (bad pass; steal by K. Faried),,9-6,,
7:52.0,,,9-6,,T. Lawson misses 3-pt shot from 26 ft
7:51.0,Defensive rebound by D. Nowitzki,,9-6,,
7:43.0,M. Ellis makes 2-pt shot from 2 ft,2,11-6,,
7:29.0,,,11-6,,T. Lawson misses 2-pt shot from 1 ft
7:27.0,Defensive rebound by T. Chandler,,11-6,,
7:24.0,Turnover by T. Chandler (bad pass; steal by R. Foye),,11-6,,
7:21.0,,,11-8,2,K. Faried makes 2-pt shot at rim
7:13.0,D. Nowitzki misses 3-pt shot from 25 ft,,11-8,,
7:12.0,,,11-8,,Defensive rebound by D. Gallinari
6:57.0,,,11-11,3,D. Gallinari makes 3-pt shot from 25 ft
6:51.0,,,11-11,,Shooting block foul by D. Gallinari (drawn by R. Jefferson)
6:51.0,R. Jefferson makes free throw 1 of 2,1,12-11,,
6:51.0,R. Jefferson makes free throw 2 of 2,1,13-11,,
6:40.0,,,13-11,,W. Chandler misses 3-pt shot from 27 ft
6:39.0,,,13-11,,Offensive rebound by W. Chandler
6:36.0,,,13-13,2,W. Chandler makes 2-pt shot at rim
6:18.0,D. Nowitzki makes 2-pt shot from 1 ft,2,15-13,,
6:03.0,,,15-13,,D. Gallinari misses 3-pt shot from 26 ft
6:01.0,Defensive rebound by T. Chandler,,15-13,,
5:48.0,Turnover by M. Ellis (bad pass),,15-13,,
5:48.0,,,15-13,,Denver full timeout
5:48.0,A. Aminu enters the game for R. Jefferson,,15-13,,
5:48.0,D. Harris enters the game for D. Nowitzki,,15-13,,
5:48.0,C. Villanueva enters the game for T. Chandler,,15-13,,
5:48.0,A. Stoudemire enters the game for M. Ellis,,15-13,,
5:48.0,J. Barea enters the game for R. Felton,,15-13,,
5:30.0,,,15-15,2,K. Faried makes 2-pt shot from 1 ft (assist by R. Foye)
5:30.0,,,15-15,,Shooting foul by A. Aminu (drawn by K. Faried)
5:30.0,,,15-15,,K. Faried misses free throw 1 of 1
5:29.0,Defensive rebound by C. Villanueva,,15-15,,
5:15.0,C. Villanueva makes 3-pt shot from 25 ft (assist by J. Barea),3,18-15,,
4:50.0,,,18-15,,R. Foye misses 2-pt shot from 3 ft
4:48.0,Defensive rebound by A. Stoudemire,,18-15,,
4:40.0,A. Stoudemire makes 2-pt shot from 1 ft (assist by J. Barea),2,20-15,,
4:27.0,,,20-15,,Shooting foul by A. Stoudemire (drawn by K. Faried)
4:27.0,,,20-16,1,K. Faried makes free throw 1 of 2
4:27.0,,,20-16,,J. Hickson enters the game for D. Gallinari
4:27.0,,,20-16,,W. Barton enters the game for R. Foye
4:27.0,,,20-17,1,K. Faried makes free throw 2 of 2
4:11.0,A. Aminu makes 2-pt shot from 1 ft,2,22-17,,
4:06.0,,,22-17,,Offensive foul by K. Faried
4:06.0,,,22-17,,Turnover by K. Faried (offensive foul)
4:06.0,,,22-17,,G. Harris enters the game for K. Faried
3:47.0,J. Barea makes 3-pt shot from 24 ft (assist by D. Harris),3,25-17,,
3:33.0,,,25-17,,W. Barton misses 3-pt shot from 23 ft
3:31.0,Defensive rebound by J. Barea,,25-17,,
3:23.0,J. Barea misses 2-pt shot from 11 ft,,25-17,,
3:21.0,,,25-17,,Defensive rebound by W. Chandler
3:16.0,,,25-19,2,W. Chandler makes 2-pt shot from 2 ft
3:02.0,A. Stoudemire makes 2-pt shot from 2 ft (assist by J. Barea),2,27-19,,
2:46.0,,,27-19,,W. Barton misses 2-pt shot from 15 ft
2:45.0,,,27-19,,Offensive rebound by J. Hickson
2:42.0,,,27-21,2,J. Hickson makes 2-pt shot from 9 ft
2:38.0,Shooting foul by W. Barton (drawn by D. Harris),,27-21,,
2:38.0,Dallas full timeout,,27-21,,
2:38.0,D. Harris misses free throw 1 of 2,,27-21,,
2:38.0,Offensive rebound by Team,,27-21,,
2:38.0,D. Harris makes free throw 2 of 2,1,28-21,,
2:28.0,,,28-21,,J. Hickson misses 2-pt shot from 5 ft
2:26.0,Defensive rebound by J. Barea,,28-21,,
2:20.0,D. Harris makes 2-pt shot from 2 ft (assist by J. Barea),2,30-21,,
2:02.0,,,30-21,,W. Barton misses 3-pt shot from 23 ft
2:00.0,Defensive rebound by A. Stoudemire,,30-21,,
1:52.0,C. Villanueva misses 3-pt shot from 25 ft,,30-21,,
1:51.0,,,30-21,,Defensive rebound by J. Hickson
1:44.0,Personal foul by J. Barea (drawn by G. Harris),,30-21,,
1:44.0,,,30-21,,J. Nurkic enters the game for W. Chandler
1:31.0,,,30-21,,J. Hickson misses 2-pt shot from 6 ft
1:30.0,,,30-21,,Offensive rebound by J. Nurkic
1:18.0,,,30-23,2,J. Nurkic makes 2-pt shot from 1 ft (assist by W. Barton)
1:07.0,Shooting foul by W. Barton (drawn by D. Harris),,30-23,,
1:07.0,D. Harris makes free throw 1 of 2,1,31-23,,
1:07.0,,,31-23,,E. Green enters the game for W. Barton
1:07.0,D. Harris makes free throw 2 of 2,1,32-23,,
0:56.0,,,32-23,,Shooting foul by J. Barea (drawn by T. Lawson)
0:56.0,,,32-24,1,T. Lawson makes free throw 1 of 2
0:56.0,R. Felton enters the game for J. Barea,,32-24,,
