time,Brooklyn,pts.away,score,pts.home,LA Clippers
1:04.0,,,21-31,,H. Turkoglu enters the game for M. Barnes
1:04.0,M. Plumlee misses free throw 2 of 2,,21-31,,
1:03.0,Offensive rebound by A. Anderson,,21-31,,
0:52.0,A. Anderson misses 3-pt shot from 24 ft,,21-31,,
0:51.0,,,21-31,,Defensive rebound by D. Jordan
0:44.0,,,21-31,,J. Crawford misses 2-pt shot from 22 ft
0:43.0,Defensive rebound by M. Plumlee,,21-31,,
0:33.0,J. Jack misses 2-pt shot from 22 ft,,21-31,,
0:32.0,,,21-31,,Defensive rebound by D. Jordan
0:21.0,,,21-31,,S. Hawes misses 2-pt shot from 2 ft (block by B. Lopez)
0:19.0,,,21-31,,Offensive rebound by D. Jordan
0:11.0,,,21-34,3,S. Hawes makes 3-pt shot from 26 ft (assist by A. Rivers)
0:01.0,J. Jack makes 2-pt shot from 14 ft,2,23-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,B. Bogdanovic misses 3-pt shot from 26 ft,,23-34,,
11:41.0,,,23-34,,Defensive rebound by J. Crawford
11:38.0,,,23-34,,Shooting foul by A. Anderson (drawn by J. Crawford)
11:38.0,,,23-35,1,J. Crawford makes free throw 1 of 2
11:38.0,,,23-36,1,J. Crawford makes free throw 2 of 2
11:18.0,D. Morris misses 2-pt shot from 15 ft,,23-36,,
11:16.0,,,23-36,,Defensive rebound by H. Turkoglu
11:03.0,,,23-36,,Turnover by G. Davis (lost ball; steal by A. Anderson)
10:59.0,M. Plumlee makes 2-pt shot from 1 ft (assist by A. Anderson),2,25-36,,
10:59.0,Shooting foul by S. Hawes (drawn by M. Plumlee),,25-36,,
10:59.0,M. Plumlee misses free throw 1 of 1,,25-36,,
10:58.0,,,25-36,,Defensive rebound by G. Davis
10:40.0,,,25-36,,S. Hawes misses 3-pt shot from 25 ft
10:39.0,,,25-36,,Offensive rebound by A. Rivers
10:33.0,,,25-38,2,J. Crawford makes 2-pt shot from 18 ft (assist by A. Rivers)
10:15.0,A. Anderson makes 2-pt shot from 1 ft (assist by M. Plumlee),2,27-38,,
9:54.0,,,27-40,2,J. Crawford makes 2-pt shot from 3 ft
9:41.0,M. Teletovic misses 3-pt shot from 24 ft,,27-40,,
9:39.0,,,27-40,,Defensive rebound by H. Turkoglu
9:33.0,,,27-42,2,G. Davis makes 2-pt shot from 1 ft (assist by S. Hawes)
9:33.0,Brooklyn full timeout,,27-42,,
9:33.0,J. Johnson enters the game for M. Plumlee,,27-42,,
9:33.0,B. Lopez enters the game for B. Bogdanovic,,27-42,,
9:11.0,M. Teletovic misses 3-pt shot from 23 ft,,27-42,,
9:09.0,Offensive rebound by A. Anderson,,27-42,,
9:08.0,A. Anderson misses 2-pt shot from 2 ft (block by S. Hawes),,27-42,,
9:05.0,,,27-42,,Defensive rebound by S. Hawes
8:59.0,,,27-45,3,H. Turkoglu makes 3-pt shot from 25 ft (assist by S. Hawes)
8:47.0,M. Teletovic misses 3-pt shot from 24 ft,,27-45,,
8:44.0,,,27-45,,Defensive rebound by A. Rivers
8:40.0,,,27-45,,Shooting foul by D. Morris (drawn by A. Rivers)
8:40.0,,,27-45,,A. Rivers misses free throw 1 of 2
8:40.0,,,27-45,,Offensive rebound by Team
8:40.0,J. Jack enters the game for D. Morris,,27-45,,
8:40.0,,,27-45,,A. Rivers misses free throw 2 of 2
8:39.0,Defensive rebound by J. Johnson,,27-45,,
8:15.0,Turnover by Team (shot clock),,27-45,,
8:04.0,,,27-45,,Turnover by J. Crawford (lost ball)
8:04.0,,,27-45,,B. Griffin enters the game for G. Davis
7:46.0,J. Johnson misses 2-pt shot from 2 ft,,27-45,,
7:44.0,,,27-45,,Defensive rebound by B. Griffin
7:30.0,,,27-48,3,J. Crawford makes 3-pt shot from 25 ft (assist by B. Griffin)
7:11.0,J. Johnson misses 2-pt shot from 1 ft,,27-48,,
7:10.0,,,27-48,,Defensive rebound by B. Griffin
7:00.0,,,27-48,,Turnover by B. Griffin (bad pass)
6:41.0,,,27-48,,Personal foul by B. Griffin (drawn by J. Jack)
6:41.0,,,27-48,,C. Paul enters the game for A. Rivers
6:41.0,,,27-48,,D. Jordan enters the game for S. Hawes
6:29.0,Turnover by J. Johnson (bad pass; steal by B. Griffin),,27-48,,
6:17.0,,,27-50,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
6:17.0,Brooklyn full timeout,,27-50,,
6:17.0,,,27-50,,M. Barnes enters the game for H. Turkoglu
5:54.0,A. Anderson misses 2-pt shot from 16 ft,,27-50,,
5:53.0,,,27-50,,Defensive rebound by M. Barnes
5:49.0,,,27-50,,J. Crawford misses 3-pt shot from 23 ft
5:47.0,,,27-50,,Offensive rebound by C. Paul
5:41.0,,,27-50,,J. Crawford misses 2-pt shot from 17 ft
5:39.0,Defensive rebound by M. Teletovic,,27-50,,
5:36.0,Turnover by M. Teletovic (lost ball; steal by J. Crawford),,27-50,,
5:35.0,,,27-50,,J. Crawford misses 3-pt shot from 22 ft
5:32.0,Defensive rebound by J. Jack,,27-50,,
5:23.0,J. Jack misses 2-pt shot from 13 ft,,27-50,,
5:21.0,,,27-50,,Defensive rebound by M. Barnes
5:09.0,,,27-52,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
4:42.0,J. Johnson makes 3-pt shot from 23 ft (assist by M. Teletovic),3,30-52,,
4:30.0,,,30-54,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul)
4:30.0,,,30-54,,Shooting foul by M. Teletovic (drawn by B. Griffin)
4:30.0,S. Karasev enters the game for A. Anderson,,30-54,,
4:30.0,M. Plumlee enters the game for M. Teletovic,,30-54,,
4:30.0,,,30-54,,J. Redick enters the game for J. Crawford
4:30.0,,,30-55,1,B. Griffin makes free throw 1 of 1
4:21.0,J. Jack misses 2-pt shot from 17 ft,,30-55,,
4:19.0,,,30-55,,Defensive rebound by M. Barnes
3:56.0,,,30-58,3,C. Paul makes 3-pt shot from 24 ft
3:36.0,M. Plumlee misses 2-pt shot from 8 ft,,30-58,,
3:34.0,,,30-58,,Defensive rebound by D. Jordan
3:15.0,,,30-61,3,M. Barnes makes 3-pt shot from 24 ft (assist by J. Redick)
2:57.0,J. Johnson makes 2-pt shot from 2 ft,2,32-61,,
2:56.0,Violation by Team (delay of game),,32-61,,
2:56.0,Technical foul by Team,,32-61,,
2:56.0,Official timeout,,32-61,,
2:56.0,J. Jordan enters the game for B. Lopez,,32-61,,
2:56.0,,,32-62,1,C. Paul makes technical free throw
2:49.0,,,32-64,2,J. Redick makes 2-pt shot from 1 ft (assist by C. Paul)
2:23.0,J. Johnson misses 3-pt shot from 25 ft,,32-64,,
2:22.0,,,32-64,,Defensive rebound by D. Jordan
2:11.0,,,32-64,,C. Paul misses 3-pt shot from 25 ft
2:10.0,Defensive rebound by J. Jordan,,32-64,,
2:01.0,Turnover by J. Jack (bad pass),,32-64,,
2:01.0,M. Brown enters the game for S. Karasev,,32-64,,
1:48.0,,,32-66,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
1:30.0,M. Brown makes 2-pt shot from 19 ft (assist by J. Johnson),2,34-66,,
1:02.0,,,34-68,2,B. Griffin makes 2-pt shot from 22 ft
0:52.0,Shooting foul by D. Jordan (drawn by M. Plumlee),,34-68,,
0:52.0,M. Plumlee misses free throw 1 of 2,,34-68,,
0:52.0,Offensive rebound by Team,,34-68,,
0:52.0,M. Plumlee makes free throw 2 of 2,1,35-68,,
0:43.0,,,35-70,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
0:35.0,J. Jack misses 2-pt shot from 3 ft (block by D. Jordan),,35-70,,
0:34.0,Offensive rebound by Team,,35-70,,
0:24.0,J. Jordan makes 2-pt shot at rim (assist by J. Johnson),2,37-70,,
0:03.0,,,37-70,,Turnover by C. Paul (bad pass; steal by J. Jack)
0:00.0,J. Jack misses 3-pt shot from 24 ft,,37-70,,
0:00.0,Offensive rebound by Team,,37-70,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,M. Plumlee makes 2-pt shot from 1 ft (assist by J. Jack),2,39-70,,
11:13.0,,,39-70,,Shooting foul by B. Lopez (drawn by J. Redick)
11:13.0,,,39-71,1,J. Redick makes free throw 1 of 2
11:13.0,,,39-72,1,J. Redick makes free throw 2 of 2
10:59.0,Turnover by B. Lopez (lost ball; steal by B. Griffin),,39-72,,
10:51.0,,,39-75,3,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul)
10:31.0,M. Brown misses 3-pt shot from 23 ft,,39-75,,
10:30.0,Offensive rebound by J. Johnson,,39-75,,
10:24.0,,,39-75,,Personal foul by B. Griffin (drawn by M. Plumlee)
10:14.0,Turnover by J. Johnson (bad pass; steal by C. Paul),,39-75,,
10:12.0,,,39-75,,Turnover by D. Jordan (lost ball; steal by M. Plumlee)
10:09.0,,,39-75,,Personal foul by B. Griffin (drawn by B. Lopez)
10:09.0,B. Lopez makes free throw 1 of 2,1,40-75,,
10:09.0,B. Lopez makes free throw 2 of 2,1,41-75,,
9:58.0,Personal foul by B. Lopez (drawn by B. Griffin),,41-75,,
9:49.0,,,41-75,,M. Barnes misses 3-pt shot from 25 ft
9:48.0,Defensive rebound by J. Johnson,,41-75,,
