time,Brooklyn,pts.away,score,pts.home,LA Clippers
3:25.0,,,77-115,,C. Wilcox misses 2-pt shot from 20 ft
3:24.0,Defensive rebound by J. Jordan,,77-115,,
3:15.0,D. Morris misses 2-pt shot from 15 ft,,77-115,,
3:14.0,,,77-115,,Defensive rebound by A. Rivers
3:10.0,,,77-117,2,D. Jones makes 2-pt shot from 1 ft (assist by A. Rivers)
2:56.0,M. Brown misses 2-pt shot from 3 ft,,77-117,,
2:54.0,,,77-117,,Defensive rebound by G. Davis
2:48.0,,,77-119,2,C. Wilcox makes 2-pt shot from 14 ft (assist by G. Davis)
2:32.0,C. Jefferson makes 2-pt shot from 3 ft (assist by D. Morris),2,79-119,,
2:13.0,,,79-119,,Turnover by C. Wilcox (bad pass; steal by M. Brown)
2:08.0,D. Morris makes 2-pt shot from 1 ft (assist by C. Jefferson),2,81-119,,
1:55.0,,,81-119,,G. Davis misses 2-pt shot from 19 ft
1:52.0,Defensive rebound by S. Karasev,,81-119,,
1:37.0,C. Jefferson misses 2-pt shot from 3 ft,,81-119,,
1:37.0,Offensive rebound by J. Jordan,,81-119,,
1:37.0,J. Jordan makes 2-pt shot at rim,2,83-119,,
1:23.0,,,83-119,,Turnover by A. Rivers (bad pass; steal by C. Jefferson)
1:19.0,Shooting foul by D. Jones (drawn by M. Brown),,83-119,,
1:19.0,Brooklyn full timeout,,83-119,,
1:19.0,M. Brown misses free throw 1 of 2,,83-119,,
1:19.0,Offensive rebound by Team,,83-119,,
1:19.0,M. Brown makes free throw 2 of 2,1,84-119,,
1:00.0,,,84-119,,C. Wilcox misses 3-pt shot from 24 ft
1:00.0,,,84-119,,Offensive rebound by E. Udoh
0:56.0,,,84-121,2,A. Rivers makes 2-pt shot from 2 ft (assist by E. Udoh)
0:46.0,J. Jordan misses 2-pt shot from 17 ft,,84-121,,
0:45.0,,,84-121,,Defensive rebound by D. Jones
0:30.0,,,84-121,,Shooting foul by J. Jordan (drawn by G. Davis)
0:30.0,,,84-122,1,G. Davis makes free throw 1 of 2
0:30.0,,,84-123,1,G. Davis makes free throw 2 of 2
0:14.0,Turnover by J. Jordan (bad pass; steal by A. Rivers),,84-123,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
