time,LA Clippers,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. R. Lopez (C. Paul gains possession),,,,Jump ball: D. Jordan vs. R. Lopez (C. Paul gains possession)
11:45.0,Turnover by C. Paul (bad pass),,0-0,,
11:28.0,,,0-2,2,R. Lopez makes 2-pt shot at rim (assist by D. Lillard)
11:16.0,J. Redick makes 2-pt shot from 20 ft (assist by B. Griffin),2,2-2,,
11:03.0,,,2-4,2,R. Lopez makes 2-pt shot from 1 ft (assist by N. Batum)
10:49.0,B. Griffin misses 2-pt shot from 7 ft,,2-4,,
10:48.0,,,2-4,,Defensive rebound by N. Batum
10:31.0,,,2-6,2,A. Afflalo makes 2-pt shot from 13 ft (assist by N. Batum)
10:16.0,J. Redick misses 2-pt shot from 17 ft,,2-6,,
10:15.0,,,2-6,,Defensive rebound by R. Lopez
10:04.0,,,2-6,,R. Lopez misses 2-pt shot from 16 ft
10:03.0,Defensive rebound by D. Jordan,,2-6,,
9:56.0,C. Paul misses 2-pt shot from 11 ft,,2-6,,
9:56.0,,,2-6,,Defensive rebound by N. Batum
9:38.0,,,2-6,,D. Lillard misses 3-pt shot from 24 ft
9:37.0,Defensive rebound by M. Barnes,,2-6,,
9:28.0,B. Griffin makes 2-pt shot from 19 ft (assist by D. Jordan),2,4-6,,
9:08.0,,,4-8,2,L. Aldridge makes 2-pt shot from 13 ft
8:52.0,J. Redick makes 3-pt shot from 24 ft (assist by B. Griffin),3,7-8,,
8:33.0,,,7-8,,L. Aldridge misses 2-pt shot from 16 ft
8:31.0,,,7-8,,Offensive rebound by N. Batum
8:31.0,,,7-10,2,N. Batum makes 2-pt shot at rim
8:16.0,Shooting foul by A. Afflalo (drawn by J. Redick),,7-10,,
8:16.0,J. Redick makes free throw 1 of 2,1,8-10,,
8:16.0,J. Redick makes free throw 2 of 2,1,9-10,,
8:04.0,,,9-10,,Offensive foul by A. Afflalo
8:04.0,,,9-10,,Turnover by A. Afflalo (offensive foul)
7:49.0,B. Griffin misses 2-pt shot from 19 ft,,9-10,,
7:47.0,,,9-10,,Defensive rebound by R. Lopez
7:38.0,,,9-13,3,N. Batum makes 3-pt shot from 24 ft (assist by L. Aldridge)
7:23.0,J. Redick misses 2-pt shot from 12 ft,,9-13,,
7:22.0,,,9-13,,Defensive rebound by R. Lopez
7:13.0,,,9-15,2,D. Lillard makes 2-pt shot from 8 ft
7:02.0,M. Barnes misses 3-pt shot from 24 ft,,9-15,,
7:01.0,Offensive rebound by Team,,9-15,,
7:01.0,,,9-15,,S. Blake enters the game for A. Afflalo
6:53.0,C. Paul makes 3-pt shot from 24 ft (assist by B. Griffin),3,12-15,,
6:33.0,,,12-17,2,L. Aldridge makes 2-pt shot from 6 ft
6:18.0,J. Redick misses 2-pt shot from 17 ft,,12-17,,
6:17.0,Offensive rebound by D. Jordan,,12-17,,
6:16.0,D. Jordan misses 2-pt shot from 1 ft,,12-17,,
6:14.0,,,12-17,,Defensive rebound by L. Aldridge
6:03.0,,,12-17,,L. Aldridge misses 3-pt shot from 22 ft
6:02.0,Defensive rebound by J. Redick,,12-17,,
5:44.0,M. Barnes misses 3-pt shot from 22 ft,,12-17,,
5:40.0,,,12-17,,Defensive rebound by S. Blake
