time,Cleveland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Speights vs. T. Thompson (D. Green gains possession),,,,Jump ball: M. Speights vs. T. Thompson (D. Green gains possession)
11:46.0,,,0-0,,H. Barnes misses 2-pt shot from 18 ft
11:45.0,Defensive rebound by K. Love,,0-0,,
11:26.0,J. Smith makes 2-pt shot from 16 ft (assist by T. Thompson),2,2-0,,
11:15.0,,,2-2,2,S. Curry makes 2-pt shot from 20 ft
10:58.0,T. Thompson misses 2-pt shot from 4 ft (block by D. Green),,2-2,,
10:56.0,,,2-2,,Defensive rebound by K. Thompson
10:47.0,,,2-2,,S. Curry misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by K. Love,,2-2,,
10:38.0,K. Irving misses 2-pt shot from 10 ft,,2-2,,
10:37.0,,,2-2,,Defensive rebound by D. Green
10:33.0,,,2-4,2,S. Curry makes 2-pt shot from 1 ft (assist by D. Green)
10:21.0,K. Love misses 2-pt shot from 3 ft (block by D. Green),,2-4,,
10:21.0,,,2-4,,Defensive rebound by Team
10:09.0,,,2-4,,M. Speights misses 2-pt shot from 19 ft
10:06.0,Defensive rebound by M. Miller,,2-4,,
9:55.0,K. Irving makes 2-pt shot from 5 ft,2,4-4,,
9:40.0,,,4-4,,K. Thompson misses 2-pt shot from 18 ft
9:38.0,,,4-4,,Offensive rebound by Team
9:36.0,,,4-4,,K. Thompson misses 2-pt shot from 16 ft
9:35.0,Defensive rebound by T. Thompson,,4-4,,
9:26.0,Turnover by K. Irving (lost ball; steal by S. Curry),,4-4,,
9:22.0,,,4-6,2,S. Curry makes 2-pt shot from 1 ft
9:06.0,K. Love makes 2-pt shot at rim (assist by M. Miller),2,6-6,,
8:49.0,,,6-6,,D. Green misses 3-pt shot from 26 ft
8:48.0,Defensive rebound by K. Love,,6-6,,
8:28.0,Turnover by T. Thompson (bad pass; steal by K. Thompson),,6-6,,
8:25.0,,,6-8,2,K. Thompson makes 2-pt shot from 1 ft
7:59.0,K. Love misses 2-pt shot from 8 ft,,6-8,,
7:57.0,,,6-8,,Defensive rebound by D. Green
7:52.0,,,6-8,,Shooting foul by T. Thompson (drawn by K. Thompson)
7:52.0,,,6-9,1,K. Thompson makes free throw 1 of 2
7:52.0,T. Mozgov enters the game for T. Thompson,,6-9,,
7:52.0,,,6-10,1,K. Thompson makes free throw 2 of 2
7:38.0,Shooting foul by K. Thompson (drawn by K. Love),,6-10,,
7:38.0,K. Love makes free throw 1 of 2,1,7-10,,
7:38.0,K. Love makes free throw 2 of 2,1,8-10,,
7:26.0,,,8-12,2,K. Thompson makes 2-pt shot from 17 ft (assist by H. Barnes)
7:08.0,Shooting foul by D. Green (drawn by K. Love),,8-12,,
7:08.0,K. Love makes free throw 1 of 2,1,9-12,,
7:08.0,K. Love makes free throw 2 of 2,1,10-12,,
6:58.0,,,10-15,3,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry)
6:46.0,J. Smith misses 3-pt shot from 23 ft,,10-15,,
6:44.0,Offensive rebound by T. Mozgov,,10-15,,
6:43.0,T. Mozgov makes 2-pt shot from 2 ft,2,12-15,,
6:36.0,,,12-15,,S. Curry misses 3-pt shot from 26 ft
6:35.0,Defensive rebound by K. Love,,12-15,,
6:27.0,K. Irving misses 2-pt shot from 7 ft,,12-15,,
6:25.0,Offensive rebound by T. Mozgov,,12-15,,
6:22.0,J. Smith makes 2-pt shot from 14 ft (assist by K. Irving),2,14-15,,
6:11.0,,,14-15,,H. Barnes misses 2-pt shot from 16 ft
6:10.0,Defensive rebound by K. Love,,14-15,,
6:04.0,J. Smith misses 3-pt shot from 27 ft,,14-15,,
6:02.0,Offensive rebound by K. Love,,14-15,,
5:59.0,Turnover by T. Mozgov (traveling),,14-15,,
5:59.0,,,14-15,,Golden State full timeout
5:59.0,,,14-15,,A. Bogut enters the game for M. Speights
5:27.0,,,14-15,,K. Thompson misses 3-pt shot from 27 ft
5:26.0,Defensive rebound by T. Mozgov,,14-15,,
5:09.0,,,14-15,,Personal foul by A. Bogut (drawn by T. Mozgov)
5:09.0,,,14-15,,A. Iguodala enters the game for H. Barnes
5:02.0,K. Love misses 3-pt shot from 26 ft,,14-15,,
5:00.0,,,14-15,,Defensive rebound by K. Thompson
4:58.0,,,14-15,,Turnover by K. Thompson (lost ball; steal by K. Irving)
4:51.0,J. Smith makes 3-pt shot from 24 ft (assist by K. Irving),3,17-15,,
4:40.0,,,17-15,,K. Thompson misses 2-pt shot from 6 ft
4:38.0,Defensive rebound by T. Mozgov,,17-15,,
4:23.0,J. Smith makes 2-pt shot from 22 ft (assist by T. Mozgov),2,19-15,,
4:12.0,,,19-15,,D. Green misses 2-pt shot from 20 ft
4:11.0,Defensive rebound by K. Love,,19-15,,
3:53.0,Shooting foul by A. Bogut (drawn by T. Mozgov),,19-15,,
3:53.0,T. Mozgov makes free throw 1 of 2,1,20-15,,
3:53.0,M. Dellavedova enters the game for M. Miller,,20-15,,
3:53.0,,,20-15,,M. Speights enters the game for A. Bogut
3:53.0,T. Mozgov misses free throw 2 of 2,,20-15,,
3:52.0,,,20-15,,Defensive rebound by D. Green
3:40.0,,,20-18,3,S. Curry makes 3-pt shot from 26 ft (assist by A. Iguodala)
3:25.0,K. Irving makes 2-pt shot from 10 ft,2,22-18,,
3:18.0,,,22-18,,S. Curry misses 3-pt shot from 28 ft
3:17.0,Defensive rebound by J. Smith,,22-18,,
3:06.0,K. Irving misses 2-pt shot from 6 ft,,22-18,,
3:04.0,Offensive rebound by T. Mozgov,,22-18,,
3:02.0,T. Mozgov makes 2-pt shot from 3 ft,2,24-18,,
2:55.0,,,24-21,3,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry)
2:50.0,Cleveland full timeout,,24-21,,
2:50.0,,,24-21,,J. Holiday enters the game for K. Thompson
2:50.0,,,24-21,,D. Lee enters the game for D. Green
2:50.0,J. Harris enters the game for K. Irving,,24-21,,
2:33.0,J. Smith makes 3-pt shot from 27 ft (assist by M. Dellavedova),3,27-21,,
2:16.0,,,27-24,3,J. Holiday makes 3-pt shot from 22 ft (assist by A. Iguodala)
1:56.0,M. Dellavedova makes 3-pt shot from 26 ft (assist by J. Harris),3,30-24,,
1:43.0,,,30-24,,S. Curry misses 2-pt shot from 3 ft
1:42.0,Defensive rebound by T. Mozgov,,30-24,,
1:35.0,J. Harris misses 2-pt shot from 1 ft,,30-24,,
1:33.0,,,30-24,,Defensive rebound by D. Lee
1:24.0,,,30-26,2,M. Speights makes 2-pt shot from 20 ft (assist by A. Iguodala)
1:03.0,J. Smith misses 2-pt shot from 20 ft,,30-26,,
1:01.0,,,30-26,,Defensive rebound by M. Speights
0:59.0,Personal foul by M. Dellavedova (drawn by S. Curry),,30-26,,
0:59.0,T. Thompson enters the game for K. Love,,30-26,,
0:59.0,M. Miller enters the game for J. Smith,,30-26,,
0:52.0,,,30-26,,Turnover by D. Lee (bad pass)
0:42.0,M. Dellavedova makes 2-pt shot from 10 ft,2,32-26,,
0:32.0,,,32-26,,Shooting foul by T. Mozgov (drawn by M. Speights)
0:32.0,,,32-27,1,M. Speights makes free throw 1 of 2
0:32.0,,,32-27,,S. Livingston enters the game for S. Curry
0:32.0,,,32-28,1,M. Speights makes free throw 2 of 2
0:16.0,Turnover by M. Dellavedova (bad pass; steal by A. Iguodala),,32-28,,
0:11.0,,,32-28,,J. Holiday misses 2-pt shot from 3 ft
0:09.0,,,32-28,,Offensive rebound by J. Holiday
0:09.0,,,32-30,2,J. Holiday makes 2-pt shot from 3 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,Turnover by M. Dellavedova (bad pass; steal by D. Lee),,32-30,,
11:44.0,,,32-32,2,M. Speights makes 2-pt shot from 17 ft (assist by J. Holiday)
11:18.0,T. Mozgov misses 2-pt shot from 16 ft,,32-32,,
11:17.0,Offensive rebound by Team,,32-32,,
11:17.0,,,32-32,,Personal foul by J. Holiday (drawn by T. Thompson)
11:17.0,K. Irving enters the game for M. Dellavedova,,32-32,,
11:09.0,Turnover by M. Miller (bad pass; steal by J. Holiday),,32-32,,
10:57.0,,,32-32,,D. Lee misses 2-pt shot from 9 ft
10:56.0,,,32-32,,Offensive rebound by M. Speights
10:56.0,,,32-32,,M. Speights misses 2-pt shot from 1 ft
10:55.0,Defensive rebound by Team,,32-32,,
10:42.0,Shooting foul by S. Livingston (drawn by K. Irving),,32-32,,
10:42.0,K. Irving makes free throw 1 of 2,1,33-32,,
10:42.0,K. Irving misses free throw 2 of 2,,33-32,,
10:41.0,,,33-32,,Defensive rebound by D. Lee
10:28.0,,,33-32,,Turnover by S. Livingston (bad pass; steal by T. Thompson)
10:22.0,K. Irving misses 2-pt shot from 2 ft,,33-32,,
10:21.0,,,33-32,,Defensive rebound by S. Livingston
10:18.0,,,33-32,,Shooting foul by J. Harris (drawn by S. Livingston)
10:18.0,,,33-33,1,S. Livingston makes free throw 1 of 2
10:18.0,,,33-33,,S. Livingston misses free throw 2 of 2
10:17.0,Defensive rebound by T. Thompson,,33-33,,
9:56.0,T. Thompson misses 2-pt shot from 1 ft (block by M. Speights),,33-33,,
9:54.0,,,33-33,,Defensive rebound by M. Speights
9:49.0,,,33-35,2,J. Holiday makes 2-pt shot from 2 ft (assist by S. Livingston)
9:32.0,T. Thompson makes 2-pt shot from 1 ft,2,35-35,,
9:23.0,,,35-35,,Shooting foul by J. Harris (drawn by D. Lee)
9:23.0,,,35-36,1,D. Lee makes free throw 1 of 2
9:23.0,K. Love enters the game for T. Mozgov,,35-36,,
9:23.0,,,35-37,1,D. Lee makes free throw 2 of 2
9:08.0,K. Irving makes 2-pt shot from 16 ft,2,37-37,,
8:53.0,,,37-39,2,D. Lee makes 2-pt shot from 14 ft
8:34.0,T. Thompson misses 2-pt shot from 1 ft,,37-39,,
8:33.0,,,37-39,,Defensive rebound by J. Holiday
8:29.0,,,37-39,,Shooting foul by M. Miller (drawn by A. Iguodala)
8:29.0,Official timeout,,37-39,,
8:29.0,J. Smith enters the game for J. Harris,,37-39,,
8:29.0,,,37-40,1,A. Iguodala makes free throw 1 of 2
8:29.0,,,37-41,1,A. Iguodala makes free throw 2 of 2
8:10.0,T. Thompson misses 2-pt shot from 10 ft,,37-41,,
8:09.0,,,37-41,,Defensive rebound by M. Speights
7:53.0,,,37-41,,Turnover by S. Livingston (lost ball)
7:46.0,K. Irving misses 2-pt shot from 6 ft,,37-41,,
7:45.0,,,37-41,,Defensive rebound by Team
7:45.0,Loose ball foul by T. Thompson (drawn by M. Speights),,37-41,,
7:30.0,,,37-41,,Turnover by D. Lee (lost ball; steal by M. Miller)
7:12.0,J. Smith makes 2-pt shot from 22 ft,2,39-41,,
