time,LA Lakers,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. J. Hill (W. Ellington gains possession),,,,Jump ball: T. Chandler vs. J. Hill (W. Ellington gains possession)
11:42.0,W. Ellington misses 2-pt shot from 20 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by R. Rondo
11:26.0,,,0-2,2,T. Chandler makes 2-pt shot at rim (assist by R. Rondo)
11:10.0,W. Johnson misses 3-pt shot from 23 ft,,0-2,,
11:10.0,,,0-2,,Defensive rebound by T. Chandler
11:03.0,,,0-2,,Shooting foul by J. Hill (drawn by T. Chandler)
11:03.0,,,0-3,1,T. Chandler makes free throw 1 of 2
11:03.0,,,0-4,1,T. Chandler makes free throw 2 of 2
10:47.0,Turnover by J. Hill (bad pass; steal by D. Nowitzki),,0-4,,
10:42.0,,,0-4,,Turnover by T. Chandler (lost ball; steal by R. Price)
10:32.0,Turnover by J. Hill (traveling),,0-4,,
10:20.0,,,0-6,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by T. Chandler)
10:03.0,R. Price misses 3-pt shot from 26 ft,,0-6,,
10:02.0,,,0-6,,Defensive rebound by T. Chandler
9:52.0,,,0-8,2,R. Rondo makes 2-pt shot from 19 ft
9:28.0,J. Hill misses 2-pt shot from 18 ft,,0-8,,
9:28.0,,,0-8,,Defensive rebound by D. Nowitzki
9:21.0,,,0-10,2,T. Chandler makes 2-pt shot at rim (assist by R. Rondo)
9:07.0,LA Lakers full timeout,,0-10,,
8:58.0,J. Hill makes 2-pt shot from 14 ft (assist by R. Price),2,2-10,,
8:35.0,,,2-10,,Turnover by T. Chandler (lost ball; steal by W. Johnson)
8:25.0,E. Davis misses 2-pt shot from 1 ft,,2-10,,
8:23.0,Offensive rebound by J. Hill,,2-10,,
8:23.0,J. Hill misses 2-pt shot at rim,,2-10,,
8:22.0,,,2-10,,Defensive rebound by C. Parsons
8:17.0,,,2-12,2,M. Ellis makes 2-pt shot at rim
8:00.0,J. Hill misses 2-pt shot from 7 ft,,2-12,,
7:59.0,,,2-12,,Defensive rebound by D. Nowitzki
7:45.0,,,2-14,2,C. Parsons makes 2-pt shot from 15 ft
7:24.0,W. Ellington makes 3-pt shot from 24 ft (assist by E. Davis),3,5-14,,
7:06.0,,,5-14,,C. Parsons misses 3-pt shot from 24 ft
7:05.0,Defensive rebound by E. Davis,,5-14,,
7:00.0,W. Ellington makes 2-pt shot at rim (assist by R. Price),2,7-14,,
6:57.0,,,7-14,,Turnover by T. Chandler (bad pass)
6:57.0,,,7-14,,D. Harris enters the game for R. Rondo
6:57.0,,,7-14,,C. Villanueva enters the game for D. Nowitzki
6:49.0,W. Johnson misses 3-pt shot from 23 ft,,7-14,,
6:49.0,,,7-14,,Defensive rebound by Team
6:33.0,,,7-14,,D. Harris misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by W. Ellington,,7-14,,
6:25.0,Turnover by W. Ellington (lost ball; steal by D. Harris),,7-14,,
6:20.0,,,7-16,2,T. Chandler makes 2-pt shot at rim (assist by C. Parsons)
6:00.0,,,7-16,,Personal foul by M. Ellis (drawn by E. Davis)
5:56.0,R. Price makes 3-pt shot from 24 ft,3,10-16,,
