time,Portland,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. R. Lopez (Z. LaVine gains possession),,,,Jump ball: G. Dieng vs. R. Lopez (Z. LaVine gains possession)
11:35.0,,,0-2,2,Z. LaVine makes 2-pt shot from 17 ft (assist by A. Wiggins)
11:16.0,D. Lillard misses 2-pt shot from 19 ft,,0-2,,
11:15.0,,,0-2,,Defensive rebound by C. Brewer
11:05.0,,,0-2,,A. Wiggins misses 2-pt shot from 18 ft
11:04.0,Defensive rebound by L. Aldridge,,0-2,,
10:52.0,Turnover by L. Aldridge (bad pass; steal by T. Young),,0-2,,
10:46.0,,,0-2,,T. Young misses 2-pt shot from 1 ft
10:44.0,,,0-2,,Offensive rebound by G. Dieng
10:38.0,,,0-2,,A. Wiggins misses 2-pt shot from 19 ft
10:37.0,Defensive rebound by L. Aldridge,,0-2,,
10:18.0,W. Matthews misses 3-pt shot from 24 ft,,0-2,,
10:17.0,,,0-2,,Defensive rebound by C. Brewer
10:09.0,,,0-2,,T. Young misses 3-pt shot from 25 ft
10:08.0,Defensive rebound by D. Lillard,,0-2,,
9:58.0,R. Lopez makes 2-pt shot from 6 ft (assist by D. Lillard),2,2-2,,
9:33.0,,,2-2,,Z. LaVine misses 2-pt shot from 13 ft
9:33.0,Defensive rebound by L. Aldridge,,2-2,,
9:18.0,R. Lopez misses 2-pt shot from 5 ft,,2-2,,
9:17.0,,,2-2,,Defensive rebound by Z. LaVine
9:11.0,,,2-2,,Offensive foul by G. Dieng
9:11.0,,,2-2,,Turnover by G. Dieng (offensive foul)
8:50.0,W. Matthews makes 2-pt shot from 16 ft (assist by R. Lopez),2,4-2,,
8:29.0,,,4-4,2,T. Young makes 2-pt shot from 7 ft (assist by C. Brewer)
8:29.0,,,4-4,,Shooting foul by R. Lopez (drawn by T. Young)
8:29.0,,,4-5,1,T. Young makes free throw 1 of 1
8:11.0,N. Batum makes 3-pt shot from 25 ft (assist by L. Aldridge),3,7-5,,
7:54.0,Personal foul by N. Batum (drawn by C. Brewer),,7-5,,
7:50.0,,,7-7,2,G. Dieng makes 2-pt shot from 16 ft (assist by C. Brewer)
7:24.0,D. Lillard makes 3-pt shot from 26 ft (assist by N. Batum),3,10-7,,
7:10.0,,,10-7,,C. Brewer misses 2-pt shot at rim
7:09.0,,,10-7,,Offensive rebound by C. Brewer
7:01.0,,,10-7,,Turnover by A. Wiggins (lost ball; steal by W. Matthews)
6:41.0,Turnover by W. Matthews (lost ball),,10-7,,
6:41.0,Loose ball foul by W. Matthews (drawn by G. Dieng),,10-7,,
6:28.0,,,10-7,,T. Young misses 2-pt shot from 16 ft
6:27.0,Defensive rebound by W. Matthews,,10-7,,
6:12.0,N. Batum misses 3-pt shot from 25 ft,,10-7,,
6:11.0,,,10-7,,Defensive rebound by A. Wiggins
6:07.0,,,10-7,,Turnover by Z. LaVine (bad pass)
5:59.0,L. Aldridge misses 2-pt shot from 18 ft,,10-7,,
5:58.0,,,10-7,,Defensive rebound by G. Dieng
5:50.0,,,10-7,,T. Young misses 2-pt shot from 3 ft (block by L. Aldridge)
5:49.0,Defensive rebound by W. Matthews,,10-7,,
5:45.0,,,10-7,,Minnesota full timeout
5:45.0,,,10-7,,S. Muhammad enters the game for C. Brewer
5:45.0,S. Blake enters the game for W. Matthews,,10-7,,
5:44.0,D. Lillard makes 2-pt shot at rim (assist by N. Batum),2,12-7,,
5:24.0,,,12-7,,T. Young misses 2-pt shot from 16 ft
5:24.0,,,12-7,,Offensive rebound by G. Dieng
5:11.0,,,12-7,,S. Muhammad misses 2-pt shot from 10 ft
5:10.0,Defensive rebound by R. Lopez,,12-7,,
5:02.0,D. Lillard misses 2-pt shot from 16 ft,,12-7,,
5:01.0,,,12-7,,Defensive rebound by Team
5:01.0,C. Kaman enters the game for R. Lopez,,12-7,,
4:42.0,,,12-9,2,A. Wiggins makes 2-pt shot from 13 ft (assist by T. Young)
4:24.0,,,12-9,,Personal foul by G. Dieng (drawn by L. Aldridge)
4:24.0,,,12-9,,A. Bennett enters the game for G. Dieng
4:24.0,,,12-9,,J. Adrien enters the game for T. Young
4:18.0,C. Kaman misses 2-pt shot from 13 ft,,12-9,,
4:17.0,,,12-9,,Defensive rebound by Z. LaVine
4:05.0,,,12-9,,J. Adrien misses 2-pt shot from 17 ft
4:05.0,Defensive rebound by Team,,12-9,,
3:46.0,C. Kaman misses 2-pt shot from 10 ft (block by J. Adrien),,12-9,,
3:45.0,,,12-9,,Defensive rebound by A. Bennett
3:41.0,Personal foul by S. Blake (drawn by A. Wiggins),,12-9,,
3:33.0,,,12-9,,A. Wiggins misses 2-pt shot from 1 ft
3:33.0,Defensive rebound by D. Lillard,,12-9,,
3:27.0,,,12-9,,Personal foul by Z. LaVine (drawn by D. Lillard)
3:16.0,D. Lillard misses 3-pt shot from 24 ft,,12-9,,
3:14.0,,,12-9,,Defensive rebound by S. Muhammad
3:04.0,,,12-11,2,S. Muhammad makes 2-pt shot at rim
2:49.0,N. Batum misses 3-pt shot from 26 ft,,12-11,,
2:48.0,,,12-11,,Defensive rebound by J. Adrien
2:42.0,,,12-11,,Shooting foul by L. Aldridge (drawn by S. Muhammad)
2:42.0,Portland full timeout,,12-11,,
2:42.0,W. Matthews enters the game for N. Batum,,12-11,,
2:42.0,A. Crabbe enters the game for D. Lillard,,12-11,,
2:42.0,,,12-12,1,S. Muhammad makes free throw 1 of 2
2:42.0,,,12-13,1,S. Muhammad makes free throw 2 of 2
2:32.0,,,12-13,,Personal foul by A. Bennett (drawn by L. Aldridge)
2:16.0,C. Kaman makes 2-pt shot from 7 ft,2,14-13,,
2:02.0,,,14-15,2,A. Wiggins makes 2-pt shot from 12 ft (assist by J. Adrien)
1:50.0,C. Kaman misses 2-pt shot from 14 ft,,14-15,,
