time,Cleveland,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. N. Vucevic (K. O'Quinn gains possession),,,,Jump ball: T. Thompson vs. N. Vucevic (K. O'Quinn gains possession)
11:50.0,,,0-0,,Turnover by V. Oladipo (step out of bounds)
11:43.0,Turnover by M. Dellavedova (bad pass),,0-0,,
11:25.0,,,0-2,2,T. Harris makes 2-pt shot from 4 ft (assist by N. Vucevic)
11:12.0,K. Love misses 2-pt shot from 15 ft,,0-2,,
11:11.0,,,0-2,,Defensive rebound by T. Harris
10:56.0,,,0-4,2,V. Oladipo makes 2-pt shot from 2 ft (assist by N. Vucevic)
10:34.0,L. James makes 2-pt shot from 16 ft,2,2-4,,
10:15.0,,,2-4,,V. Oladipo misses 3-pt shot from 26 ft
10:14.0,Defensive rebound by T. Thompson,,2-4,,
10:03.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,5-4,,
9:48.0,,,5-4,,K. O'Quinn misses 2-pt shot from 19 ft
9:46.0,Defensive rebound by M. Miller,,5-4,,
9:38.0,L. James makes 2-pt shot at rim,2,7-4,,
9:18.0,,,7-6,2,E. Payton makes 2-pt shot from 17 ft
8:58.0,M. Dellavedova makes 3-pt shot from 23 ft (assist by L. James),3,10-6,,
8:42.0,,,10-6,,Turnover by T. Harris (bad pass)
8:22.0,L. James misses 2-pt shot from 17 ft,,10-6,,
8:20.0,,,10-6,,Defensive rebound by N. Vucevic
8:03.0,,,10-8,2,N. Vucevic makes 2-pt shot from 4 ft (assist by K. O'Quinn)
7:45.0,M. Miller misses 3-pt shot from 25 ft,,10-8,,
7:44.0,,,10-8,,Defensive rebound by V. Oladipo
7:41.0,,,10-10,2,T. Harris makes 2-pt shot at rim (assist by V. Oladipo)
7:20.0,K. Love makes 2-pt shot at rim (assist by M. Miller),2,12-10,,
7:00.0,,,12-10,,T. Harris misses 3-pt shot from 26 ft
6:59.0,Defensive rebound by L. James,,12-10,,
6:47.0,K. Love misses 2-pt shot from 2 ft,,12-10,,
6:46.0,,,12-10,,Defensive rebound by N. Vucevic
6:35.0,,,12-10,,V. Oladipo misses 2-pt shot from 21 ft
6:33.0,Defensive rebound by K. Love,,12-10,,
6:23.0,K. Love makes 2-pt shot from 15 ft (assist by M. Dellavedova),2,14-10,,
6:04.0,,,14-12,2,N. Vucevic makes 2-pt shot from 16 ft (assist by V. Oladipo)
5:42.0,L. James misses 2-pt shot from 13 ft (block by T. Harris),,14-12,,
5:42.0,Offensive rebound by Team,,14-12,,
5:42.0,,,14-12,,Orlando full timeout
5:37.0,T. Thompson misses 2-pt shot from 3 ft,,14-12,,
5:36.0,,,14-12,,Defensive rebound by T. Harris
5:18.0,,,14-15,3,T. Harris makes 3-pt shot from 23 ft (assist by V. Oladipo)
4:59.0,K. Love makes 2-pt shot from 2 ft (assist by L. James),2,16-15,,
4:59.0,Shooting foul by K. O'Quinn (drawn by K. Love),,16-15,,
4:59.0,,,16-15,,E. Fournier enters the game for E. Payton
4:59.0,,,16-15,,C. Frye enters the game for K. O'Quinn
4:59.0,D. Waiters enters the game for M. Miller,,16-15,,
4:59.0,K. Love makes free throw 1 of 1,1,17-15,,
4:46.0,,,17-17,2,V. Oladipo makes 2-pt shot at rim
4:29.0,Turnover by L. James (bad pass; steal by E. Fournier),,17-17,,
4:27.0,Personal foul by M. Dellavedova (drawn by E. Fournier),,17-17,,
4:27.0,S. Marion enters the game for K. Love,,17-17,,
4:16.0,,,17-19,2,E. Fournier makes 2-pt shot from 1 ft
4:16.0,,,17-19,,Shooting foul by M. Dellavedova (drawn by E. Fournier)
4:16.0,A. Price enters the game for M. Dellavedova,,17-19,,
4:16.0,,,17-20,1,E. Fournier makes free throw 1 of 1
3:58.0,L. James makes 2-pt shot from 17 ft,2,19-20,,
3:33.0,,,19-23,3,E. Fournier makes 3-pt shot from 26 ft (assist by N. Vucevic)
3:23.0,D. Waiters makes 2-pt shot from 12 ft,2,21-23,,
3:23.0,Shooting foul by E. Fournier (drawn by D. Waiters),,21-23,,
3:23.0,,,21-23,,D. Dedmon enters the game for N. Vucevic
3:23.0,D. Waiters makes free throw 1 of 1,1,22-23,,
3:08.0,,,22-25,2,V. Oladipo makes 2-pt shot from 1 ft
2:48.0,,,22-25,,Personal foul by D. Dedmon (drawn by A. Price)
2:48.0,Cleveland full timeout,,22-25,,
2:36.0,D. Waiters misses 2-pt shot from 18 ft,,22-25,,
2:35.0,Offensive rebound by S. Marion,,22-25,,
2:31.0,L. James misses 3-pt shot from 26 ft,,22-25,,
2:30.0,,,22-25,,Defensive rebound by D. Dedmon
2:20.0,,,22-28,3,C. Frye makes 3-pt shot from 27 ft (assist by V. Oladipo)
2:04.0,Turnover by L. James (bad pass; steal by T. Harris),,22-28,,
1:56.0,,,22-28,,T. Harris misses 2-pt shot from 13 ft (block by S. Marion)
1:54.0,Defensive rebound by T. Thompson,,22-28,,
1:43.0,Turnover by L. James (bad pass; steal by V. Oladipo),,22-28,,
1:40.0,,,22-28,,Offensive charge foul by T. Harris
1:40.0,,,22-28,,Turnover by T. Harris (offensive foul)
1:40.0,,,22-28,,E. Payton enters the game for V. Oladipo
1:40.0,K. Love enters the game for L. James,,22-28,,
1:40.0,M. Miller enters the game for T. Thompson,,22-28,,
1:40.0,,,22-28,,B. Gordon enters the game for T. Harris
1:25.0,K. Love makes 3-pt shot from 23 ft (assist by D. Waiters),3,25-28,,
1:11.0,,,25-28,,Shooting foul by M. Miller (drawn by E. Fournier)
1:11.0,,,25-29,1,E. Fournier makes free throw 1 of 2
1:11.0,,,25-30,1,E. Fournier makes free throw 2 of 2
0:54.0,S. Marion makes 2-pt shot from 8 ft,2,27-30,,
0:37.0,,,27-32,2,D. Dedmon makes 2-pt shot from 7 ft (assist by B. Gordon)
0:22.0,S. Marion misses 3-pt shot from 23 ft,,27-32,,
0:22.0,Offensive rebound by Team,,27-32,,
