time,Miami,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Thompson vs. H. Whiteside (C. Bosh gains possession),,,,Jump ball: J. Thompson vs. H. Whiteside (C. Bosh gains possession)
11:39.0,L. Deng makes 2-pt shot from 15 ft (assist by C. Bosh),2,2-0,,
11:14.0,,,2-0,,B. McLemore misses 3-pt shot from 24 ft
11:13.0,Defensive rebound by C. Bosh,,2-0,,
10:50.0,C. Bosh misses 2-pt shot from 16 ft,,2-0,,
10:49.0,,,2-0,,Defensive rebound by J. Thompson
10:44.0,,,2-2,2,D. Collison makes 2-pt shot from 1 ft
10:21.0,C. Bosh misses 2-pt shot from 17 ft,,2-2,,
10:20.0,,,2-2,,Defensive rebound by Team
10:20.0,Loose ball foul by H. Whiteside (drawn by D. Cousins),,2-2,,
10:08.0,,,2-2,,Shooting foul by H. Whiteside (drawn by D. Cousins)
10:08.0,,,2-3,1,D. Cousins makes free throw 1 of 2
10:08.0,U. Haslem enters the game for H. Whiteside,,2-3,,
10:08.0,,,2-4,1,D. Cousins makes free throw 2 of 2
9:53.0,C. Bosh makes 2-pt shot from 16 ft (assist by M. Chalmers),2,4-4,,
9:40.0,,,4-4,,D. Cousins misses 2-pt shot from 15 ft
9:40.0,Defensive rebound by M. Chalmers,,4-4,,
9:24.0,L. Deng misses 2-pt shot from 1 ft,,4-4,,
9:23.0,,,4-4,,Defensive rebound by D. Cousins
9:12.0,,,4-4,,Turnover by D. Collison (bad pass; steal by C. Bosh)
9:07.0,C. Bosh makes 2-pt shot at rim,2,6-4,,
8:48.0,,,6-4,,Turnover by B. McLemore (bad pass; steal by S. Napier)
8:44.0,S. Napier misses 2-pt shot from 2 ft,,6-4,,
8:41.0,Offensive rebound by L. Deng,,6-4,,
8:41.0,L. Deng makes 2-pt shot at rim,2,8-4,,
8:25.0,,,8-4,,Turnover by D. Cousins (bad pass; steal by L. Deng)
8:20.0,L. Deng misses 2-pt shot from 4 ft,,8-4,,
8:20.0,,,8-4,,Defensive rebound by D. Cousins
8:07.0,,,8-7,3,D. Collison makes 3-pt shot from 22 ft (assist by D. Williams)
7:53.0,,,8-7,,Personal foul by B. McLemore (drawn by M. Chalmers)
7:47.0,M. Chalmers misses 3-pt shot from 24 ft,,8-7,,
7:45.0,,,8-7,,Defensive rebound by D. Cousins
7:27.0,,,8-9,2,J. Thompson makes 2-pt shot from 11 ft
7:11.0,Shooting foul by J. Thompson (drawn by C. Bosh),,8-9,,
7:11.0,C. Bosh makes free throw 1 of 2,1,9-9,,
7:11.0,C. Bosh makes free throw 2 of 2,1,10-9,,
6:53.0,,,10-11,2,J. Thompson makes 2-pt shot from 15 ft (assist by D. Collison)
6:35.0,S. Napier misses 2-pt shot from 10 ft,,10-11,,
6:35.0,Offensive rebound by U. Haslem,,10-11,,
6:31.0,M. Chalmers makes 3-pt shot from 25 ft (assist by U. Haslem),3,13-11,,
6:13.0,,,13-13,2,D. Cousins makes 2-pt shot from 19 ft
5:54.0,U. Haslem misses 2-pt shot from 14 ft,,13-13,,
5:53.0,,,13-13,,Defensive rebound by D. Cousins
5:48.0,,,13-13,,Shooting foul by U. Haslem (drawn by J. Thompson)
5:48.0,,,13-13,,Sacramento full timeout
5:48.0,S. Williams enters the game for C. Bosh,,13-13,,
5:48.0,,,13-14,1,J. Thompson makes free throw 1 of 2
5:48.0,,,13-14,,J. Thompson misses free throw 2 of 2
5:48.0,,,13-14,,Offensive rebound by Team
5:48.0,Loose ball foul by U. Haslem (drawn by J. Thompson),,13-14,,
5:41.0,,,13-14,,Turnover by J. Thompson (bad pass; steal by M. Chalmers)
5:37.0,Shooting foul by J. Thompson (drawn by S. Napier),,13-14,,
5:37.0,S. Napier makes free throw 1 of 2,1,14-14,,
5:37.0,,,14-14,,O. Casspi enters the game for J. Thompson
5:37.0,S. Napier makes free throw 2 of 2,1,15-14,,
5:18.0,,,15-14,,B. McLemore misses 3-pt shot from 23 ft
5:18.0,,,15-14,,Offensive rebound by D. Williams
5:15.0,,,15-16,2,D. Williams makes 2-pt shot at rim
5:01.0,U. Haslem misses 2-pt shot from 14 ft,,15-16,,
5:01.0,,,15-16,,Defensive rebound by D. Cousins
4:52.0,,,15-16,,Offensive charge foul by D. Cousins
4:52.0,,,15-16,,Turnover by D. Cousins (offensive foul)
4:27.0,S. Napier misses 2-pt shot from 7 ft,,15-16,,
4:27.0,Offensive rebound by Team,,15-16,,
4:27.0,,,15-16,,Loose ball foul by O. Casspi (drawn by U. Haslem)
4:16.0,L. Deng misses 2-pt shot from 7 ft,,15-16,,
4:14.0,,,15-16,,Defensive rebound by D. Cousins
4:11.0,,,15-18,2,B. McLemore makes 2-pt shot from 2 ft (assist by D. Cousins)
4:11.0,,,15-18,,Shooting foul by S. Williams (drawn by B. McLemore)
4:11.0,,,15-18,,B. McLemore misses free throw 1 of 1
4:10.0,Defensive rebound by L. Deng,,15-18,,
4:04.0,Miami full timeout,,15-18,,
4:03.0,Turnover by S. Napier (lost ball),,15-18,,
3:52.0,,,15-18,,D. Cousins misses 2-pt shot from 2 ft
3:51.0,Defensive rebound by U. Haslem,,15-18,,
3:32.0,L. Deng makes 2-pt shot from 3 ft (assist by S. Napier),2,17-18,,
3:15.0,Violation by S. Williams (kicked ball),,17-18,,
3:10.0,,,17-20,2,B. McLemore makes 2-pt shot from 2 ft (assist by D. Collison)
2:51.0,M. Chalmers misses 2-pt shot from 4 ft,,17-20,,
2:48.0,Offensive rebound by U. Haslem,,17-20,,
2:32.0,Shooting foul by D. Cousins (drawn by U. Haslem),,17-20,,
2:32.0,U. Haslem makes free throw 1 of 2,1,18-20,,
2:32.0,,,18-20,,R. Evans enters the game for D. Cousins
2:32.0,C. Bosh enters the game for S. Williams,,18-20,,
2:32.0,U. Haslem misses free throw 2 of 2,,18-20,,
2:31.0,,,18-20,,Defensive rebound by D. Williams
2:11.0,,,18-20,,D. Collison misses 2-pt shot from 15 ft (block by S. Napier)
2:11.0,,,18-20,,Offensive rebound by Team
2:11.0,S. Williams enters the game for U. Haslem,,18-20,,
2:11.0,N. Cole enters the game for M. Chalmers,,18-20,,
2:10.0,Jump ball: D. Collison vs. S. Napier (D. Williams gains possession),,,,Jump ball: D. Collison vs. S. Napier (D. Williams gains possession)
2:05.0,,,18-20,,D. Williams misses 2-pt shot from 14 ft
2:04.0,Defensive rebound by S. Williams,,18-20,,
1:59.0,Shooting foul by O. Casspi (drawn by S. Napier),,18-20,,
1:59.0,S. Napier makes free throw 1 of 2,1,19-20,,
1:59.0,,,19-20,,N. Stauskas enters the game for O. Casspi
1:59.0,S. Napier makes free throw 2 of 2,1,20-20,,
1:36.0,Jump ball: D. Williams vs. S. Williams,,,,Jump ball: D. Williams vs. S. Williams
1:31.0,,,20-20,,D. Collison misses 3-pt shot from 24 ft
1:31.0,,,20-20,,Offensive rebound by N. Stauskas
1:16.0,,,20-22,2,R. Evans makes 2-pt shot from 2 ft (assist by D. Collison)
1:00.0,S. Napier misses 2-pt shot from 6 ft (block by D. Collison),,20-22,,
0:58.0,Offensive rebound by S. Napier,,20-22,,
0:53.0,C. Bosh makes 2-pt shot from 18 ft (assist by S. Williams),2,22-22,,
0:37.0,,,22-22,,R. Evans misses 2-pt shot from 5 ft
0:37.0,Defensive rebound by C. Bosh,,22-22,,
0:31.0,,,22-22,,Personal foul by N. Stauskas (drawn by L. Deng)
0:31.0,L. Deng misses free throw 1 of 2,,22-22,,
0:31.0,Offensive rebound by Team,,22-22,,
0:31.0,J. Ennis enters the game for S. Napier,,22-22,,
0:31.0,L. Deng makes free throw 2 of 2,1,23-22,,
0:13.0,,,23-22,,D. Collison misses 2-pt shot from 19 ft
0:12.0,Defensive rebound by C. Bosh,,23-22,,
0:01.0,S. Williams makes 3-pt shot from 23 ft (assist by J. Ennis),3,26-22,,
0:00.0,,,26-22,,B. McLemore misses 3-pt shot from 46 ft
0:00.0,,,26-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,,,26-22,,R. McCallum misses 2-pt shot from 19 ft
11:34.0,Defensive rebound by S. Williams,,26-22,,
11:29.0,Shooting foul by N. Stauskas (drawn by S. Williams),,26-22,,
11:29.0,S. Williams makes free throw 1 of 2,1,27-22,,
11:29.0,S. Williams makes free throw 2 of 2,1,28-22,,
11:05.0,,,28-24,2,R. McCallum makes 2-pt shot from 10 ft
10:44.0,C. Bosh makes 2-pt shot from 13 ft (assist by D. Granger),2,30-24,,
10:35.0,Personal foul by S. Williams (drawn by D. Williams),,30-24,,
10:20.0,,,30-24,,D. Collison misses 2-pt shot from 18 ft
10:20.0,,,30-24,,Offensive rebound by Team
10:20.0,Loose ball foul by C. Bosh (drawn by R. Evans),,30-24,,
