time,Indiana,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. A. Horford (D. Carroll gains possession),,,,Jump ball: R. Hibbert vs. A. Horford (D. Carroll gains possession)
11:37.0,,,0-2,2,D. Carroll makes 2-pt shot from 21 ft (assist by P. Millsap)
11:13.0,R. Hibbert misses 2-pt shot from 11 ft,,0-2,,
11:12.0,,,0-2,,Defensive rebound by P. Millsap
11:06.0,,,0-2,,Turnover by P. Millsap (bad pass)
10:41.0,D. West misses 2-pt shot from 5 ft,,0-2,,
10:40.0,,,0-2,,Defensive rebound by P. Millsap
10:30.0,,,0-5,3,K. Korver makes 3-pt shot from 25 ft (assist by D. Carroll)
10:06.0,C. Watson misses 3-pt shot from 24 ft,,0-5,,
10:05.0,,,0-5,,Defensive rebound by A. Horford
9:45.0,,,0-5,,P. Millsap misses 3-pt shot from 24 ft
9:44.0,,,0-5,,Offensive rebound by A. Horford
9:35.0,,,0-5,,A. Horford misses 2-pt shot from 16 ft
9:33.0,Defensive rebound by D. West,,0-5,,
9:20.0,C. Watson makes 2-pt shot from 19 ft (assist by S. Hill),2,2-5,,
8:59.0,,,2-5,,Turnover by P. Millsap (lost ball; steal by C. Watson)
8:53.0,,,2-5,,Personal foul by K. Korver (drawn by R. Hibbert)
8:45.0,R. Stuckey makes 2-pt shot from 18 ft (assist by C. Watson),2,4-5,,
8:24.0,,,4-8,3,D. Carroll makes 3-pt shot from 25 ft (assist by A. Horford)
8:01.0,R. Stuckey misses 3-pt shot from 23 ft,,4-8,,
8:00.0,,,4-8,,Defensive rebound by K. Korver
7:55.0,,,4-8,,D. Carroll misses 2-pt shot from 1 ft
7:54.0,Defensive rebound by C. Watson,,4-8,,
7:37.0,Turnover by D. West (lost ball; steal by D. Carroll),,4-8,,
7:26.0,,,4-8,,Shooting foul by D. West (drawn by P. Millsap)
7:26.0,,,4-9,1,P. Millsap makes free throw 1 of 2
7:26.0,,,4-10,1,P. Millsap makes free throw 2 of 2
7:14.0,Turnover by S. Hill (traveling),,4-10,,
7:01.0,,,4-12,2,A. Horford makes 2-pt shot at rim (assist by K. Korver)
6:38.0,R. Stuckey makes 2-pt shot from 20 ft (assist by C. Watson),2,6-12,,
6:24.0,,,6-12,,K. Korver misses 3-pt shot from 23 ft
6:22.0,Defensive rebound by C. Watson,,6-12,,
6:19.0,Shooting foul by J. Teague (drawn by R. Stuckey),,6-12,,
6:19.0,R. Stuckey makes free throw 1 of 2,1,7-12,,
6:19.0,R. Stuckey makes free throw 2 of 2,1,8-12,,
6:09.0,,,8-14,2,A. Horford makes 2-pt shot from 18 ft (assist by J. Teague)
5:55.0,C. Watson makes 2-pt shot from 15 ft,2,10-14,,
5:55.0,,,10-14,,Atlanta full timeout
5:38.0,,,10-16,2,P. Millsap makes 2-pt shot from 18 ft (assist by D. Carroll)
5:22.0,S. Hill misses 2-pt shot from 2 ft,,10-16,,
5:22.0,Offensive rebound by Team,,10-16,,
5:22.0,,,10-16,,P. Antic enters the game for A. Horford
5:22.0,,,10-16,,T. Sefolosha enters the game for K. Korver
5:12.0,Shooting foul by D. Carroll (drawn by D. West),,10-16,,
5:12.0,D. West makes free throw 1 of 2,1,11-16,,
5:12.0,D. West misses free throw 2 of 2,,11-16,,
5:11.0,,,11-16,,Defensive rebound by P. Millsap
4:47.0,,,11-16,,J. Teague misses 2-pt shot from 8 ft
4:45.0,Defensive rebound by R. Stuckey,,11-16,,
4:42.0,R. Stuckey misses 2-pt shot from 1 ft (block by T. Sefolosha),,11-16,,
4:40.0,,,11-16,,Defensive rebound by D. Carroll
4:35.0,,,11-16,,J. Teague misses 3-pt shot from 24 ft
4:34.0,,,11-16,,Offensive rebound by P. Antic
4:33.0,,,11-16,,P. Antic misses 2-pt shot at rim (block by R. Hibbert)
4:33.0,,,11-16,,Offensive rebound by Team
4:33.0,C. Miles enters the game for R. Stuckey,,11-16,,
4:24.0,,,11-16,,T. Sefolosha misses 3-pt shot from 22 ft
4:23.0,Defensive rebound by D. West,,11-16,,
4:13.0,D. West misses 2-pt shot from 18 ft,,11-16,,
4:12.0,,,11-16,,Defensive rebound by D. Carroll
4:04.0,,,11-16,,Turnover by P. Antic (lost ball; steal by C. Miles)
3:57.0,S. Hill misses 2-pt shot from 2 ft,,11-16,,
3:57.0,,,11-16,,Defensive rebound by Team
3:57.0,Loose ball foul by D. West (drawn by P. Millsap),,11-16,,
3:57.0,L. Scola enters the game for D. West,,11-16,,
3:45.0,,,11-16,,Turnover by D. Carroll (traveling)
3:45.0,Indiana full timeout,,11-16,,
3:45.0,,,11-16,,D. Schroder enters the game for J. Teague
3:28.0,,,11-16,,Personal block foul by D. Schroder (drawn by R. Hibbert)
3:22.0,,,11-16,,Personal foul by P. Antic (drawn by R. Hibbert)
3:22.0,R. Hibbert makes free throw 1 of 2,1,12-16,,
3:22.0,R. Hibbert makes free throw 2 of 2,1,13-16,,
2:58.0,,,13-19,3,P. Antic makes 3-pt shot from 25 ft (assist by D. Schroder)
2:37.0,Turnover by L. Scola (lost ball),,13-19,,
2:37.0,,,13-19,,M. Scott enters the game for P. Millsap
2:37.0,D. Sloan enters the game for C. Watson,,13-19,,
2:15.0,,,13-22,3,T. Sefolosha makes 3-pt shot from 22 ft (assist by P. Antic)
1:54.0,R. Hibbert misses 2-pt shot from 19 ft,,13-22,,
1:53.0,,,13-22,,Defensive rebound by T. Sefolosha
1:45.0,,,13-22,,D. Schroder misses 2-pt shot from 1 ft
1:45.0,,,13-22,,Offensive rebound by T. Sefolosha
1:45.0,,,13-22,,Shooting foul by R. Hibbert (drawn by T. Sefolosha)
1:45.0,,,13-22,,T. Sefolosha misses free throw 1 of 2
1:45.0,,,13-22,,Offensive rebound by Team
1:45.0,I. Mahinmi enters the game for R. Hibbert,,13-22,,
1:45.0,,,13-23,1,T. Sefolosha makes free throw 2 of 2
1:34.0,C. Miles makes 2-pt shot from 1 ft (assist by D. Sloan),2,15-23,,
1:24.0,,,15-23,,Turnover by D. Schroder (traveling)
1:06.0,C. Miles makes 3-pt shot from 26 ft (assist by S. Hill),3,18-23,,
0:49.0,,,18-25,2,T. Sefolosha makes 2-pt shot from 1 ft
0:33.0,C. Miles makes 3-pt shot from 25 ft (assist by I. Mahinmi),3,21-25,,
0:15.0,,,21-25,,D. Carroll misses 3-pt shot from 23 ft
0:14.0,Defensive rebound by D. Sloan,,21-25,,
0:01.0,S. Hill misses 3-pt shot from 23 ft,,21-25,,
0:01.0,,,21-25,,Defensive rebound by M. Scott
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,C. Miles misses 3-pt shot from 22 ft,,21-25,,
11:41.0,,,21-25,,Defensive rebound by D. Schroder
11:23.0,,,21-25,,Shooting foul by C. Miles (drawn by M. Scott)
11:23.0,,,21-25,,M. Scott misses free throw 1 of 2
11:23.0,,,21-25,,Offensive rebound by Team
11:23.0,,,21-26,1,M. Scott makes free throw 2 of 2
11:05.0,D. Rudez misses 2-pt shot from 22 ft,,21-26,,
11:04.0,Offensive rebound by I. Mahinmi,,21-26,,
11:00.0,D. Sloan misses 3-pt shot from 24 ft,,21-26,,
10:58.0,Offensive rebound by L. Scola,,21-26,,
10:57.0,L. Scola makes 2-pt shot at rim,2,23-26,,
10:41.0,,,23-26,,M. Scott misses 2-pt shot from 9 ft
10:39.0,,,23-26,,Offensive rebound by A. Horford
10:39.0,,,23-28,2,A. Horford makes 2-pt shot at rim
10:26.0,L. Scola misses 2-pt shot from 19 ft,,23-28,,
10:25.0,,,23-28,,Defensive rebound by D. Schroder
