time,Milwaukee,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. Z. Pachulia (T. Young gains possession),,,,Jump ball: B. Lopez vs. Z. Pachulia (T. Young gains possession)
11:41.0,,,0-0,,D. Williams misses 3-pt shot from 24 ft
11:40.0,Defensive rebound by G. Antetokounmpo,,0-0,,
11:18.0,E. Ilyasova misses 2-pt shot from 6 ft,,0-0,,
11:17.0,Offensive rebound by Z. Pachulia,,0-0,,
11:16.0,Z. Pachulia misses 2-pt shot from 1 ft,,0-0,,
11:15.0,,,0-0,,Defensive rebound by B. Lopez
11:11.0,,,0-0,,T. Young misses 2-pt shot from 2 ft
11:10.0,Defensive rebound by E. Ilyasova,,0-0,,
10:56.0,Z. Pachulia misses 2-pt shot from 10 ft,,0-0,,
10:55.0,,,0-0,,Defensive rebound by J. Johnson
10:44.0,,,0-0,,J. Johnson misses 2-pt shot from 5 ft
10:43.0,,,0-0,,Offensive rebound by J. Johnson
10:33.0,,,0-2,2,T. Young makes 2-pt shot from 8 ft
10:20.0,Turnover by M. Carter-Williams (bad pass; steal by J. Johnson),,0-2,,
10:15.0,,,0-4,2,D. Williams makes 2-pt shot from 1 ft
9:59.0,E. Ilyasova makes 2-pt shot from 15 ft (assist by K. Middleton),2,2-4,,
9:43.0,,,2-6,2,B. Lopez makes 2-pt shot from 6 ft (assist by J. Johnson)
9:30.0,Shooting foul by M. Brown (drawn by Z. Pachulia),,2-6,,
9:30.0,Z. Pachulia makes free throw 1 of 2,1,3-6,,
9:30.0,Z. Pachulia makes free throw 2 of 2,1,4-6,,
9:21.0,Personal foul by E. Ilyasova (drawn by T. Young),,4-6,,
9:13.0,,,4-6,,B. Lopez misses 2-pt shot from 5 ft
9:11.0,Defensive rebound by E. Ilyasova,,4-6,,
9:01.0,Z. Pachulia makes 2-pt shot from 13 ft (assist by M. Carter-Williams),2,6-6,,
8:48.0,,,6-6,,M. Brown misses 3-pt shot from 22 ft
8:46.0,,,6-6,,Offensive rebound by D. Williams
8:39.0,,,6-9,3,T. Young makes 3-pt shot from 23 ft (assist by D. Williams)
8:21.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by Z. Pachulia),3,9-9,,
8:10.0,,,9-11,2,B. Lopez makes 2-pt shot from 4 ft (assist by D. Williams)
8:05.0,Shooting foul by M. Brown (drawn by K. Middleton),,9-11,,
8:05.0,K. Middleton makes free throw 1 of 2,1,10-11,,
8:05.0,,,10-11,,B. Bogdanovic enters the game for M. Brown
8:05.0,K. Middleton makes free throw 2 of 2,1,11-11,,
7:41.0,,,11-11,,T. Young misses 3-pt shot from 24 ft
7:40.0,Defensive rebound by G. Antetokounmpo,,11-11,,
7:36.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton),2,13-11,,
7:36.0,Shooting foul by J. Johnson (drawn by G. Antetokounmpo),,13-11,,
7:36.0,G. Antetokounmpo makes free throw 1 of 1,1,14-11,,
7:27.0,,,14-13,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by D. Williams)
7:14.0,M. Carter-Williams makes 2-pt shot from 14 ft,2,16-13,,
6:50.0,,,16-13,,D. Williams misses 2-pt shot from 17 ft
6:48.0,,,16-13,,Offensive rebound by Team
6:45.0,,,16-15,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by J. Johnson)
6:32.0,Turnover by M. Carter-Williams (bad pass; steal by B. Bogdanovic),,16-15,,
6:29.0,,,16-15,,B. Bogdanovic misses 2-pt shot from 2 ft
6:27.0,Defensive rebound by E. Ilyasova,,16-15,,
6:16.0,G. Antetokounmpo misses 2-pt shot from 17 ft,,16-15,,
6:15.0,Offensive rebound by Z. Pachulia,,16-15,,
6:11.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by Z. Pachulia),2,18-15,,
5:59.0,,,18-15,,B. Lopez misses 2-pt shot from 7 ft
5:58.0,Defensive rebound by K. Middleton,,18-15,,
5:51.0,,,18-15,,Personal foul by D. Williams (drawn by E. Ilyasova)
5:51.0,,,18-15,,Brooklyn full timeout
5:44.0,E. Ilyasova misses 2-pt shot from 2 ft,,18-15,,
5:43.0,Offensive rebound by Z. Pachulia,,18-15,,
5:42.0,Z. Pachulia makes 2-pt shot from 1 ft,2,20-15,,
5:22.0,,,20-15,,Turnover by B. Bogdanovic (lost ball; steal by M. Carter-Williams)
5:17.0,M. Carter-Williams makes 2-pt shot at rim,2,22-15,,
4:51.0,,,22-15,,J. Johnson misses 2-pt shot from 7 ft
4:50.0,Defensive rebound by Z. Pachulia,,22-15,,
4:34.0,Z. Pachulia makes 2-pt shot from 17 ft (assist by M. Carter-Williams),2,24-15,,
4:16.0,,,24-15,,B. Lopez misses 2-pt shot from 1 ft
4:15.0,,,24-15,,Offensive rebound by B. Lopez
4:14.0,,,24-17,2,B. Lopez makes 2-pt shot at rim
3:55.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,24-17,,
3:54.0,Offensive rebound by Z. Pachulia,,24-17,,
3:53.0,Z. Pachulia makes 2-pt shot from 1 ft,2,26-17,,
3:33.0,,,26-17,,Turnover by J. Johnson (lost ball; steal by G. Antetokounmpo)
3:30.0,Shooting foul by J. Johnson (drawn by G. Antetokounmpo),,26-17,,
3:30.0,G. Antetokounmpo misses free throw 1 of 2,,26-17,,
3:30.0,Offensive rebound by Team,,26-17,,
3:30.0,,,26-17,,A. Anderson enters the game for J. Johnson
3:30.0,,,26-17,,J. Jack enters the game for D. Williams
3:30.0,J. Bayless enters the game for K. Middleton,,26-17,,
3:30.0,T. Ennis enters the game for M. Carter-Williams,,26-17,,
3:30.0,G. Antetokounmpo makes free throw 2 of 2,1,27-17,,
3:21.0,,,27-19,2,T. Young makes 2-pt shot from 5 ft (assist by J. Jack)
3:21.0,,,27-19,,Shooting foul by Z. Pachulia (drawn by T. Young)
3:21.0,J. Henson enters the game for Z. Pachulia,,27-19,,
3:21.0,,,27-20,1,T. Young makes free throw 1 of 1
3:06.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by B. Lopez),,27-20,,
3:05.0,,,27-20,,Defensive rebound by B. Lopez
2:50.0,,,27-22,2,T. Young makes 2-pt shot at rim (assist by J. Jack)
2:31.0,T. Ennis misses 2-pt shot from 7 ft,,27-22,,
2:30.0,Offensive rebound by J. Henson,,27-22,,
2:29.0,J. Henson misses 2-pt shot from 1 ft,,27-22,,
2:28.0,Offensive rebound by T. Ennis,,27-22,,
2:27.0,T. Ennis misses 2-pt shot at rim,,27-22,,
2:26.0,,,27-22,,Defensive rebound by B. Lopez
2:21.0,,,27-22,,T. Young misses 2-pt shot at rim
2:20.0,,,27-22,,Offensive rebound by B. Bogdanovic
2:19.0,,,27-24,2,B. Bogdanovic makes 2-pt shot at rim
2:19.0,Milwaukee full timeout,,27-24,,
2:08.0,E. Ilyasova misses 2-pt shot from 19 ft,,27-24,,
2:07.0,,,27-24,,Defensive rebound by B. Lopez
2:05.0,Personal foul by J. Henson (drawn by B. Lopez),,27-24,,
1:56.0,,,27-26,2,B. Lopez makes 2-pt shot from 6 ft (assist by J. Jack)
1:40.0,E. Ilyasova misses 3-pt shot from 24 ft,,27-26,,
1:39.0,Offensive rebound by G. Antetokounmpo,,27-26,,
1:29.0,E. Ilyasova misses 2-pt shot from 15 ft,,27-26,,
1:28.0,,,27-26,,Defensive rebound by J. Jack
1:17.0,,,27-28,2,J. Jack makes 2-pt shot from 4 ft
1:03.0,Turnover by J. Bayless (bad pass; steal by J. Jack),,27-28,,
0:54.0,,,27-28,,T. Young misses 2-pt shot from 2 ft (block by J. Henson)
0:52.0,Defensive rebound by G. Antetokounmpo,,27-28,,
0:45.0,Turnover by G. Antetokounmpo (bad pass; steal by J. Jack),,27-28,,
0:42.0,,,27-30,2,B. Bogdanovic makes 2-pt shot at rim (assist by J. Jack)
0:38.0,Offensive foul by J. Bayless,,27-30,,
0:38.0,Turnover by J. Bayless (offensive foul),,27-30,,
0:38.0,K. Middleton enters the game for E. Ilyasova,,27-30,,
0:38.0,,,27-30,,C. Jefferson enters the game for T. Young
0:35.0,,,27-30,,Turnover by J. Jack (lost ball; steal by K. Middleton)
0:34.0,,,27-30,,Personal foul by J. Jack (drawn by K. Middleton)
0:34.0,K. Middleton makes free throw 1 of 2,1,28-30,,
0:34.0,K. Middleton misses free throw 2 of 2,,28-30,,
0:34.0,,,28-30,,Defensive rebound by C. Jefferson
0:26.0,Personal foul by J. Bayless (drawn by A. Anderson),,28-30,,
0:15.0,,,28-30,,Turnover by A. Anderson (bad pass; steal by K. Middleton)
0:10.0,J. Henson misses 2-pt shot from 1 ft,,28-30,,
0:09.0,Offensive rebound by G. Antetokounmpo,,28-30,,
0:09.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,30-30,,
0:04.0,,,30-30,,Shooting foul by K. Middleton (drawn by C. Jefferson)
0:04.0,,,30-30,,C. Jefferson misses free throw 1 of 2
0:04.0,,,30-30,,Offensive rebound by Team
0:04.0,,,30-30,,M. Plumlee enters the game for B. Lopez
0:04.0,,,30-31,1,C. Jefferson makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,Turnover by Team (shot clock),,30-31,,
11:29.0,Violation by M. Plumlee (kicked ball),,30-31,,
11:22.0,,,30-31,,C. Jefferson misses 2-pt shot at rim (block by J. Henson)
11:20.0,Defensive rebound by J. Bayless,,30-31,,
11:09.0,M. Plumlee misses 2-pt shot from 2 ft,,30-31,,
11:08.0,Offensive rebound by J. Henson,,30-31,,
11:07.0,J. Henson makes 2-pt shot at rim,2,32-31,,
10:43.0,,,32-31,,Shooting foul by J. Bayless (drawn by A. Anderson)
10:43.0,,,32-32,1,A. Anderson makes free throw 1 of 2
10:43.0,M. Carter-Williams enters the game for J. Bayless,,32-32,,
10:43.0,,,32-33,1,A. Anderson makes free throw 2 of 2
10:28.0,Shooting foul by A. Anderson (drawn by M. Carter-Williams),,32-33,,
10:28.0,M. Carter-Williams makes free throw 1 of 2,1,33-33,,
10:28.0,M. Carter-Williams makes free throw 2 of 2,1,34-33,,
10:13.0,,,34-33,,C. Jefferson misses 2-pt shot at rim (block by J. Henson)
10:11.0,Defensive rebound by J. Henson,,34-33,,
10:00.0,M. Plumlee makes 2-pt shot from 3 ft,2,36-33,,
9:46.0,,,36-33,,J. Jack misses 2-pt shot from 20 ft
9:45.0,Defensive rebound by J. Henson,,36-33,,
9:37.0,K. Middleton makes 3-pt shot from 24 ft,3,39-33,,
9:17.0,,,39-33,,A. Anderson misses 2-pt shot from 6 ft
9:16.0,Defensive rebound by J. Henson,,39-33,,
9:05.0,M. Carter-Williams makes 2-pt shot from 18 ft,2,41-33,,
9:00.0,,,41-33,,Brooklyn full timeout
9:00.0,,,41-33,,T. Young enters the game for C. Jefferson
8:46.0,,,41-35,2,J. Johnson makes 2-pt shot from 15 ft
8:29.0,M. Plumlee makes 2-pt shot from 4 ft,2,43-35,,
8:10.0,,,43-37,2,A. Anderson makes 2-pt shot at rim (assist by J. Johnson)
7:56.0,J. Henson misses 2-pt shot at rim,,43-37,,
7:55.0,,,43-37,,Defensive rebound by T. Young
7:50.0,Personal foul by K. Middleton (drawn by J. Johnson),,43-37,,
7:50.0,E. Ilyasova enters the game for J. Henson,,43-37,,
7:41.0,,,43-37,,A. Anderson misses 2-pt shot from 9 ft
7:40.0,Defensive rebound by M. Plumlee,,43-37,,
7:39.0,,,43-37,,Personal foul by A. Anderson (drawn by M. Plumlee)
7:16.0,Shooting foul by M. Plumlee (drawn by M. Carter-Williams),,43-37,,
7:16.0,M. Carter-Williams misses free throw 1 of 3,,43-37,,
7:16.0,Offensive rebound by Team,,43-37,,
7:16.0,M. Carter-Williams makes free throw 2 of 3,1,44-37,,
7:16.0,M. Carter-Williams makes free throw 3 of 3,1,45-37,,
7:01.0,,,45-37,,M. Plumlee misses 2-pt shot from 2 ft
7:00.0,Defensive rebound by E. Ilyasova,,45-37,,
6:51.0,E. Ilyasova misses 2-pt shot from 18 ft,,45-37,,
6:50.0,,,45-37,,Defensive rebound by A. Anderson
6:39.0,,,45-37,,T. Young misses 2-pt shot from 2 ft
6:38.0,Defensive rebound by T. Ennis,,45-37,,
6:22.0,M. Carter-Williams misses 2-pt shot from 16 ft,,45-37,,
6:21.0,,,45-37,,Defensive rebound by J. Jack
6:12.0,,,45-40,3,J. Johnson makes 3-pt shot from 23 ft (assist by A. Anderson)
5:54.0,Shooting foul by M. Plumlee (drawn by M. Plumlee),,45-40,,
5:54.0,Official timeout,,45-40,,
5:54.0,,,45-40,,B. Bogdanovic enters the game for A. Anderson
5:54.0,,,45-40,,D. Williams enters the game for J. Jack
5:54.0,,,45-40,,B. Lopez enters the game for M. Plumlee
5:54.0,G. Antetokounmpo enters the game for T. Ennis,,45-40,,
5:54.0,M. Plumlee misses free throw 1 of 2,,45-40,,
5:54.0,Offensive rebound by Team,,45-40,,
5:54.0,M. Plumlee misses free throw 2 of 2,,45-40,,
5:53.0,,,45-40,,Defensive rebound by B. Lopez
5:35.0,,,45-43,3,T. Young makes 3-pt shot from 23 ft (assist by B. Bogdanovic)
5:19.0,M. Plumlee misses 2-pt shot from 2 ft,,45-43,,
5:18.0,,,45-43,,Defensive rebound by Team
5:02.0,,,45-43,,B. Bogdanovic misses 3-pt shot from 24 ft
5:01.0,Defensive rebound by M. Carter-Williams,,45-43,,
4:54.0,,,45-43,,Personal foul by B. Lopez (drawn by G. Antetokounmpo)
4:54.0,G. Antetokounmpo makes free throw 1 of 2,1,46-43,,
4:54.0,Z. Pachulia enters the game for M. Plumlee,,46-43,,
4:54.0,G. Antetokounmpo makes free throw 2 of 2,1,47-43,,
4:43.0,,,47-45,2,B. Lopez makes 2-pt shot from 6 ft (assist by B. Bogdanovic)
4:30.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,49-45,,
4:21.0,,,49-45,,Turnover by B. Bogdanovic (bad pass; steal by E. Ilyasova)
4:13.0,K. Middleton makes 3-pt shot from 24 ft (assist by Z. Pachulia),3,52-45,,
3:55.0,Personal foul by M. Carter-Williams (drawn by J. Johnson),,52-45,,
3:41.0,,,52-48,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by D. Williams)
3:30.0,K. Middleton makes 3-pt shot from 24 ft (assist by Z. Pachulia),3,55-48,,
3:18.0,,,55-48,,T. Young misses 2-pt shot from 9 ft
3:17.0,,,55-48,,Offensive rebound by B. Lopez
3:16.0,,,55-48,,B. Lopez misses 2-pt shot from 1 ft
3:15.0,,,55-48,,Offensive rebound by B. Lopez
3:14.0,,,55-48,,B. Lopez misses 2-pt shot from 1 ft
3:13.0,,,55-48,,Offensive rebound by B. Lopez
3:12.0,,,55-48,,Shooting foul by M. Carter-Williams (drawn by B. Lopez)
3:12.0,,,55-49,1,B. Lopez makes free throw 1 of 2
3:12.0,,,55-50,1,B. Lopez makes free throw 2 of 2
3:01.0,M. Carter-Williams misses 2-pt shot from 6 ft,,55-50,,
3:00.0,Offensive rebound by Z. Pachulia,,55-50,,
2:59.0,,,55-50,,Personal foul by B. Lopez (drawn by Z. Pachulia)
2:59.0,Milwaukee full timeout,,55-50,,
2:59.0,Z. Pachulia makes free throw 1 of 2,1,56-50,,
2:59.0,Z. Pachulia makes free throw 2 of 2,1,57-50,,
2:46.0,,,57-50,,B. Bogdanovic misses 2-pt shot from 10 ft
2:45.0,Defensive rebound by Z. Pachulia,,57-50,,
2:22.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,57-50,,
2:21.0,Offensive rebound by Z. Pachulia,,57-50,,
2:20.0,Z. Pachulia misses 2-pt shot from 1 ft,,57-50,,
2:19.0,Offensive rebound by Z. Pachulia,,57-50,,
2:18.0,Z. Pachulia makes 2-pt shot at rim,2,59-50,,
2:05.0,,,59-52,2,B. Lopez makes 2-pt shot from 2 ft (assist by J. Johnson)
1:46.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,61-52,,
1:34.0,,,61-54,2,B. Lopez makes 2-pt shot from 14 ft (assist by D. Williams)
1:18.0,Z. Pachulia makes 2-pt shot at rim (assist by K. Middleton),2,63-54,,
1:05.0,,,63-54,,B. Lopez misses 2-pt shot from 18 ft
1:04.0,Defensive rebound by G. Antetokounmpo,,63-54,,
0:58.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,65-54,,
0:45.0,,,65-56,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by T. Young)
0:31.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by K. Middleton),3,68-56,,
0:13.0,,,68-56,,Shooting foul by Z. Pachulia (drawn by B. Lopez)
0:13.0,,,68-57,1,B. Lopez makes free throw 1 of 2
0:13.0,,,68-57,,A. Anderson enters the game for J. Johnson
0:13.0,Milwaukee full timeout,,68-57,,
0:13.0,,,68-58,1,B. Lopez makes free throw 2 of 2
0:03.0,K. Middleton misses 3-pt shot from 24 ft,,68-58,,
0:01.0,,,68-58,,Defensive rebound by B. Lopez
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:54.0,M. Carter-Williams misses 2-pt shot at rim (block by B. Lopez),,68-58,,
11:53.0,,,68-58,,Defensive rebound by Team
11:36.0,Def 3 sec tech foul by E. Ilyasova,,68-58,,
11:36.0,,,68-58,,D. Williams misses technical free throw
11:36.0,,,68-58,,Offensive rebound by Team
11:26.0,,,68-61,3,J. Johnson makes 3-pt shot from 25 ft (assist by B. Lopez)
11:08.0,M. Carter-Williams makes 2-pt shot from 3 ft,2,70-61,,
10:55.0,,,70-61,,Offensive foul by B. Lopez
10:55.0,,,70-61,,Turnover by B. Lopez (offensive foul)
10:43.0,,,70-61,,Personal foul by M. Brown (drawn by M. Carter-Williams)
10:43.0,,,70-61,,B. Bogdanovic enters the game for M. Brown
10:32.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,70-61,,
10:31.0,,,70-61,,Defensive rebound by B. Lopez
10:21.0,,,70-61,,D. Williams misses 2-pt shot from 1 ft
10:20.0,Defensive rebound by E. Ilyasova,,70-61,,
10:07.0,M. Carter-Williams misses 2-pt shot from 14 ft,,70-61,,
10:06.0,Offensive rebound by Team,,70-61,,
9:57.0,E. Ilyasova misses 2-pt shot from 2 ft (block by B. Lopez),,70-61,,
9:56.0,Offensive rebound by Z. Pachulia,,70-61,,
9:48.0,M. Carter-Williams misses 2-pt shot from 3 ft,,70-61,,
9:47.0,Offensive rebound by E. Ilyasova,,70-61,,
9:46.0,E. Ilyasova makes 2-pt shot at rim,2,72-61,,
9:30.0,,,72-61,,J. Johnson misses 3-pt shot from 24 ft
9:29.0,Defensive rebound by K. Middleton,,72-61,,
9:25.0,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton),2,74-61,,
9:23.0,,,74-61,,Brooklyn full timeout
9:13.0,,,74-61,,T. Young misses 2-pt shot from 5 ft
9:12.0,Defensive rebound by G. Antetokounmpo,,74-61,,
9:00.0,G. Antetokounmpo misses 2-pt shot from 9 ft,,74-61,,
8:59.0,,,74-61,,Defensive rebound by D. Williams
8:47.0,,,74-61,,Shooting foul by G. Antetokounmpo (drawn by D. Williams)
8:47.0,,,74-62,1,D. Williams makes free throw 1 of 2
8:47.0,,,74-63,1,D. Williams makes free throw 2 of 2
8:32.0,M. Carter-Williams misses 2-pt shot from 5 ft,,74-63,,
8:28.0,Offensive rebound by E. Ilyasova,,74-63,,
8:27.0,Milwaukee full timeout,,74-63,,
8:18.0,G. Antetokounmpo misses 2-pt shot from 8 ft,,74-63,,
8:17.0,,,74-63,,Defensive rebound by B. Bogdanovic
8:03.0,,,74-63,,D. Williams misses 2-pt shot from 8 ft
