time,Portland,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. M. Leonard (J. Dudley gains possession),,,,Jump ball: J. Henson vs. M. Leonard (J. Dudley gains possession)
11:36.0,,,0-0,,B. Knight misses 2-pt shot from 19 ft
11:35.0,Defensive rebound by L. Aldridge,,0-0,,
11:23.0,L. Aldridge makes 2-pt shot from 17 ft (assist by D. Lillard),2,2-0,,
11:07.0,,,2-2,2,K. Middleton makes 2-pt shot from 15 ft
10:55.0,M. Leonard makes 2-pt shot at rim (assist by N. Batum),2,4-2,,
10:42.0,,,4-2,,J. Henson misses 2-pt shot from 7 ft
10:41.0,Defensive rebound by L. Aldridge,,4-2,,
10:21.0,D. Lillard misses 3-pt shot from 26 ft,,4-2,,
10:20.0,Offensive rebound by N. Batum,,4-2,,
10:09.0,Turnover by W. Matthews (lost ball; steal by G. Antetokounmpo),,4-2,,
10:02.0,,,4-2,,B. Knight misses 3-pt shot from 23 ft
10:01.0,Defensive rebound by M. Leonard,,4-2,,
9:55.0,N. Batum makes 2-pt shot at rim,2,6-2,,
9:37.0,,,6-4,2,J. Henson makes 2-pt shot from 2 ft (assist by B. Knight)
9:18.0,Turnover by N. Batum (lost ball; steal by K. Middleton),,6-4,,
9:14.0,,,6-6,2,G. Antetokounmpo makes 2-pt shot at rim (assist by B. Knight)
8:50.0,,,6-6,,Personal foul by G. Antetokounmpo (drawn by D. Lillard)
8:41.0,Turnover by L. Aldridge (bad pass),,6-6,,
8:29.0,,,6-6,,Turnover by J. Henson (lost ball; steal by D. Lillard)
8:26.0,Turnover by W. Matthews (lost ball; steal by B. Knight),,6-6,,
8:21.0,,,6-6,,K. Middleton misses 2-pt shot from 19 ft
8:20.0,Defensive rebound by N. Batum,,6-6,,
8:17.0,D. Lillard misses 2-pt shot at rim (block by J. Henson),,6-6,,
8:13.0,,,6-6,,Defensive rebound by J. Dudley
8:03.0,,,6-8,2,J. Henson makes 2-pt shot from 1 ft (assist by B. Knight)
7:40.0,M. Leonard makes 2-pt shot at rim,2,8-8,,
7:33.0,,,8-8,,J. Dudley misses 3-pt shot from 25 ft
7:32.0,Defensive rebound by D. Lillard,,8-8,,
7:27.0,Turnover by D. Lillard (lost ball; steal by B. Knight),,8-8,,
7:23.0,,,8-8,,B. Knight misses 2-pt shot at rim
7:21.0,,,8-8,,Offensive rebound by J. Dudley
7:19.0,,,8-8,,J. Dudley misses 2-pt shot from 6 ft
7:19.0,Defensive rebound by Team,,8-8,,
7:06.0,,,8-8,,Personal block foul by K. Middleton (drawn by W. Matthews)
6:59.0,W. Matthews misses 2-pt shot from 9 ft,,8-8,,
6:59.0,,,8-8,,Defensive rebound by Team
6:59.0,Loose ball foul by L. Aldridge (drawn by J. Henson),,8-8,,
6:38.0,,,8-8,,Turnover by K. Middleton (lost ball; steal by D. Lillard)
6:33.0,M. Leonard misses 2-pt shot at rim,,8-8,,
6:31.0,,,8-8,,Defensive rebound by J. Henson
6:24.0,,,8-11,3,J. Dudley makes 3-pt shot from 25 ft (assist by B. Knight)
