time,Charlotte,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Jefferson vs. M. Plumlee (J. Johnson gains possession),,,,Jump ball: A. Jefferson vs. M. Plumlee (J. Johnson gains possession)
11:38.0,,,0-0,,A. Anderson misses 3-pt shot from 27 ft
11:37.0,Defensive rebound by M. Kidd-Gilchrist,,0-0,,
11:24.0,A. Jefferson misses 2-pt shot from 10 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by J. Johnson
11:00.0,,,0-0,,A. Anderson misses 2-pt shot from 15 ft
10:59.0,Defensive rebound by M. Kidd-Gilchrist,,0-0,,
10:48.0,A. Jefferson makes 2-pt shot from 17 ft (assist by M. Williams),2,2-0,,
10:34.0,,,2-2,2,M. Brown makes 2-pt shot from 2 ft
10:09.0,M. Williams makes 3-pt shot from 23 ft (assist by M. Williams),3,5-2,,
9:56.0,,,5-2,,J. Johnson misses 2-pt shot from 6 ft
9:54.0,,,5-2,,Offensive rebound by M. Brown
9:46.0,,,5-2,,D. Williams misses 3-pt shot from 24 ft
9:45.0,Defensive rebound by M. Kidd-Gilchrist,,5-2,,
9:30.0,G. Henderson misses 2-pt shot from 16 ft,,5-2,,
9:29.0,Offensive rebound by M. Kidd-Gilchrist,,5-2,,
9:28.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,7-2,,
9:20.0,Personal foul by G. Henderson (drawn by D. Williams),,7-2,,
9:12.0,,,7-2,,Turnover by D. Williams (lost ball; steal by A. Jefferson)
9:08.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by M. Williams),2,9-2,,
8:58.0,,,9-2,,Brooklyn full timeout
8:43.0,,,9-2,,J. Johnson misses 3-pt shot from 24 ft
8:42.0,Defensive rebound by A. Jefferson,,9-2,,
8:29.0,Shooting foul by M. Brown (drawn by M. Williams),,9-2,,
8:29.0,M. Williams makes free throw 1 of 2,1,10-2,,
8:29.0,,,10-2,,B. Lopez enters the game for M. Plumlee
8:29.0,M. Williams makes free throw 2 of 2,1,11-2,,
8:20.0,,,11-2,,B. Lopez misses 2-pt shot from 20 ft
8:19.0,Defensive rebound by M. Williams,,11-2,,
8:19.0,,,11-2,,Technical foul by Team
8:19.0,M. Williams misses technical free throw,,11-2,,
8:19.0,Offensive rebound by Team,,11-2,,
8:04.0,A. Jefferson makes 2-pt shot from 5 ft (assist by M. Williams),2,13-2,,
7:49.0,,,13-4,2,B. Lopez makes 2-pt shot from 6 ft (assist by D. Williams)
7:33.0,M. Williams makes 3-pt shot from 22 ft (assist by M. Williams),3,16-4,,
7:17.0,,,16-6,2,D. Williams makes 2-pt shot from 18 ft
7:02.0,A. Jefferson makes 2-pt shot at rim (assist by G. Henderson),2,18-6,,
6:50.0,,,18-6,,M. Brown misses 2-pt shot from 19 ft
6:49.0,Defensive rebound by G. Henderson,,18-6,,
6:44.0,,,18-6,,Personal foul by D. Williams (drawn by G. Henderson)
6:44.0,,,18-6,,J. Jack enters the game for M. Brown
6:27.0,Turnover by A. Jefferson (bad pass; steal by A. Anderson),,18-6,,
6:19.0,,,18-6,,B. Lopez misses 2-pt shot from 6 ft
6:18.0,Defensive rebound by M. Williams,,18-6,,
6:08.0,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by M. Williams),2,20-6,,
5:49.0,,,20-6,,J. Jack misses 2-pt shot from 19 ft
5:48.0,Defensive rebound by A. Jefferson,,20-6,,
5:29.0,M. Kidd-Gilchrist makes 2-pt shot from 21 ft (assist by A. Jefferson),2,22-6,,
5:10.0,,,22-6,,B. Lopez misses 2-pt shot from 7 ft
5:09.0,Defensive rebound by M. Williams,,22-6,,
4:53.0,A. Jefferson makes 2-pt shot from 15 ft,2,24-6,,
4:51.0,,,24-6,,Brooklyn full timeout
4:43.0,,,24-6,,J. Jack misses 2-pt shot from 20 ft
4:42.0,Defensive rebound by A. Jefferson,,24-6,,
4:35.0,M. Williams makes 2-pt shot at rim (assist by M. Williams),2,26-6,,
4:20.0,,,26-6,,J. Jack misses 3-pt shot from 23 ft
4:19.0,Defensive rebound by A. Jefferson,,26-6,,
4:13.0,M. Williams makes 3-pt shot from 24 ft,3,29-6,,
3:46.0,,,29-8,2,B. Lopez makes 2-pt shot from 7 ft
3:33.0,A. Jefferson makes 2-pt shot at rim (assist by M. Williams),2,31-8,,
3:24.0,,,31-10,2,D. Williams makes 2-pt shot from 1 ft
3:09.0,M. Williams misses 2-pt shot from 16 ft,,31-10,,
3:07.0,,,31-10,,Defensive rebound by J. Jack
2:49.0,,,31-10,,J. Jack misses 2-pt shot from 8 ft
2:48.0,Defensive rebound by M. Williams,,31-10,,
2:29.0,G. Henderson misses 3-pt shot from 22 ft,,31-10,,
2:28.0,,,31-10,,Defensive rebound by J. Jack
2:12.0,,,31-10,,A. Anderson misses 2-pt shot from 1 ft (block by M. Williams)
2:10.0,Defensive rebound by M. Williams,,31-10,,
2:07.0,M. Williams misses 3-pt shot from 25 ft,,31-10,,
2:06.0,,,31-10,,Defensive rebound by Team
2:06.0,Charlotte full timeout,,31-10,,
2:06.0,C. Zeller enters the game for A. Jefferson,,31-10,,
2:06.0,B. Biyombo enters the game for M. Williams,,31-10,,
2:06.0,B. Roberts enters the game for G. Henderson,,31-10,,
2:06.0,,,31-10,,T. Young enters the game for J. Johnson
2:06.0,,,31-10,,B. Bogdanovic enters the game for D. Williams
1:54.0,,,31-10,,Shooting foul by C. Zeller (drawn by T. Young)
1:54.0,,,31-10,,T. Young misses free throw 1 of 2
1:54.0,,,31-10,,Offensive rebound by Team
1:54.0,,,31-11,1,T. Young makes free throw 2 of 2
1:40.0,M. Williams makes 2-pt shot from 18 ft,2,33-11,,
1:25.0,,,33-13,2,B. Bogdanovic makes 2-pt shot from 7 ft
1:07.0,B. Roberts makes 2-pt shot from 9 ft (assist by M. Williams),2,35-13,,
0:53.0,Personal foul by B. Biyombo (drawn by B. Lopez),,35-13,,
0:53.0,,,35-14,1,B. Lopez makes free throw 1 of 2
0:53.0,,,35-15,1,B. Lopez makes free throw 2 of 2
0:39.0,M. Williams misses 2-pt shot from 23 ft,,35-15,,
0:37.0,,,35-15,,Defensive rebound by B. Bogdanovic
0:34.0,,,35-15,,Turnover by T. Young (lost ball; steal by B. Roberts)
0:11.0,B. Roberts misses 3-pt shot from 29 ft,,35-15,,
0:10.0,Offensive rebound by M. Kidd-Gilchrist,,35-15,,
0:03.0,,,35-15,,Personal foul by A. Anderson (drawn by M. Williams)
0:01.0,B. Roberts misses 2-pt shot from 6 ft,,35-15,,
0:00.0,Offensive rebound by Team,,35-15,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,B. Roberts misses 2-pt shot from 18 ft,,35-15,,
11:43.0,Offensive rebound by B. Biyombo,,35-15,,
11:37.0,Turnover by M. Kidd-Gilchrist (lost ball),,35-15,,
11:15.0,,,35-15,,T. Young misses 2-pt shot from 19 ft
11:14.0,,,35-15,,Offensive rebound by B. Bogdanovic
11:02.0,,,35-17,2,J. Jack makes 2-pt shot from 7 ft
10:49.0,C. Zeller misses 2-pt shot from 19 ft,,35-17,,
10:48.0,Offensive rebound by Team,,35-17,,
10:48.0,,,35-17,,Loose ball foul by B. Lopez (drawn by B. Biyombo)
10:34.0,B. Roberts misses 2-pt shot from 1 ft,,35-17,,
10:33.0,Offensive rebound by B. Biyombo,,35-17,,
10:32.0,Shooting foul by J. Jack (drawn by B. Biyombo),,35-17,,
10:32.0,B. Biyombo makes free throw 1 of 2,1,36-17,,
10:32.0,,,36-17,,M. Plumlee enters the game for B. Lopez
10:32.0,B. Biyombo makes free throw 2 of 2,1,37-17,,
10:27.0,Personal foul by B. Roberts (drawn by J. Jack),,37-17,,
10:17.0,,,37-17,,M. Plumlee misses 2-pt shot from 2 ft
10:16.0,,,37-17,,Offensive rebound by M. Plumlee
10:15.0,,,37-17,,Shooting foul by C. Zeller (drawn by M. Plumlee)
10:15.0,,,37-17,,M. Plumlee misses free throw 1 of 2
10:15.0,,,37-17,,Offensive rebound by Team
10:15.0,,,37-18,1,M. Plumlee makes free throw 2 of 2
9:53.0,C. Zeller misses 2-pt shot from 7 ft,,37-18,,
9:52.0,Offensive rebound by C. Zeller,,37-18,,
9:51.0,C. Zeller makes 2-pt shot from 1 ft,2,39-18,,
9:40.0,Personal foul by B. Roberts (drawn by J. Jack),,39-18,,
9:33.0,Violation by B. Biyombo (kicked ball),,39-18,,
9:23.0,,,39-18,,J. Jack misses 2-pt shot from 18 ft
9:22.0,Defensive rebound by M. Kidd-Gilchrist,,39-18,,
9:13.0,Shooting foul by M. Plumlee (drawn by L. Stephenson),,39-18,,
9:13.0,L. Stephenson makes free throw 1 of 2,1,40-18,,
9:13.0,,,40-18,,D. Williams enters the game for J. Jack
9:13.0,L. Stephenson makes free throw 2 of 2,1,41-18,,
9:01.0,Personal foul by C. Zeller (drawn by T. Young),,41-18,,
9:01.0,M. Williams enters the game for C. Zeller,,41-18,,
8:47.0,,,41-20,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by M. Plumlee)
8:33.0,Turnover by B. Biyombo (lost ball; steal by T. Young),,41-20,,
8:29.0,,,41-20,,Shooting foul by M. Kidd-Gilchrist (drawn by M. Brown)
8:29.0,,,41-20,,Brooklyn full timeout
8:29.0,G. Henderson enters the game for M. Kidd-Gilchrist,,41-20,,
8:29.0,,,41-20,,M. Brown misses free throw 1 of 2
8:29.0,,,41-20,,Offensive rebound by Team
8:29.0,,,41-21,1,M. Brown makes free throw 2 of 2
8:12.0,B. Roberts misses 2-pt shot from 18 ft,,41-21,,
8:11.0,Offensive rebound by B. Biyombo,,41-21,,
8:06.0,M. Williams makes 3-pt shot from 23 ft (assist by B. Biyombo),3,44-21,,
7:53.0,,,44-21,,T. Young misses 2-pt shot from 2 ft
7:52.0,Defensive rebound by L. Stephenson,,44-21,,
7:46.0,,,44-21,,Personal foul by M. Brown (drawn by L. Stephenson)
7:34.0,M. Williams misses 3-pt shot from 25 ft,,44-21,,
7:33.0,,,44-21,,Defensive rebound by M. Plumlee
7:24.0,,,44-21,,Shooting foul by B. Biyombo (drawn by D. Williams)
7:24.0,,,44-22,1,D. Williams makes free throw 1 of 2
7:24.0,,,44-22,,J. Johnson enters the game for M. Brown
7:24.0,M. Williams enters the game for B. Roberts,,44-22,,
7:24.0,A. Jefferson enters the game for B. Biyombo,,44-22,,
7:24.0,,,44-23,1,D. Williams makes free throw 2 of 2
7:06.0,A. Jefferson misses 2-pt shot from 7 ft,,44-23,,
7:05.0,,,44-23,,Defensive rebound by M. Plumlee
6:58.0,,,44-26,3,D. Williams makes 3-pt shot from 24 ft
6:30.0,L. Stephenson misses 2-pt shot from 3 ft,,44-26,,
6:29.0,,,44-26,,Defensive rebound by M. Plumlee
6:24.0,Personal foul by L. Stephenson (drawn by B. Bogdanovic),,44-26,,
6:24.0,,,44-27,1,B. Bogdanovic makes free throw 1 of 2
