time,New York,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Aldrich vs. J. Thompson (D. Cousins gains possession),,,,Jump ball: C. Aldrich vs. J. Thompson (D. Cousins gains possession)
11:49.0,,,0-2,2,R. Gay makes 2-pt shot from 20 ft (assist by D. Collison)
11:49.0,,,0-2,,Shooting foul by T. Hardaway (drawn by R. Gay)
11:49.0,,,0-3,1,R. Gay makes free throw 1 of 1
11:33.0,C. Anthony misses 3-pt shot from 24 ft,,0-3,,
11:32.0,,,0-3,,Defensive rebound by J. Thompson
11:20.0,,,0-3,,B. McLemore misses 3-pt shot from 24 ft
11:19.0,Defensive rebound by C. Anthony,,0-3,,
11:10.0,J. Calderon misses 2-pt shot from 17 ft,,0-3,,
11:09.0,,,0-3,,Defensive rebound by B. McLemore
10:56.0,Personal foul by C. Aldrich (drawn by D. Cousins),,0-3,,
10:52.0,,,0-3,,D. Cousins misses 2-pt shot from 14 ft
10:51.0,Defensive rebound by C. Anthony,,0-3,,
10:40.0,C. Aldrich makes 2-pt shot from 7 ft,2,2-3,,
10:26.0,,,2-5,2,D. Cousins makes 2-pt shot from 6 ft
10:11.0,Turnover by J. Calderon (bad pass; steal by D. Collison),,2-5,,
9:59.0,,,2-5,,D. Cousins misses 2-pt shot from 17 ft
9:58.0,Defensive rebound by T. Hardaway,,2-5,,
9:42.0,J. Calderon misses 2-pt shot from 5 ft,,2-5,,
9:40.0,,,2-5,,Defensive rebound by J. Thompson
9:33.0,,,2-5,,R. Gay misses 3-pt shot from 24 ft
9:31.0,Defensive rebound by C. Anthony,,2-5,,
9:17.0,J. Smith misses 2-pt shot from 13 ft,,2-5,,
9:17.0,,,2-5,,Defensive rebound by J. Thompson
9:08.0,,,2-7,2,D. Collison makes 2-pt shot from 16 ft
8:54.0,T. Hardaway misses 3-pt shot from 24 ft,,2-7,,
8:53.0,,,2-7,,Defensive rebound by D. Cousins
8:53.0,Personal foul by J. Smith (drawn by D. Cousins),,2-7,,
8:53.0,S. Dalembert enters the game for C. Aldrich,,2-7,,
8:39.0,,,2-9,2,D. Cousins makes 2-pt shot from 16 ft (assist by D. Collison)
8:26.0,J. Smith makes 2-pt shot from 15 ft (assist by C. Anthony),2,4-9,,
8:13.0,Personal foul by C. Anthony (drawn by R. Gay),,4-9,,
8:05.0,,,4-9,,R. Gay misses 2-pt shot from 21 ft
8:04.0,Defensive rebound by T. Hardaway,,4-9,,
8:00.0,,,4-9,,Personal foul by B. McLemore (drawn by T. Hardaway)
