time,LA Lakers,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. N. Noel (J. Sampson gains possession),,,,Jump ball: T. Black vs. N. Noel (J. Sampson gains possession)
11:35.0,,,0-3,3,J. Sampson makes 3-pt shot from 22 ft (assist by R. Covington)
11:13.0,W. Johnson misses 3-pt shot from 25 ft,,0-3,,
11:12.0,,,0-3,,Defensive rebound by I. Smith
11:02.0,,,0-3,,Shooting foul by T. Black (drawn by F. Aldemir)
11:02.0,,,0-3,,F. Aldemir misses free throw 1 of 2
11:02.0,,,0-3,,Offensive rebound by Team
11:02.0,,,0-4,1,F. Aldemir makes free throw 2 of 2
10:50.0,J. Clarkson makes 2-pt shot from 1 ft (assist by T. Black),2,2-4,,
10:31.0,,,2-4,,R. Covington misses 3-pt shot from 24 ft
10:30.0,Defensive rebound by R. Kelly,,2-4,,
10:20.0,Shooting foul by F. Aldemir (drawn by W. Johnson),,2-4,,
10:20.0,W. Johnson misses free throw 1 of 2,,2-4,,
10:20.0,Offensive rebound by Team,,2-4,,
10:20.0,W. Johnson misses free throw 2 of 2,,2-4,,
10:19.0,,,2-4,,Defensive rebound by F. Aldemir
10:06.0,,,2-7,3,J. Sampson makes 3-pt shot from 25 ft (assist by N. Noel)
9:50.0,W. Ellington makes 3-pt shot from 25 ft,3,5-7,,
9:40.0,,,5-9,2,I. Smith makes 2-pt shot from 9 ft
9:16.0,T. Black misses 2-pt shot from 1 ft,,5-9,,
9:14.0,Offensive rebound by T. Black,,5-9,,
9:12.0,T. Black makes 2-pt shot at rim,2,7-9,,
9:09.0,,,7-9,,Philadelphia full timeout
8:58.0,,,7-9,,N. Noel misses 2-pt shot from 14 ft
8:57.0,Defensive rebound by T. Black,,7-9,,
8:41.0,J. Clarkson makes 2-pt shot from 18 ft (assist by R. Kelly),2,9-9,,
8:22.0,,,9-11,2,F. Aldemir makes 2-pt shot from 19 ft (assist by R. Covington)
8:08.0,Turnover by J. Clarkson (bad pass; steal by I. Smith),,9-11,,
8:06.0,,,9-11,,N. Noel misses 2-pt shot at rim
8:01.0,,,9-11,,Offensive rebound by Team
7:58.0,,,9-11,,Turnover by N. Noel (illegal assist)
7:46.0,W. Ellington misses 2-pt shot from 18 ft,,9-11,,
7:45.0,,,9-11,,Defensive rebound by J. Sampson
7:45.0,Personal foul by J. Clarkson (drawn by I. Smith),,9-11,,
7:34.0,,,9-11,,I. Smith misses 2-pt shot from 3 ft
7:33.0,,,9-11,,Offensive rebound by N. Noel
7:33.0,,,9-11,,N. Noel misses 2-pt shot from 2 ft
7:33.0,,,9-11,,Offensive rebound by N. Noel
7:33.0,,,9-11,,Shooting foul by T. Black (drawn by N. Noel)
7:33.0,,,9-12,1,N. Noel makes free throw 1 of 2
7:33.0,R. Sacre enters the game for T. Black,,9-12,,
7:33.0,,,9-13,1,N. Noel makes free throw 2 of 2
7:11.0,Turnover by R. Kelly (traveling),,9-13,,
