time,Dallas,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. A. Jefferson (G. Henderson gains possession),,,,Jump ball: T. Chandler vs. A. Jefferson (G. Henderson gains possession)
11:46.0,,,0-2,2,M. Williams makes 2-pt shot from 20 ft (assist by G. Henderson)
11:34.0,,,0-2,,Personal foul by M. Williams (drawn by D. Nowitzki)
11:18.0,J. Nelson misses 2-pt shot from 21 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by G. Henderson
11:06.0,,,0-5,3,M. Williams makes 3-pt shot from 26 ft (assist by A. Jefferson)
10:48.0,M. Ellis makes 2-pt shot from 6 ft (assist by J. Nelson),2,2-5,,
10:30.0,,,2-5,,L. Stephenson misses 2-pt shot from 21 ft
10:29.0,Defensive rebound by T. Chandler,,2-5,,
10:12.0,D. Nowitzki makes 2-pt shot from 1 ft (assist by M. Ellis),2,4-5,,
9:58.0,,,4-5,,Turnover by A. Jefferson (bad pass)
9:41.0,J. Nelson makes 3-pt shot from 26 ft (assist by D. Nowitzki),3,7-5,,
9:36.0,,,7-5,,Turnover by M. Williams (bad pass; steal by J. Nelson)
9:30.0,M. Ellis makes 2-pt shot from 2 ft (assist by J. Nelson),2,9-5,,
9:14.0,,,9-5,,Shooting foul by J. Nelson (drawn by K. Walker)
9:14.0,,,9-6,1,K. Walker makes free throw 1 of 2
9:14.0,,,9-7,1,K. Walker makes free throw 2 of 2
9:02.0,D. Nowitzki misses 3-pt shot from 25 ft,,9-7,,
9:01.0,,,9-7,,Defensive rebound by L. Stephenson
8:43.0,,,9-7,,Turnover by K. Walker (lost ball; steal by M. Ellis)
8:34.0,M. Ellis makes 2-pt shot from 6 ft (assist by J. Nelson),2,11-7,,
8:19.0,,,11-7,,M. Williams misses 2-pt shot from 20 ft
8:18.0,Defensive rebound by M. Ellis,,11-7,,
8:03.0,C. Parsons makes 3-pt shot from 25 ft (assist by J. Nelson),3,14-7,,
7:57.0,,,14-7,,Charlotte full timeout
7:49.0,,,14-9,2,A. Jefferson makes 2-pt shot from 1 ft (assist by K. Walker)
7:31.0,M. Ellis misses 2-pt shot from 19 ft,,14-9,,
7:30.0,Offensive rebound by T. Chandler,,14-9,,
7:26.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by T. Chandler),2,16-9,,
7:05.0,,,16-11,2,G. Henderson makes 2-pt shot from 5 ft (assist by A. Jefferson)
6:48.0,J. Nelson makes 3-pt shot from 25 ft (assist by M. Ellis),3,19-11,,
6:28.0,,,19-13,2,G. Henderson makes 2-pt shot from 15 ft (assist by A. Jefferson)
6:19.0,Turnover by J. Nelson (lost ball),,19-13,,
6:04.0,,,19-15,2,A. Jefferson makes 2-pt shot from 6 ft (assist by L. Stephenson)
5:46.0,T. Chandler makes 2-pt shot at rim (assist by C. Parsons),2,21-15,,
5:30.0,,,21-15,,G. Henderson misses 3-pt shot from 25 ft
5:29.0,Defensive rebound by D. Nowitzki,,21-15,,
5:22.0,D. Nowitzki misses 3-pt shot from 26 ft,,21-15,,
5:20.0,,,21-15,,Defensive rebound by L. Stephenson
5:12.0,,,21-15,,G. Henderson misses 2-pt shot from 17 ft
5:11.0,Defensive rebound by C. Parsons,,21-15,,
5:00.0,M. Ellis misses 2-pt shot from 13 ft,,21-15,,
5:00.0,,,21-15,,Defensive rebound by Team
5:00.0,Personal foul by T. Chandler (drawn by M. Williams),,21-15,,
5:00.0,,,21-15,,P. Hairston enters the game for G. Henderson
5:00.0,B. Wright enters the game for T. Chandler,,21-15,,
4:41.0,,,21-15,,A. Jefferson misses 2-pt shot from 16 ft
4:40.0,Defensive rebound by J. Nelson,,21-15,,
4:31.0,C. Parsons makes 2-pt shot from 2 ft,2,23-15,,
4:31.0,Shooting foul by A. Jefferson (drawn by C. Parsons),,23-15,,
4:31.0,,,23-15,,C. Zeller enters the game for M. Williams
4:31.0,T. Chandler enters the game for D. Nowitzki,,23-15,,
4:31.0,C. Parsons misses free throw 1 of 1,,23-15,,
4:29.0,,,23-15,,Defensive rebound by L. Stephenson
4:09.0,,,23-17,2,A. Jefferson makes 2-pt shot from 11 ft (assist by L. Stephenson)
4:09.0,Dallas full timeout,,23-17,,
3:48.0,C. Parsons makes 3-pt shot from 26 ft (assist by J. Nelson),3,26-17,,
3:48.0,Shooting foul by P. Hairston (drawn by C. Parsons),,26-17,,
3:48.0,D. Harris enters the game for J. Nelson,,26-17,,
3:48.0,C. Parsons makes free throw 1 of 1,1,27-17,,
3:35.0,,,27-17,,L. Stephenson misses 2-pt shot from 18 ft
3:33.0,,,27-17,,Offensive rebound by Team
3:25.0,,,27-20,3,P. Hairston makes 3-pt shot from 26 ft (assist by K. Walker)
3:02.0,M. Ellis makes 2-pt shot from 1 ft (assist by T. Chandler),2,29-20,,
2:52.0,,,29-20,,Shooting foul by D. Harris (drawn by K. Walker)
2:52.0,,,29-21,1,K. Walker makes free throw 1 of 2
2:52.0,,,29-21,,B. Biyombo enters the game for A. Jefferson
2:52.0,A. Aminu enters the game for T. Chandler,,29-21,,
2:52.0,,,29-22,1,K. Walker makes free throw 2 of 2
2:31.0,Turnover by B. Wright (traveling),,29-22,,
2:15.0,,,29-22,,P. Hairston misses 2-pt shot from 20 ft
2:13.0,Defensive rebound by D. Harris,,29-22,,
2:11.0,,,29-22,,Personal foul by C. Zeller (drawn by A. Aminu)
2:11.0,,,29-22,,J. Pargo enters the game for L. Stephenson
2:08.0,,,29-22,,Personal foul by J. Pargo (drawn by M. Ellis)
2:08.0,M. Ellis misses free throw 1 of 2,,29-22,,
2:08.0,Offensive rebound by Team,,29-22,,
