time,Golden State,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Favors (E. Kanter gains possession),,,,Jump ball: A. Bogut vs. D. Favors (E. Kanter gains possession)
11:38.0,,,0-0,,T. Burke misses 3-pt shot from 24 ft
11:36.0,Defensive rebound by H. Barnes,,0-0,,
11:25.0,K. Thompson misses 2-pt shot from 19 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by E. Kanter
11:07.0,,,0-2,2,G. Hayward makes 2-pt shot from 12 ft
10:56.0,D. Green misses 2-pt shot from 5 ft (block by D. Favors),,0-2,,
10:54.0,,,0-2,,Defensive rebound by D. Favors
10:47.0,,,0-5,3,T. Burke makes 3-pt shot from 24 ft (assist by G. Hayward)
10:38.0,D. Green makes 2-pt shot from 19 ft (assist by S. Curry),2,2-5,,
10:23.0,Violation by D. Green (kicked ball),,2-5,,
10:14.0,,,2-5,,T. Burke misses 3-pt shot from 22 ft
10:13.0,Defensive rebound by Team,,2-5,,
10:05.0,Turnover by D. Green (lost ball; steal by J. Ingles),,2-5,,
9:51.0,,,2-5,,D. Favors misses 2-pt shot from 12 ft
9:50.0,Defensive rebound by A. Bogut,,2-5,,
9:40.0,K. Thompson makes 2-pt shot from 1 ft,2,4-5,,
9:24.0,,,4-5,,E. Kanter misses 2-pt shot from 18 ft
9:22.0,Defensive rebound by S. Curry,,4-5,,
9:18.0,D. Green makes 2-pt shot from 1 ft (assist by S. Curry),2,6-5,,
9:18.0,,,6-5,,Utah full timeout
9:01.0,,,6-5,,Turnover by E. Kanter (step out of bounds)
8:49.0,K. Thompson misses 2-pt shot from 4 ft (block by G. Hayward),,6-5,,
8:49.0,Offensive rebound by Team,,6-5,,
8:44.0,Turnover by A. Bogut (bad pass; steal by G. Hayward),,6-5,,
8:34.0,,,6-5,,J. Ingles misses 3-pt shot from 24 ft
8:32.0,Defensive rebound by A. Bogut,,6-5,,
8:25.0,H. Barnes makes 2-pt shot from 19 ft (assist by S. Curry),2,8-5,,
8:06.0,,,8-7,2,T. Burke makes 2-pt shot from 17 ft
7:50.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Green),3,11-7,,
7:32.0,,,11-7,,D. Favors misses 2-pt shot from 15 ft
7:31.0,,,11-7,,Offensive rebound by E. Kanter
7:31.0,,,11-9,2,E. Kanter makes 2-pt shot from 1 ft
7:20.0,S. Curry misses 3-pt shot from 25 ft,,11-9,,
7:19.0,,,11-9,,Defensive rebound by J. Ingles
6:59.0,,,11-9,,J. Ingles misses 3-pt shot from 23 ft
6:58.0,Defensive rebound by K. Thompson,,11-9,,
6:43.0,A. Bogut makes 2-pt shot at rim (assist by K. Thompson),2,13-9,,
6:22.0,,,13-9,,D. Favors misses 2-pt shot at rim (block by A. Bogut)
6:20.0,Defensive rebound by H. Barnes,,13-9,,
6:19.0,,,13-9,,Personal foul by J. Ingles (drawn by H. Barnes)
6:19.0,,,13-9,,E. Millsap enters the game for J. Ingles
6:13.0,Turnover by S. Curry (bad pass; steal by T. Burke),,13-9,,
6:07.0,,,13-9,,Shooting foul by A. Bogut (drawn by D. Favors)
6:07.0,,,13-9,,D. Favors misses free throw 1 of 2
6:07.0,,,13-9,,Offensive rebound by Team
6:07.0,,,13-9,,R. Gobert enters the game for E. Kanter
6:07.0,,,13-10,1,D. Favors makes free throw 2 of 2
