time,Oklahoma City,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Drummond (A. Roberson gains possession),,,,Jump ball: S. Adams vs. A. Drummond (A. Roberson gains possession)
11:38.0,Turnover by R. Westbrook (bad pass; steal by A. Drummond),,0-0,,
11:13.0,,,0-0,,A. Drummond misses 2-pt shot from 6 ft
11:10.0,Defensive rebound by K. Durant,,0-0,,
10:53.0,K. Durant makes 2-pt shot from 10 ft (assist by R. Westbrook),2,2-0,,
10:41.0,,,2-0,,Turnover by B. Jennings (lost ball; steal by A. Roberson)
10:38.0,R. Westbrook misses 2-pt shot from 10 ft,,2-0,,
10:38.0,Offensive rebound by S. Ibaka,,2-0,,
10:35.0,S. Ibaka misses 2-pt shot from 15 ft,,2-0,,
10:35.0,,,2-0,,Defensive rebound by A. Drummond
10:35.0,Personal foul by S. Adams (drawn by A. Drummond),,2-0,,
10:21.0,Personal foul by A. Roberson (drawn by K. Caldwell-Pope),,2-0,,
10:21.0,,,2-1,1,K. Caldwell-Pope makes free throw 1 of 3
10:21.0,,,2-2,1,K. Caldwell-Pope makes free throw 2 of 3
10:21.0,,,2-3,1,K. Caldwell-Pope makes free throw 3 of 3
10:11.0,Shooting foul by J. Smith (drawn by S. Adams),,2-3,,
10:11.0,S. Adams misses free throw 1 of 2,,2-3,,
10:11.0,Offensive rebound by Team,,2-3,,
10:11.0,S. Adams makes free throw 2 of 2,1,3-3,,
9:56.0,,,3-3,,J. Smith misses 2-pt shot from 4 ft
9:55.0,,,3-3,,Offensive rebound by A. Drummond
9:54.0,,,3-3,,A. Drummond misses 2-pt shot at rim
9:53.0,Defensive rebound by R. Westbrook,,3-3,,
9:49.0,R. Westbrook misses 2-pt shot at rim,,3-3,,
9:48.0,,,3-3,,Defensive rebound by J. Smith
9:40.0,,,3-6,3,K. Singler makes 3-pt shot from 23 ft (assist by B. Jennings)
9:20.0,A. Roberson misses 3-pt shot from 23 ft,,3-6,,
9:19.0,,,3-6,,Defensive rebound by A. Drummond
9:14.0,Violation by S. Ibaka (kicked ball),,3-6,,
9:03.0,,,3-8,2,J. Smith makes 2-pt shot from 20 ft (assist by K. Caldwell-Pope)
8:54.0,Shooting foul by A. Drummond (drawn by R. Westbrook),,3-8,,
8:54.0,R. Westbrook makes free throw 1 of 2,1,4-8,,
8:54.0,R. Westbrook makes free throw 2 of 2,1,5-8,,
8:39.0,Personal foul by S. Ibaka (drawn by J. Smith),,5-8,,
8:30.0,,,5-10,2,J. Smith makes 2-pt shot at rim (assist by B. Jennings)
8:18.0,S. Ibaka makes 2-pt shot from 17 ft (assist by K. Durant),2,7-10,,
8:06.0,,,7-10,,Shooting foul by K. Durant (drawn by J. Smith)
8:06.0,,,7-10,,J. Smith misses free throw 1 of 2
8:06.0,,,7-10,,Offensive rebound by Team
8:06.0,A. Morrow enters the game for K. Durant,,7-10,,
8:06.0,,,7-10,,J. Smith misses free throw 2 of 2
8:05.0,Defensive rebound by S. Ibaka,,7-10,,
7:59.0,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook),2,9-10,,
7:38.0,,,9-12,2,J. Smith makes 2-pt shot from 5 ft
7:25.0,Turnover by S. Adams (3 sec),,9-12,,
7:11.0,,,9-12,,Turnover by K. Caldwell-Pope (traveling)
6:58.0,R. Westbrook makes 2-pt shot at rim,2,11-12,,
6:43.0,,,11-14,2,K. Singler makes 2-pt shot from 16 ft (assist by B. Jennings)
6:25.0,S. Adams misses 2-pt shot at rim,,11-14,,
6:24.0,,,11-14,,Defensive rebound by J. Smith
6:18.0,,,11-14,,K. Caldwell-Pope misses 2-pt shot at rim
6:17.0,,,11-14,,Offensive rebound by K. Caldwell-Pope
6:16.0,,,11-16,2,K. Caldwell-Pope makes 2-pt shot from 1 ft
5:52.0,R. Westbrook misses 3-pt shot from 27 ft,,11-16,,
5:51.0,,,11-16,,Defensive rebound by Team
5:51.0,Loose ball foul by S. Adams (drawn by A. Drummond),,11-16,,
5:51.0,,,11-16,,Detroit full timeout
5:51.0,K. Perkins enters the game for S. Adams,,11-16,,
5:51.0,,,11-17,1,A. Drummond makes free throw 1 of 2
5:51.0,,,11-17,,A. Drummond misses free throw 2 of 2
5:51.0,Defensive rebound by S. Ibaka,,11-17,,
5:38.0,R. Westbrook makes 2-pt shot at rim,2,13-17,,
5:21.0,,,13-20,3,J. Smith makes 3-pt shot from 23 ft (assist by B. Jennings)
5:07.0,R. Westbrook misses 2-pt shot at rim,,13-20,,
5:05.0,,,13-20,,Defensive rebound by J. Smith
4:57.0,Personal foul by K. Perkins (drawn by K. Caldwell-Pope),,13-20,,
4:57.0,,,13-21,1,K. Caldwell-Pope makes free throw 1 of 2
4:57.0,R. Jackson enters the game for A. Roberson,,13-21,,
4:57.0,,,13-22,1,K. Caldwell-Pope makes free throw 2 of 2
4:46.0,Turnover by A. Morrow (traveling),,13-22,,
4:34.0,Def 3 sec tech foul by K. Perkins,,13-22,,
4:34.0,,,13-23,1,K. Caldwell-Pope makes technical free throw
4:23.0,,,13-23,,Shooting foul by R. Jackson (drawn by J. Smith)
4:23.0,,,13-23,,J. Smith misses free throw 1 of 2
4:23.0,,,13-23,,Offensive rebound by Team
4:23.0,,,13-24,1,J. Smith makes free throw 2 of 2
4:08.0,R. Jackson makes 2-pt shot from 18 ft,2,15-24,,
3:51.0,,,15-24,,J. Smith misses 2-pt shot from 5 ft (block by S. Ibaka)
3:49.0,Defensive rebound by R. Jackson,,15-24,,
3:43.0,Turnover by R. Jackson (bad pass; steal by K. Singler),,15-24,,
3:37.0,,,15-26,2,A. Drummond makes 2-pt shot at rim (assist by B. Jennings)
3:23.0,R. Westbrook makes 2-pt shot from 19 ft,2,17-26,,
3:03.0,,,17-26,,K. Singler misses 3-pt shot from 26 ft
3:02.0,Defensive rebound by S. Ibaka,,17-26,,
2:55.0,Turnover by R. Westbrook (lost ball; steal by K. Caldwell-Pope),,17-26,,
2:51.0,,,17-28,2,B. Jennings makes 2-pt shot at rim (assist by K. Caldwell-Pope)
2:42.0,Oklahoma City full timeout,,17-28,,
2:42.0,,,17-28,,G. Monroe enters the game for A. Drummond
2:42.0,K. Durant enters the game for S. Ibaka,,17-28,,
2:42.0,J. Lamb enters the game for R. Westbrook,,17-28,,
2:36.0,K. Perkins misses 2-pt shot from 4 ft,,17-28,,
2:33.0,,,17-28,,Defensive rebound by G. Monroe
2:14.0,,,17-28,,K. Caldwell-Pope misses 3-pt shot from 26 ft
2:13.0,Defensive rebound by K. Durant,,17-28,,
2:07.0,,,17-28,,Personal foul by K. Caldwell-Pope (drawn by K. Perkins)
2:07.0,,,17-28,,C. Martin enters the game for K. Caldwell-Pope
2:05.0,,,17-28,,Personal foul by K. Singler (drawn by A. Morrow)
1:59.0,,,17-28,,Personal foul by J. Smith (drawn by K. Durant)
1:59.0,K. Durant makes free throw 1 of 2,1,18-28,,
1:59.0,,,18-28,,J. Jerebko enters the game for J. Smith
1:59.0,K. Durant makes free throw 2 of 2,1,19-28,,
1:46.0,,,19-30,2,B. Jennings makes 2-pt shot from 17 ft
1:34.0,K. Durant makes 2-pt shot from 7 ft,2,21-30,,
1:34.0,Shooting foul by K. Singler (drawn by K. Durant),,21-30,,
1:34.0,K. Durant makes free throw 1 of 1,1,22-30,,
1:12.0,,,22-30,,B. Jennings misses 2-pt shot from 20 ft
1:11.0,Defensive rebound by J. Lamb,,22-30,,
1:05.0,A. Morrow makes 3-pt shot from 24 ft (assist by K. Durant),3,25-30,,
0:45.0,,,25-32,2,G. Monroe makes 2-pt shot at rim
0:45.0,,,25-32,,Shooting foul by K. Perkins (drawn by G. Monroe)
0:45.0,,,25-32,,C. Butler enters the game for K. Singler
0:45.0,,,25-33,1,G. Monroe makes free throw 1 of 1
0:31.0,R. Jackson misses 3-pt shot from 26 ft,,25-33,,
0:30.0,,,25-33,,Defensive rebound by G. Monroe
0:05.0,,,25-33,,G. Monroe misses 2-pt shot from 12 ft
0:04.0,Defensive rebound by K. Durant,,25-33,,
0:02.0,K. Durant misses 2-pt shot from 10 ft,,25-33,,
0:00.0,Offensive rebound by Team,,25-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,25-33,,C. Martin misses 2-pt shot from 18 ft
11:42.0,Defensive rebound by K. Perkins,,25-33,,
11:26.0,K. Durant makes 2-pt shot from 6 ft (assist by R. Jackson),2,27-33,,
11:07.0,,,27-35,2,J. Jerebko makes 2-pt shot at rim (assist by C. Martin)
10:49.0,,,27-35,,Personal foul by J. Jerebko (drawn by R. Jackson)
10:40.0,R. Jackson misses 2-pt shot from 17 ft,,27-35,,
10:39.0,,,27-35,,Defensive rebound by D. Augustin
10:16.0,,,27-35,,Shooting foul by K. Durant (drawn by D. Augustin)
10:16.0,,,27-36,1,D. Augustin makes free throw 1 of 2
10:16.0,,,27-37,1,D. Augustin makes free throw 2 of 2
10:04.0,K. Perkins makes 2-pt shot at rim (assist by J. Lamb),2,29-37,,
9:45.0,,,29-37,,G. Monroe misses 2-pt shot from 1 ft
9:42.0,,,29-37,,Offensive rebound by J. Jerebko
9:40.0,,,29-39,2,J. Jerebko makes 2-pt shot at rim
9:29.0,J. Lamb makes 2-pt shot at rim (assist by K. Perkins),2,31-39,,
9:08.0,,,31-41,2,G. Monroe makes 2-pt shot from 6 ft (assist by C. Butler)
9:03.0,Oklahoma City full timeout,,31-41,,
9:03.0,N. Collison enters the game for K. Durant,,31-41,,
8:55.0,J. Lamb makes 2-pt shot from 1 ft (assist by N. Collison),2,33-41,,
8:28.0,,,33-41,,C. Martin misses 3-pt shot from 25 ft
8:27.0,,,33-41,,Offensive rebound by Team
8:27.0,Loose ball foul by R. Jackson (drawn by J. Jerebko),,33-41,,
8:20.0,,,33-41,,J. Jerebko misses 2-pt shot at rim
8:20.0,Defensive rebound by N. Collison,,33-41,,
8:20.0,R. Westbrook enters the game for A. Morrow,,33-41,,
8:09.0,K. Perkins misses 2-pt shot at rim,,33-41,,
8:07.0,,,33-41,,Defensive rebound by G. Monroe
7:57.0,,,33-44,3,J. Jerebko makes 3-pt shot from 24 ft (assist by C. Martin)
7:40.0,J. Lamb misses 2-pt shot from 13 ft,,33-44,,
7:39.0,Offensive rebound by N. Collison,,33-44,,
7:35.0,Offensive charge foul by R. Westbrook,,33-44,,
7:35.0,Turnover by R. Westbrook (offensive foul),,33-44,,
7:35.0,,,33-44,,K. Caldwell-Pope enters the game for C. Martin
7:35.0,S. Ibaka enters the game for K. Perkins,,33-44,,
7:13.0,,,33-44,,Turnover by C. Butler (bad pass)
6:54.0,R. Jackson misses 3-pt shot from 26 ft,,33-44,,
6:53.0,,,33-44,,Defensive rebound by J. Jerebko
6:46.0,,,33-44,,D. Augustin misses 3-pt shot from 26 ft (block by S. Ibaka)
6:44.0,Defensive rebound by R. Westbrook,,33-44,,
6:42.0,Turnover by R. Westbrook (bad pass),,33-44,,
6:21.0,,,33-44,,K. Caldwell-Pope misses 3-pt shot from 27 ft
6:20.0,Defensive rebound by R. Westbrook,,33-44,,
6:14.0,R. Westbrook makes 2-pt shot from 6 ft,2,35-44,,
5:54.0,,,35-44,,C. Butler misses 3-pt shot from 23 ft
5:53.0,Defensive rebound by R. Westbrook,,35-44,,
5:46.0,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook),2,37-44,,
5:41.0,,,37-44,,Detroit full timeout
