time,Philadelphia,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Freeland vs. N. Noel (L. Mbah a Moute gains possession),,,,Jump ball: J. Freeland vs. N. Noel (L. Mbah a Moute gains possession)
11:38.0,M. Carter-Williams misses 2-pt shot from 21 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by J. Freeland
11:31.0,,,0-2,2,D. Lillard makes 2-pt shot from 1 ft
11:19.0,J. Sampson makes 2-pt shot from 2 ft (assist by M. Carter-Williams),2,2-2,,
11:05.0,,,2-4,2,T. Robinson makes 2-pt shot at rim (assist by N. Batum)
10:50.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,2-4,,
10:50.0,,,2-4,,Defensive rebound by J. Freeland
10:39.0,,,2-4,,Turnover by D. Lillard (bad pass)
10:28.0,N. Noel makes 2-pt shot from 3 ft (assist by M. Carter-Williams),2,4-4,,
10:18.0,,,4-4,,Turnover by D. Lillard (bad pass; steal by N. Noel)
10:14.0,N. Noel makes 2-pt shot from 1 ft,2,6-4,,
10:14.0,Shooting foul by J. Freeland (drawn by N. Noel),,6-4,,
10:14.0,N. Noel misses free throw 1 of 1,,6-4,,
10:13.0,,,6-4,,Defensive rebound by N. Batum
10:04.0,,,6-4,,Turnover by T. Robinson (lost ball; steal by J. Sampson)
10:01.0,J. Sampson makes 2-pt shot at rim,2,8-4,,
9:48.0,,,8-6,2,J. Freeland makes 2-pt shot from 20 ft (assist by D. Lillard)
9:33.0,M. Carter-Williams makes 2-pt shot from 4 ft,2,10-6,,
9:20.0,,,10-9,3,N. Batum makes 3-pt shot from 24 ft (assist by D. Lillard)
9:06.0,M. Carter-Williams misses 2-pt shot from 2 ft (block by J. Freeland),,10-9,,
9:04.0,,,10-9,,Defensive rebound by N. Batum
8:52.0,,,10-9,,W. Matthews misses 3-pt shot from 24 ft
8:51.0,Defensive rebound by R. Covington,,10-9,,
8:46.0,R. Covington misses 3-pt shot from 24 ft,,10-9,,
8:45.0,,,10-9,,Defensive rebound by D. Lillard
8:35.0,,,10-9,,Shooting foul by J. Sampson (drawn by D. Lillard)
8:35.0,,,10-10,1,D. Lillard makes free throw 1 of 2
8:35.0,,,10-11,1,D. Lillard makes free throw 2 of 2
8:23.0,M. Carter-Williams misses 2-pt shot from 6 ft,,10-11,,
8:23.0,Offensive rebound by Team,,10-11,,
8:23.0,,,10-11,,Loose ball foul by T. Robinson (drawn by L. Mbah a Moute)
8:16.0,R. Covington misses 2-pt shot from 7 ft,,10-11,,
8:15.0,,,10-11,,Defensive rebound by J. Freeland
8:01.0,,,10-11,,Shooting foul by N. Noel (drawn by T. Robinson)
8:01.0,,,10-11,,T. Robinson misses free throw 1 of 2
8:01.0,,,10-11,,Offensive rebound by Team
8:01.0,,,10-12,1,T. Robinson makes free throw 2 of 2
7:50.0,L. Mbah a Moute misses 2-pt shot from 2 ft,,10-12,,
7:50.0,,,10-12,,Defensive rebound by J. Freeland
7:38.0,,,10-12,,T. Robinson misses 2-pt shot from 16 ft
7:37.0,Defensive rebound by L. Mbah a Moute,,10-12,,
7:28.0,,,10-12,,Personal foul by J. Freeland (drawn by N. Noel)
7:28.0,,,10-12,,M. Leonard enters the game for J. Freeland
7:15.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,12-12,,
6:57.0,,,12-12,,W. Matthews misses 3-pt shot from 22 ft
6:56.0,Defensive rebound by R. Covington,,12-12,,
6:49.0,Turnover by J. Sampson (traveling),,12-12,,
6:48.0,,,12-14,2,N. Batum makes 2-pt shot at rim (assist by W. Matthews)
6:48.0,,,12-14,,Shooting foul by R. Covington (drawn by N. Batum)
6:48.0,,,12-15,1,N. Batum makes free throw 1 of 1
6:48.0,Philadelphia full timeout,,12-15,,
6:33.0,Turnover by L. Mbah a Moute (lost ball),,12-15,,
6:16.0,,,12-15,,Turnover by D. Lillard (lost ball; steal by M. Carter-Williams)
6:09.0,M. Carter-Williams misses 2-pt shot from 1 ft,,12-15,,
6:07.0,,,12-15,,Defensive rebound by M. Leonard
6:02.0,,,12-17,2,N. Batum makes 2-pt shot at rim (assist by D. Lillard)
5:44.0,Shooting foul by M. Leonard (drawn by R. Covington),,12-17,,
5:44.0,R. Covington misses free throw 1 of 2,,12-17,,
5:44.0,Offensive rebound by Team,,12-17,,
5:44.0,,,12-17,,S. Blake enters the game for W. Matthews
5:44.0,,,12-17,,D. Wright enters the game for T. Robinson
5:44.0,K. McDaniels enters the game for J. Sampson,,12-17,,
5:44.0,R. Covington misses free throw 2 of 2,,12-17,,
5:43.0,,,12-17,,Defensive rebound by D. Wright
5:22.0,,,12-17,,M. Leonard misses 2-pt shot from 20 ft
5:20.0,Defensive rebound by M. Carter-Williams,,12-17,,
5:07.0,M. Carter-Williams misses 2-pt shot from 7 ft,,12-17,,
5:06.0,Offensive rebound by N. Noel,,12-17,,
5:04.0,Turnover by N. Noel (lost ball; steal by N. Batum),,12-17,,
4:43.0,,,12-17,,D. Lillard misses 2-pt shot from 6 ft (block by K. McDaniels)
4:43.0,Defensive rebound by Team,,12-17,,
4:43.0,H. Sims enters the game for R. Covington,,12-17,,
4:43.0,T. Wroten enters the game for N. Noel,,12-17,,
4:25.0,L. Mbah a Moute misses 2-pt shot from 2 ft (block by D. Wright),,12-17,,
4:24.0,Offensive rebound by L. Mbah a Moute,,12-17,,
4:23.0,Turnover by L. Mbah a Moute (traveling),,12-17,,
4:12.0,J. Grant enters the game for L. Mbah a Moute,,12-17,,
4:08.0,,,12-19,2,M. Leonard makes 2-pt shot at rim (assist by S. Blake)
3:48.0,T. Wroten misses 2-pt shot at rim,,12-19,,
3:46.0,Offensive rebound by H. Sims,,12-19,,
3:46.0,H. Sims makes 2-pt shot at rim,2,14-19,,
3:26.0,,,14-19,,N. Batum misses 3-pt shot from 24 ft
3:25.0,,,14-19,,Offensive rebound by M. Leonard
3:22.0,,,14-19,,Turnover by M. Leonard (bad pass; steal by T. Wroten)
3:08.0,T. Wroten makes 2-pt shot from 1 ft,2,16-19,,
3:02.0,,,16-19,,Portland full timeout
3:02.0,J. Sampson enters the game for M. Carter-Williams,,16-19,,
2:52.0,,,16-19,,Shooting foul by J. Sampson (drawn by N. Batum)
2:52.0,,,16-20,1,N. Batum makes free throw 1 of 2
2:52.0,,,16-20,,A. Crabbe enters the game for D. Lillard
2:52.0,,,16-21,1,N. Batum makes free throw 2 of 2
2:37.0,J. Sampson makes 2-pt shot from 1 ft (assist by H. Sims),2,18-21,,
2:25.0,,,18-21,,Turnover by D. Wright (bad pass; steal by J. Sampson)
2:19.0,H. Sims makes 2-pt shot from 1 ft (assist by T. Wroten),2,20-21,,
1:58.0,,,20-21,,Shooting foul by J. Sampson (drawn by M. Leonard)
1:58.0,,,20-22,1,M. Leonard makes free throw 1 of 2
1:58.0,,,20-22,,W. Matthews enters the game for N. Batum
1:58.0,R. Covington enters the game for J. Sampson,,20-22,,
1:58.0,,,20-22,,M. Leonard misses free throw 2 of 2
1:57.0,Defensive rebound by K. McDaniels,,20-22,,
1:42.0,Turnover by R. Covington (lost ball; steal by D. Wright),,20-22,,
1:28.0,,,20-25,3,W. Matthews makes 3-pt shot from 23 ft (assist by S. Blake)
1:22.0,,,20-25,,Personal foul by A. Crabbe (drawn by T. Wroten)
1:22.0,T. Wroten misses free throw 1 of 2,,20-25,,
1:22.0,Offensive rebound by Team,,20-25,,
1:22.0,T. Wroten makes free throw 2 of 2,1,21-25,,
1:04.0,,,21-25,,M. Leonard misses 2-pt shot from 14 ft
1:04.0,Defensive rebound by K. McDaniels,,21-25,,
0:58.0,R. Covington misses 3-pt shot from 25 ft,,21-25,,
0:57.0,,,21-25,,Defensive rebound by M. Leonard
0:41.0,,,21-25,,D. Wright misses 2-pt shot from 2 ft
0:40.0,Defensive rebound by H. Sims,,21-25,,
0:32.0,T. Wroten makes 3-pt shot from 24 ft,3,24-25,,
0:12.0,,,24-27,2,W. Matthews makes 2-pt shot from 3 ft
0:03.0,T. Wroten misses 3-pt shot from 27 ft,,24-27,,
0:01.0,Offensive rebound by Team,,24-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,Personal block foul by T. Wroten (drawn by S. Blake),,24-27,,
11:45.0,,,24-30,3,W. Matthews makes 3-pt shot from 24 ft (assist by S. Blake)
11:40.0,Shooting foul by S. Blake (drawn by K. McDaniels),,24-30,,
11:40.0,K. McDaniels makes free throw 1 of 2,1,25-30,,
11:40.0,,,25-30,,V. Claver enters the game for D. Wright
11:40.0,K. McDaniels makes free throw 2 of 2,1,26-30,,
11:24.0,,,26-33,3,W. Matthews makes 3-pt shot from 22 ft (assist by S. Blake)
11:19.0,Turnover by R. Covington (lost ball; steal by S. Blake),,26-33,,
11:09.0,,,26-33,,Turnover by S. Blake (bad pass; steal by J. Grant)
11:03.0,Turnover by R. Covington (lost ball),,26-33,,
11:03.0,M. Carter-Williams enters the game for R. Covington,,26-33,,
11:03.0,,,26-33,,C. McCollum enters the game for A. Crabbe
10:47.0,,,26-33,,W. Matthews misses 3-pt shot from 22 ft
10:46.0,Defensive rebound by M. Carter-Williams,,26-33,,
10:31.0,K. McDaniels misses 3-pt shot from 24 ft,,26-33,,
10:30.0,,,26-33,,Defensive rebound by J. Freeland
10:16.0,,,26-33,,C. McCollum misses 3-pt shot from 24 ft
10:16.0,Defensive rebound by H. Sims,,26-33,,
9:58.0,K. McDaniels makes 2-pt shot from 8 ft,2,28-33,,
9:37.0,,,28-33,,W. Matthews misses 2-pt shot from 10 ft
9:36.0,Defensive rebound by H. Sims,,28-33,,
9:28.0,T. Wroten makes 2-pt shot from 3 ft,2,30-33,,
9:15.0,,,30-36,3,S. Blake makes 3-pt shot from 23 ft
9:06.0,Philadelphia full timeout,,30-36,,
9:06.0,L. Mbah a Moute enters the game for H. Sims,,30-36,,
9:06.0,N. Noel enters the game for J. Grant,,30-36,,
9:06.0,,,30-36,,D. Lillard enters the game for W. Matthews
8:50.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,32-36,,
8:28.0,,,32-36,,S. Blake misses 3-pt shot from 26 ft
8:28.0,Defensive rebound by M. Carter-Williams,,32-36,,
8:12.0,N. Noel misses 2-pt shot from 7 ft,,32-36,,
8:12.0,,,32-36,,Defensive rebound by J. Freeland
8:04.0,,,32-38,2,C. McCollum makes 2-pt shot from 1 ft
8:00.0,Turnover by T. Wroten (bad pass),,32-38,,
7:49.0,,,32-38,,N. Batum enters the game for S. Blake
7:49.0,J. Grant enters the game for K. McDaniels,,32-38,,
7:40.0,,,32-38,,Turnover by D. Lillard (bad pass; steal by T. Wroten)
7:37.0,Shooting foul by C. McCollum (drawn by T. Wroten),,32-38,,
7:37.0,T. Wroten misses free throw 1 of 2,,32-38,,
7:37.0,Offensive rebound by Team,,32-38,,
7:37.0,T. Wroten makes free throw 2 of 2,1,33-38,,
7:23.0,,,33-38,,N. Batum misses 3-pt shot from 22 ft
7:22.0,,,33-38,,Offensive rebound by J. Freeland
7:17.0,,,33-41,3,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard)
7:01.0,T. Wroten makes 2-pt shot from 1 ft,2,35-41,,
6:51.0,,,35-41,,D. Lillard misses 3-pt shot from 25 ft
6:49.0,,,35-41,,Offensive rebound by N. Batum
6:49.0,,,35-43,2,N. Batum makes 2-pt shot at rim
6:34.0,M. Carter-Williams makes 2-pt shot from 11 ft,2,37-43,,
6:19.0,,,37-46,3,V. Claver makes 3-pt shot from 26 ft (assist by D. Lillard)
5:59.0,T. Wroten misses 3-pt shot from 25 ft,,37-46,,
5:59.0,,,37-46,,Defensive rebound by J. Freeland
5:49.0,,,37-48,2,J. Freeland makes 2-pt shot from 20 ft (assist by N. Batum)
