time,Minnesota,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. N. Pekovic (T. Young gains possession),,,,Jump ball: B. Lopez vs. N. Pekovic (T. Young gains possession)
11:43.0,Turnover by T. Young (lost ball),,0-0,,
11:25.0,,,0-0,,Turnover by D. Williams (lost ball; steal by R. Rubio)
11:19.0,A. Wiggins misses 2-pt shot from 3 ft,,0-0,,
11:18.0,Offensive rebound by T. Young,,0-0,,
11:17.0,T. Young makes 2-pt shot from 2 ft,2,2-0,,
11:04.0,,,2-0,,Turnover by B. Lopez (lost ball; steal by R. Rubio)
11:01.0,Shooting foul by K. Garnett (drawn by N. Pekovic),,2-0,,
11:01.0,N. Pekovic makes free throw 1 of 2,1,3-0,,
11:01.0,N. Pekovic makes free throw 2 of 2,1,4-0,,
10:41.0,,,4-0,,K. Garnett misses 2-pt shot from 16 ft
10:40.0,Defensive rebound by K. Martin,,4-0,,
10:30.0,K. Martin misses 3-pt shot from 24 ft,,4-0,,
10:29.0,,,4-0,,Defensive rebound by K. Garnett
10:26.0,Personal foul by K. Martin (drawn by B. Bogdanovic),,4-0,,
10:19.0,,,4-0,,K. Garnett misses 2-pt shot from 16 ft
10:18.0,Defensive rebound by N. Pekovic,,4-0,,
10:04.0,N. Pekovic misses 2-pt shot from 5 ft,,4-0,,
10:02.0,,,4-0,,Defensive rebound by K. Garnett
9:54.0,,,4-2,2,B. Lopez makes 2-pt shot from 2 ft (assist by D. Williams)
9:36.0,A. Wiggins makes 2-pt shot from 19 ft,2,6-2,,
9:23.0,,,6-2,,J. Johnson misses 2-pt shot from 7 ft
9:22.0,,,6-2,,Offensive rebound by B. Lopez
9:21.0,,,6-2,,B. Lopez misses 2-pt shot from 4 ft
9:20.0,,,6-2,,Offensive rebound by Team
9:19.0,Personal foul by A. Wiggins (drawn by J. Johnson),,6-2,,
9:04.0,,,6-2,,B. Bogdanovic misses 3-pt shot from 25 ft
9:02.0,Defensive rebound by T. Young,,6-2,,
8:44.0,Turnover by R. Rubio (bad pass; steal by B. Lopez),,6-2,,
8:31.0,,,6-2,,B. Lopez misses 2-pt shot from 8 ft
8:29.0,Defensive rebound by K. Martin,,6-2,,
8:18.0,R. Rubio makes 2-pt shot from 19 ft (assist by N. Pekovic),2,8-2,,
8:02.0,,,8-2,,J. Johnson misses 3-pt shot from 24 ft
8:01.0,Defensive rebound by R. Rubio,,8-2,,
7:54.0,R. Rubio misses 3-pt shot from 25 ft,,8-2,,
7:53.0,,,8-2,,Defensive rebound by J. Johnson
7:43.0,Personal foul by T. Young (drawn by K. Garnett),,8-2,,
7:36.0,,,8-2,,B. Lopez misses 2-pt shot from 6 ft
7:35.0,Defensive rebound by R. Rubio,,8-2,,
7:19.0,K. Martin makes 3-pt shot from 24 ft (assist by R. Rubio),3,11-2,,
7:19.0,,,11-2,,Brooklyn full timeout
7:03.0,,,11-2,,B. Lopez misses 2-pt shot from 3 ft
7:02.0,Defensive rebound by N. Pekovic,,11-2,,
6:49.0,A. Wiggins makes 2-pt shot from 1 ft (assist by N. Pekovic),2,13-2,,
6:49.0,Shooting foul by J. Johnson (drawn by A. Wiggins),,13-2,,
6:49.0,A. Wiggins makes free throw 1 of 1,1,14-2,,
6:33.0,,,14-2,,B. Bogdanovic misses 3-pt shot from 23 ft
6:32.0,Defensive rebound by R. Rubio,,14-2,,
6:22.0,R. Rubio makes 3-pt shot from 24 ft (assist by K. Martin),3,17-2,,
6:06.0,,,17-4,2,D. Williams makes 2-pt shot from 5 ft
5:48.0,T. Young misses 2-pt shot from 19 ft,,17-4,,
5:47.0,,,17-4,,Defensive rebound by K. Garnett
5:38.0,,,17-4,,B. Lopez misses 2-pt shot from 19 ft
5:37.0,Defensive rebound by K. Martin,,17-4,,
5:24.0,K. Martin misses 2-pt shot from 18 ft,,17-4,,
5:23.0,,,17-4,,Defensive rebound by K. Garnett
5:05.0,,,17-4,,B. Lopez misses 2-pt shot from 8 ft
5:04.0,Defensive rebound by N. Pekovic,,17-4,,
4:52.0,N. Pekovic misses 2-pt shot from 1 ft,,17-4,,
4:51.0,,,17-4,,Defensive rebound by B. Lopez
4:32.0,,,17-4,,Shooting foul by R. Rubio (drawn by B. Bogdanovic)
4:32.0,,,17-5,1,B. Bogdanovic makes free throw 1 of 2
4:32.0,,,17-5,,M. Teletovic enters the game for K. Garnett
4:32.0,,,17-6,1,B. Bogdanovic makes free throw 2 of 2
4:20.0,Shooting foul by B. Lopez (drawn by N. Pekovic),,17-6,,
4:20.0,N. Pekovic makes free throw 1 of 2,1,18-6,,
4:20.0,N. Pekovic makes free throw 2 of 2,1,19-6,,
4:08.0,,,19-8,2,D. Williams makes 2-pt shot from 3 ft
3:49.0,A. Wiggins makes 2-pt shot from 2 ft (assist by R. Rubio),2,21-8,,
3:35.0,,,21-8,,B. Lopez misses 2-pt shot from 7 ft
3:34.0,Defensive rebound by T. Young,,21-8,,
3:24.0,N. Pekovic misses 2-pt shot from 2 ft (block by D. Williams),,21-8,,
3:23.0,Offensive rebound by K. Martin,,21-8,,
3:19.0,Offensive foul by N. Pekovic,,21-8,,
3:19.0,Turnover by N. Pekovic (offensive foul),,21-8,,
3:19.0,G. Dieng enters the game for N. Pekovic,,21-8,,
3:08.0,,,21-10,2,J. Johnson makes 2-pt shot from 17 ft
2:52.0,K. Martin misses 2-pt shot from 17 ft,,21-10,,
2:51.0,,,21-10,,Defensive rebound by J. Johnson
2:46.0,,,21-12,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by J. Johnson)
2:46.0,Minnesota full timeout,,21-12,,
2:46.0,,,21-12,,J. Jack enters the game for D. Williams
2:36.0,,,21-12,,Personal foul by J. Johnson (drawn by A. Wiggins)
2:36.0,,,21-12,,A. Anderson enters the game for J. Johnson
2:30.0,K. Martin misses 3-pt shot from 25 ft,,21-12,,
2:29.0,Offensive rebound by G. Dieng,,21-12,,
2:27.0,G. Dieng misses 2-pt shot from 4 ft (block by M. Teletovic),,21-12,,
2:26.0,,,21-12,,Defensive rebound by J. Jack
2:09.0,,,21-14,2,B. Lopez makes 2-pt shot from 5 ft
2:09.0,,,21-14,,Shooting foul by G. Dieng (drawn by B. Lopez)
2:09.0,,,21-14,,B. Lopez misses free throw 1 of 1
2:08.0,,,21-14,,Offensive rebound by B. Lopez
1:52.0,,,21-16,2,B. Lopez makes 2-pt shot from 9 ft
1:24.0,A. Wiggins misses 2-pt shot from 16 ft,,21-16,,
1:23.0,,,21-16,,Defensive rebound by J. Jack
1:18.0,,,21-16,,Turnover by J. Jack (bad pass)
1:18.0,C. Brewer enters the game for K. Martin,,21-16,,
1:10.0,Turnover by T. Young (traveling),,21-16,,
1:10.0,M. Williams enters the game for R. Rubio,,21-16,,
0:59.0,,,21-19,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by A. Anderson)
0:52.0,M. Williams makes 3-pt shot from 24 ft,3,24-19,,
0:37.0,,,24-19,,M. Plumlee enters the game for B. Lopez
0:34.0,,,24-21,2,M. Plumlee makes 2-pt shot at rim (assist by J. Jack)
0:11.0,C. Brewer misses 2-pt shot from 21 ft,,24-21,,
0:10.0,Offensive rebound by Team,,24-21,,
0:10.0,Turnover by Team (shot clock),,24-21,,
0:01.0,,,24-21,,B. Bogdanovic misses 3-pt shot from 23 ft
0:00.0,Defensive rebound by T. Young,,24-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,24-23,2,J. Jack makes 2-pt shot from 16 ft
11:25.0,G. Dieng makes 2-pt shot from 14 ft,2,26-23,,
11:09.0,,,26-25,2,J. Johnson makes 2-pt shot from 7 ft
10:56.0,A. Bennett misses 2-pt shot from 18 ft,,26-25,,
10:55.0,Offensive rebound by S. Muhammad,,26-25,,
10:52.0,S. Muhammad misses 2-pt shot from 5 ft,,26-25,,
10:51.0,Offensive rebound by S. Muhammad,,26-25,,
10:50.0,S. Muhammad makes 2-pt shot from 1 ft,2,28-25,,
10:39.0,,,28-28,3,M. Teletovic makes 3-pt shot from 23 ft (assist by J. Jack)
10:21.0,S. Muhammad makes 2-pt shot from 15 ft (assist by M. Williams),2,30-28,,
10:13.0,Personal foul by M. Williams (drawn by J. Jack),,30-28,,
10:02.0,,,30-28,,J. Jack misses 2-pt shot from 18 ft
10:01.0,Defensive rebound by S. Muhammad,,30-28,,
9:54.0,Turnover by M. Williams (bad pass),,30-28,,
9:38.0,Personal foul by C. Brewer (drawn by J. Johnson),,30-28,,
9:32.0,,,30-28,,J. Jack misses 2-pt shot from 2 ft (block by G. Dieng)
9:31.0,,,30-28,,Offensive rebound by Team
9:31.0,,,30-28,,Turnover by J. Johnson (step out of bounds)
9:13.0,M. Williams misses 3-pt shot from 28 ft,,30-28,,
9:12.0,,,30-28,,Defensive rebound by M. Plumlee
9:03.0,,,30-28,,M. Teletovic misses 2-pt shot from 9 ft
9:01.0,,,30-28,,Offensive rebound by Team
8:55.0,,,30-30,2,A. Anderson makes 2-pt shot from 13 ft
8:30.0,G. Dieng misses 2-pt shot from 10 ft,,30-30,,
8:29.0,,,30-30,,Defensive rebound by M. Teletovic
8:28.0,Personal foul by S. Muhammad (drawn by M. Teletovic),,30-30,,
8:28.0,Official timeout,,30-30,,
8:18.0,Personal foul by C. Brewer (drawn by J. Johnson),,30-30,,
8:18.0,,,30-30,,D. Williams enters the game for J. Jack
8:18.0,,,30-30,,K. Garnett enters the game for M. Teletovic
8:04.0,,,30-30,,J. Johnson misses 2-pt shot from 15 ft
8:03.0,Defensive rebound by G. Dieng,,30-30,,
7:44.0,M. Williams misses 2-pt shot from 18 ft,,30-30,,
7:43.0,,,30-30,,Defensive rebound by M. Plumlee
7:34.0,,,30-33,3,D. Williams makes 3-pt shot from 24 ft
7:19.0,Shooting foul by K. Garnett (drawn by A. Bennett),,30-33,,
7:19.0,A. Bennett misses free throw 1 of 2,,30-33,,
7:19.0,Offensive rebound by Team,,30-33,,
7:19.0,A. Bennett makes free throw 2 of 2,1,31-33,,
7:01.0,,,31-36,3,J. Johnson makes 3-pt shot from 24 ft (assist by K. Garnett)
7:01.0,Minnesota full timeout,,31-36,,
6:39.0,M. Williams misses 2-pt shot from 22 ft,,31-36,,
6:38.0,,,31-36,,Defensive rebound by A. Anderson
6:16.0,,,31-36,,J. Johnson misses 3-pt shot from 25 ft
6:15.0,Defensive rebound by Team,,31-36,,
6:15.0,K. Martin enters the game for S. Muhammad,,31-36,,
6:15.0,A. Wiggins enters the game for C. Brewer,,31-36,,
5:53.0,K. Martin misses 2-pt shot from 18 ft,,31-36,,
5:52.0,Offensive rebound by Team,,31-36,,
5:52.0,,,31-36,,Loose ball foul by J. Johnson (drawn by A. Wiggins)
5:52.0,,,31-36,,B. Bogdanovic enters the game for J. Johnson
5:35.0,A. Bennett makes 2-pt shot at rim (assist by M. Williams),2,33-36,,
5:35.0,Shooting foul by M. Plumlee (drawn by A. Bennett),,33-36,,
5:35.0,R. Rubio enters the game for M. Williams,,33-36,,
5:35.0,N. Pekovic enters the game for G. Dieng,,33-36,,
5:35.0,,,33-36,,B. Lopez enters the game for M. Plumlee
5:35.0,A. Bennett makes free throw 1 of 1,1,34-36,,
5:10.0,,,34-38,2,D. Williams makes 2-pt shot from 16 ft (assist by K. Garnett)
4:57.0,A. Wiggins makes 2-pt shot from 17 ft,2,36-38,,
4:42.0,,,36-40,2,K. Garnett makes 2-pt shot from 20 ft (assist by D. Williams)
4:16.0,N. Pekovic makes 2-pt shot from 4 ft (assist by A. Bennett),2,38-40,,
3:57.0,,,38-40,,Turnover by D. Williams (lost ball)
3:57.0,T. Young enters the game for A. Bennett,,38-40,,
3:53.0,,,38-40,,Personal foul by A. Anderson (drawn by N. Pekovic)
3:42.0,Turnover by R. Rubio (bad pass; steal by B. Lopez),,38-40,,
3:33.0,,,38-43,3,D. Williams makes 3-pt shot from 25 ft (assist by A. Anderson)
3:18.0,Turnover by R. Rubio (bad pass; steal by B. Bogdanovic),,38-43,,
3:10.0,,,38-43,,D. Williams misses 3-pt shot from 24 ft
3:09.0,Defensive rebound by N. Pekovic,,38-43,,
3:03.0,K. Martin makes 3-pt shot from 24 ft (assist by R. Rubio),3,41-43,,
