time,Memphis,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. A. Len (Z. Randolph gains possession),,,,Jump ball: M. Gasol vs. A. Len (Z. Randolph gains possession)
11:34.0,M. Conley misses 3-pt shot from 26 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by M. Morris
11:10.0,,,0-2,2,E. Bledsoe makes 2-pt shot from 6 ft
10:47.0,Z. Randolph misses 2-pt shot from 7 ft,,0-2,,
10:44.0,,,0-2,,Defensive rebound by A. Len
10:39.0,,,0-2,,Turnover by A. Len (offensive goaltending)
10:22.0,M. Conley makes 2-pt shot from 11 ft,2,2-2,,
10:06.0,,,2-2,,G. Dragic misses 2-pt shot from 17 ft
10:04.0,Defensive rebound by Z. Randolph,,2-2,,
10:00.0,C. Lee misses 2-pt shot from 2 ft (block by E. Bledsoe),,2-2,,
9:58.0,,,2-2,,Defensive rebound by A. Len
9:51.0,,,2-4,2,G. Dragic makes 2-pt shot from 1 ft (assist by E. Bledsoe)
9:39.0,C. Lee misses 2-pt shot from 5 ft (block by A. Len),,2-4,,
9:39.0,Offensive rebound by Team,,2-4,,
9:34.0,,,2-4,,Personal foul by P. Tucker (drawn by J. Green)
9:25.0,M. Conley makes 2-pt shot from 1 ft,2,4-4,,
9:08.0,,,4-6,2,M. Morris makes 2-pt shot from 10 ft
8:49.0,M. Gasol misses 2-pt shot from 14 ft,,4-6,,
8:47.0,,,4-6,,Defensive rebound by M. Morris
8:41.0,,,4-8,2,E. Bledsoe makes 2-pt shot from 16 ft
8:24.0,Z. Randolph misses 2-pt shot from 15 ft,,4-8,,
8:23.0,Offensive rebound by J. Green,,4-8,,
8:17.0,Shooting foul by A. Len (drawn by M. Gasol),,4-8,,
8:17.0,M. Gasol makes free throw 1 of 2,1,5-8,,
8:17.0,M. Gasol makes free throw 2 of 2,1,6-8,,
8:01.0,,,6-8,,M. Morris misses 2-pt shot from 17 ft
7:59.0,Defensive rebound by M. Gasol,,6-8,,
7:48.0,M. Gasol makes 2-pt shot from 13 ft,2,8-8,,
7:30.0,,,8-10,2,M. Morris makes 2-pt shot from 1 ft
7:14.0,M. Conley makes 2-pt shot from 2 ft (assist by M. Gasol),2,10-10,,
7:01.0,,,10-12,2,E. Bledsoe makes 2-pt shot from 2 ft (assist by G. Dragic)
6:41.0,J. Green makes 2-pt shot from 3 ft (assist by M. Gasol),2,12-12,,
6:16.0,,,12-12,,M. Morris misses 2-pt shot from 16 ft
6:15.0,Defensive rebound by M. Gasol,,12-12,,
5:57.0,M. Gasol misses 2-pt shot from 19 ft,,12-12,,
5:55.0,Offensive rebound by Z. Randolph,,12-12,,
5:45.0,J. Green misses 2-pt shot from 9 ft,,12-12,,
5:43.0,,,12-12,,Defensive rebound by A. Len
5:27.0,,,12-12,,A. Len misses 2-pt shot from 5 ft (block by M. Gasol)
5:24.0,Defensive rebound by C. Lee,,12-12,,
5:20.0,,,12-12,,Shooting block foul by M. Morris (drawn by M. Conley)
5:20.0,,,12-12,,Phoenix full timeout
5:20.0,,,12-12,,Technical foul by M. Morris (drawn by M. Conley)
5:20.0,M. Conley misses technical free throw,,12-12,,
5:20.0,Offensive rebound by Team,,12-12,,
5:20.0,M. Conley makes free throw 1 of 2,1,13-12,,
5:20.0,M. Conley makes free throw 2 of 2,1,14-12,,
5:08.0,,,14-12,,P. Tucker misses 2-pt shot from 21 ft
5:07.0,Defensive rebound by Team,,14-12,,
4:52.0,M. Conley misses 2-pt shot from 20 ft,,14-12,,
4:50.0,,,14-12,,Defensive rebound by A. Len
4:33.0,,,14-14,2,M. Morris makes 2-pt shot from 12 ft
4:10.0,Z. Randolph misses 2-pt shot from 18 ft,,14-14,,
4:07.0,,,14-14,,Defensive rebound by E. Bledsoe
4:02.0,,,14-16,2,G. Dragic makes 2-pt shot from 2 ft (assist by E. Bledsoe)
3:43.0,C. Lee makes 2-pt shot from 1 ft (assist by M. Gasol),2,16-16,,
3:23.0,,,16-19,3,P. Tucker makes 3-pt shot from 22 ft (assist by E. Bledsoe)
3:12.0,Turnover by J. Green (bad pass; steal by A. Len),,16-19,,
3:07.0,,,16-21,2,G. Dragic makes 2-pt shot from 1 ft (assist by E. Bledsoe)
2:50.0,Z. Randolph misses 2-pt shot from 4 ft (block by A. Len),,16-21,,
2:50.0,Offensive rebound by Team,,16-21,,
2:50.0,Memphis full timeout,,16-21,,
2:50.0,,,16-21,,I. Thomas enters the game for P. Tucker
2:50.0,,,16-21,,M. Morris enters the game for G. Dragic
2:50.0,T. Allen enters the game for C. Lee,,16-21,,
2:39.0,M. Gasol misses 2-pt shot from 15 ft,,16-21,,
2:38.0,Offensive rebound by Team,,16-21,,
2:18.0,Turnover by M. Conley (bad pass; steal by A. Len),,16-21,,
2:00.0,,,16-21,,Turnover by I. Thomas (lost ball; steal by T. Allen)
1:55.0,T. Allen makes 2-pt shot from 4 ft,2,18-21,,
1:34.0,,,18-21,,E. Bledsoe misses 2-pt shot from 17 ft
1:32.0,Defensive rebound by T. Allen,,18-21,,
1:23.0,Z. Randolph makes 2-pt shot from 7 ft,2,20-21,,
1:22.0,Technical foul by Z. Randolph,,20-21,,
1:22.0,,,20-21,,E. Bledsoe misses technical free throw
