time,LA Lakers,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Sacre vs. C. Zeller (W. Ellington gains possession),,,,Jump ball: R. Sacre vs. C. Zeller (W. Ellington gains possession)
11:44.0,W. Ellington makes 3-pt shot from 24 ft (assist by R. Kelly),3,3-0,,
11:29.0,,,3-0,,G. Henderson misses 2-pt shot from 18 ft
11:28.0,Defensive rebound by C. Boozer,,3-0,,
11:14.0,R. Sacre makes 2-pt shot from 17 ft (assist by R. Kelly),2,5-0,,
10:56.0,,,5-0,,M. Williams misses 2-pt shot from 20 ft
10:55.0,Defensive rebound by R. Sacre,,5-0,,
10:43.0,J. Clarkson misses 3-pt shot from 26 ft,,5-0,,
10:42.0,,,5-0,,Defensive rebound by C. Zeller
10:32.0,,,5-0,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
10:31.0,Defensive rebound by C. Boozer,,5-0,,
10:21.0,R. Sacre misses 2-pt shot from 7 ft (block by A. Jefferson),,5-0,,
10:19.0,,,5-0,,Defensive rebound by C. Zeller
9:58.0,,,5-0,,M. Kidd-Gilchrist misses 2-pt shot from 20 ft
9:57.0,Defensive rebound by C. Boozer,,5-0,,
9:50.0,J. Clarkson makes 2-pt shot from 18 ft,2,7-0,,
9:33.0,,,7-0,,A. Jefferson misses 2-pt shot from 6 ft
9:32.0,,,7-0,,Offensive rebound by C. Zeller
9:22.0,,,7-0,,Shooting foul by R. Sacre (drawn by A. Jefferson)
9:22.0,,,7-1,1,A. Jefferson makes free throw 1 of 2
9:22.0,,,7-2,1,A. Jefferson makes free throw 2 of 2
9:06.0,C. Boozer misses 2-pt shot from 18 ft,,7-2,,
9:04.0,Offensive rebound by R. Sacre,,7-2,,
8:56.0,W. Ellington makes 2-pt shot from 17 ft (assist by R. Kelly),2,9-2,,
8:41.0,,,9-4,2,A. Jefferson makes 2-pt shot from 1 ft
8:18.0,R. Kelly misses 2-pt shot from 8 ft,,9-4,,
8:17.0,,,9-4,,Defensive rebound by A. Jefferson
