time,Miami,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. M. Gortat,,,,Jump ball: C. Bosh vs. M. Gortat
11:37.0,L. Deng misses 2-pt shot from 1 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by P. Pierce
11:26.0,,,0-2,2,P. Pierce makes 2-pt shot from 13 ft
11:01.0,C. Bosh makes 2-pt shot from 16 ft,2,2-2,,
10:42.0,,,2-4,2,M. Gortat makes 2-pt shot from 9 ft (assist by J. Wall)
10:30.0,N. Cole makes 2-pt shot at rim,2,4-4,,
10:16.0,,,4-4,,Turnover by P. Pierce (bad pass)
10:03.0,L. Deng misses 3-pt shot from 25 ft,,4-4,,
10:02.0,,,4-4,,Defensive rebound by M. Gortat
9:50.0,,,4-6,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
9:29.0,D. Wade makes 2-pt shot from 19 ft (assist by C. Bosh),2,6-6,,
9:17.0,,,6-6,,K. Humphries misses 2-pt shot from 17 ft
9:16.0,Defensive rebound by C. Bosh,,6-6,,
9:13.0,Turnover by C. Bosh (lost ball; steal by B. Beal),,6-6,,
9:07.0,,,6-8,2,B. Beal makes 2-pt shot at rim
8:46.0,Shooting foul by B. Beal (drawn by L. Deng),,6-8,,
8:46.0,L. Deng makes free throw 1 of 2,1,7-8,,
8:46.0,L. Deng makes free throw 2 of 2,1,8-8,,
8:34.0,,,8-8,,B. Beal misses 2-pt shot from 20 ft
8:33.0,Defensive rebound by C. Bosh,,8-8,,
8:22.0,C. Bosh misses 3-pt shot from 26 ft,,8-8,,
8:21.0,,,8-8,,Defensive rebound by J. Wall
8:09.0,,,8-11,3,B. Beal makes 3-pt shot from 24 ft (assist by M. Gortat)
7:51.0,Shooting foul by B. Beal (drawn by D. Wade),,8-11,,
7:51.0,D. Wade misses free throw 1 of 2,,8-11,,
7:51.0,Offensive rebound by Team,,8-11,,
7:51.0,,,8-11,,R. Butler enters the game for B. Beal
7:51.0,D. Wade misses free throw 2 of 2,,8-11,,
7:49.0,,,8-11,,Defensive rebound by M. Gortat
7:43.0,,,8-11,,Technical foul by Team
7:43.0,C. Bosh misses technical free throw,,8-11,,
7:43.0,,,8-11,,Offensive rebound by Team
7:35.0,,,8-13,2,R. Butler makes 2-pt shot from 20 ft (assist by J. Wall)
7:12.0,S. Williams misses 3-pt shot from 25 ft,,8-13,,
7:11.0,,,8-13,,Defensive rebound by J. Wall
7:00.0,,,8-13,,K. Humphries misses 2-pt shot from 16 ft
6:59.0,Defensive rebound by D. Wade,,8-13,,
6:42.0,N. Cole misses 3-pt shot from 25 ft,,8-13,,
6:41.0,,,8-13,,Defensive rebound by K. Humphries
6:37.0,,,8-13,,Shooting foul by S. Williams (drawn by P. Pierce)
6:37.0,,,8-14,1,P. Pierce makes free throw 1 of 2
6:37.0,,,8-15,1,P. Pierce makes free throw 2 of 2
6:21.0,C. Bosh makes 2-pt shot from 12 ft,2,10-15,,
6:04.0,,,10-15,,R. Butler misses 2-pt shot from 21 ft
6:03.0,Defensive rebound by N. Cole,,10-15,,
5:54.0,L. Deng misses 3-pt shot from 26 ft,,10-15,,
5:53.0,,,10-15,,Defensive rebound by Team
5:51.0,,,10-15,,Washington full timeout
5:37.0,Violation by N. Cole (kicked ball),,10-15,,
5:26.0,,,10-15,,R. Butler misses 2-pt shot from 3 ft
5:25.0,Defensive rebound by C. Bosh,,10-15,,
5:15.0,L. Deng makes 2-pt shot from 7 ft,2,12-15,,
5:15.0,Shooting foul by P. Pierce (drawn by L. Deng),,12-15,,
5:15.0,L. Deng misses free throw 1 of 1,,12-15,,
5:14.0,,,12-15,,Defensive rebound by K. Humphries
5:02.0,,,12-17,2,R. Butler makes 2-pt shot from 1 ft (assist by J. Wall)
4:42.0,C. Bosh misses 2-pt shot at rim (block by M. Gortat),,12-17,,
4:40.0,,,12-17,,Defensive rebound by J. Wall
4:39.0,,,12-17,,Shooting foul by N. Cole (drawn by J. Wall)
4:39.0,,,12-18,1,J. Wall makes free throw 1 of 2
4:39.0,M. Chalmers enters the game for D. Wade,,12-18,,
4:39.0,J. McRoberts enters the game for S. Williams,,12-18,,
4:39.0,,,12-19,1,J. Wall makes free throw 2 of 2
4:28.0,M. Chalmers misses 3-pt shot from 23 ft,,12-19,,
4:27.0,,,12-19,,Defensive rebound by K. Humphries
4:18.0,,,12-19,,J. Wall misses 2-pt shot from 21 ft
4:17.0,Defensive rebound by C. Bosh,,12-19,,
4:04.0,J. McRoberts makes 2-pt shot from 15 ft (assist by M. Chalmers),2,14-19,,
3:53.0,,,14-19,,P. Pierce misses 2-pt shot from 16 ft
3:52.0,Defensive rebound by J. McRoberts,,14-19,,
3:36.0,C. Bosh makes 2-pt shot from 13 ft,2,16-19,,
3:16.0,,,16-21,2,K. Humphries makes 2-pt shot from 20 ft (assist by R. Butler)
3:07.0,Miami full timeout,,16-21,,
3:07.0,,,16-21,,O. Porter enters the game for P. Pierce
3:07.0,,,16-21,,D. Gooden enters the game for K. Humphries
3:07.0,S. Napier enters the game for N. Cole,,16-21,,
3:00.0,C. Bosh makes 2-pt shot from 9 ft (assist by S. Napier),2,18-21,,
3:00.0,Shooting foul by R. Butler (drawn by C. Bosh),,18-21,,
3:00.0,J. Ennis enters the game for L. Deng,,18-21,,
3:00.0,C. Bosh misses free throw 1 of 1,,18-21,,
2:58.0,,,18-21,,Defensive rebound by R. Butler
2:38.0,,,18-21,,R. Butler misses 2-pt shot from 16 ft
2:37.0,,,18-21,,Offensive rebound by O. Porter
2:22.0,,,18-24,3,R. Butler makes 3-pt shot from 23 ft (assist by D. Gooden)
1:56.0,C. Bosh misses 2-pt shot from 14 ft,,18-24,,
1:55.0,,,18-24,,Defensive rebound by M. Gortat
1:44.0,,,18-24,,D. Gooden misses 2-pt shot from 19 ft
1:43.0,Defensive rebound by J. Ennis,,18-24,,
1:33.0,S. Napier makes 2-pt shot from 14 ft,2,20-24,,
1:11.0,,,20-27,3,O. Porter makes 3-pt shot from 22 ft (assist by J. Wall)
0:48.0,Turnover by C. Bosh (step out of bounds),,20-27,,
0:48.0,U. Haslem enters the game for C. Bosh,,20-27,,
0:48.0,,,20-27,,K. Seraphin enters the game for M. Gortat
0:29.0,,,20-27,,K. Seraphin misses 2-pt shot from 18 ft
0:28.0,Defensive rebound by S. Napier,,20-27,,
0:05.0,S. Napier makes 2-pt shot from 22 ft,2,22-27,,
0:01.0,,,22-30,3,J. Wall makes 3-pt shot from 27 ft
0:01.0,,,22-30,,Shooting foul by S. Napier (drawn by J. Wall)
0:01.0,,,22-30,,J. Wall misses free throw 1 of 1
0:00.0,Defensive rebound by J. Ennis,,22-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,22-30,,K. Seraphin misses 2-pt shot from 12 ft
11:39.0,,,22-30,,Offensive rebound by D. Gooden
11:35.0,,,22-32,2,D. Gooden makes 2-pt shot from 3 ft
11:15.0,J. McRoberts misses 2-pt shot from 10 ft,,22-32,,
11:13.0,,,22-32,,Defensive rebound by O. Porter
10:51.0,,,22-34,2,A. Miller makes 2-pt shot from 1 ft (assist by R. Butler)
10:36.0,,,22-34,,Personal foul by K. Seraphin (drawn by U. Haslem)
10:21.0,M. Chalmers misses 3-pt shot from 23 ft,,22-34,,
10:20.0,,,22-34,,Defensive rebound by K. Seraphin
10:10.0,,,22-37,3,D. Gooden makes 3-pt shot from 22 ft (assist by A. Miller)
10:09.0,Miami full timeout,,22-37,,
10:09.0,D. Wade enters the game for J. Ennis,,22-37,,
9:53.0,J. McRoberts makes 2-pt shot from 3 ft,2,24-37,,
9:53.0,Shooting foul by D. Gooden (drawn by J. McRoberts),,24-37,,
9:53.0,J. McRoberts misses free throw 1 of 1,,24-37,,
9:52.0,,,24-37,,Defensive rebound by K. Seraphin
9:34.0,Personal foul by U. Haslem (drawn by R. Butler),,24-37,,
9:19.0,,,24-37,,Turnover by Team (shot clock)
9:09.0,S. Napier misses 3-pt shot from 25 ft,,24-37,,
9:08.0,,,24-37,,Defensive rebound by K. Seraphin
9:05.0,Personal foul by J. McRoberts (drawn by D. Gooden),,24-37,,
8:57.0,,,24-37,,B. Beal enters the game for O. Porter
8:57.0,Jump ball: R. Butler vs. S. Napier (B. Beal gains possession),,,,Jump ball: R. Butler vs. S. Napier (B. Beal gains possession)
8:49.0,,,24-40,3,B. Beal makes 3-pt shot from 26 ft (assist by R. Butler)
8:34.0,D. Wade makes 2-pt shot from 14 ft,2,26-40,,
8:23.0,,,26-40,,Shooting foul by S. Napier (drawn by K. Seraphin)
8:23.0,,,26-40,,K. Seraphin misses free throw 1 of 2
8:23.0,,,26-40,,Offensive rebound by Team
8:23.0,,,26-41,1,K. Seraphin makes free throw 2 of 2
8:08.0,D. Wade makes 2-pt shot from 21 ft (assist by J. McRoberts),2,28-41,,
7:56.0,Personal foul by M. Chalmers (drawn by B. Beal),,28-41,,
7:52.0,,,28-41,,Turnover by B. Beal (discontinued dribble)
7:45.0,,,28-41,,Personal foul by R. Butler (drawn by D. Wade)
7:37.0,Shooting foul by B. Beal (drawn by M. Chalmers),,28-41,,
7:37.0,M. Chalmers misses free throw 1 of 2,,28-41,,
7:37.0,Offensive rebound by Team,,28-41,,
7:37.0,,,28-41,,O. Porter enters the game for B. Beal
7:37.0,,,28-41,,J. Wall enters the game for A. Miller
7:37.0,C. Bosh enters the game for J. McRoberts,,28-41,,
7:37.0,M. Chalmers makes free throw 2 of 2,1,29-41,,
7:18.0,,,29-43,2,D. Gooden makes 2-pt shot from 21 ft (assist by J. Wall)
6:52.0,D. Wade makes 2-pt shot from 13 ft,2,31-43,,
6:32.0,,,31-43,,Shooting foul by M. Chalmers (drawn by R. Butler)
6:32.0,,,31-44,1,R. Butler makes free throw 1 of 2
6:32.0,,,31-44,,K. Humphries enters the game for K. Seraphin
6:32.0,,,31-44,,R. Butler misses free throw 2 of 2
6:30.0,Defensive rebound by C. Bosh,,31-44,,
6:22.0,D. Wade makes 2-pt shot from 1 ft,2,33-44,,
6:10.0,,,33-46,2,R. Butler makes 2-pt shot from 17 ft (assist by J. Wall)
5:56.0,C. Bosh makes 3-pt shot from 25 ft (assist by S. Napier),3,36-46,,
5:25.0,,,36-48,2,J. Wall makes 2-pt shot at rim
5:07.0,Shooting foul by D. Gooden (drawn by D. Wade),,36-48,,
5:07.0,Official timeout,,36-48,,
5:07.0,,,36-48,,M. Gortat enters the game for D. Gooden
5:07.0,S. Williams enters the game for U. Haslem,,36-48,,
5:07.0,D. Wade misses free throw 1 of 2,,36-48,,
5:07.0,Offensive rebound by Team,,36-48,,
5:07.0,D. Wade makes free throw 2 of 2,1,37-48,,
4:46.0,,,37-48,,M. Gortat misses 2-pt shot from 15 ft
4:44.0,,,37-48,,Offensive rebound by O. Porter
4:29.0,,,37-50,2,O. Porter makes 2-pt shot from 1 ft (assist by J. Wall)
4:10.0,Turnover by D. Wade (lost ball; steal by J. Wall),,37-50,,
