time,Golden State,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. A. Davis (S. Curry gains possession),,,,Jump ball: A. Bogut vs. A. Davis (S. Curry gains possession)
11:36.0,H. Barnes misses 2-pt shot from 13 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by Q. Pondexter
11:20.0,,,0-0,,T. Evans misses 2-pt shot from 2 ft (block by H. Barnes)
11:18.0,Defensive rebound by D. Green,,0-0,,
11:07.0,Turnover by S. Curry (lost ball; steal by O. Asik),,0-0,,
10:52.0,,,0-2,2,A. Davis makes 2-pt shot from 19 ft (assist by E. Gordon)
10:44.0,D. Green makes 2-pt shot from 1 ft (assist by S. Curry),2,2-2,,
10:22.0,,,2-4,2,E. Gordon makes 2-pt shot from 15 ft (assist by O. Asik)
10:04.0,D. Green makes 3-pt shot from 26 ft (assist by S. Curry),3,5-4,,
9:41.0,,,5-6,2,E. Gordon makes 2-pt shot from 17 ft
9:24.0,S. Curry misses 2-pt shot from 14 ft,,5-6,,
9:23.0,,,5-6,,Defensive rebound by T. Evans
9:10.0,,,5-8,2,O. Asik makes 2-pt shot from 3 ft
9:10.0,,,5-8,,Shooting foul by A. Bogut (drawn by O. Asik)
9:10.0,,,5-9,1,O. Asik makes free throw 1 of 1
8:58.0,S. Curry misses 2-pt shot from 20 ft,,5-9,,
8:57.0,,,5-9,,Defensive rebound by A. Davis
8:39.0,,,5-9,,O. Asik misses 2-pt shot from 2 ft
8:38.0,Defensive rebound by A. Bogut,,5-9,,
8:22.0,D. Green makes 2-pt shot from 2 ft,2,7-9,,
8:01.0,,,7-9,,Turnover by A. Davis (lost ball; steal by K. Thompson)
7:53.0,S. Curry makes 3-pt shot from 27 ft (assist by D. Green),3,10-9,,
7:28.0,,,10-9,,E. Gordon misses 3-pt shot from 25 ft
7:27.0,Defensive rebound by H. Barnes,,10-9,,
7:08.0,D. Green makes 3-pt shot from 26 ft (assist by A. Bogut),3,13-9,,
6:47.0,,,13-11,2,A. Davis makes 2-pt shot from 13 ft (assist by T. Evans)
6:37.0,S. Curry makes 2-pt shot from 2 ft,2,15-11,,
6:18.0,,,15-11,,A. Davis misses 2-pt shot from 5 ft
6:17.0,,,15-11,,Offensive rebound by A. Davis
6:17.0,,,15-11,,Shooting foul by A. Bogut (drawn by A. Davis)
6:17.0,,,15-12,1,A. Davis makes free throw 1 of 2
6:17.0,F. Ezeli enters the game for A. Bogut,,15-12,,
6:17.0,,,15-13,1,A. Davis makes free throw 2 of 2
6:06.0,D. Green misses 3-pt shot from 25 ft,,15-13,,
6:03.0,,,15-13,,Defensive rebound by T. Evans
5:54.0,,,15-13,,A. Davis misses 2-pt shot from 14 ft
5:52.0,Defensive rebound by F. Ezeli,,15-13,,
5:35.0,K. Thompson misses 2-pt shot from 20 ft,,15-13,,
5:32.0,,,15-13,,Defensive rebound by A. Davis
5:27.0,,,15-13,,New Orleans full timeout
5:27.0,A. Iguodala enters the game for H. Barnes,,15-13,,
5:18.0,,,15-15,2,E. Gordon makes 2-pt shot from 12 ft
5:01.0,K. Thompson makes 2-pt shot from 18 ft (assist by A. Iguodala),2,17-15,,
4:42.0,,,17-15,,E. Gordon misses 3-pt shot from 25 ft
4:39.0,,,17-15,,Offensive rebound by A. Davis
4:31.0,,,17-17,2,A. Davis makes 2-pt shot from 4 ft (assist by E. Gordon)
4:23.0,Shooting foul by Q. Pondexter (drawn by S. Curry),,17-17,,
4:23.0,S. Curry makes free throw 1 of 2,1,18-17,,
4:23.0,L. Barbosa enters the game for K. Thompson,,18-17,,
4:23.0,,,18-17,,R. Anderson enters the game for O. Asik
4:23.0,S. Curry makes free throw 2 of 2,1,19-17,,
4:04.0,,,19-19,2,E. Gordon makes 2-pt shot from 7 ft
3:52.0,S. Curry makes 2-pt shot from 2 ft (assist by D. Green),2,21-19,,
3:31.0,,,21-19,,Shooting foul by F. Ezeli (drawn by A. Davis)
3:31.0,,,21-21,2,A. Davis makes 2-pt shot from 1 ft
3:31.0,,,21-21,,N. Cole enters the game for T. Evans
3:31.0,,,21-22,1,A. Davis makes free throw 1 of 1
3:20.0,Turnover by F. Ezeli (traveling),,21-22,,
