time,Chicago,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. Z. Pachulia (J. Noah gains possession),,,,Jump ball: P. Gasol vs. Z. Pachulia (J. Noah gains possession)
11:47.0,D. Rose misses 2-pt shot from 15 ft,,0-0,,
11:46.0,Offensive rebound by J. Noah,,0-0,,
11:38.0,M. Dunleavy makes 3-pt shot from 23 ft (assist by D. Rose),3,3-0,,
11:22.0,,,3-0,,G. Antetokounmpo misses 2-pt shot from 5 ft
11:21.0,Defensive rebound by D. Rose,,3-0,,
11:15.0,P. Gasol makes 2-pt shot at rim (assist by D. Rose),2,5-0,,
11:03.0,,,5-0,,M. Carter-Williams misses 2-pt shot from 4 ft
11:01.0,Defensive rebound by J. Noah,,5-0,,
10:53.0,J. Butler makes 3-pt shot from 24 ft (assist by D. Rose),3,8-0,,
10:52.0,,,8-0,,Milwaukee full timeout
10:52.0,,,8-0,,J. Bayless enters the game for M. Carter-Williams
10:28.0,,,8-0,,Z. Pachulia misses 2-pt shot from 3 ft
10:27.0,Defensive rebound by J. Noah,,8-0,,
10:14.0,Turnover by D. Rose (bad pass),,8-0,,
10:05.0,,,8-0,,Turnover by J. Bayless (bad pass)
9:48.0,D. Rose misses 3-pt shot from 28 ft,,8-0,,
9:47.0,,,8-0,,Defensive rebound by Z. Pachulia
9:33.0,,,8-2,2,K. Middleton makes 2-pt shot from 18 ft
9:24.0,,,8-2,,Personal foul by K. Middleton (drawn by M. Dunleavy)
9:15.0,M. Dunleavy makes 2-pt shot from 20 ft (assist by D. Rose),2,10-2,,
8:59.0,,,10-4,2,K. Middleton makes 2-pt shot from 16 ft
8:44.0,P. Gasol makes 2-pt shot from 15 ft (assist by J. Butler),2,12-4,,
8:30.0,,,12-6,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
8:04.0,D. Rose misses 2-pt shot from 6 ft,,12-6,,
8:03.0,,,12-6,,Defensive rebound by K. Middleton
