time,Milwaukee,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. L. Sanders (J. Parker gains possession),,,,Jump ball: G. Dieng vs. L. Sanders (J. Parker gains possession)
11:42.0,L. Sanders misses 2-pt shot at rim,,0-0,,
11:41.0,Offensive rebound by L. Sanders,,0-0,,
11:41.0,L. Sanders makes 2-pt shot at rim,2,2-0,,
11:29.0,,,2-0,,T. Young misses 2-pt shot from 17 ft
11:28.0,,,2-0,,Offensive rebound by G. Dieng
11:21.0,,,2-0,,C. Brewer misses 2-pt shot from 20 ft
11:20.0,,,2-0,,Offensive rebound by G. Dieng
11:16.0,,,2-0,,G. Dieng misses 2-pt shot from 1 ft (block by L. Sanders)
11:15.0,Defensive rebound by G. Antetokounmpo,,2-0,,
11:10.0,G. Antetokounmpo makes 2-pt shot at rim,2,4-0,,
10:53.0,,,4-0,,Turnover by A. Wiggins (lost ball; steal by O. Mayo)
10:50.0,,,4-0,,Personal foul by C. Brewer (drawn by G. Antetokounmpo)
10:30.0,J. Parker makes 2-pt shot from 19 ft,2,6-0,,
10:14.0,,,6-0,,Turnover by A. Wiggins (lost ball; steal by B. Knight)
10:09.0,B. Knight misses 2-pt shot at rim,,6-0,,
10:08.0,Offensive rebound by G. Antetokounmpo,,6-0,,
10:08.0,G. Antetokounmpo makes 2-pt shot at rim,2,8-0,,
10:07.0,,,8-0,,Minnesota full timeout
9:55.0,,,8-3,3,A. Wiggins makes 3-pt shot from 25 ft (assist by T. Young)
9:39.0,L. Sanders misses 2-pt shot from 6 ft,,8-3,,
9:38.0,,,8-3,,Defensive rebound by C. Brewer
9:28.0,,,8-3,,A. Wiggins misses 2-pt shot from 11 ft
9:27.0,,,8-3,,Offensive rebound by Z. LaVine
9:24.0,,,8-5,2,Z. LaVine makes 2-pt shot from 1 ft
8:59.0,L. Sanders makes 2-pt shot from 3 ft,2,10-5,,
8:44.0,,,10-5,,A. Wiggins misses 2-pt shot at rim
8:43.0,,,10-5,,Offensive rebound by A. Wiggins
8:28.0,,,10-7,2,C. Brewer makes 2-pt shot from 1 ft (assist by Z. LaVine)
8:28.0,,,10-7,,Shooting foul by B. Knight (drawn by C. Brewer)
8:28.0,,,10-7,,C. Brewer misses free throw 1 of 1
8:27.0,Defensive rebound by Team,,10-7,,
8:19.0,,,10-7,,Personal foul by Z. LaVine (drawn by B. Knight)
8:03.0,B. Knight misses 2-pt shot from 18 ft,,10-7,,
8:02.0,,,10-7,,Defensive rebound by Team
7:44.0,,,10-7,,C. Brewer misses 3-pt shot from 24 ft
7:43.0,Defensive rebound by G. Antetokounmpo,,10-7,,
7:34.0,Turnover by L. Sanders (bad pass; steal by A. Wiggins),,10-7,,
7:31.0,,,10-7,,Shooting foul by G. Antetokounmpo (drawn by A. Wiggins)
7:31.0,,,10-7,,A. Wiggins misses free throw 1 of 2
7:31.0,,,10-7,,Offensive rebound by Team
7:31.0,,,10-8,1,A. Wiggins makes free throw 2 of 2
7:06.0,J. Parker misses 2-pt shot from 20 ft,,10-8,,
7:05.0,,,10-8,,Defensive rebound by G. Dieng
6:55.0,,,10-8,,T. Young misses 2-pt shot from 4 ft
6:54.0,Defensive rebound by G. Antetokounmpo,,10-8,,
6:44.0,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo),2,12-8,,
6:28.0,,,12-8,,C. Brewer misses 3-pt shot from 23 ft
6:27.0,Defensive rebound by J. Parker,,12-8,,
6:17.0,Turnover by O. Mayo (lost ball),,12-8,,
6:02.0,,,12-8,,Z. LaVine misses 2-pt shot from 20 ft
6:01.0,,,12-8,,Offensive rebound by G. Dieng
5:57.0,,,12-10,2,A. Wiggins makes 2-pt shot at rim (assist by C. Brewer)
5:39.0,,,12-10,,Minnesota full timeout
5:36.0,J. Parker misses 2-pt shot from 4 ft,,12-10,,
5:34.0,Offensive rebound by L. Sanders,,12-10,,
5:33.0,L. Sanders makes 2-pt shot from 2 ft,2,14-10,,
5:19.0,,,14-10,,T. Young misses 2-pt shot from 5 ft
5:18.0,Defensive rebound by G. Antetokounmpo,,14-10,,
5:13.0,L. Sanders makes 2-pt shot at rim (assist by G. Antetokounmpo),2,16-10,,
5:08.0,,,16-10,,Shooting foul by G. Antetokounmpo (drawn by C. Brewer)
5:08.0,,,16-11,1,C. Brewer makes free throw 1 of 2
5:08.0,J. Dudley enters the game for G. Antetokounmpo,,16-11,,
5:08.0,,,16-12,1,C. Brewer makes free throw 2 of 2
4:55.0,B. Knight misses 3-pt shot from 25 ft,,16-12,,
4:54.0,,,16-12,,Defensive rebound by T. Young
4:43.0,,,16-12,,T. Young misses 2-pt shot at rim (block by L. Sanders)
4:41.0,Defensive rebound by J. Dudley,,16-12,,
4:35.0,,,16-12,,Personal foul by T. Young (drawn by J. Parker)
4:29.0,L. Sanders misses 2-pt shot at rim,,16-12,,
4:26.0,,,16-12,,Defensive rebound by T. Young
4:22.0,,,16-14,2,C. Brewer makes 2-pt shot from 1 ft (assist by T. Young)
4:11.0,O. Mayo misses 2-pt shot from 17 ft,,16-14,,
4:10.0,,,16-14,,Defensive rebound by T. Young
4:04.0,,,16-14,,Turnover by T. Young (bad pass)
4:04.0,,,16-14,,C. Budinger enters the game for C. Brewer
3:54.0,Turnover by B. Knight (bad pass; steal by T. Young),,16-14,,
3:50.0,,,16-14,,C. Budinger misses 2-pt shot from 1 ft
3:48.0,,,16-14,,Offensive rebound by A. Wiggins
3:46.0,,,16-14,,A. Wiggins misses 2-pt shot from 1 ft
3:45.0,Defensive rebound by J. Parker,,16-14,,
3:41.0,,,16-14,,Personal foul by G. Dieng (drawn by O. Mayo)
3:36.0,O. Mayo makes 3-pt shot from 25 ft (assist by L. Sanders),3,19-14,,
3:12.0,,,19-16,2,Z. LaVine makes 2-pt shot from 2 ft (assist by G. Dieng)
2:52.0,J. Dudley makes 3-pt shot from 22 ft (assist by J. Parker),3,22-16,,
2:35.0,Personal foul by O. Mayo (drawn by A. Wiggins),,22-16,,
2:35.0,Milwaukee full timeout,,22-16,,
2:35.0,,,22-16,,A. Bennett enters the game for T. Young
2:35.0,J. Bayless enters the game for B. Knight,,22-16,,
2:35.0,Z. Pachulia enters the game for L. Sanders,,22-16,,
2:28.0,,,22-16,,A. Wiggins misses 2-pt shot from 10 ft
2:27.0,Defensive rebound by Team,,22-16,,
2:07.0,Z. Pachulia makes 2-pt shot from 13 ft (assist by O. Mayo),2,24-16,,
1:47.0,,,24-18,2,A. Bennett makes 2-pt shot from 18 ft (assist by Z. LaVine)
1:28.0,J. Parker makes 2-pt shot at rim (assist by Z. Pachulia),2,26-18,,
1:09.0,,,26-20,2,A. Bennett makes 2-pt shot from 16 ft (assist by C. Budinger)
0:45.0,O. Mayo misses 3-pt shot from 24 ft,,26-20,,
