time,LA Lakers,pts.away,score,pts.home,Portland
2:58.0,LA Lakers full timeout,,81-100,,
2:58.0,,,81-100,,V. Claver enters the game for M. Leonard
2:34.0,,,81-100,,C. McCollum misses 2-pt shot from 8 ft
2:34.0,Defensive rebound by Team,,81-100,,
2:22.0,R. Kelly misses 2-pt shot at rim,,81-100,,
2:22.0,,,81-100,,Defensive rebound by Team
2:22.0,Loose ball foul by R. Sacre (drawn by V. Claver),,81-100,,
2:11.0,,,81-102,2,A. Crabbe makes 2-pt shot from 22 ft (assist by T. Robinson)
1:54.0,T. Black misses 2-pt shot from 18 ft,,81-102,,
1:53.0,,,81-102,,Defensive rebound by W. Barton
1:38.0,,,81-102,,W. Barton misses 3-pt shot from 23 ft
1:38.0,Defensive rebound by R. Kelly,,81-102,,
1:30.0,R. Sacre makes 2-pt shot from 4 ft (assist by J. Clarkson),2,83-102,,
1:15.0,,,83-102,,A. Crabbe misses 2-pt shot from 21 ft
1:15.0,Defensive rebound by J. Clarkson,,83-102,,
1:05.0,W. Ellington misses 2-pt shot from 21 ft,,83-102,,
1:04.0,,,83-102,,Defensive rebound by T. Robinson
0:52.0,,,83-102,,V. Claver misses 3-pt shot from 24 ft
0:51.0,Defensive rebound by J. Clarkson,,83-102,,
0:45.0,J. Clarkson makes 3-pt shot from 25 ft,3,86-102,,
0:27.0,,,86-102,,T. Robinson misses 2-pt shot from 7 ft (block by T. Black)
0:26.0,Defensive rebound by T. Black,,86-102,,
0:15.0,Turnover by R. Kelly (bad pass; steal by W. Barton),,86-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
