time,Denver,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. T. Mozgov (P. Millsap gains possession),,,,Jump ball: A. Horford vs. T. Mozgov (P. Millsap gains possession)
11:45.0,Personal foul by W. Chandler (drawn by D. Carroll),,0-0,,
11:34.0,,,0-0,,P. Millsap misses 2-pt shot from 19 ft
11:33.0,Defensive rebound by J. Hickson,,0-0,,
11:21.0,W. Chandler makes 2-pt shot from 1 ft (assist by J. Hickson),2,2-0,,
11:12.0,,,2-0,,P. Millsap misses 2-pt shot from 1 ft
11:11.0,Defensive rebound by W. Chandler,,2-0,,
10:58.0,W. Chandler makes 3-pt shot from 25 ft (assist by T. Lawson),3,5-0,,
10:45.0,,,5-0,,K. Korver misses 3-pt shot from 26 ft
10:44.0,Defensive rebound by J. Hickson,,5-0,,
10:26.0,W. Chandler misses 3-pt shot from 27 ft,,5-0,,
10:24.0,Offensive rebound by A. Afflalo,,5-0,,
10:20.0,A. Afflalo misses 2-pt shot from 17 ft,,5-0,,
10:18.0,,,5-0,,Defensive rebound by P. Millsap
10:07.0,,,5-2,2,D. Carroll makes 2-pt shot at rim (assist by A. Horford)
9:40.0,W. Chandler misses 3-pt shot from 26 ft,,5-2,,
9:38.0,,,5-2,,Defensive rebound by A. Horford
9:28.0,,,5-5,3,P. Millsap makes 3-pt shot from 25 ft (assist by K. Korver)
9:06.0,A. Afflalo makes 3-pt shot from 22 ft (assist by J. Hickson),3,8-5,,
8:52.0,,,8-7,2,A. Horford makes 2-pt shot from 15 ft (assist by P. Millsap)
8:28.0,T. Lawson misses 2-pt shot from 5 ft,,8-7,,
8:26.0,Offensive rebound by T. Mozgov,,8-7,,
8:26.0,T. Mozgov misses 2-pt shot at rim,,8-7,,
8:24.0,Offensive rebound by A. Afflalo,,8-7,,
8:22.0,Turnover by T. Mozgov (traveling),,8-7,,
8:08.0,,,8-7,,A. Horford misses 2-pt shot from 3 ft
8:06.0,Defensive rebound by W. Chandler,,8-7,,
8:00.0,A. Afflalo makes 3-pt shot from 25 ft (assist by T. Lawson),3,11-7,,
7:50.0,Personal foul by T. Lawson (drawn by J. Teague),,11-7,,
7:44.0,,,11-9,2,A. Horford makes 2-pt shot from 19 ft (assist by J. Teague)
7:27.0,J. Hickson misses 2-pt shot at rim,,11-9,,
7:27.0,Offensive rebound by Team,,11-9,,
7:15.0,W. Chandler misses 2-pt shot from 6 ft,,11-9,,
7:14.0,,,11-9,,Defensive rebound by A. Horford
7:03.0,,,11-9,,J. Teague misses 2-pt shot from 2 ft (block by T. Mozgov)
7:03.0,,,11-9,,Offensive rebound by Team
6:58.0,,,11-12,3,K. Korver makes 3-pt shot from 23 ft (assist by J. Teague)
6:49.0,Turnover by T. Lawson (bad pass),,11-12,,
6:32.0,,,11-12,,D. Carroll misses 3-pt shot from 25 ft
6:29.0,Defensive rebound by T. Lawson,,11-12,,
6:23.0,,,11-12,,Personal foul by D. Carroll (drawn by T. Mozgov)
6:13.0,A. Afflalo makes 2-pt shot from 15 ft,2,13-12,,
5:52.0,,,13-12,,D. Carroll misses 2-pt shot from 18 ft
5:51.0,Defensive rebound by J. Hickson,,13-12,,
5:42.0,Turnover by A. Afflalo (bad pass; steal by P. Millsap),,13-12,,
5:36.0,,,13-14,2,K. Korver makes 2-pt shot from 22 ft (assist by J. Teague)
5:18.0,Turnover by W. Chandler (bad pass; steal by P. Millsap),,13-14,,
5:13.0,,,13-16,2,D. Carroll makes 2-pt shot from 1 ft (assist by P. Millsap)
5:06.0,Denver full timeout,,13-16,,
5:06.0,,,13-16,,P. Antic enters the game for A. Horford
4:50.0,Offensive charge foul by W. Chandler,,13-16,,
4:50.0,Turnover by W. Chandler (offensive foul),,13-16,,
4:50.0,D. Gallinari enters the game for W. Chandler,,13-16,,
4:34.0,,,13-16,,P. Antic misses 2-pt shot from 1 ft
4:32.0,,,13-16,,Offensive rebound by P. Antic
4:31.0,,,13-18,2,P. Antic makes 2-pt shot at rim
4:14.0,J. Hickson misses 2-pt shot from 12 ft,,13-18,,
4:12.0,,,13-18,,Defensive rebound by P. Antic
4:07.0,,,13-21,3,K. Korver makes 3-pt shot from 22 ft (assist by J. Teague)
3:53.0,Shooting foul by P. Millsap (drawn by T. Mozgov),,13-21,,
3:53.0,T. Mozgov makes free throw 1 of 2,1,14-21,,
3:53.0,,,14-21,,T. Sefolosha enters the game for D. Carroll
3:53.0,T. Mozgov makes free throw 2 of 2,1,15-21,,
3:47.0,,,15-21,,P. Millsap misses 2-pt shot from 2 ft (block by J. Hickson)
3:47.0,,,15-21,,Offensive rebound by Team
3:47.0,D. Arthur enters the game for T. Mozgov,,15-21,,
3:41.0,,,15-21,,Shooting foul by J. Hickson (drawn by J. Teague)
3:41.0,,,15-21,,P. Millsap misses free throw 1 of 2
