time,Golden State,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. J. Valanciunas (D. Green gains possession),,,,Jump ball: A. Bogut vs. J. Valanciunas (D. Green gains possession)
11:49.0,K. Thompson misses 2-pt shot from 2 ft (block by J. Johnson),,0-0,,
11:47.0,,,0-0,,Defensive rebound by K. Lowry
11:31.0,,,0-0,,P. Patterson misses 2-pt shot from 3 ft
11:30.0,Defensive rebound by D. Green,,0-0,,
11:20.0,H. Barnes misses 3-pt shot from 22 ft,,0-0,,
11:19.0,Offensive rebound by S. Curry,,0-0,,
11:15.0,S. Curry makes 2-pt shot from 5 ft,2,2-0,,
10:58.0,,,2-0,,K. Lowry misses 2-pt shot from 15 ft
10:57.0,Defensive rebound by A. Bogut,,2-0,,
10:53.0,Shooting foul by J. Johnson (drawn by S. Curry),,2-0,,
10:53.0,S. Curry makes free throw 1 of 2,1,3-0,,
10:53.0,S. Curry makes free throw 2 of 2,1,4-0,,
10:30.0,,,4-2,2,J. Johnson makes 2-pt shot from 16 ft
10:18.0,D. Green misses 2-pt shot from 6 ft,,4-2,,
10:17.0,,,4-2,,Defensive rebound by D. DeRozan
10:09.0,,,4-2,,K. Lowry misses 2-pt shot from 13 ft
10:08.0,Defensive rebound by H. Barnes,,4-2,,
10:03.0,S. Curry makes 2-pt shot from 1 ft (assist by K. Thompson),2,6-2,,
9:45.0,,,6-2,,D. DeRozan misses 2-pt shot from 11 ft
9:44.0,Defensive rebound by A. Bogut,,6-2,,
9:38.0,K. Thompson misses 2-pt shot from 1 ft,,6-2,,
9:37.0,,,6-2,,Defensive rebound by J. Valanciunas
9:26.0,,,6-2,,Turnover by K. Lowry (lost ball; steal by D. Green)
9:22.0,D. Green makes 2-pt shot from 1 ft (assist by S. Curry),2,8-2,,
9:03.0,,,8-2,,D. DeRozan misses 2-pt shot from 7 ft
9:02.0,Defensive rebound by H. Barnes,,8-2,,
8:52.0,K. Thompson misses 3-pt shot from 25 ft,,8-2,,
8:51.0,,,8-2,,Defensive rebound by J. Valanciunas
8:41.0,,,8-2,,Turnover by P. Patterson (lost ball)
8:33.0,Turnover by A. Bogut (lost ball),,8-2,,
8:17.0,,,8-2,,Turnover by J. Valanciunas (lost ball; steal by A. Bogut)
8:00.0,S. Curry misses 2-pt shot from 19 ft,,8-2,,
7:59.0,,,8-2,,Defensive rebound by J. Johnson
7:44.0,,,8-2,,D. DeRozan misses 2-pt shot from 16 ft (block by D. Green)
7:42.0,Defensive rebound by A. Bogut,,8-2,,
7:28.0,S. Curry misses 2-pt shot from 2 ft,,8-2,,
7:25.0,,,8-2,,Defensive rebound by J. Valanciunas
7:21.0,Shooting block foul by A. Bogut (drawn by K. Lowry),,8-2,,
7:21.0,,,8-3,1,K. Lowry makes free throw 1 of 2
7:21.0,,,8-4,1,K. Lowry makes free throw 2 of 2
7:03.0,H. Barnes misses 2-pt shot from 7 ft,,8-4,,
7:02.0,,,8-4,,Defensive rebound by K. Lowry
6:50.0,,,8-4,,D. DeRozan misses 2-pt shot from 2 ft
6:49.0,Defensive rebound by D. Green,,8-4,,
6:39.0,D. Green makes 3-pt shot from 25 ft (assist by K. Thompson),3,11-4,,
6:22.0,,,11-4,,Turnover by J. Johnson (lost ball)
6:10.0,D. Green makes 3-pt shot from 25 ft (assist by K. Thompson),3,14-4,,
6:03.0,,,14-4,,Toronto full timeout
5:47.0,,,14-4,,K. Lowry misses 3-pt shot from 24 ft
5:46.0,,,14-4,,Offensive rebound by J. Valanciunas
5:44.0,,,14-4,,Shooting foul by K. Thompson (drawn by J. Valanciunas)
5:44.0,,,14-4,,J. Valanciunas misses free throw 1 of 2
5:44.0,,,14-4,,Offensive rebound by Team
5:44.0,,,14-5,1,J. Valanciunas makes free throw 2 of 2
5:34.0,Turnover by S. Curry (bad pass; steal by J. Valanciunas),,14-5,,
5:23.0,,,14-5,,J. Valanciunas misses 2-pt shot from 2 ft (block by D. Green)
5:23.0,Defensive rebound by A. Bogut,,14-5,,
5:18.0,Turnover by A. Bogut (bad pass; steal by J. Johnson),,14-5,,
5:08.0,,,14-5,,D. DeRozan misses 2-pt shot from 2 ft
5:07.0,Defensive rebound by A. Bogut,,14-5,,
4:59.0,K. Thompson misses 3-pt shot from 26 ft,,14-5,,
4:58.0,,,14-5,,Defensive rebound by J. Valanciunas
4:47.0,,,14-5,,D. DeRozan misses 2-pt shot from 19 ft
4:46.0,Defensive rebound by A. Bogut,,14-5,,
4:42.0,Shooting foul by D. DeRozan (drawn by D. Green),,14-5,,
4:42.0,D. Green makes free throw 1 of 2,1,15-5,,
