time,Toronto,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. J. Valanciunas (D. West gains possession),,,,Jump ball: R. Hibbert vs. J. Valanciunas (D. West gains possession)
11:42.0,,,0-0,,D. West misses 2-pt shot from 19 ft
11:41.0,Defensive rebound by T. Ross,,0-0,,
11:17.0,K. Lowry makes 3-pt shot from 25 ft,3,3-0,,
10:58.0,,,3-0,,Shooting foul by J. Valanciunas (drawn by R. Hibbert)
10:58.0,,,3-0,,R. Hibbert misses free throw 1 of 2
10:58.0,,,3-0,,Offensive rebound by Team
10:58.0,,,3-1,1,R. Hibbert makes free throw 2 of 2
10:41.0,K. Lowry makes 2-pt shot from 14 ft,2,5-1,,
10:41.0,Shooting foul by G. Hill (drawn by K. Lowry),,5-1,,
10:41.0,K. Lowry misses free throw 1 of 1,,5-1,,
10:41.0,,,5-1,,Defensive rebound by S. Hill
10:32.0,,,5-3,2,S. Hill makes 2-pt shot from 3 ft
10:19.0,D. DeRozan misses 2-pt shot from 19 ft,,5-3,,
10:18.0,,,5-3,,Defensive rebound by G. Hill
10:10.0,,,5-3,,R. Hibbert misses 2-pt shot from 1 ft (block by J. Valanciunas)
10:08.0,Defensive rebound by D. DeRozan,,5-3,,
10:02.0,D. DeRozan misses 2-pt shot from 1 ft,,5-3,,
10:01.0,Offensive rebound by J. Valanciunas,,5-3,,
10:01.0,J. Valanciunas makes 2-pt shot from 1 ft,2,7-3,,
9:42.0,,,7-6,3,G. Hill makes 3-pt shot from 27 ft (assist by S. Hill)
9:34.0,,,7-6,,Personal foul by C. Miles (drawn by K. Lowry)
9:26.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,9-6,,
9:09.0,,,9-6,,R. Hibbert misses 2-pt shot from 8 ft
9:08.0,Defensive rebound by K. Lowry,,9-6,,
8:57.0,D. DeRozan makes 2-pt shot from 16 ft,2,11-6,,
8:37.0,,,11-6,,R. Hibbert misses 2-pt shot from 7 ft
8:36.0,,,11-6,,Offensive rebound by D. West
8:34.0,,,11-6,,D. West misses 2-pt shot from 3 ft (block by J. Valanciunas)
8:32.0,Defensive rebound by K. Lowry,,11-6,,
8:25.0,D. DeRozan makes 2-pt shot from 7 ft (assist by K. Lowry),2,13-6,,
8:13.0,Personal foul by A. Johnson (drawn by D. West),,13-6,,
8:02.0,,,13-8,2,G. Hill makes 2-pt shot from 15 ft
7:45.0,D. DeRozan misses 2-pt shot from 8 ft,,13-8,,
7:43.0,,,13-8,,Defensive rebound by Team
7:30.0,,,13-10,2,C. Miles makes 2-pt shot at rim (assist by R. Hibbert)
7:19.0,Turnover by T. Ross (traveling),,13-10,,
7:09.0,,,13-10,,G. Hill misses 2-pt shot at rim (block by A. Johnson)
7:08.0,Defensive rebound by A. Johnson,,13-10,,
7:04.0,T. Ross misses 2-pt shot at rim,,13-10,,
7:02.0,,,13-10,,Defensive rebound by Team
6:40.0,,,13-10,,S. Hill misses 3-pt shot from 23 ft
6:39.0,Defensive rebound by J. Valanciunas,,13-10,,
6:33.0,A. Johnson misses 2-pt shot from 1 ft,,13-10,,
6:32.0,,,13-10,,Defensive rebound by R. Hibbert
6:14.0,,,13-10,,R. Hibbert misses 2-pt shot from 5 ft
6:13.0,Defensive rebound by Team,,13-10,,
5:57.0,Shooting foul by S. Hill (drawn by D. DeRozan),,13-10,,
5:57.0,,,13-10,,Indiana full timeout
5:57.0,D. DeRozan makes free throw 1 of 2,1,14-10,,
