time,Denver,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Dalembert vs. T. Mozgov (C. Anthony gains possession),,,,Jump ball: S. Dalembert vs. T. Mozgov (C. Anthony gains possession)
11:39.0,,,0-2,2,J. Smith makes 2-pt shot from 1 ft (assist by C. Anthony)
11:23.0,T. Mozgov misses 2-pt shot from 16 ft,,0-2,,
11:22.0,,,0-2,,Defensive rebound by C. Anthony
11:14.0,,,0-4,2,C. Anthony makes 2-pt shot from 14 ft (assist by S. Larkin)
10:55.0,A. Afflalo makes 3-pt shot from 24 ft (assist by T. Lawson),3,3-4,,
10:43.0,,,3-4,,J. Smith misses 3-pt shot from 25 ft
10:42.0,Defensive rebound by K. Faried,,3-4,,
10:34.0,A. Afflalo misses 3-pt shot from 25 ft,,3-4,,
10:33.0,Offensive rebound by Team,,3-4,,
10:22.0,T. Lawson misses 3-pt shot from 25 ft,,3-4,,
10:20.0,Offensive rebound by K. Faried,,3-4,,
10:16.0,W. Chandler makes 3-pt shot from 23 ft (assist by K. Faried),3,6-4,,
10:07.0,,,6-4,,Turnover by C. Anthony (bad pass; steal by K. Faried)
10:00.0,W. Chandler misses 3-pt shot from 23 ft,,6-4,,
9:59.0,,,6-4,,Defensive rebound by Q. Acy
9:44.0,,,6-4,,Shooting foul by A. Afflalo (drawn by Q. Acy)
9:44.0,,,6-5,1,Q. Acy makes free throw 1 of 2
9:44.0,,,6-6,1,Q. Acy makes free throw 2 of 2
9:23.0,A. Afflalo makes 3-pt shot from 26 ft (assist by W. Chandler),3,9-6,,
9:09.0,,,9-8,2,J. Smith makes 2-pt shot from 17 ft (assist by S. Dalembert)
8:55.0,A. Afflalo makes 3-pt shot from 24 ft (assist by T. Lawson),3,12-8,,
8:55.0,Shooting foul by J. Smith (drawn by A. Afflalo),,12-8,,
8:55.0,A. Afflalo makes free throw 1 of 1,1,13-8,,
8:38.0,,,13-8,,Q. Acy misses 2-pt shot from 3 ft
8:36.0,,,13-8,,Offensive rebound by S. Dalembert
8:35.0,,,13-10,2,S. Dalembert makes 2-pt shot at rim
8:31.0,K. Faried misses flagrant free throw 1 of 2,,13-10,,
8:31.0,Offensive rebound by Team,,13-10,,
