time,Chicago,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. M. Speights (J. Noah gains possession),,,,Jump ball: P. Gasol vs. M. Speights (J. Noah gains possession)
11:44.0,T. Snell makes 2-pt shot from 17 ft (assist by J. Noah),2,2-0,,
11:25.0,,,2-3,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
11:04.0,Turnover by D. Rose (bad pass),,2-3,,
10:56.0,,,2-6,3,K. Thompson makes 3-pt shot from 25 ft
10:38.0,Shooting foul by M. Speights (drawn by J. Noah),,2-6,,
10:38.0,J. Noah makes free throw 1 of 2,1,3-6,,
10:38.0,J. Noah makes free throw 2 of 2,1,4-6,,
10:26.0,,,4-8,2,K. Thompson makes 2-pt shot from 11 ft (assist by S. Curry)
10:11.0,D. Rose makes 3-pt shot from 24 ft (assist by J. Noah),3,7-8,,
10:03.0,,,7-11,3,S. Curry makes 3-pt shot from 27 ft
9:44.0,D. Rose makes 3-pt shot from 24 ft (assist by P. Gasol),3,10-11,,
9:35.0,,,10-11,,S. Curry misses 3-pt shot from 27 ft
9:35.0,Defensive rebound by P. Gasol,,10-11,,
9:26.0,Turnover by D. Rose (lost ball),,10-11,,
9:18.0,,,10-13,2,M. Speights makes 2-pt shot from 16 ft (assist by S. Curry)
8:55.0,J. Noah misses 2-pt shot from 11 ft,,10-13,,
8:54.0,,,10-13,,Defensive rebound by D. Green
8:49.0,,,10-13,,Shooting foul by K. Hinrich (drawn by D. Green)
8:49.0,,,10-13,,D. Green misses free throw 1 of 2
8:49.0,,,10-13,,Offensive rebound by Team
8:49.0,,,10-14,1,D. Green makes free throw 2 of 2
8:40.0,D. Rose misses 2-pt shot from 14 ft,,10-14,,
8:39.0,Offensive rebound by D. Rose,,10-14,,
8:31.0,D. Rose makes 2-pt shot from 1 ft,2,12-14,,
8:23.0,,,12-17,3,K. Thompson makes 3-pt shot from 27 ft (assist by S. Curry)
8:06.0,K. Hinrich misses 3-pt shot from 25 ft,,12-17,,
