time,New Orleans,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. A. Davis (J. Holiday gains possession),,,,Jump ball: A. Bogut vs. A. Davis (J. Holiday gains possession)
11:45.0,O. Asik makes 2-pt shot at rim (assist by T. Evans),2,2-0,,
11:29.0,,,2-2,2,H. Barnes makes 2-pt shot from 14 ft (assist by S. Curry)
11:08.0,O. Asik misses 2-pt shot from 3 ft (block by A. Bogut),,2-2,,
11:06.0,,,2-2,,Defensive rebound by A. Bogut
11:02.0,,,2-2,,Turnover by A. Bogut (lost ball; steal by J. Holiday)
10:59.0,J. Holiday makes 2-pt shot at rim,2,4-2,,
10:36.0,,,4-4,2,S. Curry makes 2-pt shot from 1 ft (assist by A. Bogut)
10:22.0,L. Babbitt makes 2-pt shot from 13 ft (assist by O. Asik),2,6-4,,
10:10.0,,,6-4,,S. Curry misses 2-pt shot from 9 ft
10:08.0,Defensive rebound by O. Asik,,6-4,,
10:02.0,Turnover by T. Evans (lost ball; steal by K. Thompson),,6-4,,
9:55.0,,,6-4,,K. Thompson misses 3-pt shot from 23 ft
9:54.0,Defensive rebound by L. Babbitt,,6-4,,
9:40.0,J. Holiday makes 2-pt shot from 16 ft,2,8-4,,
9:32.0,,,8-7,3,S. Curry makes 3-pt shot from 26 ft
9:17.0,A. Davis misses 2-pt shot from 19 ft,,8-7,,
9:16.0,,,8-7,,Defensive rebound by K. Thompson
9:07.0,,,8-7,,K. Thompson misses 2-pt shot from 20 ft
9:05.0,Defensive rebound by A. Davis,,8-7,,
8:58.0,Shooting foul by A. Bogut (drawn by O. Asik),,8-7,,
8:58.0,O. Asik misses free throw 1 of 2,,8-7,,
8:58.0,Offensive rebound by Team,,8-7,,
8:58.0,O. Asik makes free throw 2 of 2,1,9-7,,
8:46.0,,,9-7,,K. Thompson misses 2-pt shot from 2 ft
8:45.0,,,9-7,,Offensive rebound by A. Bogut
8:45.0,,,9-9,2,A. Bogut makes 2-pt shot at rim
8:37.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,11-9,,
8:37.0,Shooting foul by D. Green (drawn by A. Davis),,11-9,,
8:37.0,A. Davis makes free throw 1 of 1,1,12-9,,
8:21.0,,,12-11,2,H. Barnes makes 2-pt shot at rim (assist by S. Curry)
8:00.0,J. Holiday makes 2-pt shot from 11 ft (assist by A. Davis),2,14-11,,
8:00.0,,,14-11,,Golden State full timeout
7:50.0,,,14-11,,Turnover by K. Thompson (lost ball; steal by L. Babbitt)
7:26.0,J. Holiday misses 2-pt shot at rim,,14-11,,
7:25.0,,,14-11,,Defensive rebound by A. Bogut
