time,Washington,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. R. Hibbert (D. Gooden gains possession),,,,Jump ball: M. Gortat vs. R. Hibbert (D. Gooden gains possession)
11:37.0,M. Gortat misses 2-pt shot from 13 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by G. Hill
11:19.0,,,0-0,,S. Hill misses 2-pt shot from 2 ft
11:18.0,Defensive rebound by M. Gortat,,0-0,,
11:08.0,B. Beal misses 3-pt shot from 24 ft,,0-0,,
11:07.0,,,0-0,,Defensive rebound by G. Hill
10:50.0,,,0-0,,R. Hibbert misses 2-pt shot from 10 ft
10:49.0,Defensive rebound by B. Beal,,0-0,,
10:31.0,J. Wall misses 3-pt shot from 27 ft,,0-0,,
10:31.0,,,0-0,,Defensive rebound by Team
10:14.0,,,0-0,,Turnover by D. West (bad pass)
10:05.0,Turnover by J. Wall (bad pass),,0-0,,
9:48.0,,,0-0,,D. West misses 2-pt shot from 19 ft
9:46.0,Defensive rebound by P. Pierce,,0-0,,
9:35.0,D. Gooden misses 2-pt shot from 19 ft,,0-0,,
9:34.0,,,0-0,,Defensive rebound by Team
9:20.0,,,0-0,,G. Hill misses 2-pt shot from 14 ft
9:19.0,Defensive rebound by M. Gortat,,0-0,,
9:10.0,B. Beal makes 2-pt shot from 12 ft,2,2-0,,
8:55.0,,,2-0,,C. Miles misses 3-pt shot from 26 ft
8:53.0,,,2-0,,Offensive rebound by D. West
8:51.0,,,2-0,,G. Hill misses 2-pt shot from 15 ft
8:50.0,Defensive rebound by M. Gortat,,2-0,,
8:39.0,J. Wall makes 2-pt shot from 13 ft,2,4-0,,
8:20.0,,,4-0,,R. Hibbert misses 2-pt shot from 4 ft
8:19.0,Defensive rebound by D. Gooden,,4-0,,
8:11.0,M. Gortat makes 2-pt shot from 5 ft (assist by B. Beal),2,6-0,,
8:11.0,,,6-0,,Indiana full timeout
8:05.0,,,6-0,,S. Hill misses 2-pt shot from 1 ft
8:04.0,,,6-0,,Offensive rebound by S. Hill
8:02.0,,,6-0,,G. Hill misses 3-pt shot from 25 ft
8:00.0,Defensive rebound by P. Pierce,,6-0,,
7:54.0,B. Beal makes 2-pt shot from 10 ft,2,8-0,,
7:34.0,,,8-2,2,G. Hill makes 2-pt shot from 20 ft
7:13.0,B. Beal misses 2-pt shot from 19 ft,,8-2,,
7:12.0,,,8-2,,Defensive rebound by G. Hill
6:56.0,,,8-5,3,C. Miles makes 3-pt shot from 23 ft (assist by G. Hill)
6:40.0,J. Wall misses 2-pt shot from 18 ft,,8-5,,
6:39.0,,,8-5,,Defensive rebound by C. Miles
6:33.0,,,8-7,2,C. Miles makes 2-pt shot from 1 ft
6:15.0,B. Beal misses 3-pt shot from 25 ft,,8-7,,
6:14.0,,,8-7,,Defensive rebound by C. Miles
6:05.0,,,8-7,,C. Miles misses 2-pt shot from 1 ft
6:05.0,,,8-7,,Offensive rebound by R. Hibbert
5:48.0,,,8-9,2,G. Hill makes 2-pt shot from 14 ft
5:39.0,P. Pierce misses 3-pt shot from 26 ft,,8-9,,
5:38.0,,,8-9,,Defensive rebound by D. West
5:22.0,,,8-9,,D. West misses 2-pt shot from 13 ft
5:20.0,,,8-9,,Offensive rebound by R. Hibbert
5:20.0,,,8-9,,R. Hibbert misses 2-pt shot from 1 ft
5:19.0,Defensive rebound by P. Pierce,,8-9,,
5:14.0,J. Wall makes 2-pt shot at rim,2,10-9,,
4:49.0,,,10-9,,R. Hibbert misses 2-pt shot from 8 ft
4:48.0,Defensive rebound by D. Gooden,,10-9,,
4:43.0,J. Wall misses 2-pt shot from 1 ft,,10-9,,
4:42.0,Offensive rebound by M. Gortat,,10-9,,
4:42.0,M. Gortat makes 2-pt shot at rim,2,12-9,,
4:19.0,,,12-9,,Turnover by G. Hill (bad pass; steal by J. Wall)
4:13.0,Turnover by J. Wall (bad pass),,12-9,,
4:13.0,,,12-9,,P. George enters the game for S. Hill
4:13.0,,,12-9,,I. Mahinmi enters the game for R. Hibbert
3:57.0,,,12-9,,D. West misses 2-pt shot from 19 ft
3:56.0,Defensive rebound by P. Pierce,,12-9,,
3:43.0,M. Gortat makes 2-pt shot from 5 ft (assist by P. Pierce),2,14-9,,
3:28.0,Personal foul by P. Pierce (drawn by P. George),,14-9,,
3:28.0,O. Porter enters the game for B. Beal,,14-9,,
3:28.0,,,14-9,,R. Stuckey enters the game for C. Miles
3:19.0,,,14-9,,R. Stuckey misses 2-pt shot from 19 ft
3:18.0,Defensive rebound by P. Pierce,,14-9,,
