time,Portland,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:42.0,R. Lopez misses 2-pt shot from 17 ft,,0-0,,
12:00.0,Jump ball: R. Lopez vs. J. Thompson (N. Batum gains possession),,,,Jump ball: R. Lopez vs. J. Thompson (N. Batum gains possession)
11:42.0,,,0-0,,Defensive rebound by J. Thompson
11:22.0,,,0-2,2,R. McCallum makes 2-pt shot from 19 ft (assist by J. Thompson)
11:06.0,L. Aldridge misses 2-pt shot from 20 ft,,0-2,,
11:05.0,Offensive rebound by N. Batum,,0-2,,
11:02.0,D. Lillard makes 2-pt shot from 2 ft (assist by N. Batum),2,2-2,,
10:52.0,,,2-2,,Shooting foul by R. Lopez (drawn by C. Landry)
10:52.0,,,2-2,,C. Landry misses free throw 1 of 2
10:52.0,,,2-2,,Offensive rebound by Team
10:52.0,,,2-3,1,C. Landry makes free throw 2 of 2
10:35.0,N. Batum makes 2-pt shot from 22 ft (assist by D. Lillard),2,4-3,,
10:25.0,,,4-5,2,R. Gay makes 2-pt shot from 17 ft (assist by R. McCallum)
10:12.0,D. Lillard misses 2-pt shot from 3 ft (block by C. Landry),,4-5,,
10:09.0,Offensive rebound by R. Lopez,,4-5,,
10:08.0,R. Lopez makes 2-pt shot at rim,2,6-5,,
9:50.0,,,6-7,2,R. Gay makes 2-pt shot from 2 ft (assist by J. Thompson)
9:29.0,L. Aldridge misses 2-pt shot from 7 ft,,6-7,,
9:28.0,,,6-7,,Defensive rebound by J. Thompson
9:18.0,,,6-7,,J. Thompson misses 2-pt shot from 19 ft
9:18.0,Defensive rebound by W. Matthews,,6-7,,
9:06.0,L. Aldridge misses 3-pt shot from 24 ft,,6-7,,
9:04.0,,,6-7,,Defensive rebound by J. Thompson
8:59.0,,,6-9,2,R. McCallum makes 2-pt shot from 2 ft
8:43.0,N. Batum misses 3-pt shot from 24 ft,,6-9,,
8:42.0,,,6-9,,Defensive rebound by C. Landry
8:33.0,,,6-9,,B. McLemore misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by L. Aldridge,,6-9,,
8:17.0,R. Lopez makes 2-pt shot at rim,2,8-9,,
8:17.0,Shooting foul by J. Thompson (drawn by R. Lopez),,8-9,,
8:17.0,R. Lopez makes free throw 1 of 1,1,9-9,,
8:04.0,,,9-9,,Shooting foul by W. Matthews (drawn by B. McLemore)
8:04.0,,,9-10,1,B. McLemore makes free throw 1 of 2
8:04.0,,,9-11,1,B. McLemore makes free throw 2 of 2
7:49.0,L. Aldridge misses 3-pt shot from 25 ft,,9-11,,
7:48.0,Offensive rebound by N. Batum,,9-11,,
